key	level	trait	threshold_points
wh2_dlc10_trait_alarielle_chaos_none	1	wh2_dlc10_trait_alarielle_chaos_none	1
wh2_dlc10_trait_defeated_alarielle	1	wh2_dlc10_trait_defeated_alarielle	1
wh2_dlc10_trait_defeated_alith_anar	1	wh2_dlc10_trait_defeated_alith_anar	1
wh2_dlc10_trait_defeated_hellebron	1	wh2_dlc10_trait_defeated_hellebron	1
wh2_dlc10_trait_sword_of_khaine	1	wh2_dlc10_trait_sword_of_khaine	1
wh2_dlc11_admiral_01_trait	1	wh2_dlc11_admiral_01_trait	1
wh2_dlc11_admiral_02_trait	1	wh2_dlc11_admiral_02_trait	1
wh2_dlc11_admiral_03_trait	1	wh2_dlc11_admiral_03_trait	1
wh2_dlc11_admiral_04_trait	1	wh2_dlc11_admiral_04_trait	1
wh2_dlc11_trait_defeated_aranessa_saltspite	1	wh2_dlc11_trait_defeated_aranessa_saltspite	1
wh2_dlc11_trait_defeated_count_noctilus	1	wh2_dlc11_trait_defeated_count_noctilus	1
wh2_dlc11_trait_defeated_cylostra_direfin	1	wh2_dlc11_trait_defeated_cylostra_direfin	1
wh2_dlc11_trait_defeated_lokhir_fellheart	1	wh2_dlc11_trait_defeated_lokhir_fellheart	1
wh2_dlc11_trait_defeated_luthor_harkon	1	wh2_dlc11_trait_defeated_luthor_harkon	1
wh2_dlc11_trait_harkon_personality_coward	1	wh2_dlc11_trait_harkon_personality_coward	1
wh2_dlc11_trait_harkon_personality_hateful	1	wh2_dlc11_trait_harkon_personality_hateful	1
wh2_dlc11_trait_harkon_personality_mad	1	wh2_dlc11_trait_harkon_personality_mad	1
wh2_dlc11_trait_harkon_personality_prideful	1	wh2_dlc11_trait_harkon_personality_prideful	1
wh2_dlc11_trait_harkon_personality_restored	1	wh2_dlc11_trait_harkon_personality_restored	1
wh2_dlc11_trait_incentive_1_low	2	wh2_dlc11_trait_incentive_counter	2
wh2_dlc11_trait_incentive_2_mid_low	1	wh2_dlc11_trait_incentive_counter	1
wh2_dlc11_trait_incentive_3_mid	1	wh2_dlc11_trait_incentive	1
wh2_dlc11_trait_incentive_4_mid_high	2	wh2_dlc11_trait_incentive	2
wh2_dlc11_trait_incentive_5_high	3	wh2_dlc11_trait_incentive	3
wh2_dlc11_trait_lokhir_black_ark_dummy	1	wh2_dlc11_trait_lokhir_black_ark_dummy	1
wh2_dlc12_trait_defeated_ikit_claw	1	wh2_dlc12_trait_defeated_ikit_claw	1
wh2_dlc12_trait_defeated_tehenhauin	1	wh2_dlc12_trait_defeated_tehenhauin	1
wh2_dlc12_trait_defeated_tiktaqto	1	wh2_dlc12_trait_defeated_tiktaqto	1
wh2_dlc13_lord_trait_emp_wulfhart	1	wh2_dlc09_dummy_trait_dynasty_1	1
wh2_dlc13_lord_trait_lzd_gorrok	1	wh2_dlc09_dummy_trait_dynasty_1	1
wh2_dlc13_lord_trait_lzd_nakai	1	wh2_dlc09_dummy_trait_dynasty_1	1
wh2_dlc13_trait_defeated_gorrok	1	wh2_dlc13_trait_defeated_gorrok	1
wh2_dlc13_trait_defeated_nakai	1	wh2_dlc13_trait_defeated_nakai	1
wh2_dlc13_trait_defeated_wulfhart	1	wh2_dlc13_trait_defeated_wulfhart	1
wh2_dlc13_trait_hertwig_focused	1	wh2_dlc13_trait_hertwig_focused	1
wh2_dlc13_trait_hertwig_legendary_physician	1	wh2_dlc13_trait_hertwig_legendary_physician	1
wh2_dlc13_trait_hertwig_van_hal_bloodline	1	wh2_dlc13_trait_hertwig_van_hal_bloodline	1
wh2_dlc13_trait_jorek_creator	1	wh2_dlc13_trait_jorek_creator	1
wh2_dlc13_trait_jorek_magnificent_engineer	1	wh2_dlc13_trait_jorek_magnificent_engineer	1
wh2_dlc13_trait_kalara_fervent	1	wh2_dlc13_trait_kalara_fervent	1
wh2_dlc13_trait_kalara_ishas_blessing	1	wh2_dlc13_trait_kalara_ishas_blessing	1
wh2_dlc13_trait_kalara_pursuer	1	wh2_dlc13_trait_kalara_pursuer	1
wh2_dlc13_trait_rodrik_executed_captive	1	wh2_dlc13_trait_rodrik_executed_captive	1
wh2_dlc13_trait_rodrik_merciful	1	wh2_dlc13_trait_rodrik_merciful	1
wh2_dlc13_trait_rodrik_sworn_to_wulfhart	1	wh2_dlc13_trait_rodrik_sworn_to_wulfhart	1
wh2_dlc13_trait_rodrik_targeted_by_duke_tudual	1	wh2_dlc13_trait_rodrik_targeted_by_duke_tudual	1
wh2_dlc13_trait_rodrik_wolf_hearted	1	wh2_dlc13_trait_rodrik_wolf_hearted	1
wh2_dlc14_trait_defeated_gotrek	1	wh2_dlc14_trait_defeated_gotrek	1
wh2_dlc14_trait_defeated_malus	1	wh2_dlc14_trait_defeated_malus	1
wh2_dlc14_trait_defeated_repanse	1	wh2_dlc14_trait_defeated_repanse	1
wh2_dlc14_trait_defeated_snikch	1	wh2_dlc14_trait_defeated_snikch	1
wh2_dlc15_grom_food_collector_0	1	wh2_dlc15_grom_food_collector	1
wh2_dlc15_grom_food_collector_1	2	wh2_dlc15_grom_food_collector	2
wh2_dlc15_grom_food_collector_2	3	wh2_dlc15_grom_food_collector	3
wh2_dlc15_grom_food_collector_3	4	wh2_dlc15_grom_food_collector	4
wh2_dlc15_grom_food_collector_4	5	wh2_dlc15_grom_food_collector	5
wh2_dlc15_trait_defeated_eltharion	1	wh2_dlc15_trait_defeated_eltharion	1
wh2_dlc15_trait_defeated_grom	1	wh2_dlc15_trait_defeated_grom	1
wh2_dlc15_trait_defeated_imrik	1	wh2_dlc15_trait_defeated_imrik	1
wh2_dlc15_trait_dragon_black_imrik	1	wh2_dlc15_trait_dragon_black_imrik	1
wh2_dlc15_trait_dragon_forest_imrik	1	wh2_dlc15_trait_dragon_forest_imrik	1
wh2_dlc15_trait_dragon_moon_imrik	1	wh2_dlc15_trait_dragon_moon_imrik	1
wh2_dlc15_trait_dragon_star_imrik	1	wh2_dlc15_trait_dragon_star_imrik	1
wh2_dlc15_trait_dragon_sun_imrik	1	wh2_dlc15_trait_dragon_sun_imrik	1
wh2_dlc15_trait_mistwalker_sentinel	1	wh2_dlc15_trait_mistwalker_sentinel	1
wh2_dlc15_trait_mistwalker_shadow	1	wh2_dlc15_trait_mistwalker_shadow	1
wh2_dlc15_trait_mistwalker_watcher	1	wh2_dlc15_trait_mistwalker_watcher	1
wh2_dlc15_trait_white_wolf	1	wh2_dlc15_trait_white_wolf	1
wh2_dlc16_trait_drycha_potion_sacre	1	wh2_dlc16_trait_drycha_potion_sacre	1
wh2_dlc16_trait_sisters_mount_summons	1	wh2_dlc16_trait_sisters_mount_summons	1
wh2_dlc17_trait_defeated_oxyotl	1	wh2_dlc17_trait_defeated_oxyotl	1
wh2_dlc17_trait_defeated_taurox	1	wh2_dlc17_trait_defeated_taurox	1
wh2_dlc17_trait_defeated_thorek	1	wh2_dlc17_trait_defeated_thorek	1
wh2_dlc17_trait_kazador_thunderhorn	1	wh2_dlc17_trait_kazador_thunderhorn	1
wh2_dlc17_trait_kevin_lloyd	1	wh2_dlc17_trait_kevin_lloyd	1
wh2_dlc17_trait_taurox_hidden_rampage_complete_1	1	wh2_dlc17_trait_taurox_hidden_rampage_complete	1
wh2_dlc17_trait_taurox_hidden_rampage_complete_2	2	wh2_dlc17_trait_taurox_hidden_rampage_complete	2
wh2_dlc17_trait_taurox_hidden_rampage_complete_3	3	wh2_dlc17_trait_taurox_hidden_rampage_complete	3
wh2_dlc17_trait_taurox_hidden_rampage_complete_4	4	wh2_dlc17_trait_taurox_hidden_rampage_complete	4
wh2_dlc17_trait_taurox_hidden_rampage_complete_5	5	wh2_dlc17_trait_taurox_hidden_rampage_complete	5
wh2_dlc17_trait_taurox_hidden_rampage_high_momentum	1	wh2_dlc17_trait_taurox_hidden_rampage_high_momentum	1
wh2_dlc17_trait_taurox_hidden_rampage_multiple_wins_same_turn	1	wh2_dlc17_trait_taurox_hidden_rampage_multiple_wins_same_turn	1
wh2_dlc17_trait_taurox_hidden_rampage_solo_army_1	1	wh2_dlc17_trait_taurox_hidden_rampage_solo_army	1
wh2_dlc17_trait_taurox_hidden_rampage_solo_army_2	2	wh2_dlc17_trait_taurox_hidden_rampage_solo_army	5
wh2_dlc17_trait_unique_expedient_engineer	1	wh2_dlc17_trait_unique_expedient_engineer	1
wh2_dlc17_trait_unique_loracle	1	wh2_dlc17_trait_unique_loracle	1
wh2_dlc17_trait_unique_rider_of_typo	1	wh2_dlc17_trait_unique_rider_of_typo	1
wh2_main_trait_agent_action_assassinate	1	wh2_main_trait_agent_action_assassinate	5
wh2_main_trait_agent_action_assault_garrison	1	wh2_main_trait_agent_action_assault_garrison	5
wh2_main_trait_agent_action_assault_unit	1	wh2_main_trait_agent_action_assault_unit	5
wh2_main_trait_agent_action_assault_units	1	wh2_main_trait_agent_action_assault_units	5
wh2_main_trait_agent_action_block_army	1	wh2_main_trait_agent_action_block_army	5
wh2_main_trait_agent_action_damage_building	1	wh2_main_trait_agent_action_damage_building	5
wh2_main_trait_agent_action_damage_walls	1	wh2_main_trait_agent_action_damage_walls	5
wh2_main_trait_agent_action_hinder_replenishment	1	wh2_main_trait_agent_action_hinder_replenishment	5
wh2_main_trait_agent_action_steal_technology	1	wh2_main_trait_agent_action_steal_technology	5
wh2_main_trait_agent_action_wound	1	wh2_main_trait_agent_action_wound	5
wh2_main_trait_agent_actions_against_beastmen	1	wh2_main_trait_agent_actions_against_beastmen	5
wh2_main_trait_agent_actions_against_cathay	1	wh2_main_trait_agent_actions_against_cathay	5
wh2_main_trait_agent_actions_against_chaos	1	wh2_main_trait_agent_actions_against_chaos	5
wh2_main_trait_agent_actions_against_daemons	1	wh2_main_trait_agent_actions_against_daemons	5
wh2_main_trait_agent_actions_against_dark_elves	1	wh2_main_trait_agent_actions_against_dark_elves	5
wh2_main_trait_agent_actions_against_dwarfs	1	wh2_main_trait_agent_actions_against_dwarfs	5
wh2_main_trait_agent_actions_against_greenskins	1	wh2_main_trait_agent_actions_against_greenskins	5
wh2_main_trait_agent_actions_against_high_elves	1	wh2_main_trait_agent_actions_against_high_elves	5
wh2_main_trait_agent_actions_against_humans	1	wh2_main_trait_agent_actions_against_humans	5
wh2_main_trait_agent_actions_against_khorne	1	wh2_main_trait_agent_actions_against_khorne	5
wh2_main_trait_agent_actions_against_kislev	1	wh2_main_trait_agent_actions_against_kislev	5
wh2_main_trait_agent_actions_against_lizardmen	1	wh2_main_trait_agent_actions_against_lizardmen	5
wh2_main_trait_agent_actions_against_nurgle	1	wh2_main_trait_agent_actions_against_nurgle	5
wh2_main_trait_agent_actions_against_ogre_kingdoms	1	wh2_main_trait_agent_actions_against_ogre_kingdoms	5
wh2_main_trait_agent_actions_against_skaven	1	wh2_main_trait_agent_actions_against_skaven	5
wh2_main_trait_agent_actions_against_slaanesh	1	wh2_main_trait_agent_actions_against_slaanesh	5
wh2_main_trait_agent_actions_against_tomb_kings	1	wh2_main_trait_agent_actions_against_tomb_kings	5
wh2_main_trait_agent_actions_against_tzeentch	1	wh2_main_trait_agent_actions_against_tzeentch	5
wh2_main_trait_agent_actions_against_vampire_coast	1	wh2_main_trait_agent_actions_against_vampire_coast	5
wh2_main_trait_agent_actions_against_vampires	1	wh2_main_trait_agent_actions_against_vampires	5
wh2_main_trait_agent_actions_against_wood_elves	1	wh2_main_trait_agent_actions_against_wood_elves	5
wh2_main_trait_agent_target_fail_1	1	wh2_main_trait_agent_target_fail	3
wh2_main_trait_agent_target_fail_2	2	wh2_main_trait_agent_target_fail	5
wh2_main_trait_agent_target_fail_3	3	wh2_main_trait_agent_target_fail	7
wh2_main_trait_agent_target_success_1	1	wh2_main_trait_agent_target_success	3
wh2_main_trait_agent_target_success_2	2	wh2_main_trait_agent_target_success	5
wh2_main_trait_agent_target_success_3	3	wh2_main_trait_agent_target_success	7
wh2_main_trait_attacking_defeat_1	1	wh2_main_trait_attacking_defeat	2
wh2_main_trait_attacking_defeat_2	2	wh2_main_trait_attacking_defeat	4
wh2_main_trait_attacking_defeat_3	3	wh2_main_trait_attacking_defeat	6
wh2_main_trait_attacking_victory_1	1	wh2_main_trait_attacking_victory	8
wh2_main_trait_attacking_victory_2	2	wh2_main_trait_attacking_victory	12
wh2_main_trait_attacking_victory_3	3	wh2_main_trait_attacking_victory	18
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_3	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_3	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_c_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_c_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_c_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_c_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_3	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_3	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_military_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_military_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_military_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_military_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_military_3	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_military_3	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_3	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_3	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_4	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_4	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_5	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_5	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_3	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_3	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_sorcery_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_sorcery_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_sorcery_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_sorcery_2	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_worship_1	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_worship_1	1
wh2_main_trait_black_ark_building_wh2_main_horde_def_worship_2	1	wh2_main_trait_black_ark_building_wh2_main_horde_def_worship_2	1
wh2_main_trait_brutally_honest	1	wh2_main_trait_brutally_honest	1
wh2_main_trait_builder_1	1	wh2_main_trait_builder	5
wh2_main_trait_builder_2	2	wh2_main_trait_builder	10
wh2_main_trait_builder_3	3	wh2_main_trait_builder	15
wh2_main_trait_casualties_1	1	wh2_main_trait_casualties	3
wh2_main_trait_casualties_2	2	wh2_main_trait_casualties	5
wh2_main_trait_casualties_3	3	wh2_main_trait_casualties	7
wh2_main_trait_corrupted_chaos	1	wh2_main_trait_corrupted_chaos	20
wh2_main_trait_corrupted_skaven	1	wh2_main_trait_corrupted_skaven	10
wh2_main_trait_corrupted_vampire	1	wh2_main_trait_corrupted_vampire	20
wh2_main_trait_def_assassins_end	1	wh2_main_trait_def_assassins_end	1
wh2_main_trait_def_favoured	1	wh2_main_trait_def_favoured	1
wh2_main_trait_def_name_of_power_ar_01_lifequencher	1	wh2_main_trait_def_name_of_power_ar_01_lifequencher	1
wh2_main_trait_def_name_of_power_ar_02_the_tempest_of_talons	1	wh2_main_trait_def_name_of_power_ar_02_the_tempest_of_talons	1
wh2_main_trait_def_name_of_power_ar_03_shadowdart	1	wh2_main_trait_def_name_of_power_ar_03_shadowdart	1
wh2_main_trait_def_name_of_power_ar_04_barbstorm	1	wh2_main_trait_def_name_of_power_ar_04_barbstorm	1
wh2_main_trait_def_name_of_power_ar_05_beastbinder	1	wh2_main_trait_def_name_of_power_ar_05_beastbinder	1
wh2_main_trait_def_name_of_power_ar_06_fangshield	1	wh2_main_trait_def_name_of_power_ar_06_fangshield	1
wh2_main_trait_def_name_of_power_ar_07_wrathbringer	1	wh2_main_trait_def_name_of_power_ar_07_wrathbringer	1
wh2_main_trait_def_name_of_power_ar_08_moonshadow	1	wh2_main_trait_def_name_of_power_ar_08_moonshadow	1
wh2_main_trait_def_name_of_power_ar_09_granitestance	1	wh2_main_trait_def_name_of_power_ar_09_granitestance	1
wh2_main_trait_def_name_of_power_ar_10_the_grey_vanquisher	1	wh2_main_trait_def_name_of_power_ar_10_the_grey_vanquisher	1
wh2_main_trait_def_name_of_power_ar_11_krakenclaw	1	wh2_main_trait_def_name_of_power_ar_11_krakenclaw	1
wh2_main_trait_def_name_of_power_ar_12_grimgaze	1	wh2_main_trait_def_name_of_power_ar_12_grimgaze	1
wh2_main_trait_def_name_of_power_ca_01_dreadtongue	1	wh2_main_trait_def_name_of_power_ca_01_dreadtongue	1
wh2_main_trait_def_name_of_power_ca_02_darkpath	1	wh2_main_trait_def_name_of_power_ca_02_darkpath	1
wh2_main_trait_def_name_of_power_ca_03_khainemarked	1	wh2_main_trait_def_name_of_power_ca_03_khainemarked	1
wh2_main_trait_def_name_of_power_ca_04_the_black_conqueror	1	wh2_main_trait_def_name_of_power_ca_04_the_black_conqueror	1
wh2_main_trait_def_name_of_power_ca_05_leviathanrage	1	wh2_main_trait_def_name_of_power_ca_05_leviathanrage	1
wh2_main_trait_def_name_of_power_ca_06_emeraldeye	1	wh2_main_trait_def_name_of_power_ca_06_emeraldeye	1
wh2_main_trait_def_name_of_power_ca_07_barbedlash	1	wh2_main_trait_def_name_of_power_ca_07_barbedlash	1
wh2_main_trait_def_name_of_power_ca_08_pathguard	1	wh2_main_trait_def_name_of_power_ca_08_pathguard	1
wh2_main_trait_def_name_of_power_ca_09_the_dark_marshall	1	wh2_main_trait_def_name_of_power_ca_09_the_dark_marshall	1
wh2_main_trait_def_name_of_power_ca_10_the_dire_overseer	1	wh2_main_trait_def_name_of_power_ca_10_the_dire_overseer	1
wh2_main_trait_def_name_of_power_ca_11_gatesmiter	1	wh2_main_trait_def_name_of_power_ca_11_gatesmiter	1
wh2_main_trait_def_name_of_power_ca_12_the_tormentor	1	wh2_main_trait_def_name_of_power_ca_12_the_tormentor	1
wh2_main_trait_def_name_of_power_co_01_blackstone	1	wh2_main_trait_def_name_of_power_co_01_blackstone	1
wh2_main_trait_def_name_of_power_co_02_wyrmscale	1	wh2_main_trait_def_name_of_power_co_02_wyrmscale	1
wh2_main_trait_def_name_of_power_co_03_poisonblade	1	wh2_main_trait_def_name_of_power_co_03_poisonblade	1
wh2_main_trait_def_name_of_power_co_04_headreaper	1	wh2_main_trait_def_name_of_power_co_04_headreaper	1
wh2_main_trait_def_name_of_power_co_05_spiteheart	1	wh2_main_trait_def_name_of_power_co_05_spiteheart	1
wh2_main_trait_def_name_of_power_co_06_soulblaze	1	wh2_main_trait_def_name_of_power_co_06_soulblaze	1
wh2_main_trait_def_name_of_power_co_07_bloodscourge	1	wh2_main_trait_def_name_of_power_co_07_bloodscourge	1
wh2_main_trait_def_name_of_power_co_08_griefbringer	1	wh2_main_trait_def_name_of_power_co_08_griefbringer	1
wh2_main_trait_def_name_of_power_co_09_the_hand_of_wrath	1	wh2_main_trait_def_name_of_power_co_09_the_hand_of_wrath	1
wh2_main_trait_def_name_of_power_co_10_fatedshield	1	wh2_main_trait_def_name_of_power_co_10_fatedshield	1
wh2_main_trait_def_name_of_power_co_11_drakecleaver	1	wh2_main_trait_def_name_of_power_co_11_drakecleaver	1
wh2_main_trait_def_name_of_power_co_12_hydrablood	1	wh2_main_trait_def_name_of_power_co_12_hydrablood	1
wh2_main_trait_defeated_alberic_de_bordeleaux	1	wh2_main_trait_defeated_alberic_de_bordeleaux	1
wh2_main_trait_defeated_archaon_the_everchosen	1	wh2_main_trait_defeated_archaon_the_everchosen	1
wh2_main_trait_defeated_azhag_the_slaughterer	1	wh2_main_trait_defeated_azhag_the_slaughterer	1
wh2_main_trait_defeated_balthasar_gelt	1	wh2_main_trait_defeated_balthasar_gelt	1
wh2_main_trait_defeated_belegar_ironhammer	1	wh2_main_trait_defeated_belegar_ironhammer	1
wh2_main_trait_defeated_drycha	1	wh2_main_trait_defeated_drycha	1
wh2_main_trait_defeated_durthu	1	wh2_main_trait_defeated_durthu	1
wh2_main_trait_defeated_fay_enchantress	1	wh2_main_trait_defeated_fay_enchantress	1
wh2_main_trait_defeated_grimgor_ironhide	1	wh2_main_trait_defeated_grimgor_ironhide	1
wh2_main_trait_defeated_grombrindal	1	wh2_main_trait_defeated_grombrindal	1
wh2_main_trait_defeated_heinrich_kemmler	1	wh2_main_trait_defeated_heinrich_kemmler	1
wh2_main_trait_defeated_helmen_ghorst	1	wh2_main_trait_defeated_helmen_ghorst	1
wh2_main_trait_defeated_isabella_von_carstein	1	wh2_main_trait_defeated_isabella_von_carstein	1
wh2_main_trait_defeated_karl_franz	1	wh2_main_trait_defeated_karl_franz	1
wh2_main_trait_defeated_khazrak_one_eye	1	wh2_main_trait_defeated_khazrak_one_eye	1
wh2_main_trait_defeated_kholek_suneater	1	wh2_main_trait_defeated_kholek_suneater	1
wh2_main_trait_defeated_kroq_gar	1	wh2_main_trait_defeated_kroq_gar	1
wh2_main_trait_defeated_lord_mazdamundi	1	wh2_main_trait_defeated_lord_mazdamundi	1
wh2_main_trait_defeated_lord_skrolk	1	wh2_main_trait_defeated_lord_skrolk	1
wh2_main_trait_defeated_lord_strolk	1	wh2_main_trait_defeated_lord_strolk	1
wh2_main_trait_defeated_louen_leoncouer	1	wh2_main_trait_defeated_louen_leoncouer	1
wh2_main_trait_defeated_malagor_the_dark_omen	1	wh2_main_trait_defeated_malagor_the_dark_omen	1
wh2_main_trait_defeated_malekith	1	wh2_main_trait_defeated_malekith	1
wh2_main_trait_defeated_mannfred_von_carstein	1	wh2_main_trait_defeated_mannfred_von_carstein	1
wh2_main_trait_defeated_morathi	1	wh2_main_trait_defeated_morathi	1
wh2_main_trait_defeated_morghur_the_shadowgave	1	wh2_main_trait_defeated_morghur_the_shadowgave	1
wh2_main_trait_defeated_orion	1	wh2_main_trait_defeated_orion	1
wh2_main_trait_defeated_prince_sigvald	1	wh2_main_trait_defeated_prince_sigvald	1
wh2_main_trait_defeated_queen_headtaker	1	wh2_main_trait_defeated_queen_headtaker	1
wh2_main_trait_defeated_sisters_of_twilight	1	wh2_main_trait_defeated_sisters_of_twilight	1
wh2_main_trait_defeated_skarsnik	1	wh2_main_trait_defeated_skarsnik	1
wh2_main_trait_defeated_teclis	1	wh2_main_trait_defeated_teclis	1
wh2_main_trait_defeated_thorgrim_grudgebearer	1	wh2_main_trait_defeated_thorgrim_grudgebearer	1
wh2_main_trait_defeated_throt	1	wh2_main_trait_defeated_throt	1
wh2_main_trait_defeated_tyrion	1	wh2_main_trait_defeated_tyrion	1
wh2_main_trait_defeated_ungrim_ironfist	1	wh2_main_trait_defeated_ungrim_ironfist	1
wh2_main_trait_defeated_vlad_von_carstein	1	wh2_main_trait_defeated_vlad_von_carstein	1
wh2_main_trait_defeated_volkmar_the_grim	1	wh2_main_trait_defeated_volkmar_the_grim	1
wh2_main_trait_defeated_wurzzag	1	wh2_main_trait_defeated_wurzzag	1
wh2_main_trait_defeats_1	1	wh2_main_trait_defeats	3
wh2_main_trait_defeats_2	2	wh2_main_trait_defeats	5
wh2_main_trait_defeats_3	3	wh2_main_trait_defeats	7
wh2_main_trait_defeats_against_beastmen	1	wh2_main_trait_defeats_against_beastmen	5
wh2_main_trait_defeats_against_cathay	1	wh2_main_trait_defeats_against_cathay	5
wh2_main_trait_defeats_against_chaos	1	wh2_main_trait_defeats_against_chaos	5
wh2_main_trait_defeats_against_daemons	1	wh2_main_trait_defeats_against_daemons	5
wh2_main_trait_defeats_against_dark_elves	1	wh2_main_trait_defeats_against_dark_elves	5
wh2_main_trait_defeats_against_dwarfs	1	wh2_main_trait_defeats_against_dwarfs	5
wh2_main_trait_defeats_against_greenskins	1	wh2_main_trait_defeats_against_greenskins	5
