faction	vehicle
wh3_dlc23_chd_chaos_dwarfs	chd_siege_tower_15m
wh3_dlc23_chd_chaos_dwarfs_qb1	chd_siege_tower_15m
wh3_dlc23_chd_chaos_dwarfs_qb2	chd_siege_tower_15m
wh3_dlc23_chd_chaos_dwarfs_qb3	chd_siege_tower_15m
wh3_dlc23_chd_chaos_dwarfs_rebels	chd_siege_tower_15m
wh3_dlc23_chd_conclave	chd_siege_tower_15m
wh3_dlc23_chd_legion_of_azgorh	chd_siege_tower_15m
wh3_dlc23_chd_minor_faction	chd_siege_tower_15m
wh3_dlc23_chd_zhatan	chd_siege_tower_15m
wh3_dlc25_chd_chaos_dwarfs_invasion	chd_siege_tower_15m
wh3_dlc20_chs_azazel	chs_battering_ram
wh3_dlc20_chs_festus	chs_battering_ram
wh3_dlc20_chs_kholek	chs_battering_ram
wh3_dlc20_chs_sigvald	chs_battering_ram
wh3_dlc20_chs_valkia	chs_battering_ram
wh3_dlc20_chs_vilitch	chs_battering_ram
wh3_main_chs_shadow_legion	chs_battering_ram
wh3_main_dae_daemon_prince	chs_battering_ram
wh_main_chs_chaos	chs_battering_ram
wh3_dlc20_chs_azazel	chs_siege_tower_15m
wh3_dlc20_chs_festus	chs_siege_tower_15m
wh3_dlc20_chs_kholek	chs_siege_tower_15m
wh3_dlc20_chs_sigvald	chs_siege_tower_15m
wh3_dlc20_chs_valkia	chs_siege_tower_15m
wh3_dlc20_chs_vilitch	chs_siege_tower_15m
wh3_main_chs_shadow_legion	chs_siege_tower_15m
wh3_main_dae_daemon_prince	chs_siege_tower_15m
wh_main_chs_chaos	chs_siege_tower_15m
wh2_dlc11_cst_noctilus	cst_battering_ram
wh2_dlc11_cst_pirates_of_sartosa	cst_battering_ram
wh2_dlc11_cst_the_drowned	cst_battering_ram
wh2_dlc11_cst_vampire_coast	cst_battering_ram
wh2_dlc11_cst_vampire_coast_rebellion_rebels	cst_battering_ram
wh2_dlc11_cst_vampire_coast_rebels	cst_battering_ram
wh3_dlc21_cst_dead_flag_fleet	cst_battering_ram
wh3_dlc24_cst_vampire_coast_bloated_rebels	cst_battering_ram
wh3_main_cst_dread_rock_privateers	cst_battering_ram
wh2_dlc11_cst_noctilus	cst_siege_tower_15m
wh2_dlc11_cst_pirates_of_sartosa	cst_siege_tower_15m
wh2_dlc11_cst_the_drowned	cst_siege_tower_15m
wh2_dlc11_cst_vampire_coast	cst_siege_tower_15m
wh2_dlc11_cst_vampire_coast_rebellion_rebels	cst_siege_tower_15m
wh2_dlc11_cst_vampire_coast_rebels	cst_siege_tower_15m
wh3_dlc21_cst_dead_flag_fleet	cst_siege_tower_15m
wh3_dlc24_cst_vampire_coast_bloated_rebels	cst_siege_tower_15m
wh3_main_cst_dread_rock_privateers	cst_siege_tower_15m
wh3_dlc24_cth_the_celestial_court	cth_battering_ram
wh3_main_cth_burning_wind_nomads	cth_battering_ram
wh3_main_cth_cathay_mp	cth_battering_ram
wh3_main_cth_celestial_loyalists	cth_battering_ram
wh3_main_cth_dissenter_lords_of_jinshen	cth_battering_ram
wh3_main_cth_eastern_river_lords	cth_battering_ram
wh3_main_cth_imperial_wardens	cth_battering_ram
wh3_main_cth_rebel_lords_of_nan_yang	cth_battering_ram
wh3_main_cth_the_jade_custodians	cth_battering_ram
wh3_main_cth_the_northern_provinces	cth_battering_ram
wh3_main_cth_the_western_provinces	cth_battering_ram
wh3_dlc24_cth_the_celestial_court	cth_siege_tower_15m
wh3_main_cth_burning_wind_nomads	cth_siege_tower_15m
wh3_main_cth_cathay_mp	cth_siege_tower_15m
wh3_main_cth_celestial_loyalists	cth_siege_tower_15m
wh3_main_cth_dissenter_lords_of_jinshen	cth_siege_tower_15m
wh3_main_cth_eastern_river_lords	cth_siege_tower_15m
wh3_main_cth_imperial_wardens	cth_siege_tower_15m
wh3_main_cth_rebel_lords_of_nan_yang	cth_siege_tower_15m
wh3_main_cth_the_jade_custodians	cth_siege_tower_15m
wh3_main_cth_the_northern_provinces	cth_siege_tower_15m
wh3_main_cth_the_western_provinces	cth_siege_tower_15m
wh2_dlc11_def_the_blessed_dread	def_battering_ram
wh2_main_def_cult_of_pleasure	def_battering_ram
wh2_main_def_dark_elves	def_battering_ram
wh2_main_def_hag_graef	def_battering_ram
wh2_main_def_har_ganeth	def_battering_ram
wh2_twa03_def_rakarth	def_battering_ram
wh2_dlc11_def_the_blessed_dread	def_siege_tower_15m
wh2_main_def_cult_of_pleasure	def_siege_tower_15m
wh2_main_def_dark_elves	def_siege_tower_15m
wh2_main_def_hag_graef	def_siege_tower_15m
wh2_main_def_har_ganeth	def_siege_tower_15m
wh2_twa03_def_rakarth	def_siege_tower_15m
wh3_dlc25_dwf_malakai	dwf_battering_ram
wh3_main_dwf_the_ancestral_throng	dwf_battering_ram
wh_main_dwf_dwarfs	dwf_battering_ram
wh_main_dwf_karak_izor	dwf_battering_ram
wh_main_dwf_karak_kadrin	dwf_battering_ram
wh3_dlc25_dwf_malakai	dwf_siege_tower_15m
wh3_main_dwf_the_ancestral_throng	dwf_siege_tower_15m
wh_main_dwf_dwarfs	dwf_siege_tower_15m
wh_main_dwf_karak_izor	dwf_siege_tower_15m
wh_main_dwf_karak_kadrin	dwf_siege_tower_15m
wh2_dlc13_emp_golden_order	emp_battering_ram
wh2_dlc13_emp_the_huntmarshals_expedition	emp_battering_ram
wh3_main_emp_cult_of_sigmar	emp_battering_ram
wh_main_emp_averland	emp_battering_ram
wh_main_emp_empire	emp_battering_ram
wh_main_emp_hochland	emp_battering_ram
wh_main_emp_middenland	emp_battering_ram
wh_main_emp_nordland	emp_battering_ram
wh_main_emp_ostermark	emp_battering_ram
wh_main_emp_ostland	emp_battering_ram
wh_main_emp_stirland	emp_battering_ram
wh_main_emp_talabecland	emp_battering_ram
wh_main_emp_wissenland	emp_battering_ram
wh_main_teb_border_princes	emp_battering_ram
wh_main_teb_estalia	emp_battering_ram
wh_main_teb_tilea	emp_battering_ram
wh2_dlc13_emp_golden_order	emp_siege_tower_15m
wh2_dlc13_emp_the_huntmarshals_expedition	emp_siege_tower_15m
wh3_main_emp_cult_of_sigmar	emp_siege_tower_15m
wh_main_emp_averland	emp_siege_tower_15m
wh_main_emp_empire	emp_siege_tower_15m
wh_main_emp_hochland	emp_siege_tower_15m
wh_main_emp_middenland	emp_siege_tower_15m
wh_main_emp_nordland	emp_siege_tower_15m
wh_main_emp_ostermark	emp_siege_tower_15m
wh_main_emp_ostland	emp_siege_tower_15m
wh_main_emp_stirland	emp_siege_tower_15m
wh_main_emp_talabecland	emp_siege_tower_15m
wh_main_emp_wissenland	emp_siege_tower_15m
wh_main_teb_border_princes	emp_siege_tower_15m
wh_main_teb_estalia	emp_siege_tower_15m
wh_main_teb_tilea	emp_siege_tower_15m
wh2_dlc15_grn_bonerattlaz	grn_battering_ram
wh2_dlc15_grn_broken_axe	grn_battering_ram
wh_main_grn_crooked_moon	grn_battering_ram
wh_main_grn_greenskins	grn_battering_ram
wh_main_grn_orcs_of_the_bloody_hand	grn_battering_ram
wh2_dlc15_grn_bonerattlaz	grn_siege_tower_15m
wh2_dlc15_grn_broken_axe	grn_siege_tower_15m
wh_main_grn_crooked_moon	grn_siege_tower_15m
wh_main_grn_greenskins	grn_siege_tower_15m
wh_main_grn_orcs_of_the_bloody_hand	grn_siege_tower_15m
wh2_dlc15_hef_imrik	hef_battering_ram
wh2_main_hef_avelorn	hef_battering_ram
wh2_main_hef_high_elves	hef_battering_ram
wh2_main_hef_nagarythe	hef_battering_ram
wh2_main_hef_order_of_loremasters	hef_battering_ram
wh2_main_hef_yvresse	hef_battering_ram
wh2_dlc15_hef_imrik	hef_siege_tower_15m
wh2_main_hef_avelorn	hef_siege_tower_15m
wh2_main_hef_high_elves	hef_siege_tower_15m
wh2_main_hef_nagarythe	hef_siege_tower_15m
wh2_main_hef_order_of_loremasters	hef_siege_tower_15m
wh2_main_hef_yvresse	hef_siege_tower_15m
wh3_dlc20_kho_blood_keepers	kho_battering_ram
wh3_dlc25_kho_khorne_invasion	kho_battering_ram
wh3_main_kho_bloody_sword	kho_battering_ram
wh3_main_kho_brazen_throne	kho_battering_ram
wh3_main_kho_crimson_skull	kho_battering_ram
wh3_main_kho_karneths_sons	kho_battering_ram
wh3_main_kho_khorne	kho_battering_ram
wh3_dlc20_kho_blood_keepers	kho_siege_tower_15m
wh3_dlc25_kho_khorne_invasion	kho_siege_tower_15m
wh3_main_kho_bloody_sword	kho_siege_tower_15m
wh3_main_kho_brazen_throne	kho_siege_tower_15m
wh3_main_kho_crimson_skull	kho_siege_tower_15m
wh3_main_kho_karneths_sons	kho_siege_tower_15m
wh3_main_kho_khorne	kho_siege_tower_15m
wh3_dlc24_ksl_daughters_of_the_forest	ksl_battering_ram
wh3_main_ksl_brotherhood_of_the_bear	ksl_battering_ram
wh3_main_ksl_druzhina_enclave	ksl_battering_ram
wh3_main_ksl_kislev	ksl_battering_ram
wh3_main_ksl_kislev_rebels	ksl_battering_ram
wh3_main_ksl_ropsmenn_clan	ksl_battering_ram
wh3_main_ksl_the_great_orthodoxy	ksl_battering_ram
wh3_main_ksl_the_ice_court	ksl_battering_ram
wh3_main_ksl_ungol_kindred	ksl_battering_ram
wh3_main_ksl_ursun_revivalists	ksl_battering_ram
wh3_dlc24_ksl_daughters_of_the_forest	ksl_siege_tower_15m
wh3_main_ksl_brotherhood_of_the_bear	ksl_siege_tower_15m
wh3_main_ksl_druzhina_enclave	ksl_siege_tower_15m
wh3_main_ksl_kislev	ksl_siege_tower_15m
wh3_main_ksl_kislev_rebels	ksl_siege_tower_15m
wh3_main_ksl_ropsmenn_clan	ksl_siege_tower_15m
wh3_main_ksl_the_great_orthodoxy	ksl_siege_tower_15m
wh3_main_ksl_the_ice_court	ksl_siege_tower_15m
wh3_main_ksl_ungol_kindred	ksl_siege_tower_15m
wh3_main_ksl_ursun_revivalists	ksl_siege_tower_15m
wh2_dlc12_lzd_cult_of_sotek	lzd_battering_ram
wh2_dlc13_lzd_spirits_of_the_jungle	lzd_battering_ram
wh2_dlc17_lzd_oxyotl	lzd_battering_ram
wh2_main_lzd_itza	lzd_battering_ram
wh2_main_lzd_last_defenders	lzd_battering_ram
wh2_main_lzd_lizardmen	lzd_battering_ram
wh2_main_lzd_tlaqua	lzd_battering_ram
wh2_dlc12_lzd_cult_of_sotek	lzd_siege_tower_15m
wh2_dlc13_lzd_spirits_of_the_jungle	lzd_siege_tower_15m
wh2_dlc17_lzd_oxyotl	lzd_siege_tower_15m
wh2_main_lzd_itza	lzd_siege_tower_15m
wh2_main_lzd_last_defenders	lzd_siege_tower_15m
wh2_main_lzd_lizardmen	lzd_siege_tower_15m
wh2_main_lzd_tlaqua	lzd_siege_tower_15m
wh2_dlc17_nor_deadwood_ravagers	nor_battering_ram
wh2_main_nor_aghol	nor_battering_ram
wh2_main_nor_hung_incursion_def	nor_battering_ram
wh2_main_nor_hung_incursion_hef	nor_battering_ram
wh2_main_nor_hung_incursion_lzd	nor_battering_ram
wh2_main_nor_hung_incursion_skv	nor_battering_ram
wh2_main_nor_mung	nor_battering_ram
wh2_main_nor_skeggi	nor_battering_ram
wh3_dlc20_nor_dolgan	nor_battering_ram
wh3_dlc20_nor_kuj	nor_battering_ram
wh3_dlc20_nor_kul	nor_battering_ram
wh3_dlc20_nor_tong	nor_battering_ram
wh3_dlc20_nor_yusak	nor_battering_ram
wh3_dlc21_nor_wyrmkins	nor_battering_ram
wh3_prologue_gharhars	nor_battering_ram
wh_dlc08_nor_norsca	nor_battering_ram
wh_dlc08_nor_wintertooth	nor_battering_ram
wh_main_nor_aesling	nor_battering_ram
wh_main_nor_baersonling	nor_battering_ram
wh_main_nor_bjornling	nor_battering_ram
wh_main_nor_graeling	nor_battering_ram
wh_main_nor_norsca_rebels	nor_battering_ram
wh_main_nor_sarl	nor_battering_ram
wh_main_nor_skaeling	nor_battering_ram
wh_main_nor_varg	nor_battering_ram
wh2_dlc17_nor_deadwood_ravagers	nor_siege_tower_15m
wh2_main_nor_aghol	nor_siege_tower_15m
wh2_main_nor_hung_incursion_def	nor_siege_tower_15m
wh2_main_nor_hung_incursion_hef	nor_siege_tower_15m
wh2_main_nor_hung_incursion_lzd	nor_siege_tower_15m
wh2_main_nor_hung_incursion_skv	nor_siege_tower_15m
wh2_main_nor_mung	nor_siege_tower_15m
wh2_main_nor_skeggi	nor_siege_tower_15m
wh3_dlc20_nor_dolgan	nor_siege_tower_15m
wh3_dlc20_nor_kuj	nor_siege_tower_15m
wh3_dlc20_nor_kul	nor_siege_tower_15m
wh3_dlc20_nor_tong	nor_siege_tower_15m
wh3_dlc20_nor_yusak	nor_siege_tower_15m
wh3_dlc21_nor_wyrmkins	nor_siege_tower_15m
wh3_prologue_gharhars	nor_siege_tower_15m
wh_dlc08_nor_norsca	nor_siege_tower_15m
wh_dlc08_nor_wintertooth	nor_siege_tower_15m
wh_main_nor_aesling	nor_siege_tower_15m
wh_main_nor_baersonling	nor_siege_tower_15m
wh_main_nor_bjornling	nor_siege_tower_15m
wh_main_nor_graeling	nor_siege_tower_15m
wh_main_nor_norsca_rebels	nor_siege_tower_15m
wh_main_nor_sarl	nor_siege_tower_15m
wh_main_nor_skaeling	nor_siege_tower_15m
wh_main_nor_varg	nor_siege_tower_15m
wh3_dlc20_nur_pallid_nurslings	nur_battering_ram
wh3_dlc25_nur_epidemius	nur_battering_ram
wh3_dlc25_nur_nurgle_invasion	nur_battering_ram
wh3_dlc25_nur_tamurkhan	nur_battering_ram
wh3_main_nur_bubonic_swarm	nur_battering_ram
wh3_main_nur_maggoth_kin	nur_battering_ram
wh3_main_nur_nurgle	nur_battering_ram
wh3_main_nur_septic_claw	nur_battering_ram
wh3_dlc20_nur_pallid_nurslings	nur_siege_tower_15m
wh3_dlc25_nur_epidemius	nur_siege_tower_15m
wh3_dlc25_nur_nurgle_invasion	nur_siege_tower_15m
wh3_dlc25_nur_tamurkhan	nur_siege_tower_15m
wh3_main_nur_bubonic_swarm	nur_siege_tower_15m
wh3_main_nur_maggoth_kin	nur_siege_tower_15m
wh3_main_nur_nurgle	nur_siege_tower_15m
wh3_main_nur_septic_claw	nur_siege_tower_15m
wh2_dlc09_skv_clan_rictus	skv_battering_ram
wh2_main_skv_clan_eshin	skv_battering_ram
wh2_main_skv_clan_moulder	skv_battering_ram
wh2_main_skv_clan_pestilens	skv_battering_ram
wh2_main_skv_clan_skryre	skv_battering_ram
wh2_main_skv_skaven	skv_battering_ram
wh2_dlc09_skv_clan_rictus	skv_siege_tower_15m
wh2_main_skv_clan_eshin	skv_siege_tower_15m
wh2_main_skv_clan_moulder	skv_siege_tower_15m
wh2_main_skv_clan_pestilens	skv_siege_tower_15m
wh2_main_skv_clan_skryre	skv_siege_tower_15m
wh2_main_skv_skaven	skv_siege_tower_15m
wh3_dlc20_sla_keepers_of_bliss	sla_battering_ram
wh3_dlc25_sla_slaanesh_invasion	sla_battering_ram
wh3_main_sla_exquisite_pain	sla_battering_ram
wh3_main_sla_rapturous_excess	sla_battering_ram
wh3_main_sla_slaanesh	sla_battering_ram
wh3_main_sla_subtle_torture	sla_battering_ram
wh3_dlc20_sla_keepers_of_bliss	sla_siege_tower_15m
wh3_dlc25_sla_slaanesh_invasion	sla_siege_tower_15m
wh3_main_sla_exquisite_pain	sla_siege_tower_15m
wh3_main_sla_rapturous_excess	sla_siege_tower_15m
wh3_main_sla_slaanesh	sla_siege_tower_15m
wh3_main_sla_subtle_torture	sla_siege_tower_15m
wh2_dlc09_tmb_exiles_of_nehek	tmb_battering_ram
wh2_dlc09_tmb_followers_of_nagash	tmb_battering_ram
wh2_dlc09_tmb_lybaras	tmb_battering_ram
wh2_dlc09_tmb_tomb_kings	tmb_battering_ram
wh2_dlc09_tmb_exiles_of_nehek	tmb_siege_tower_15m
wh2_dlc09_tmb_followers_of_nagash	tmb_siege_tower_15m
wh2_dlc09_tmb_lybaras	tmb_siege_tower_15m
wh2_dlc09_tmb_tomb_kings	tmb_siege_tower_15m
wh3_dlc20_tze_apostles_of_change	tze_battering_ram
wh3_dlc20_tze_the_sightless	tze_battering_ram
wh3_main_tze_all_seeing_eye	tze_battering_ram
wh3_main_tze_broken_wheel	tze_battering_ram
wh3_main_tze_flaming_scribes	tze_battering_ram
wh3_main_tze_sarthoraels_watchers	tze_battering_ram
wh3_main_tze_tzeentch	tze_battering_ram
wh3_dlc20_tze_apostles_of_change	tze_siege_tower_15m
wh3_dlc20_tze_the_sightless	tze_siege_tower_15m
wh3_main_tze_all_seeing_eye	tze_siege_tower_15m
wh3_main_tze_broken_wheel	tze_siege_tower_15m
wh3_main_tze_flaming_scribes	tze_siege_tower_15m
wh3_main_tze_sarthoraels_watchers	tze_siege_tower_15m
wh3_main_tze_tzeentch	tze_siege_tower_15m
wh2_dlc11_vmp_the_barrow_legion	vmp_battering_ram
wh3_dlc25_vmp_vampire_counts_invasion	vmp_battering_ram
wh3_main_vmp_caravan_of_blue_roses	vmp_battering_ram
wh_main_vmp_mousillon	vmp_battering_ram
wh_main_vmp_schwartzhafen	vmp_battering_ram
wh_main_vmp_vampire_counts	vmp_battering_ram
wh2_dlc11_vmp_the_barrow_legion	vmp_siege_tower_15m
wh3_dlc25_vmp_vampire_counts_invasion	vmp_siege_tower_15m
wh3_main_vmp_caravan_of_blue_roses	vmp_siege_tower_15m
wh_main_vmp_mousillon	vmp_siege_tower_15m
wh_main_vmp_schwartzhafen	vmp_siege_tower_15m
wh_main_vmp_vampire_counts	vmp_siege_tower_15m
wh2_dlc16_wef_drycha	wef_battering_ram
wh2_dlc16_wef_sisters_of_twilight	wef_battering_ram
wh_dlc05_wef_argwylon	wef_battering_ram
wh_dlc05_wef_wood_elves	wef_battering_ram
wh2_dlc16_wef_drycha	wef_siege_tower_15m
wh2_dlc16_wef_sisters_of_twilight	wef_siege_tower_15m
wh_dlc05_wef_argwylon	wef_siege_tower_15m
wh_dlc05_wef_wood_elves	wef_siege_tower_15m
