key	unit	unit_set
2001036278	wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	
2019575667	wh_main_emp_cha_wizard_heavens_4	
2019944115	wh3_main_nur_inf_forsaken_0_warriors	
2024302581		
2033440921		dlc16_all_units_rank4
2054525275		wh3_main_ksl_all
205972751		dlc16_all_units_rank6
2060526366	wh3_dlc25_nur_cha_bray_shaman_wild_chieftain	
2063146649	wh2_main_lzd_inf_temple_guards_nakai	
206549569	wh3_dlc25_emp_cha_wizard_metal_pegasus	
2071325929		
2082030798	wh_main_emp_cha_wizard_light_1	
2088361393	wh3_dlc20_chs_cha_exalted_hero_mnur_chaos_steed	
2090098462	wh2_dlc16_skv_mon_wolf_rats_0_flesh_lab	
209169222		wh3_main_cth_cha_iron_dragon_0
2097282754	wh3_dlc25_nur_cha_exalted_hero_chieftain_chaos_steed	
210197003	wh3_dlc25_emp_cha_engineer_mechanical_steed	
210747725	wh2_dlc16_skv_mon_rat_ogre_mutant_flesh_lab	
2108087315		dlc16_all_units_rank3
2112591676	wh2_pro07_emp_cha_wizard_death_3	
2122056513	wh2_dlc13_emp_veh_steam_tank_imperial_supply	
2123136184	wh3_dlc26_grn_cha_night_goblin_big_boss_squig	
2125166370		dlc16_all_units_rank3
2129212982		wh3_main_cth_cha_storm_dragon_0
2135841954		wh3_dlc20_kho_daemons
225729419	wh3_dlc25_chs_cha_chaos_lord_mnur_rot_beast	
23138013		all_units_excluding_flying
23612361		dlc16_all_units_rank1
240454221	wh2_dlc13_emp_veh_war_wagon_0_imperial_supply	
246494987		wh_main_brt_cha_damsel_prophetess
267507479	wh_dlc06_grn_cha_wurrzag_1	
275534200		dlc16_all_units_rank6
277001059		wef_dlc05_elf_characters
285533074	wh_dlc03_emp_cha_wizard_beasts_4	
286752604	wh2_main_lzd_mon_kroxigors_nakai	
287165550	wh2_dlc13_emp_cav_outriders_1_imperial_supply	
295874088		lords
298408993	wh3_dlc25_emp_cha_master_engineer_mechanical_steed	
304439218	wh_dlc05_wef_cha_female_glade_lord_1	
307677506		dlc24_all_units_exluding_tzeentch
313802687		emp_all
315753013	wh_dlc05_wef_cha_female_glade_lord_2	
322038589	wh_main_grn_cha_goblin_big_boss_4	
325514887		dlc16_all_units_rank8
347154294		dlc16_all_units_rank7
350229444	wh2_dlc16_skv_mon_rat_ogres_flesh_lab	
358542045	wh_dlc03_emp_cha_wizard_beasts_1	
360468427	wh2_dlc16_skv_inf_skavenslaves_0_flesh_lab	
362045053	wh2_dlc12_lzd_mon_bastiladon_3_nakai	
371707787		
377691199		dlc16_all_units_rank8
385166107	wh_main_grn_cha_goblin_great_shaman_2	
402491573		wh2_dlc15_hef_martial_passives
408162817	wh_main_emp_cha_wizard_light_4	
408198153	wh3_dlc25_nur_cha_fimir_balefiend_shadow_chieftain	
411920735	wh2_pro07_emp_cha_wizard_death_1	
424164998		all_units_excluding_strider
428139267		characters
442841053		all_units_excluding_guerrilla_deployment
444051557	wh2_dlc13_lzd_mon_sacred_kroxigors_0_nakai	
451116235	wh2_dlc16_wef_cha_female_glade_lord_4	
453248571	wh_main_grn_cha_orc_warboss_3	
46622998		
469786069	wh2_dlc13_emp_inf_halberdiers_imperial_supply	
473156561		
476044673	wh2_dlc13_emp_cav_empire_knights_imperial_supply	
478673846		wh3_main_cth_cha_storm_dragon_1
487526293		all_units_excluding_terror
493065064	wh3_dlc25_chs_cha_chaos_sorcerer_nurgle_mnur_chaos_steed	
517851765		wh3_dlc24_cth_cha_yuan_bo_human
531688443		dlc16_all_units_rank5
540027141	wh3_dlc25_nur_cha_infernal_castellan_chieftain	
542150964	wh2_twa02_wef_cha_glade_captain_1	
54235921		
544439750	wh3_dlc25_nur_cha_skin_wolf_werekin_chieftain	
551998833		grn_orcs
585201839		
586365145		dlc16_all_units_rank6
593079973	wh_main_emp_cha_wizard_fire_3	
598728950	wh_main_emp_cha_wizard_fire_2	
621428731		dlc16_all_units_rank9
62268632	wh_main_emp_cha_wizard_heavens_1	
626363238	wh3_dlc25_chs_cha_chaos_lord_mnur_chaos_chariot	
64598482	wh2_dlc13_emp_cav_knights_blazing_sun_0_imperial_supply	
663018036	wh_pro02_vmp_cha_isabella_von_carstein_4	
666222754		dlc16_all_units_rank2
666614712		
677016830		dlc16_all_units_rank1
679039447	wh3_dlc25_chs_cha_exalted_hero_mnur_rot_beast	
682872528	wh3_dlc25_chs_cha_chaos_sorcerer_lord_death_mnur_rot_beast	
690015968	wh_dlc05_wef_cha_female_glade_lord_2_qb	
694581717	wh3_dlc25_emp_cha_wizard_metal_warhorse	
699448330		heroes
713483666		tmb_chariots_rank7
71746326		dlc16_all_units_rank3
720362644	wh3_dlc25_nur_cha_bray_shaman_wild_chieftain_razorgor_chariot	
723429390	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine	
726387174	wh3_dlc25_chs_cha_chaos_sorcerer_death_mnur_chaos_steed	
730013109	wh3_dlc25_chs_cha_chaos_lord_mnur_chaos_steed	
73938061	wh_dlc06_grn_cha_night_goblin_warboss_1	
741472131		dlc16_all_units_rank8
754043154	wh_main_emp_cha_wizard_light_2	
756051901		wh2_main_ror_units_all
758069709	wh3_dlc25_nur_cha_exalted_great_unclean_one_nurgle_qb_boss	
765150640	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed	
767039806	wh3_dlc25_emp_cha_elspeth_von_draken_carmine_dragon	
774108992	wh_dlc05_emp_cha_wizard_shadows_3	
77564461		dlc16_all_units_rank9
784230756		dlc16_all_units_rank5
791918202		nur_daemonic_all
807343692	wh2_dlc13_emp_inf_handgunners_imperial_supply	
808944430		cth_all
817739404	wh_main_dwf_art_flame_cannon_malakai	
827156679	wh3_dlc25_emp_cha_master_engineer_warhorse	
829364618	wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	
830145886	wh2_dlc12_lzd_mon_ancient_stegadon_1_nakai	
83163894		dlc16_all_units_rank3
841738940		dlc16_all_units_rank9
887664929	wh3_dlc25_emp_cha_wizard_metal_pegasus	
889837343	wh2_dlc13_emp_cav_demigryph_knights_1_imperial_supply	
904408452	wh_main_dwf_veh_gyrocopter_1_malakai	
912062204		
928693905		wh2_dlc16_throt_flesh_lab_pool
939204245	wh_pro02_vmp_cha_isabella_von_carstein_2	
939858210		daemonic_units
945580380	wh2_dlc16_skv_mon_brood_horror_0_flesh_lab	
945598724		dlc16_all_units_rank7
956933631	wh3_dlc25_emp_cha_theodore_bruckner_demigryph_reaper	
961409917		dwf_all_units_characters
971852859	wh_dlc05_emp_cha_wizard_shadows_1	
978283453		dlc16_all_units_rank9
99259432		
