variable_key	value
autoresolver_special_ability_buff_kps_modifier_maximum	0.1000
autoresolver_special_ability_buff_kps_modifier_minimum	0.0000
autoresolver_special_ability_cp_to_strength_divider	500.0000
autoresolver_special_ability_damage_damage_maximum	30.0000
autoresolver_special_ability_damage_damage_minimum	1.0000
autoresolver_special_ability_damage_range	100.0000
autoresolver_special_ability_debuff_kps_modifier_maximum	0.1000
autoresolver_special_ability_debuff_kps_modifier_minimum	0.0000
autoresolver_special_ability_maximum_strength_proportion	1.0000
autoresolver_special_ability_minimum_strength_proportion	0.0000
autoresolver_unit_base_retreat_threshold	0.2500
autoresolver_unit_wipe_out_threshold	0.2000
autoresolver_wall_damage_num_artillery_units_percentage	0.0100
autoresolver_winner_additional_building_damage_num_assult_equipment_percentage	0.2000
autoresolver_winner_additional_building_damage_num_units_percentage	0.2000
autoresolver_winner_additional_wall_damage_per_wall_breach	5.0000
autoresolver_winner_kpd_major_win_threshold	3.0000
autoresolver_winner_kpd_minor_win_threshold	0.3000
autoresolver_wipe_out_army_force_unary_lost	0.9200
background_resource_supply	20000.0000
base_recruitment_range_rotation_speed	0.0150
base_wealth_increase	1000.0000
baseline_pop_growth	0.0000
battle_combat_outcome_prediction_non_artillery_missile_accuracy	0.5000
besieged_attrition_force_size_threshold	0.0000
blockaded_attrition_force_size_threshold	33.0000
bonus_start_of_campaign_income_for_humans_on_easy_difficulty	2000.0000
bonus_start_of_campaign_income_for_humans_on_normal_difficulty	1000.0000
books_of_nagash_coop_max	8.0000
books_of_nagash_mortal_arkhan	9.0000
books_of_nagash_mortal_max	8.0000
books_of_nagash_vortex_max	5.0000
bribe_budget	2000.0000
bribed_unit_cost_multiplier	3.0000
brige_battle_detection_path_distance	3.0000
building_base_conversion_cost_reduction_mod	0.2500
building_cultural_conversion_cost_mod	1.0000
building_cultural_conversion_time_mod	1.0000
building_dismantle_recoup_multiplier_when_damaged	0.3000
building_dismantle_recoup_multiplier_when_full_health	0.6000
building_dismantle_recoup_multiplier_when_ruined	0.1000
building_slum_creation_time	1.0000
building_slum_dismantle_cost	500.0000
camera_attila_far_z	500.0000
camera_attila_fov	1.4000
camera_attila_maximum_distance	20.0000
camera_attila_maximum_height	45.0000
camera_attila_maximum_tilt_angle	1.1500
camera_attila_minimum_distance	6.0000
camera_attila_minimum_height	7.0000
camera_attila_minimum_tilt_angle	0.3500
camera_attila_mousewheel_step_val	150.0000
camera_attila_near_z	1.0000
camera_sea_level_height_scale	30.0000
camera_tactical_transition_duration	0.5000
camera_warhammer_far_z	500.0000
camera_warhammer_far_z_max	600.0000
camera_warhammer_fog_decrease_end	70.0000
camera_warhammer_fog_decrease_start	65.0000
camera_warhammer_forward_displacement	7.0000
camera_warhammer_fov	1.2000
camera_warhammer_maximum_height	300.0000
camera_warhammer_maximum_tilt_angle	89.5000
camera_warhammer_min_height_when_showing_geomantic_web	20.0000
camera_warhammer_minimum_height	4.0000
camera_warhammer_minimum_tilt_angle	35.0000
camera_warhammer_minimum_tilt_angle_lowspec	47.0000
camera_warhammer_mousewheel_faster_step_start_height	35.0000
camera_warhammer_mousewheel_faster_step_val	30.0000
camera_warhammer_mousewheel_step_val	3.0000
camera_warhammer_near_z	1.0000
camera_warhammer_parchment_blend_start	50.0000
camera_warhammer_parchment_only_threshold	175.0000
camera_warhammer_tilt_threshold_1	20.0000
camera_warhammer_tilt_threshold_1_factor	0.1000
camera_warhammer_tilt_threshold_2	70.0000
camera_warhammer_tilt_threshold_2_factor	0.6000
camera_warhammer_ui_zoom_out	100.0000
camera_warhammer_zoom_threshold_1	80.0000
camera_warhammer_zoom_threshold_2	60.0000
campaign_hitpoints_unit_besieged_attrition_min_strength_percent	0.0200
campaign_spline_colours_fifth_b	255.0000
campaign_spline_colours_fifth_g	0.0000
campaign_spline_colours_fifth_r	128.0000
campaign_spline_colours_first_b	0.0000
campaign_spline_colours_first_g	180.0000
campaign_spline_colours_first_r	220.0000
campaign_spline_colours_fourth_b	0.0000
campaign_spline_colours_fourth_g	255.0000
campaign_spline_colours_fourth_r	0.0000
campaign_spline_colours_second_b	205.0000
campaign_spline_colours_second_g	250.0000
campaign_spline_colours_second_r	65.0000
campaign_spline_colours_third_b	0.0000
campaign_spline_colours_third_g	0.0000
campaign_spline_colours_third_r	255.0000
campaign_variable_display_interactable_marker_outline_border_alpha	200.0000
campaign_variable_display_interactable_marker_outline_border_blue	255.0000
campaign_variable_display_interactable_marker_outline_border_green	96.0000
campaign_variable_display_interactable_marker_outline_border_red	43.0000
campaign_variable_display_interactable_marker_outline_fill_alpha	150.0000
campaign_variable_display_interactable_marker_outline_fill_blue	239.0000
campaign_variable_display_interactable_marker_outline_fill_green	255.0000
campaign_variable_display_interactable_marker_outline_fill_red	140.0000
campaign_variable_loyalty_entire_army_defects	1.0000
captured_units_prize_money_percent	10.0000
captured_units_slaves_percent	10.0000
caravan_banditry_decay	-1.0000
caravan_banditry_high_ui_threshold	70.0000
caravan_banditry_max	120.0000
caravan_banditry_medium_ui_threshold	40.0000
caravan_banditry_per_cargo	0.0300
caravan_cargo_salvage_rate	2.0000
caravan_maximum_caravans	1.0000
caravan_return_time	5.0000
cdir_unit_quality_accuracy_value	100.0000
cdir_unit_quality_armour_value	100.0000
cdir_unit_quality_charge_value	100.0000
cdir_unit_quality_experience_value	50.0000
cdir_unit_quality_morale_value	100.0000
cdir_unit_quality_weapons_value	100.0000
character_convalescence_time_base	5.0000
character_follow_camera_catchup_long_movement_time_reduction_percentage	50.0000
character_follow_camera_catchup_minimum_height	25.0000
character_follow_camera_catchup_minimum_height_distance	50.0000
character_follow_camera_catchup_move_speed	50.0000
character_follow_camera_catchup_rotate_speed	90.0000
character_follow_camera_catchup_target_height_scale	0.7000
character_follow_camera_follow_angle_cinematic	5.0000
character_follow_camera_follow_angle_high	35.0000
character_follow_camera_follow_angle_low	20.0000
character_follow_camera_follow_angle_medium	35.0000
character_follow_camera_follow_angle_veryhigh	89.0000
character_follow_camera_follow_distance_cinematic	12.0000
character_follow_camera_follow_distance_high	50.0000
character_follow_camera_follow_distance_low	10.0000
character_follow_camera_follow_distance_medium	30.0000
character_follow_camera_follow_distance_veryhigh	90.0000
character_follow_camera_follow_end_delay	30.0000
character_follow_camera_follow_start_delay	20.0000
character_follow_camera_zoomout_speed	1.0000
character_loyalty_chance_to_rebel_on_disband_low_loyalty	10.0000
character_loyalty_chance_to_rebel_on_disband_very_low_loyalty	100.0000
character_rebellion_recruitment_base_unit_value	100.0000
character_recruitment_max_rounds_in_pool	15.0000
character_recruitment_min_rounds_in_pool	10.0000
character_retirement_turns_until_available	5.0000
civil_war_always_trigger_fame_level	7.0000
civil_war_faction_starting_treasury_mod	20.0000
confederation_cost_modifier_number_of_armies_multiplier	50.0000
confederation_cost_modifier_number_of_settlements_multiplier	100.0000
confederation_cost_modifier_relation_multiplier	2.0000
cooking_initial_primary_ingredient_max	2.0000
cooking_initial_secondary_ingredient_max	0.0000
cooking_recipe_duration	15.0000
critical_loyalty_dilemma_generation_chance	50.0000
destruction_zone_recovery_turns	5.0000
difficulty_level_decrease_recommendation_hard_num_factions	5.0000
difficulty_level_decrease_recommendation_hard_num_turns	10.0000
difficulty_level_decrease_recommendation_hard_prestige_value	-50.0000
difficulty_level_decrease_recommendation_normal_num_factions	5.0000
difficulty_level_decrease_recommendation_normal_num_turns	10.0000
difficulty_level_decrease_recommendation_normal_prestige_value	-60.0000
difficulty_level_decrease_recommendation_very_hard_num_factions	5.0000
difficulty_level_decrease_recommendation_very_hard_num_turns	10.0000
difficulty_level_decrease_recommendation_very_hard_prestige_value	-40.0000
difficulty_level_increase_recommendation_easy_num_factions	-1.0000
difficulty_level_increase_recommendation_easy_num_turns	10.0000
difficulty_level_increase_recommendation_easy_prestige_value	70.0000
difficulty_level_increase_recommendation_hard_num_factions	-1.0000
difficulty_level_increase_recommendation_hard_num_turns	10.0000
difficulty_level_increase_recommendation_hard_prestige_value	50.0000
difficulty_level_increase_recommendation_normal_num_factions	-1.0000
difficulty_level_increase_recommendation_normal_num_turns	10.0000
difficulty_level_increase_recommendation_normal_prestige_value	60.0000
diplomacy_ais_can_trade_regions	1.0000
diplomacy_can_offer_break_client_state	1.0000
diplomacy_can_offer_break_defensive_alliance	1.0000
diplomacy_can_offer_break_military_alliance	1.0000
diplomacy_can_offer_break_non_aggression_pact	1.0000
diplomacy_can_offer_break_soft_military_access	1.0000
diplomacy_can_offer_break_trade	1.0000
diplomacy_can_offer_break_vassal	1.0000
diplomacy_client_states_must_be_invited_into_defensive_wars	0.0000
diplomacy_defensive_allies_must_be_invited_into_defensive_wars	0.0000
diplomacy_manipulation_attitude_value_multiplier	100.0000
diplomacy_manipulation_transfer_settlement_self_transfer_percentage_cost_increase	25.0000
diplomacy_manipulation_transfer_settlement_value_multiplier	0.0010
diplomacy_manipulation_war_coordination_target_value_multiplier	0.0010
diplomacy_masters_must_be_invited_into_defensive_wars	1.0000
diplomacy_masters_must_be_invited_into_offensive_wars	1.0000
diplomacy_maximum_client_or_vassal_regular_tribute_value	999999.0000
diplomacy_military_allies_must_be_invited_into_defensive_wars	0.0000
diplomacy_military_allies_must_be_invited_into_offensive_wars	0.0000
diplomacy_protectors_must_be_invited_into_defensive_wars	0.0000
diplomacy_refusing_to_join_client_state_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_client_state_in_defensive_war_declares_war	0.0000
diplomacy_refusing_to_join_defensive_ally_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_master_in_defensive_war_breaks_treaty	0.0000
diplomacy_refusing_to_join_master_in_defensive_war_declares_war	0.0000
diplomacy_refusing_to_join_master_in_offensive_war_breaks_treaty	0.0000
diplomacy_refusing_to_join_master_in_offensive_war_declares_war	0.0000
diplomacy_refusing_to_join_military_ally_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_military_ally_in_offensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_protector_in_defensive_war_breaks_treaty	1.0000
diplomacy_refusing_to_join_protector_in_defensive_war_declares_war	0.0000
diplomacy_refusing_to_join_vassal_in_defensive_war_breaks_treaty	0.0000
diplomacy_refusing_to_join_vassal_in_defensive_war_declares_war	0.0000
diplomacy_refusing_to_join_vassal_in_offensive_war_breaks_treaty	0.0000
diplomacy_refusing_to_join_vassal_in_offensive_war_declares_war	0.0000
diplomacy_regionless_factions_retain_clients_and_vassals	0.0000
diplomacy_show_trespass_message_each_turn	0.0000
diplomacy_smallest_payment	1.0000
diplomacy_turns_of_embargo_on_break_trade	0.0000
diplomacy_vassals_must_be_invited_into_defensive_wars	1.0000
diplomacy_vassals_must_be_invited_into_offensive_wars	1.0000
disciple_army_budget_corruption_percentage_multiplier	1.0000
display_area_of_interest_spline_width	1.0000
display_building_scale	0.9000
display_camera_pre_battle_zoom	1.1200
display_movement_extents_border_length	0.5000
display_movement_extents_fade_time	0.3000
display_movement_extents_interior_alpha	0.0200
display_movement_extents_origin_alpha	0.2000
display_movement_extents_origin_fringe_width	1.0000
display_movement_extents_perimeter_alpha	0.3000
display_movement_extents_perimeter_fringe_width	0.5000
display_settlement_area_land_border_colour_alpha	0.0000
display_settlement_area_land_border_colour_blue	197.0000
display_settlement_area_land_border_colour_green	240.0000
display_settlement_area_land_border_colour_red	255.0000
display_settlement_area_land_border_length	0.5000
display_settlement_area_land_fade_time	0.3000
display_settlement_area_land_fill_colour_blue	47.0000
display_settlement_area_land_fill_colour_green	195.0000
display_settlement_area_land_fill_colour_red	245.0000
display_settlement_area_land_interior_alpha	0.0000
display_settlement_area_land_origin_alpha	0.0000
display_settlement_area_land_origin_fringe_width	1.0000
display_settlement_area_land_perimeter_alpha	0.0000
display_settlement_area_land_perimeter_fringe_width	1.0000
display_settlement_area_sea_border_colour_alpha	0.0000
display_settlement_area_sea_border_colour_blue	47.0000
display_settlement_area_sea_border_colour_green	195.0000
display_settlement_area_sea_border_colour_red	245.0000
display_settlement_area_sea_border_length	0.5000
display_settlement_area_sea_fade_time	0.3000
display_settlement_area_sea_fill_colour_blue	255.0000
display_settlement_area_sea_fill_colour_green	245.0000
display_settlement_area_sea_fill_colour_red	245.0000
display_settlement_area_sea_interior_alpha	0.0000
display_settlement_area_sea_origin_alpha	0.0000
display_settlement_area_sea_origin_fringe_width	0.0000
display_settlement_area_sea_perimeter_alpha	0.0000
display_settlement_area_sea_perimeter_fringe_width	1.0000
display_trade_naval_route_colour_enemy_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_enemy_and_neutral_blockaded_green	0.0000
display_trade_naval_route_colour_enemy_and_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_enemy_and_neutral_blue	0.0000
display_trade_naval_route_colour_enemy_and_neutral_green	0.0000
display_trade_naval_route_colour_enemy_and_neutral_red	255.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_green	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_red	127.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_green	0.0000
display_trade_naval_route_colour_enemy_blockaded_and_neutral_red	127.0000
display_trade_naval_route_colour_enemy_blockaded_blue	0.0000
display_trade_naval_route_colour_enemy_blockaded_green	0.0000
display_trade_naval_route_colour_enemy_blockaded_red	127.0000
display_trade_naval_route_colour_enemy_blue	0.0000
display_trade_naval_route_colour_enemy_green	0.0000
display_trade_naval_route_colour_enemy_red	255.0000
display_trade_naval_route_colour_neutral_blockaded_blue	255.0000
display_trade_naval_route_colour_neutral_blockaded_green	255.0000
display_trade_naval_route_colour_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_neutral_blue	255.0000
display_trade_naval_route_colour_neutral_green	255.0000
display_trade_naval_route_colour_neutral_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_and_neutral_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_blockaded_red	255.0000
display_trade_naval_route_colour_owned_and_enemy_blue	0.0000
display_trade_naval_route_colour_owned_and_enemy_green	150.0000
display_trade_naval_route_colour_owned_and_enemy_red	255.0000
display_trade_naval_route_colour_owned_and_neutral_blockaded_blue	20.0000
display_trade_naval_route_colour_owned_and_neutral_blockaded_green	200.0000
display_trade_naval_route_colour_owned_and_neutral_blockaded_red	240.0000
display_trade_naval_route_colour_owned_and_neutral_blue	20.0000
display_trade_naval_route_colour_owned_and_neutral_green	200.0000
display_trade_naval_route_colour_owned_and_neutral_red	240.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_enemy_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_green	140.0000
display_trade_naval_route_colour_owned_blockaded_and_neutral_red	170.0000
display_trade_naval_route_colour_owned_blockaded_blue	0.0000
display_trade_naval_route_colour_owned_blockaded_green	140.0000
display_trade_naval_route_colour_owned_blockaded_red	170.0000
display_trade_naval_route_colour_owned_blue	20.0000
display_trade_naval_route_colour_owned_green	200.0000
display_trade_naval_route_colour_owned_red	240.0000
display_trade_route_fade_distance	0.8000
display_trade_route_fade_time	3000.0000
display_trade_route_maximum_flow_scale	0.6500
display_trade_route_maximum_flow_time	95000.0000
display_trade_route_maximum_flow_value	10000.0000
display_trade_route_minimum_flow_scale	0.6500
display_trade_route_minimum_flow_time	195000.0000
display_trade_route_minimum_flow_value	0.0000
display_trade_route_sea_cost	0.5000
display_trade_route_trader_offset	0.0850
display_trade_route_trader_speed	0.1000
display_tunnel_interception_path_blue	192.0000
display_tunnel_interception_path_end_fade_length	0.5000
display_tunnel_interception_path_fade_time	1.0000
display_tunnel_interception_path_green	192.0000
display_tunnel_interception_path_red	192.0000
display_tunnel_interception_path_tiling_scale	0.0000
display_tunnel_interception_path_width	0.2500
display_vortex_enabled	0.0000
display_vortex_fade_distance	30.0000
display_vortex_fade_in_time	0.5000
display_vortex_fade_out_time	0.5000
display_vortex_position_x	348.5000
display_vortex_position_y	1.0000
display_vortex_position_z	387.2000
display_zone_of_control_ambush_border_colour_alpha	255.0000
display_zone_of_control_ambush_border_colour_blue	0.0000
display_zone_of_control_ambush_border_colour_green	0.0000
display_zone_of_control_ambush_border_colour_red	5.0000
display_zone_of_control_ambush_fill_colour_blue	12.0000
display_zone_of_control_ambush_fill_colour_green	12.0000
display_zone_of_control_ambush_fill_colour_red	110.0000
display_zone_of_control_border_length	0.5000
display_zone_of_control_fade_time	0.3000
display_zone_of_control_interior_alpha	0.1500
display_zone_of_control_origin_alpha	0.3000
display_zone_of_control_origin_fringe_width	0.0000
display_zone_of_control_owned_border_colour_alpha	255.0000
display_zone_of_control_owned_border_colour_blue	0.0000
display_zone_of_control_owned_border_colour_green	0.0000
display_zone_of_control_owned_border_colour_red	5.0000
display_zone_of_control_owned_fill_colour_blue	12.0000
display_zone_of_control_owned_fill_colour_green	12.0000
display_zone_of_control_owned_fill_colour_red	110.0000
display_zone_of_control_perimeter_alpha	0.3000
display_zone_of_control_perimeter_fringe_width	1.0000
display_zone_of_control_unowned_border_colour_alpha	255.0000
display_zone_of_control_unowned_border_colour_blue	0.0000
display_zone_of_control_unowned_border_colour_green	0.0000
display_zone_of_control_unowned_border_colour_red	5.0000
display_zone_of_control_unowned_fill_colour_blue	12.0000
display_zone_of_control_unowned_fill_colour_green	12.0000
display_zone_of_control_unowned_fill_colour_red	110.0000
dof_bokeh_hotspot_kernel_size	5.0000
dof_bokeh_intensity	2.0000
dof_bokeh_sprite_radius	10.0000
dof_bokeh_threshold	200.0000
dof_far_falloff	60.0000
dof_focal_ring_cross_count	16.0000
dof_focal_ring_cross_size	5.0000
dof_focal_ring_dilation	1.4000
dof_focal_ring_radius	0.0800
dof_focal_target_height	0.4500
dof_kernel_radius_background	15.0000
dof_kernel_radius_foreground	15.0000
dof_kernel_radius_foreground_coc	20.0000
dof_moving_average_weight	0.8000
dof_near_falloff	20.0000
economic_power_gdp_factor	8000.0000
economic_power_max	4.0000
economic_power_min	0.2000
economic_power_treasury_factor	10000.0000
economic_wealth_category_threshold_moderate	2.0000
economic_wealth_category_threshold_strong	3.0000
economic_wealth_category_threshold_very_strong	4.0000
economic_wealth_category_threshold_weak	1.0000
economic_wealth_max_amount_moderate	5000.0000
economic_wealth_max_amount_strong	7500.0000
economic_wealth_max_amount_very_strong	10000.0000
economic_wealth_max_amount_very_weak	2000.0000
economic_wealth_max_amount_weak	3000.0000
economics_additional_tribute_percentage_per_settled_horde_unit	0.0000
economics_max_additional_tribute_percentage_for_settled_hordes	10.0000
enable_scripted_pathfinding_restrictions	0.0000
end_turn_notifications_low_public_order_amount	15.0000
enemy_win_chance_threshold_over_which_minimum_unit_xp_gains_apply	35.0000
enslave_captives_hitpoints_replenished_per_man_captured	30.0000
enslave_captives_maximum_replenishment_difference_scale	2.0000
enslave_captives_maximum_replenishment_percentage_ai_vs_easy	8.0000
enslave_captives_maximum_replenishment_percentage_ai_vs_hard	12.0000
enslave_captives_maximum_replenishment_percentage_ai_vs_legendary	20.0000
enslave_captives_maximum_replenishment_percentage_ai_vs_normal	10.0000
enslave_captives_maximum_replenishment_percentage_ai_vs_very_hard	15.0000
enslave_captives_maximum_replenishment_percentage_human_easy	20.0000
enslave_captives_maximum_replenishment_percentage_human_hard	12.0000
enslave_captives_maximum_replenishment_percentage_human_legendary	8.0000
enslave_captives_maximum_replenishment_percentage_human_normal	15.0000
enslave_captives_maximum_replenishment_percentage_human_very_hard	10.0000
enslave_captives_minimum_replenishment_percentage_ai_vs_easy	2.0000
enslave_captives_minimum_replenishment_percentage_ai_vs_hard	3.0000
enslave_captives_minimum_replenishment_percentage_ai_vs_legendary	5.0000
enslave_captives_minimum_replenishment_percentage_ai_vs_normal	2.0000
enslave_captives_minimum_replenishment_percentage_ai_vs_very_hard	4.0000
enslave_captives_minimum_replenishment_percentage_human_easy	5.0000
enslave_captives_minimum_replenishment_percentage_human_hard	4.0000
enslave_captives_minimum_replenishment_percentage_human_legendary	2.0000
enslave_captives_minimum_replenishment_percentage_human_normal	5.0000
enslave_captives_minimum_replenishment_percentage_human_very_hard	3.0000
enslave_captives_replenishment_percentage_ai_vs_easy	50.0000
enslave_captives_replenishment_percentage_ai_vs_hard	70.0000
enslave_captives_replenishment_percentage_ai_vs_legendary	100.0000
enslave_captives_replenishment_percentage_ai_vs_normal	50.0000
