item	set
wh3_nur_plague_component_6	ai_set_pox_1
wh3_nur_plague_component_16	ai_set_pox_2
wh3_nur_plague_component_9	ai_set_pox_2
wh3_nur_plague_component_1	ai_set_pox_3
wh3_nur_plague_component_17	ai_set_pox_3
wh3_nur_plague_component_16	ai_set_pox_4
wh3_nur_plague_component_19	ai_set_pox_4
wh3_nur_plague_component_18	ai_set_pox_5
wh3_nur_plague_component_19	ai_set_pox_5
wh3_nur_plague_component_16	ai_set_rot_1
wh3_nur_plague_component_19	ai_set_rot_1
wh3_nur_plague_component_1	ai_set_rot_2
wh3_nur_plague_component_18	ai_set_rot_2
wh3_nur_plague_component_14	ai_set_rot_3
wh3_nur_plague_component_20	ai_set_rot_3
wh3_nur_plague_component_15	ai_set_rot_4
wh3_nur_plague_component_5	ai_set_rot_4
wh3_nur_plague_component_11	ai_set_rot_5
wh3_nur_plague_component_8	ai_set_rot_5
wh3_nur_plague_component_2	ai_set_shakes_1
wh3_nur_plague_component_5	ai_set_shakes_1
wh3_nur_plague_component_10	ai_set_shakes_2
wh3_nur_plague_component_4	ai_set_shakes_2
wh3_nur_plague_component_16	ai_set_shakes_3
wh3_nur_plague_component_8	ai_set_shakes_3
wh3_nur_plague_component_17	ai_set_shakes_4
wh3_nur_plague_component_19	ai_set_shakes_4
wh3_nur_plague_component_20	ai_set_shakes_5
wh3_nur_plague_component_9	ai_set_shakes_5
wh3_nur_plague_component_13	special_1
wh3_nur_plague_component_2	special_1
wh3_nur_plague_component_12	special_2
wh3_nur_plague_component_4	special_2
wh3_nur_plague_component_11	special_3
wh3_nur_plague_component_5	special_3
wh3_nur_plague_component_1	special_4
wh3_nur_plague_component_15	special_4
wh3_nur_plague_component_14	special_5
wh3_nur_plague_component_3	special_5
