armory_item	armory_item_set
wh3_main_dae_cha_daemon_prince_fe_weapon_bloodthirster_great_axe_01	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_cha_daemon_prince_fe_wings_beast_05	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	wh3_main_dae_daemon_prince_khorne_set_1
wh3_main_dae_cha_daemon_prince_arm_r_armoured_6	wh3_main_dae_daemon_prince_khorne_set_1
wh3_main_dae_cha_daemon_prince_head_beast_6	wh3_main_dae_daemon_prince_khorne_set_1
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_2	wh3_main_dae_daemon_prince_khorne_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_1	wh3_main_dae_daemon_prince_khorne_set_1
wh3_main_dae_cha_daemon_prince_wings_beast_5	wh3_main_dae_daemon_prince_khorne_set_1
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh3_main_dae_daemon_prince_khorne_set_2
wh3_main_dae_cha_daemon_prince_arm_r_armoured_1	wh3_main_dae_daemon_prince_khorne_set_2
wh3_main_dae_cha_daemon_prince_head_beast_4	wh3_main_dae_daemon_prince_khorne_set_2
wh3_main_dae_cha_daemon_prince_legs_beast_3	wh3_main_dae_daemon_prince_khorne_set_2
wh3_main_dae_cha_daemon_prince_tail_living_6	wh3_main_dae_daemon_prince_khorne_set_2
wh3_main_dae_cha_daemon_prince_wings_beast_3	wh3_main_dae_daemon_prince_khorne_set_2
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	wh3_main_dae_daemon_prince_khorne_set_3
wh3_main_dae_cha_daemon_prince_arm_r_armoured_4	wh3_main_dae_daemon_prince_khorne_set_3
wh3_main_dae_cha_daemon_prince_legs_beast_8	wh3_main_dae_daemon_prince_khorne_set_3
wh3_main_dae_cha_daemon_prince_head_beast_3	wh3_main_dae_daemon_prince_khorne_set_4
wh3_main_dae_cha_daemon_prince_tail_living_5	wh3_main_dae_daemon_prince_khorne_set_4
wh3_main_dae_cha_daemon_prince_wings_beast_6	wh3_main_dae_daemon_prince_khorne_set_4
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_1	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_2	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodletter_sword_3	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_1	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_2	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_axe_3	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_1	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_2	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_3	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_1	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_2	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_3	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_1	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_2	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_3	wh3_main_dae_daemon_prince_khorne_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_4	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_5	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_soulgrinder_sword_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_sword_1	wh3_main_dae_daemon_prince_khorne_weapon_set_2
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_arm_r_armoured_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_head_beast_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_legs_beast_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_tail_living_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_torso_brasscollar_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_weapon_bloodthirster_great_axe_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_wings_beast_1	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_cha_daemon_prince_fe_arm_l_corpulent_03	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_fe_arm_r_corpulent_03	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_fe_head_corpulent_06	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_fe_legs_corpulent_03	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_fe_tail_corpulent_05	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_fe_torso_corpulent_06	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_fe_weapon_exalted_great_unclean_one_sword_01	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_fe_wings_corpulent_04	wh3_main_dae_daemon_prince_nurgle_fe
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_4	wh3_main_dae_daemon_prince_nurgle_set_1
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_4	wh3_main_dae_daemon_prince_nurgle_set_1
wh3_main_dae_cha_daemon_prince_head_corpulent_5	wh3_main_dae_daemon_prince_nurgle_set_1
wh3_main_dae_cha_daemon_prince_legs_corpulent_3	wh3_main_dae_daemon_prince_nurgle_set_1
wh3_main_dae_cha_daemon_prince_tail_corpulent_5	wh3_main_dae_daemon_prince_nurgle_set_1
wh3_main_dae_cha_daemon_prince_wings_corpulent_5	wh3_main_dae_daemon_prince_nurgle_set_1
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_3	wh3_main_dae_daemon_prince_nurgle_set_2
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_3	wh3_main_dae_daemon_prince_nurgle_set_2
wh3_main_dae_cha_daemon_prince_head_corpulent_6	wh3_main_dae_daemon_prince_nurgle_set_2
wh3_main_dae_cha_daemon_prince_tail_corpulent_4	wh3_main_dae_daemon_prince_nurgle_set_2
wh3_main_dae_cha_daemon_prince_torso_corpulent_6	wh3_main_dae_daemon_prince_nurgle_set_2
wh3_main_dae_cha_daemon_prince_wings_corpulent_4	wh3_main_dae_daemon_prince_nurgle_set_2
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_5	wh3_main_dae_daemon_prince_nurgle_set_3
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_5	wh3_main_dae_daemon_prince_nurgle_set_3
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	wh3_main_dae_daemon_prince_nurgle_set_3
wh3_main_dae_cha_daemon_prince_head_base_11	wh3_main_dae_daemon_prince_nurgle_set_4
wh3_main_dae_cha_daemon_prince_legs_corpulent_7	wh3_main_dae_daemon_prince_nurgle_set_4
wh3_main_dae_cha_daemon_prince_torso_magical_medium_4	wh3_main_dae_daemon_prince_nurgle_set_4
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_exalted_great_unclean_one_bell_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_4	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_5	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_soulgrinder_sword_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_weapon_sword_1	wh3_main_dae_daemon_prince_nurgle_weapon_set_2
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_head_corpulent_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_legs_corpulent_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_tail_corpulent_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_torso_corpulent_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_weapon_exalted_great_unclean_one_bell_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_wings_corpulent_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_cha_daemon_prince_arm_l_base_1	wh3_main_dae_daemon_prince_set_generic_body_1
wh3_main_dae_cha_daemon_prince_arm_r_base_1	wh3_main_dae_daemon_prince_set_generic_body_1
wh3_main_dae_cha_daemon_prince_head_base_1	wh3_main_dae_daemon_prince_set_generic_body_1
wh3_main_dae_cha_daemon_prince_legs_base_1	wh3_main_dae_daemon_prince_set_generic_body_1
wh3_main_dae_cha_daemon_prince_tail_base_1	wh3_main_dae_daemon_prince_set_generic_body_1
wh3_main_dae_cha_daemon_prince_torso_base_1	wh3_main_dae_daemon_prince_set_generic_body_1
wh3_main_dae_cha_daemon_prince_wings_base_2	wh3_main_dae_daemon_prince_set_generic_body_1
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh3_main_dae_daemon_prince_set_generic_body_2
wh3_main_dae_cha_daemon_prince_arm_r_base_2	wh3_main_dae_daemon_prince_set_generic_body_2
wh3_main_dae_cha_daemon_prince_head_base_2	wh3_main_dae_daemon_prince_set_generic_body_2
wh3_main_dae_cha_daemon_prince_legs_base_2	wh3_main_dae_daemon_prince_set_generic_body_2
wh3_main_dae_cha_daemon_prince_tail_base_2	wh3_main_dae_daemon_prince_set_generic_body_2
wh3_main_dae_cha_daemon_prince_torso_base_2	wh3_main_dae_daemon_prince_set_generic_body_2
wh3_main_dae_cha_daemon_prince_wings_base_1	wh3_main_dae_daemon_prince_set_generic_body_2
wh3_main_dae_cha_daemon_prince_arm_l_base_3	wh3_main_dae_daemon_prince_set_generic_body_3
wh3_main_dae_cha_daemon_prince_arm_r_base_3	wh3_main_dae_daemon_prince_set_generic_body_3
wh3_main_dae_cha_daemon_prince_head_base_3	wh3_main_dae_daemon_prince_set_generic_body_3
wh3_main_dae_cha_daemon_prince_legs_base_3	wh3_main_dae_daemon_prince_set_generic_body_3
wh3_main_dae_cha_daemon_prince_tail_base_3	wh3_main_dae_daemon_prince_set_generic_body_3
wh3_main_dae_cha_daemon_prince_torso_base_3	wh3_main_dae_daemon_prince_set_generic_body_3
wh3_main_dae_cha_daemon_prince_wings_base_3	wh3_main_dae_daemon_prince_set_generic_body_3
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh3_main_dae_daemon_prince_set_generic_body_4
wh3_main_dae_cha_daemon_prince_arm_r_base_4	wh3_main_dae_daemon_prince_set_generic_body_4
wh3_main_dae_cha_daemon_prince_head_base_4	wh3_main_dae_daemon_prince_set_generic_body_4
wh3_main_dae_cha_daemon_prince_legs_base_4	wh3_main_dae_daemon_prince_set_generic_body_4
wh3_main_dae_cha_daemon_prince_tail_base_4	wh3_main_dae_daemon_prince_set_generic_body_4
wh3_main_dae_cha_daemon_prince_torso_base_4	wh3_main_dae_daemon_prince_set_generic_body_4
wh3_main_dae_cha_daemon_prince_wings_base_4	wh3_main_dae_daemon_prince_set_generic_body_4
wh3_main_dae_cha_daemon_prince_arm_l_base_5	wh3_main_dae_daemon_prince_set_generic_body_5
wh3_main_dae_cha_daemon_prince_arm_r_base_5	wh3_main_dae_daemon_prince_set_generic_body_5
wh3_main_dae_cha_daemon_prince_head_base_5	wh3_main_dae_daemon_prince_set_generic_body_5
wh3_main_dae_cha_daemon_prince_legs_base_5	wh3_main_dae_daemon_prince_set_generic_body_5
wh3_main_dae_cha_daemon_prince_tail_base_5	wh3_main_dae_daemon_prince_set_generic_body_5
