anim_set	group
cam_lord_hq3_mammoth	mammoth
cam_lord_hq4_wh3_juggernaut	default_mounted
cam_lord_hu10_wh3_bloodthirster_axe_and_whip	giant
cam_lord_hu10_wh3_skarbrand_dual_axe	giant
cam_lord_hu10c_wh3_exalted_lord_of_change_staff	giant
cam_lord_hu10e_wh3_daemon_prince_2handed	giant
cam_lord_hu10e_wh3_daemon_prince_2handed_sword	giant
cam_lord_hu10e_wh3_daemon_prince_sword	giant
cam_lord_hu10f_wh3_fate_weaver_staff	giant
cam_lord_hu13_wh3_ogre_handblade_and_ironfist	big_characters
cam_lord_hu13d_wh3_skrag_dual_handblades	large
cam_lord_hu14_wh3_pink_horror_staff_and_book	default
cam_lord_hu14_wh3_pink_horror_wm_disc01_staff_and_book	default
cam_lord_hu16b_wh3_nkari	giant
cam_lord_hu17_craventail_spear_and_fork	default
cam_lord_hu17_dlc12_warlock_gauntlets	default
cam_lord_hu17_dlc12_wm_doomflayer01_ikit_halberd_and_claw_gun	default_mounted
cam_lord_hu17_dlc12_wm_doomflayer01_warlock_gauntlets	default_mounted
cam_lord_hu17_dlc12_wm_doomwheel01_ikit_halberd_and_claw_gun	chariots
cam_lord_hu17_plague_furnace_staff	corpse_cart
cam_lord_hu17_screaming_bell_staff	corpse_cart
cam_lord_hu17_skaven_warlord_hu18_rat_ogre_drill	large
cam_lord_hu18_rat_ogre_claws	large
cam_lord_hu1_arkhan_chariot_staff_and_sword	chariots
cam_lord_hu1_arkhan_staff_and_sword	default
cam_lord_hu1_cst_admiral_cr1_promethean_wb_halberd	dragon
cam_lord_hu1_cst_admiral_halberd	default
cam_lord_hu1_cst_luthor_bi2_terrorgheist_wb_cutlass_and_pistol	enormous
cam_lord_hu1_cst_luthor_cutlass_and_pistol	default
cam_lord_hu1_cst_noctilus_2handed_axe	default
cam_lord_hu1_cst_noctilus_gi2_colossus_wb_2handed_axe	enormous
cam_lord_hu1_liche_priest_hr1_tomb_steed_staff_and_sword	default_mounted
cam_lord_hu1_liche_priest_staff_and_sword	default
cam_lord_hu1_settra_2handed_halberd	default
cam_lord_hu1_tomb_halberd_and_shield	default
cam_lord_hu1_tomb_hr1_tomb_steed_halberd	default_mounted
cam_lord_hu1_tomb_hr1_tomb_steed_halberd_and_shield	default_mounted
cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	default_mounted
cam_lord_hu1_wh3_katarin_staff_and_sword	default
cam_lord_hu1_wh3_kislev_mace_and_standard	default
cam_lord_hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	dragon
cam_lord_hu1b_cst_admiral_cutlass_and_pistol	default
cam_lord_hu1b_cst_aranessa_cr1_promethean_wb_halberd	dragon
cam_lord_hu1b_cst_aranessa_halberd	default
cam_lord_hu1b_def_staff_and_sword	default
cam_lord_hu1b_elf_bc3_manticore_wb_dual_sword	enormous
cam_lord_hu1b_elf_bi1_alarielle_wb_staff_and_sword	large
cam_lord_hu1b_elf_bi1_eagle_wb_sword_and_shield	large
cam_lord_hu1b_elf_dr1_dragon_wb_staff_and_sword	dragon
cam_lord_hu1b_elf_dr1_dragon_wb_sword_and_bow	dragon
cam_lord_hu1b_elf_dr1_dragon_wb_sword_and_shield	dragon
cam_lord_hu1b_elf_dual_sword	default
cam_lord_hu1b_elf_dual_sword_wm_blood_cauldron01	corpse_cart
cam_lord_hu1b_elf_hr1_pegasus_sword_and_shield	default_mounted
cam_lord_hu1b_elf_hr1_warhorse_staff_and_sword	default_mounted
cam_lord_hu1b_elf_hr1_warhorse_sword_and_shield	default_mounted
cam_lord_hu1b_elf_hr1_warhorse_sword_bow	default_mounted
cam_lord_hu1b_elf_rp3_cold_one_staff_and_sword	default_mounted
cam_lord_hu1b_elf_rp3_cold_one_sword_and_shield	default_mounted
cam_lord_hu1b_elf_staff_and_sword	default
cam_lord_hu1b_elf_sword_and_bow	default
cam_lord_hu1b_elf_sword_and_shield	default
cam_lord_hu1b_khalida_sn1_serpent_staff_and_sword	large
cam_lord_hu1b_khalida_staff_and_sword	default
cam_lord_hu1c_chaos_wm_chaos_chariot_axe_and_shield	chariots
cam_lord_hu1c_wh3_boris_glaive	default
cam_lord_hu1c_wh3_kislev_dual_axe	default
cam_lord_hu1c_wh3_kislev_sword_and_axe_yuri	default
cam_lord_hu1d_def_sword_and_shield	default
cam_lord_hu1d_dlc14_rp3_cold_one_malus_sword	default_mounted
cam_lord_hu1d_dlc14_wm_scourge_chariot01_beastmaster_spear_whip	chariots
cam_lord_hu1d_dlc15_eltharion_bc2_griffon_wb_spear_sword	large
cam_lord_hu1d_dlc15_eltharion_hr1_warhorse_spear_sword	default_mounted
cam_lord_hu1d_elf_bi1_eagle_wb_sword_and_shield	large
cam_lord_hu1d_elf_dr1_dragon_wb_crossbow	dragon
cam_lord_hu1d_elf_dr1_dragon_wb_sword_and_shield	dragon
cam_lord_hu1d_elf_hr1_pegasus_sword_and_crossbow	default_mounted
cam_lord_hu1d_elf_hr1_warhorse_dual_sword	default_mounted
cam_lord_hu1d_elf_hr1_warhorse_lance_sword_shield	default_mounted
cam_lord_hu1d_elf_hr1_warhorse_spear_shield	default_mounted
cam_lord_hu1d_elf_hr1_warhorse_sword	default_mounted
cam_lord_hu1d_elf_hr1_warhorse_sword_crossbow	default_mounted
cam_lord_hu1d_elf_rp3_cold_one_lance_sword_shield	default_mounted
cam_lord_hu1d_elf_rp3_cold_one_sword_shield	default_mounted
cam_lord_hu1d_elf_sword_crossbow	default
cam_lord_hu1d_elf_wm_cold_one_chariot01_sword_shield	chariots
cam_lord_hu1d_elf_wm_rp3_cold_one_sword_crossbow	default_mounted
cam_lord_hu4c_throgg_2handed_hammer	large
cam_lord_hu4d_wh3_herald_of_nurgle_sword	default
cam_lord_hu6f_wh3_herald_2handed_sword	default
cam_lord_hu7_dlc12_skink_chief_2h_greatweapon	default
cam_lord_hu7_dlc12_skink_tiktaqto_sword	default
cam_lord_hu7b_saurus_club_and_shield	default
cam_lord_hu7b_saurus_rp3_cold_one_club_and_shield	default_mounted
cam_lord_hu7b_saurus_rp3b_carnosaur_wb_club_and_shield	large
cam_lord_hu7b_saurus_spear	default
cam_lord_hu7c_dlc13_kroxigor_ancient_2handed_axe	large
cam_lord_hu7c_dlc13_kroxigor_nakai_club	large
cam_lord_hu9_slann_mace	giant
cam_lord_hu9_slann_wm_platform01_mace	giant
cam_lord_hu9b_wh3_plaguefather_nurglings	giant
cam_lord_in1_wh3_rot_fly	giant
cam_lord_rp1_wh3_steed_of_slaanesh	default_mounted
cam_lord_rp3_cold_one	default_mounted
cam_lord_rp3b_carnosaur	monster_hunts
cam_lord_sn1_serpent	large
cam_lord_th2_wh3_goldtooth_mace	large
cam_lord_wm_blood_cauldron01	corpse_cart
cam_lord_wm_cold_one_chariot01	chariots
cam_lord_wm_doomflayer01	default_mounted
cam_lord_wm_doomwheel01	chariots
cam_lord_wm_screaming_bell01	corpse_cart
cam_lord_wm_screamingbell01_plague_furnace	corpse_cart
cam_lord_wm_wh3_burning_chariot01	chariots
cam_medium_ship_01	default
cam_medium_ship_02	default
cam_medium_ship_03	default
cam_medium_ship_04	default
cam_medium_ship_05	default
cam_medium_ship_06	default
cam_pl1_wh3_nurgle_palanquin01	giant
cam_pl2_wh3_nurgle_kugathpalanquin01	giant
cam_rp2_great_cave_squig	default
cam_rt1_dlc16_brood_horror	enormous
cam_sk1_skarsnik_and_gobbla	default
cam_sla_cha_herald_of_slaanesh_slaanesh_0	default
cam_sp1_giant_spider	default_mounted
cam_st1_dlc16_great_stag	large
cam_th1_throne_of_power	chariots
cam_transport_ship_01	default
cam_transport_ship_02	default
cam_transport_ship_03	default
cam_transport_ship_04	default
cam_transport_ship_06	default
cam_warcompass01	chariots
cam_wf1_giant_wolf	default_mounted
cam_wh3_main_sla_cha_exalted_keeper_of_secrets_slaanesh_0	giant
cam_wm_casket_souls01	default_mounted
cam_wm_corpse_cart	corpse_cart
cam_wm_corpsecart01_balefire	corpse_cart
cam_wm_corpsecart01_helman	corpse_cart
cam_wm_corpsecart01_lodestone	corpse_cart
cam_wm_dlc14_scourge_chariot01	chariots
cam_wm_dlc15_grom_chariot01	chariots
cam_wm_dlc24_ostankya_sled_01	chariots
cam_wm_marauder_chariot	chariots
cam_wm_platform01	giant
cam_wm_razorgor_chariot	chariots
cam_wm_tomb_chariot_01	chariots
cam_wm_tomb_chariot_arkhan_01	chariots
cam_wm_war_altar	corpse_cart
cam_wm_wh3_blood_throne01_herald	chariots
cam_wm_wh3_seekerchariot01	corpse_cart
cam_wm_wh3_skylantern	giant
cam_wsh1_dlc20_warshrine	giant
default	default
hu17_dlc12_wm_doomwheel01_warlock_gauntlets	chariots
settlement	settlements
