from	network	to	regions
wh3_main_combi_region_karak_azul	ivory_road_combi	wh3_main_combi_region_myrmidens	wh3_main_combi_ivory_road_karak_azul-myrmidens
wh3_main_combi_region_kislev	ivory_road_combi	wh3_main_combi_region_erengrad	wh3_main_combi_ivory_road_kislev-erengrad
wh3_main_combi_region_novchozy	ivory_road_combi	wh3_main_combi_region_kislev	wh3_main_combi_ivory_road_novzhozy-kislev
wh3_main_combi_region_pigbarter	ivory_road_combi	wh3_main_combi_region_karak_azul	wh3_main_combi_ivory_road_pigbarter-karak_azul
wh3_main_combi_region_qiang	ivory_road_combi	wh3_main_combi_region_pigbarter	wh3_main_combi_ivory_road_qiang-pigbarter
wh3_main_combi_region_shang_yang	ivory_road_combi	wh3_main_combi_region_bloodpeak	wh3_main_combi_ivory_road_shang_yang-bloodpeak
wh3_main_combi_region_shang_yang	ivory_road_combi	wh3_main_combi_region_great_hall_of_greasus	wh3_main_combi_ivory_road_shang_yang-great_hall_of_greasus
wh3_main_combi_region_shang_yang	ivory_road_combi	wh3_main_combi_region_qiang	wh3_main_combi_ivory_road_shang_yang-qiang
wh3_main_combi_region_silver_pinnacle	ivory_road_combi	wh3_main_combi_region_fort_jakova	wh3_main_combi_ivory_road_silver_pinnacle-fort_jakova
wh3_main_combi_region_tower_of_gorgoth	ivory_road_combi	wh3_main_combi_region_gnashraks_lair	wh3_main_combi_ivory_road_tower_of_gorgoth-gnashraks_lair
wh3_main_combi_region_tower_of_gorgoth	ivory_road_combi	wh3_main_combi_region_karaz_a_karak	wh3_main_combi_ivory_road_tower_of_gorgoth-karaz-a-karak
wh3_main_combi_region_uzkulak	ivory_road_combi	wh3_main_combi_region_frozen_landing	wh3_main_combi_ivory_road_uzkulak-frozen_landing
wh3_main_combi_region_uzkulak	ivory_road_combi	wh3_main_combi_region_novchozy	wh3_main_combi_ivory_road_uzkulak-novzhozy
wh3_main_combi_region_zharr_naggrund	ivory_road_combi	wh3_main_combi_region_silver_pinnacle	wh3_main_combi_ivory_road_zharr_naggrund-silver_pinnacle
wh3_main_combi_region_zharr_naggrund	ivory_road_combi	wh3_main_combi_region_uzkulak	wh3_main_combi_ivory_road_zharr_naggrund-uzkulak
wh3_main_chaos_region_black_fang	ivory_road	wh3_main_chaos_region_zharr_naggrund	wh3_main_chaos_ivory_road_black_fang-zharr_naggrund
wh3_main_chaos_region_black_fortress	ivory_road	wh3_main_chaos_region_shattered_stone_bay	wh3_main_chaos_ivory_road_black_fortress-shattered_stone_bay
wh3_main_chaos_region_black_fortress	ivory_road	wh3_main_chaos_region_the_tower_of_gorgoth	wh3_main_chaos_ivory_road_black_fortress-the_tower_of_gorgoth
wh3_main_chaos_region_bloodpeak	ivory_road	wh3_main_chaos_region_black_fang	wh3_main_chaos_ivory_road_bloodpeak-black_fang
wh3_main_chaos_region_bloodpeak	ivory_road	wh3_main_chaos_region_ice_caverns_of_ymirdrak	wh3_main_chaos_ivory_road_bloodpeak-ice_caverns_of_ymirdrak
wh3_main_chaos_region_fallen_city	ivory_road	wh3_main_chaos_region_black_fortress	wh3_main_chaos_ivory_road_fallen_city-black_fortress
wh3_main_chaos_region_fort_jakova	ivory_road	wh3_main_chaos_region_kislev	wh3_main_chaos_ivory_road_fort_jakova_kislev
wh3_main_chaos_region_gnashraks_lair	ivory_road	wh3_main_chaos_region_fort_jakova	wh3_main_chaos_ivory_road_gnashraks_lair-fort_jakova
wh3_main_chaos_region_gnashraks_lair	ivory_road	wh3_main_chaos_region_osterwald	wh3_main_chaos_ivory_road_gnashraks_lair-osterwald
wh3_main_chaos_region_great_skull_lakes	ivory_road	wh3_main_chaos_region_novchozy	wh3_main_chaos_ivory_road_uzkulany-novchozy
wh3_main_chaos_region_hergig	ivory_road	wh3_main_chaos_region_altdorf	wh3_main_chaos_ivory_road_hergig-altdorf
wh3_main_chaos_region_hergig	ivory_road	wh3_main_chaos_region_marienburg	wh3_main_chaos_ivory_road_hergig_marienburg
wh3_main_chaos_region_ice_caverns_of_ymirdrak	ivory_road	wh3_main_chaos_region_frozen_landing	wh3_main_chaos_ivory_road_ice_caverns_of_ymirdrak-frozen_landing
wh3_main_chaos_region_karak_azorn	ivory_road	wh3_main_chaos_region_the_daemons_stump	wh3_main_chaos_ivory_road_karak_azorn-daemon_stump
wh3_main_chaos_region_karak_azorn	ivory_road	wh3_main_chaos_region_zharr_naggrund	wh3_main_chaos_ivory_road_karak_azorn-zharr_naggrund
wh3_main_chaos_region_kislev	ivory_road	wh3_main_chaos_region_erengrad	wh3_main_chaos_ivory_road_kislev-erengrad
wh3_main_chaos_region_kislev	ivory_road	wh3_main_chaos_region_hergig	wh3_main_chaos_ivory_road_kislev-hergig
wh3_main_chaos_region_mist_gorge	ivory_road	wh3_main_chaos_region_fallen_city	wh3_main_chaos_ivory_road_mist_gorge-fallen_city
wh3_main_chaos_region_mist_gorge	ivory_road	wh3_main_chaos_region_karak_azorn	wh3_main_chaos_ivory_road_mist_gorge-karak_azorn
wh3_main_chaos_region_osterwald	ivory_road	wh3_main_chaos_region_castle_drakenhof	wh3_main_chaos_ivory_road_osterwald-castle_drakenhof
wh3_main_chaos_region_osterwald	ivory_road	wh3_main_chaos_region_hergig	wh3_main_chaos_ivory_road_osterwald-hergig
wh3_main_chaos_region_the_daemons_stump	ivory_road	wh3_main_chaos_region_the_tower_of_gorgoth	wh3_main_chaos_ivory_road_daemon_stump-tower_of_gorgoth
wh3_main_chaos_region_the_silver_pinnacle	ivory_road	wh3_main_chaos_region_fort_jakova	wh3_main_chaos_ivory_road_silver_pinnacle-fort_jakova
wh3_main_chaos_region_the_tower_of_gorgoth	ivory_road	wh3_main_chaos_region_gnashraks_lair	wh3_main_chaos_ivory_road_tower_of_gorgoth-gnashraks_lair
wh3_main_chaos_region_tower_of_ashshair	ivory_road	wh3_main_chaos_region_bloodpeak	wh3_main_chaos_ivory_road_tower_of_ashshair-bloodpeak
wh3_main_chaos_region_tower_of_ashshair	ivory_road	wh3_main_chaos_region_mist_gorge	wh3_main_chaos_ivory_road_tower_of_ashshair-mist_gorge
wh3_main_chaos_region_zharr_naggrund	ivory_road	wh3_main_chaos_region_great_skull_lakes	wh3_main_chaos_ivory_road_zharr_naggrund-uzkulany
wh3_main_chaos_region_zharr_naggrund	ivory_road	wh3_main_chaos_region_the_silver_pinnacle	wh3_main_chaos_ivory_road_zharr_naggrund-silver_pinnacle
