name	head_node	hips_node	leftarm_node	leftfoot_node	lefthand_node	leftleg_node	leftshoulder_node	leftupleg_node	leftwheel_node	neck_node	rightarm_node	rightfoot_node	righthand_node	rightleg_node	rightshoulder_node	rightupleg_node	rightwheel_node	root	scale	scale_deviation	spine_node	weapon1_node	weapon2_node	weapon3_node	weapon4_node	weapon5_node	leftfinger_node	rightfinger_node	lefttoe_node	righttoe_node	category_man	category_mount	category_engine	weapon6_node	category_animal	category_fauna	cinematic	locomotion	leftwingbase_node	rightwingbase_node	head_tracking_angle	back_node	front_left_upper_leg_node	front_right_upper_leg_node	front_lefttoe_node	front_righttoe_node	rear_left_upper_leg_node	rear_right_upper_leg_node	rear_lefttoe_node	rear_righttoe_node	footstep_nodes	footstep_detection_height	articulation_node	flying_pivot_node	filter_projectiles_node	torso_splice_node	foot_ik_type
bigcat02	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_middle_left_0	claw_middle_right_0	toe_left_0	toe_right_0	false	true	false		false	false	false	quadruped	wing_shoulder_left_0	wing_shoulder_right_0	0.0000		upperarm_left	upperarm_right	hand_left	hand_right	leg_left_0	leg_right_0	foot_left	foot_right	toe_left_0;toe_right_0;claw_middle_left_0;claw_middle_right_0	0.0200		spine_2	hand_, foot_, wing_		off
bigcat02b	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_middle_left_0	claw_middle_right_0	toe_left_0	toe_right_0	false	true	false		false	false	false	quadruped	wing_shoulder_left_0	wing_shoulder_right_0	0.0000	spine_2	upperarm_left	upperarm_right	hand_ball_left_0	hand_ball_right_0	leg_left_0	leg_right_0	foot_left	foot_right	toe_left_0;toe_right_0;claw_middle_left_0;claw_middle_right_0	0.0200		spine_2	hand_, foot_, barding_		off
bigcat02c	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_middle_left_0	claw_middle_right_0	toe_left_0	toe_right_0	false	true	false		false	false	false	quadruped	wing_shoulder_left_0	wing_shoulder_right_0	45.0000		upperarm_left	upperarm_right	hand_left	hand_right	leg_left_0	leg_right_0	foot_left	foot_right	toe_left_0;toe_right_0;claw_middle_left_0;claw_middle_right_0	0.0200		spine_2	hand_, foot_, 		off
bigcat03	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	false	true	false		false	false	false	winged_quadruped	wing_shoulder_left_0	wing_shoulder_right_0	0.0000		upperarm_left	upperarm_right	finger_base_left_0	finger_base_right_0	leg_left_0	leg_right_0	foot_left	foot_right	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_2	hand_, foot_, pincer_		off
bigcat03b	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	false	true	false		false	false	false	winged_quadruped	wing_shoulder_left_0	wing_shoulder_right_0	0.0000		upperarm_left	upperarm_right	finger_base_left_0	finger_base_right_0	leg_left_0	leg_right_0	foot_left	foot_right	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_2	hand_, foot_, pincer_		off
bigcat04	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	false	true	false		false	false	false	quadruped			0.0000		upperarm_left	upperarm_right	finger_base_left_0	finger_base_right_0	leg_left_0	leg_right_0	foot_left	foot_right	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_2	hand_, foot_		off
bigcat04b	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	false	false	false		false	false	false	quadruped			45.0000		upperarm_left	upperarm_right	finger_base_left_0	finger_base_right_0	leg_left_0	leg_right_0	foot_left	foot_right	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_2	hand_, foot_		off
bigcat04c	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	false	true	false		false	false	false	quadruped			0.0000		upperarm_left	upperarm_right	finger_base_left_0	finger_base_right_0	leg_left_0	leg_right_0	foot_left	foot_right	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_2	hand_, foot_		off
bigcat05	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	false	true	false		false	false	false	quadruped			45.0000		upperarm_left	upperarm_right	finger_base_left_0	finger_base_right_0	leg_left_0	leg_right_0	foot_left	foot_right	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_2	hand_, foot_		off
bird01	head_0	root	wing_left_0	foot_left_0	wing_left_2	leg_left_1	wing_shoulder_left_0	leg_left_0		neck_0	wing_right_0	foot_right_0	wing_right_2	leg_right_1	wing_shoulder_right_0	leg_right_0		animRoot	1.0000	0.0000	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	true	true	false		false	false	false	winged	wing_shoulder_left_0	wing_shoulder_right_0	0.0000										toe_inner_left_0;toe_inner_right_0	0.0200		spine_2	foot_, jaw_, tail_, feather_, saddle_		off
bird01b	head_0	root	wing_left_0	foot_left_0	wing_left_2	leg_left_1	wing_shoulder_left_0	leg_left_0		neck_0	wing_right_0	foot_right_0	wing_right_2	leg_right_1	wing_shoulder_right_0	leg_right_0		animRoot	1.0000	0.0000	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	true	true	false		false	false	false	winged	wing_shoulder_left_0	wing_shoulder_right_0	0.0000										toe_inner_left_0;toe_inner_right_0	0.0200		spine_2	foot_, jaw_		off
bird02	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	true	true	false		false	false	false	winged	clav_left	clav_right	0.0000		upperarm_left	upperarm_right	claw_inner_left_0	claw_inner_right_0	leg_left_0	leg_right_0	toe_inner_left_0	toe_inner_right_0	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_3	foot_, 		off
bird03	head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	false	true	false		false	false	false	winged	clav_left	clav_right	0.0000		upperarm_left	upperarm_right	claw_inner_left_0	claw_inner_right_0	leg_left_0	leg_right_0	toe_inner_left_0	toe_inner_right_0	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.0200		spine_2			off
bird04	neck_4	root	wing_shoulder_left_1		wing_shoulder_left_3		wing_shoulder_left_0			neck_0	wing_shoulder_right_1		wing_shoulder_right_3		wing_shoulder_right_0			animRoot	1.0000	0.0000	spine_0										false	true	false		false	false	false	winged	wing_shoulder_left_0	wing_shoulder_right_0	0.0000		wing_shoulder_left_1	wing_shoulder_right_1								0.0200		spine_0			off
blackark01	head	root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
bloodcauldron01		root							wheel_mid_left_0								wheel_mid_right_0	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500					off
bloodthrone01		root							wheel_back_0, wheel_front_0								wheel_back_0, wheel_front_0	animRoot	1.0000	0.0000											false	true	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
boar01	head	root	upperarm_left	leg_left_2	hand_left	leg_left_1	clav_left	leg_left_0		neck_0	upperarm_right	leg_right_2	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						finger_middle_left_0	finger_middle_right_0	foot_left	foot_right	true	true	false		false	false	false	quadruped			0.0000		upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	foot_left	foot_right	foot_right;foot_left;finger_middle_left_0;finger_middle_left_0	0.0200					off
boltthrower01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
boltthrower01b		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
boltthrower02		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
burningchariot01		root																animRoot	1.0000	0.0000											false	true	false		false	false	false	unclassified			0.0000											0.0500					off
cam_disc01		root																animRoot	1.0000	0.0000											false	true	false		false	false	false	unclassified			0.0000											0.0500					off
cam_fauna_bird_01		bn_root																bn_root	1.0000	0.0000	bn_root										false	false	false		false	true	false	winged	bn_leftwing1	bn_rightwing1	0.0000											0.0500		bn_root			off
campaignbloodcauldron01		root							wheel_mid_left_0								wheel_mid_right_0	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500					off
campaignboarchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaignchaoschariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigncoldonechariot01		root							wheel_								wheel_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigncorpsecart01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigndoomwheel01		root							wheel_left_0, subwheel_frontupper_left_0, subwheel_frontlower_left_0, subwheel_rearlower_left_0, subwheel_rearmid_left_0, subwheel_rearupper_left_0, subwheel_top_left_0								wheel_right_0, subwheel_frontupper_right_0, subwheel_frontlower_right_0, subwheel_rearlower_right_0, subwheel_rearmid_right_0, subwheel_rearupper_right_0, subwheel_top_right_0	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500					off
campaigngorebeastchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigngromchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaignrazorgorchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaignscourgechariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	false		false	false	false	wheeled			0.0000											0.0500					off
campaignseekerchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_front_0				off
campaignsled01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaignsled02		root																animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigntiranocchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigntiranocchariot02		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigntombchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaigntuskgorchariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaignwaraltar01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	horse_boom_0				off
campaignwarcompass01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
campaignwarsled02		root																animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
cannon01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
cannon02		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
cannon03		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
carriage01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200	pivot_0				off
casket_souls01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
catapult01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
cathayship01		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
centaur01	head	root	upper_arm_left_0	foot_left	upper_arm_left_2	leg_left_1	upper_clav_left_0	leg_left_0		neck_0	upper_arm_right_0	foot_right	upper_arm_right_2	leg_right_1	upper_clav_right_0	leg_right_0		animRoot	1.0000	0.0000	spine_3	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	hand_left	hand_right	toe_left_0	toe_right_0	true	false	false		false	false	false	quadruped			0.0000	spine_5	upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	toe_left_0	toe_right_0	toe_right_0;toe_left_0;finger_middle_right_0;finger_middle_left_0	0.0200			foot_, finger_, upper_finger_, upper_thumb_	spine_3	off
centaur01b	head	root	upper_arm_left_0	foot_left	upper_arm_left_2	leg_left_1	upper_clav_left_0	leg_left_0		neck_0	upper_arm_right_0	foot_right	upper_arm_right_2	leg_right_1	upper_clav_right_0	leg_right_0		animRoot	1.0000	0.0000	spine_3	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	hand_left	hand_right	toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	false	quadruped			45.0000	spine_5	upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	toe_left_0	toe_right_0	toe_right_0;toe_left_0;finger_middle_right_0;finger_middle_left_0	0.0200			foot_, finger_, upper_finger_, upper_thumb_	spine_3	off
centaur02	head_0	root	upperarm_left	foot_rear_left	hand_left	lowerleg_rear_left	clav_left_0	upperleg_rear_left		neck_0	upperarm_right	foot_rear_right	hand_right	lowerleg_rear_right	clav_right_0	upperleg_rear_right		animRoot	1.0000	0.0000	spine_3	be_prop_0					hand_left	hand_right	toe_middle_rear_left_0	toe_middle_rear_right_0	true	false	false		false	false	false	quadruped			0.0000	spine_5	upperleg_front_left	upperleg_front_right	toe_middle_front_left_0	toe_middle_front_right_0	upperleg_rear_left	upperleg_rear_right	toe_middle_rear_left_0	toe_middle_rear_right_0	toe_middle_rear_right_0;toe_middle_rear_left_0;toe_middle_front_right_0;toe_middle_front_left_0	0.0200			foot_, finger_, thumb_, cingulum_	spine_3	off
centaur03	head_0	root	upperarm_left	foot_rear_left	hand_left	lowerleg_rear_left	clav_left_0	upperleg_rear_left		neck_0	upperarm_right	foot_rear_right	hand_right	lowerleg_rear_right	clav_right_0	upperleg_rear_right		animRoot	1.0000	0.0000	spine_3						hand_left	hand_right	toe_middle_rear_left_0	toe_middle_rear_right_0	false	false	false		false	false	false	quadruped			0.0000	spine_5	upperleg_front_left	upperleg_front_right	toe_middle_front_left_0	toe_middle_front_right_0	upperleg_rear_left	upperleg_rear_right	toe_middle_rear_left_0	toe_middle_rear_right_0	toe_middle_rear_right_0;toe_middle_rear_left_0;toe_middle_front_right_0;toe_middle_front_left_0	0.0500				spine_3	off
chaoschariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	true	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
chaosdwarfsship01		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
chariot01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0500	pivot_0				off
cine_egc1_gyrocopter		root																animRoot	1.0000	0.0000											true	false	false		false	false	true	winged	wing_left_0	wing_right_0	0.0000											0.0200					off
cine_estk1_st		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	true	wheeled			0.0000											0.0200					off
cine_hu1_kf	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200					off
cine_hu1_mvc	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0		be_prop_1						toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200					off
cine_hu1d_assassin	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200			cape_, shoulder_, hand_, skirt_		off
cine_hu1d_lord	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200			cape_, shoulder_, hand_, skirt_		off
cine_hu1d_shade	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200			cape_, shoulder_, hand_, skirt_		off
cine_hu2_grimgor	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200					off
cine_hu3_dwf	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200					off
cine_hu3_thorgrim	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200					off
cine_hu5_shaman	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	true	biped			0.0000	spine_2									toe_left_0;toe_right_0	0.0200					off
cine_p_book01_hu3		root																root	1.0000	0.0000	spine_left_0										false	false	false		false	false	true	unclassified			0.0000											0.0500					off
cine_p_lantern01_hu3		root																root	1.0000	0.0000	body_0										false	false	false		false	false	true	unclassified			0.0000											0.0500					off
cine_ra1b_rat	head_0	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		head_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						finger_left_0	finger_right_0	toe_left	toe_right	false	false	false		true	false	false	quadruped			0.0000		upperarm_left	upperarm_right	finger_left_0	finger_right_0	leg_left_0	leg_right_0	toe_left	toe_right	toe_left;toe_right;finger_left_0;finger_right_0	0.0200					off
coastship01		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
