campaign_group	pooled_resource_threshold_operation_set
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_4060
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_420
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_4200
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_4340
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_4480
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_4620
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_4760
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_4900
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_5040
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_5180
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_5320
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_5460
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_560
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_5600
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_70
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_700
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_840
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_980
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_01
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_02
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_03
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_04
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_05
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_06
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_07
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_08
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_09
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_10
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_11
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_12
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_gifts_13
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_1120
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_1260
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_140
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_1400
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_1540
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_1680
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_1820
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_1960
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_2100
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_2240
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_2380
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_2520
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_2660
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_280
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_2800
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_2940
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_3080
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_3220
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_3360
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_3500
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_3640
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_3780
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_3920
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_4060
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_420
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_4200
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_4340
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_4480
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_4620
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_4760
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_4900
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_5040
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_5180
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_5320
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_5460
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_560
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_5600
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_70
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_700
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_840
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_980
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_01
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_02
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_03
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_04
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_05
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_06
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_07
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_08
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_09
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_10
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_11
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_12
wh3_main_feature_daemons	wh3_main_threshold_dae_slaanesh_gifts_13
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_1120
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_1260
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_140
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_1400
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_1540
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_1680
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_1820
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_1960
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_2100
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_2240
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_2380
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_2520
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_2660
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_280
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_2800
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_2940
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_3080
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_3220
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_3360
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_3500
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_3640
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_3780
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_3920
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_4060
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_420
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_4200
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_4340
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_4480
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_4620
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_4760
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_4900
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_5040
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_5180
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_5320
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_5460
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_560
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_5600
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_70
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_700
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_840
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_980
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_01
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_02
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_03
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_04
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_05
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_06
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_07
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_08
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_09
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_10
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_11
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_12
wh3_main_feature_daemons	wh3_main_threshold_dae_tzeentch_gifts_13
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_1120
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_1260
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_140
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_1400
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_1540
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_1680
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_1820
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_1960
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_2100
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_2240
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_2380
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_2520
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_2660
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_280
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_2800
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_2940
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_3080
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_3220
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_3360
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_3500
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_3640
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_3780
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_3920
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4060
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4130
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_420
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4200
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4270
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4340
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4410
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4480
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4550
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4620
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4690
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4760
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4830
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4900
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_4970
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5040
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5110
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5180
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5250
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5320
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5390
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5460
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5530
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_560
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_5600
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_700
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_840
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_980
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_01
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_02
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_03
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_04
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_05
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_06
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_07
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_08
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_09
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_10
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_11
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_12
wh3_main_feature_daemons	wh3_main_threshold_dae_undivided_gifts_13
wh_main_feature_bretonnia	bretonnia_chivalry_1
wh_main_feature_bretonnia	bretonnia_chivalry_2
wh_main_feature_bretonnia	bretonnia_chivalry_3
wh_main_feature_bretonnia	bretonnia_chivalry_4
wh_main_feature_bretonnia	bretonnia_chivalry_5
