payload_key	priority	plan_type	application_phase
wh3_dlc29_magic_summon_verminlord_piece_skryre_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_skryre_5	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warbringer_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warbringer_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warbringer_3	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warbringer_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warbringer_5	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warpseer_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warpseer_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warpseer_3	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warpseer_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_warpseer_5	1		drawn_in_plan
wh3_dlc29_military_action_draw_positive_2	1	wh3_dlc29_military_plan	drawn_in_plan_single_application
wh3_dlc29_purple_any_felix	15		drawn_in_plan_single_application
wh3_dlc29_purple_any_gotrek	15		drawn_in_plan_single_application
wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_reward_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_reward_2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_reward_3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_reward_4	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_reward_5	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_brood_horror	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_cauldron_poxes	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrat_spears	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrat_spears_shields	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_shields	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_shields_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_spears_shields_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_spears_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_x3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_x4	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_clanrats_x5	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_death_globe_bombardiers	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_death_runners	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_doom_flayers	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_doomwheel	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_eshin_triads	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_gutter_runners	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_gutter_runners_poison	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_gutter_runners_slingers	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_gutter_runners_slingers_poison	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_gutter_runners_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hell_pit_abomination	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_assassin_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_assassin_2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_assassin_3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_chieftain_0	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_chieftain_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_chieftain_2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_eshin_sorcerer_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_eshin_sorcerer_2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_eshin_sorcerer_3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_packmaster_0	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_packmaster_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_packmaster_2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_plague_priest_0	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_plague_priest_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_plague_priest_2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_warlock_engineer_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_warlock_engineer_2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_hero_unit_warlock_engineer_3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_night_runners	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_night_runners_slingers	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_night_runners_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_plague_censer_bearers	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_plague_monks	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_plague_monks_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_plagueclaw_catapults	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_poison_wind_globadiers	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_poison_wind_mortar	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_poisoned_wind_mortars	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_pusbags	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_pusbags_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_pusbags_x3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_rat_ogre_mutant	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_rat_ogres	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_rat_ogres_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_ratling_guns	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_skavenslave_slingers_x3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_skavenslave_slingers_x4	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_skavenslave_slingers_x5	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_skavenslaves_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_skavenslaves_x3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_doomflayer	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_doomflayer_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_grinderfists	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_grinderfists_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_ratling	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_ratling_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_shock	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_shock_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_warpfire	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_warpfire_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_windlaunchers	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormfiend_windlaunchers_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormvermin_0	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormvermin_0_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormvermin_0_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormvermin_0_x3	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormvermin_1	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_stormvermin_1_rank_9	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_warp_doom_magma_cannon	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_warp_grinder	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_warp_lightning_cannons	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_warpfire_thrower	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_warpfire_thrower_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_warplock_jezzails	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_wolf_rats	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_wolf_rats_poison	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_wolf_rats_poison_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_add_wolf_rats_x2	1	wh3_dlc29_military_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_10	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_100	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_110	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_120	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_130	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_140	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_150	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_160	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_170	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_180	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_190	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_20	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_200	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_250	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_30	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_300	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_40	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_400	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_50	1		drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_60	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_70	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_80	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_treasury_reward_gdp_percentage_90	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_05	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_08	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_10	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_100	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_12	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_15	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_150	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_20	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_200	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_25	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_250	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_30	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_300	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_35	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_40	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_45	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_50	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_60	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_70	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_80	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plan_modify_warpstone_reward_gdp_percentage_90	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_chaotic_plans_food_per_turn	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_food_per_turn_1	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_food_per_turn_2	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_food_per_turn_3	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_increase_tokens_1	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_increase_tokens_2	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_reduce_tokens_1_infinite	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_reduce_tokens_1_turns_1	15		drawn_in_plan_single_application
wh3_dlc29_skv_chaotic_plans_reduce_tokens_2_turns_1	15		drawn_in_plan_single_application
wh3_dlc29_skv_economic_add_money_percentage_10	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_add_money_percentage_20	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_add_money_percentage_30	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_add_warpstone_10_percentage	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_add_warpstone_20_percentage	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_add_warpstone_30_percentage	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_lose_money_percentage_20	11	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_lose_warpstone_percentage_10	11	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_lose_warpstone_percentage_20	11	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_lose_warpstone_percentage_30	11	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_1000	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_10000	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_1250	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_1500	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_200	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_2000	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_300	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_3000	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_400	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_4000	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_500	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_5000	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_money_750	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_100	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_1000	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_150	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_200	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_250	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_30	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_300	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_450	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_50	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_500	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_60	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_600	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_70	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_add_warpstone_80	1	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_1000	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_1500	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_2000	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_3000	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_3500	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_4000	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_500	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_money_gdp_200	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_warpstone_100	10	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_warpstone_gdp_100	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_warpstone_gdp_200	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_warpstone_gdp_300	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_economic_thanquol_lose_warpstone_gdp_500	2	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_favour_rat	0		drawn_and_self_destroy
wh3_dlc29_skv_lose_food_percentage_10	11	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_lose_food_percentage_20	11	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_lose_food_percentage_30	11	wh3_dlc29_economic_plan	drawn_in_plan
wh3_dlc29_skv_magic_add_money_percentage_10	2	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_add_money_percentage_20	2	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_add_money_percentage_30	2	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_lose_money_percentage_20	11	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_lose_warpstone_percentage_10	11	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_lose_warpstone_percentage_20	11	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_lose_warpstone_percentage_30	11	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_pull_moon_filler_token_food	15	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_pull_moon_filler_token_recruitment_slots	15	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_pull_moon_filler_token_skaven_corruption	15	wh3_dlc29_magic_plan	drawn_in_plan
wh3_dlc29_skv_magic_red_chaos_corruption_1	15		drawn_in_plan_single_application
wh3_dlc29_skv_magic_red_chaos_corruption_2	15		drawn_in_plan_single_application
wh3_dlc29_skv_magic_red_chaos_corruption_3	15		drawn_in_plan_single_application
wh3_dlc29_skv_magic_red_elite_chaos_corruption_1	15		drawn_in_plan_single_application
wh3_dlc29_skv_magic_ritual_fail_thresshold_guards_12	1	wh3_dlc29_magic_plan	plan_execution
wh3_dlc29_skv_magic_ritual_fail_thresshold_guards_4	1	wh3_dlc29_magic_plan	plan_execution
