order	chain	ritual
2	wh2_dlc15_athel_tamarha_melee_mistwalkers	wh2_dlc15_athel_tamarha_melee_mistwalkers_3
0	wh2_dlc15_athel_tamarha_mist	wh2_dlc15_athel_tamarha_mist_1
1	wh2_dlc15_athel_tamarha_mist	wh2_dlc15_athel_tamarha_mist_2
2	wh2_dlc15_athel_tamarha_mist	wh2_dlc15_athel_tamarha_mist_3
0	wh2_dlc15_athel_tamarha_mistwalkers_recruitment	wh2_dlc15_athel_tamarha_mistwalkers_recruitment_1
1	wh2_dlc15_athel_tamarha_mistwalkers_recruitment	wh2_dlc15_athel_tamarha_mistwalkers_recruitment_2
2	wh2_dlc15_athel_tamarha_mistwalkers_recruitment	wh2_dlc15_athel_tamarha_mistwalkers_recruitment_3
0	wh2_dlc15_athel_tamarha_mistwalkers_upgrades	wh2_dlc15_athel_tamarha_mistwalkers_upgrades_1
1	wh2_dlc15_athel_tamarha_mistwalkers_upgrades	wh2_dlc15_athel_tamarha_mistwalkers_upgrades_2
2	wh2_dlc15_athel_tamarha_mistwalkers_upgrades	wh2_dlc15_athel_tamarha_mistwalkers_upgrades_3
0	wh2_dlc15_athel_tamarha_prison	wh2_dlc15_athel_tamarha_prison_1
1	wh2_dlc15_athel_tamarha_prison	wh2_dlc15_athel_tamarha_prison_2
0	wh2_dlc15_athel_tamarha_ranged_mistwalkers	wh2_dlc15_athel_tamarha_ranged_mistwalkers_1
1	wh2_dlc15_athel_tamarha_ranged_mistwalkers	wh2_dlc15_athel_tamarha_ranged_mistwalkers_2
2	wh2_dlc15_athel_tamarha_ranged_mistwalkers	wh2_dlc15_athel_tamarha_ranged_mistwalkers_3
0	wh2_dlc16_ritual_wef_forge_dragon_armour	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_armour	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_armour	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_3
0	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_3
0	wh2_dlc16_ritual_wef_forge_dragon_talisman	wh2_dlc16_ritual_wef_forge_dragon_mask_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_talisman	wh2_dlc16_ritual_wef_forge_dragon_mask_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_talisman	wh2_dlc16_ritual_wef_forge_dragon_mask_level_3
0	wh2_dlc16_ritual_wef_forge_dragon_weapon	wh2_dlc16_ritual_wef_forge_dragon_spear_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_weapon	wh2_dlc16_ritual_wef_forge_dragon_spear_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_weapon	wh2_dlc16_ritual_wef_forge_dragon_spear_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_armour	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_armour	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_armour	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_talisman	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_talisman	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_talisman	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_weapon	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_weapon	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_weapon	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_armour	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_armour	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_armour	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_talisman	wh2_dlc16_ritual_wef_forge_eagle_mask_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_talisman	wh2_dlc16_ritual_wef_forge_eagle_mask_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_talisman	wh2_dlc16_ritual_wef_forge_eagle_mask_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_weapon	wh2_dlc16_ritual_wef_forge_eagle_bow_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_weapon	wh2_dlc16_ritual_wef_forge_eagle_bow_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_weapon	wh2_dlc16_ritual_wef_forge_eagle_bow_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_armour	wh2_dlc16_ritual_wef_forge_twilight_helm_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_armour	wh2_dlc16_ritual_wef_forge_twilight_helm_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_armour	wh2_dlc16_ritual_wef_forge_twilight_helm_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item	wh2_dlc16_ritual_wef_forge_twilight_standard_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item	wh2_dlc16_ritual_wef_forge_twilight_standard_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item	wh2_dlc16_ritual_wef_forge_twilight_standard_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_talisman	wh2_dlc16_ritual_wef_forge_twilight_horn_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_talisman	wh2_dlc16_ritual_wef_forge_twilight_horn_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_talisman	wh2_dlc16_ritual_wef_forge_twilight_horn_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_weapon	wh2_dlc16_ritual_wef_forge_twilight_spear_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_weapon	wh2_dlc16_ritual_wef_forge_twilight_spear_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_weapon	wh2_dlc16_ritual_wef_forge_twilight_spear_level_3
0	wh2_dlc17_ritual_character_upgrades	wh2_dlc17_bst_ritual_upgrade_lord_level_5
1	wh2_dlc17_ritual_character_upgrades	wh2_dlc17_bst_ritual_upgrade_lord_level_10
2	wh2_dlc17_ritual_character_upgrades	wh2_dlc17_bst_ritual_upgrade_lord_level_15
0	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_1
1	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_2
2	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_3
3	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_4
0	wh2_dlc17_ritual_unit_experience_upgrades	wh2_dlc17_bst_ritual_upgrade_horde_lvl_1
1	wh2_dlc17_ritual_unit_experience_upgrades	wh2_dlc17_bst_ritual_upgrade_horde_lvl_2
2	wh2_dlc17_ritual_unit_experience_upgrades	wh2_dlc17_bst_ritual_upgrade_horde_lvl_3
0	wh3_dlc25_ritual_emp_don_amethyst_ironsides	wh3_dlc25_ritual_emp_don_amethyst_ironsides_1
1	wh3_dlc25_ritual_emp_don_amethyst_ironsides	wh3_dlc25_ritual_emp_don_amethyst_ironsides_2
2	wh3_dlc25_ritual_emp_don_amethyst_ironsides	wh3_dlc25_ritual_emp_don_amethyst_ironsides_3
3	wh3_dlc25_ritual_emp_don_amethyst_ironsides	wh3_dlc25_ritual_emp_don_amethyst_ironsides_4
0	wh3_dlc25_ritual_emp_don_black_rose	wh3_dlc25_ritual_emp_don_black_rose_1
1	wh3_dlc25_ritual_emp_don_black_rose	wh3_dlc25_ritual_emp_don_black_rose_2
2	wh3_dlc25_ritual_emp_don_black_rose	wh3_dlc25_ritual_emp_don_black_rose_3
3	wh3_dlc25_ritual_emp_don_black_rose	wh3_dlc25_ritual_emp_don_black_rose_4
0	wh3_dlc25_ritual_emp_don_buckshot_reaper	wh3_dlc25_ritual_emp_don_buckshot_reaper_1
1	wh3_dlc25_ritual_emp_don_buckshot_reaper	wh3_dlc25_ritual_emp_don_buckshot_reaper_2
2	wh3_dlc25_ritual_emp_don_buckshot_reaper	wh3_dlc25_ritual_emp_don_buckshot_reaper_3
3	wh3_dlc25_ritual_emp_don_buckshot_reaper	wh3_dlc25_ritual_emp_don_buckshot_reaper_4
0	wh3_dlc25_ritual_emp_don_cannons	wh3_dlc25_ritual_emp_don_cannons_1
1	wh3_dlc25_ritual_emp_don_cannons	wh3_dlc25_ritual_emp_don_cannons_2
2	wh3_dlc25_ritual_emp_don_cannons	wh3_dlc25_ritual_emp_don_cannons_3
0	wh3_dlc25_ritual_emp_don_cav_guns	wh3_dlc25_ritual_emp_don_cav_guns_1
1	wh3_dlc25_ritual_emp_don_cav_guns	wh3_dlc25_ritual_emp_don_cav_guns_2
2	wh3_dlc25_ritual_emp_don_cav_guns	wh3_dlc25_ritual_emp_don_cav_guns_3
0	wh3_dlc25_ritual_emp_don_deathstorm_battery	wh3_dlc25_ritual_emp_don_deathstorm_battery_1
1	wh3_dlc25_ritual_emp_don_deathstorm_battery	wh3_dlc25_ritual_emp_don_deathstorm_battery_2
2	wh3_dlc25_ritual_emp_don_deathstorm_battery	wh3_dlc25_ritual_emp_don_deathstorm_battery_3
3	wh3_dlc25_ritual_emp_don_deathstorm_battery	wh3_dlc25_ritual_emp_don_deathstorm_battery_4
0	wh3_dlc25_ritual_emp_don_helblasters	wh3_dlc25_ritual_emp_don_helblasters_1
1	wh3_dlc25_ritual_emp_don_helblasters	wh3_dlc25_ritual_emp_don_helblasters_2
2	wh3_dlc25_ritual_emp_don_helblasters	wh3_dlc25_ritual_emp_don_helblasters_3
0	wh3_dlc25_ritual_emp_don_helstorm	wh3_dlc25_ritual_emp_don_helstorm_1
1	wh3_dlc25_ritual_emp_don_helstorm	wh3_dlc25_ritual_emp_don_helstorm_2
2	wh3_dlc25_ritual_emp_don_helstorm	wh3_dlc25_ritual_emp_don_helstorm_3
0	wh3_dlc25_ritual_emp_don_inf_guns	wh3_dlc25_ritual_emp_don_inf_guns_1
1	wh3_dlc25_ritual_emp_don_inf_guns	wh3_dlc25_ritual_emp_don_inf_guns_2
2	wh3_dlc25_ritual_emp_don_inf_guns	wh3_dlc25_ritual_emp_don_inf_guns_3
0	wh3_dlc25_ritual_emp_don_land_ship	wh3_dlc25_ritual_emp_don_land_ship_1
1	wh3_dlc25_ritual_emp_don_land_ship	wh3_dlc25_ritual_emp_don_land_ship_2
2	wh3_dlc25_ritual_emp_don_land_ship	wh3_dlc25_ritual_emp_don_land_ship_3
0	wh3_dlc25_ritual_emp_don_mortors	wh3_dlc25_ritual_emp_don_mortors_1
1	wh3_dlc25_ritual_emp_don_mortors	wh3_dlc25_ritual_emp_don_mortors_2
2	wh3_dlc25_ritual_emp_don_mortors	wh3_dlc25_ritual_emp_don_mortors_3
0	wh3_dlc25_ritual_emp_don_steam_tank	wh3_dlc25_ritual_emp_don_steam_tank_1
1	wh3_dlc25_ritual_emp_don_steam_tank	wh3_dlc25_ritual_emp_don_steam_tank_2
2	wh3_dlc25_ritual_emp_don_steam_tank	wh3_dlc25_ritual_emp_don_steam_tank_3
0	wh3_dlc26_kho_cloak_of_skulls_1	wh3_dlc26_kho_cloak_of_skulls_1_1
0	wh3_dlc26_kho_cloak_of_skulls_10	wh3_dlc26_kho_cloak_of_skulls_10_1
1	wh3_dlc26_kho_cloak_of_skulls_10	wh3_dlc26_kho_cloak_of_skulls_10_2
2	wh3_dlc26_kho_cloak_of_skulls_10	wh3_dlc26_kho_cloak_of_skulls_10_3
1	wh3_dlc26_kho_cloak_of_skulls_1	wh3_dlc26_kho_cloak_of_skulls_1_2
2	wh3_dlc26_kho_cloak_of_skulls_1	wh3_dlc26_kho_cloak_of_skulls_1_3
0	wh3_dlc26_kho_cloak_of_skulls_2	wh3_dlc26_kho_cloak_of_skulls_2_1
1	wh3_dlc26_kho_cloak_of_skulls_2	wh3_dlc26_kho_cloak_of_skulls_2_2
2	wh3_dlc26_kho_cloak_of_skulls_2	wh3_dlc26_kho_cloak_of_skulls_2_3
0	wh3_dlc26_kho_cloak_of_skulls_3	wh3_dlc26_kho_cloak_of_skulls_3_1
1	wh3_dlc26_kho_cloak_of_skulls_3	wh3_dlc26_kho_cloak_of_skulls_3_2
2	wh3_dlc26_kho_cloak_of_skulls_3	wh3_dlc26_kho_cloak_of_skulls_3_3
0	wh3_dlc26_kho_cloak_of_skulls_4	wh3_dlc26_kho_cloak_of_skulls_4_1
1	wh3_dlc26_kho_cloak_of_skulls_4	wh3_dlc26_kho_cloak_of_skulls_4_2
2	wh3_dlc26_kho_cloak_of_skulls_4	wh3_dlc26_kho_cloak_of_skulls_4_3
0	wh3_dlc26_kho_cloak_of_skulls_5	wh3_dlc26_kho_cloak_of_skulls_5_1
1	wh3_dlc26_kho_cloak_of_skulls_5	wh3_dlc26_kho_cloak_of_skulls_5_2
2	wh3_dlc26_kho_cloak_of_skulls_5	wh3_dlc26_kho_cloak_of_skulls_5_3
0	wh3_dlc26_kho_cloak_of_skulls_6	wh3_dlc26_kho_cloak_of_skulls_6_1
1	wh3_dlc26_kho_cloak_of_skulls_6	wh3_dlc26_kho_cloak_of_skulls_6_2
2	wh3_dlc26_kho_cloak_of_skulls_6	wh3_dlc26_kho_cloak_of_skulls_6_3
0	wh3_dlc26_kho_cloak_of_skulls_7	wh3_dlc26_kho_cloak_of_skulls_7_1
1	wh3_dlc26_kho_cloak_of_skulls_7	wh3_dlc26_kho_cloak_of_skulls_7_2
2	wh3_dlc26_kho_cloak_of_skulls_7	wh3_dlc26_kho_cloak_of_skulls_7_3
0	wh3_dlc26_kho_cloak_of_skulls_8	wh3_dlc26_kho_cloak_of_skulls_8_1
1	wh3_dlc26_kho_cloak_of_skulls_8	wh3_dlc26_kho_cloak_of_skulls_8_2
2	wh3_dlc26_kho_cloak_of_skulls_8	wh3_dlc26_kho_cloak_of_skulls_8_3
0	wh3_dlc26_kho_cloak_of_skulls_9	wh3_dlc26_kho_cloak_of_skulls_9_1
1	wh3_dlc26_kho_cloak_of_skulls_9	wh3_dlc26_kho_cloak_of_skulls_9_2
2	wh3_dlc26_kho_cloak_of_skulls_9	wh3_dlc26_kho_cloak_of_skulls_9_3
0	wh3_main_ksl_support_ice_court_battle_1	wh3_main_ksl_support_ice_court_battle_1_1
1	wh3_main_ksl_support_ice_court_battle_1	wh3_main_ksl_support_ice_court_battle_1_2
0	wh3_main_ksl_support_ice_court_battle_2	wh3_main_ksl_support_ice_court_battle_2_1
1	wh3_main_ksl_support_ice_court_battle_2	wh3_main_ksl_support_ice_court_battle_2_2
0	wh3_main_ksl_support_ice_court_character_1	wh3_main_ksl_support_ice_court_character_1_1
1	wh3_main_ksl_support_ice_court_character_1	wh3_main_ksl_support_ice_court_character_1_2
0	wh3_main_ksl_support_ice_court_character_2	wh3_main_ksl_support_ice_court_character_2_1
1	wh3_main_ksl_support_ice_court_character_2	wh3_main_ksl_support_ice_court_character_2_2
0	wh3_main_ksl_support_ice_court_global_1	wh3_main_ksl_support_ice_court_global_1_1
1	wh3_main_ksl_support_ice_court_global_1	wh3_main_ksl_support_ice_court_global_1_2
0	wh3_main_ksl_support_ice_court_global_2	wh3_main_ksl_support_ice_court_global_2_1
1	wh3_main_ksl_support_ice_court_global_2	wh3_main_ksl_support_ice_court_global_2_2
0	wh3_main_ksl_support_ice_court_magic_1	wh3_main_ksl_support_ice_court_magic_1_1
1	wh3_main_ksl_support_ice_court_magic_1	wh3_main_ksl_support_ice_court_magic_1_2
0	wh3_main_ksl_support_ice_court_magic_2	wh3_main_ksl_support_ice_court_magic_2_1
1	wh3_main_ksl_support_ice_court_magic_2	wh3_main_ksl_support_ice_court_magic_2_2
0	wh3_main_ksl_support_ice_court_settlement_1	wh3_main_ksl_support_ice_court_settlement_1_1
1	wh3_main_ksl_support_ice_court_settlement_1	wh3_main_ksl_support_ice_court_settlement_1_2
0	wh3_main_ksl_support_ice_court_settlement_2	wh3_main_ksl_support_ice_court_settlement_2_1
1	wh3_main_ksl_support_ice_court_settlement_2	wh3_main_ksl_support_ice_court_settlement_2_2
0	wh3_main_ksl_support_orthodoxy_battle_1	wh3_main_ksl_support_orthodoxy_battle_1_1
1	wh3_main_ksl_support_orthodoxy_battle_1	wh3_main_ksl_support_orthodoxy_battle_1_2
0	wh3_main_ksl_support_orthodoxy_battle_2	wh3_main_ksl_support_orthodoxy_battle_2_1
1	wh3_main_ksl_support_orthodoxy_battle_2	wh3_main_ksl_support_orthodoxy_battle_2_2
0	wh3_main_ksl_support_orthodoxy_character_1	wh3_main_ksl_support_orthodoxy_character_1_1
1	wh3_main_ksl_support_orthodoxy_character_1	wh3_main_ksl_support_orthodoxy_character_1_2
0	wh3_main_ksl_support_orthodoxy_character_2	wh3_main_ksl_support_orthodoxy_character_2_1
1	wh3_main_ksl_support_orthodoxy_character_2	wh3_main_ksl_support_orthodoxy_character_2_2
0	wh3_main_ksl_support_orthodoxy_global_1	wh3_main_ksl_support_orthodoxy_global_1_1
1	wh3_main_ksl_support_orthodoxy_global_1	wh3_main_ksl_support_orthodoxy_global_1_2
0	wh3_main_ksl_support_orthodoxy_global_2	wh3_main_ksl_support_orthodoxy_global_2_1
1	wh3_main_ksl_support_orthodoxy_global_2	wh3_main_ksl_support_orthodoxy_global_2_2
0	wh3_main_ksl_support_orthodoxy_magic_1	wh3_main_ksl_support_orthodoxy_magic_1_1
1	wh3_main_ksl_support_orthodoxy_magic_1	wh3_main_ksl_support_orthodoxy_magic_1_2
0	wh3_main_ksl_support_orthodoxy_magic_2	wh3_main_ksl_support_orthodoxy_magic_2_1
1	wh3_main_ksl_support_orthodoxy_magic_2	wh3_main_ksl_support_orthodoxy_magic_2_2
0	wh3_main_ksl_support_orthodoxy_settlement_1	wh3_main_ksl_support_orthodoxy_settlement_1_1
1	wh3_main_ksl_support_orthodoxy_settlement_1	wh3_main_ksl_support_orthodoxy_settlement_1_2
0	wh3_main_ksl_support_orthodoxy_settlement_2	wh3_main_ksl_support_orthodoxy_settlement_2_1
1	wh3_main_ksl_support_orthodoxy_settlement_2	wh3_main_ksl_support_orthodoxy_settlement_2_2
