bonus_value_id	effect	scripted_record
value	wh3_dlc20_effect_character_xp_khorne	experience_mod_chs_khorne
value	wh3_dlc20_effect_character_xp_nurgle	experience_mod_chs_nurgle
value	wh3_dlc20_effect_character_xp_slaanesh	experience_mod_chs_slaanesh
value	wh3_dlc20_effect_character_xp_tzeentch	experience_mod_chs_tzeentch
value	wh3_dlc20_effect_character_xp_undivided	experience_mod_chs_undivided
value	wh3_dlc20_effect_chs_souls_on_plague_spread	plague_spread_earn_souls
value	wh3_dlc20_effect_post_retreat_movement_scripted	campaign_movement_range_post_enemy_retreat
value	wh3_dlc23_effect_chd_convoy_additional_unit_reward_scripted	chd_convoy_additional_unit_reward_scripted
value	wh3_dlc23_effect_chd_convoy_trade_tariff_scripted	chd_convoy_trade_tariff_scripted
value	wh3_dlc23_effect_force_army_campaign_experience_chd_convoy_overseer_per_turn	experience_for_convoy_masters
value	wh3_dlc23_effect_settlement_walls_damage_when_sieged_dummy	damage_wall_when_besieging
value	wh3_dlc24_effect_character_campaign_experience_mod_compass	experience_mod
value	wh3_dlc24_effect_cult_expansion	the_changeling_cult_adjacent_region_expansion_chance
value	wh3_dlc24_effect_cult_foreign_slot_diplomatic_change	alter_attitude_each_turn_from_foreign_slot
value	wh3_dlc24_effect_mother_ostankya_create_disciple_army	create_disciple_army_mother_ostankya
value	wh3_dlc24_effect_pooled_resource_ksl_devotion_hero_actions_hag_witch	devotion_hero_actions_hag_witch
value	wh3_dlc24_effect_region_gdp_leech_mother_ostankya	region_gdp_leech_mother_ostankya
value	wh3_dlc24_effect_scripted_scribes_random_cataclysm	scribes_random_cataclysm
value	wh3_dlc24_ritual_cth_mos_stone_faction_steal_background_income	steal_gdp_for_yuan_bo
value	wh3_main_cth_compass_bastion_threat_mod_compass	bastion_threat_modifier_compass
value	wh3_main_cth_compass_bastion_threat_mod	bastion_threat_modifier
value	wh3_main_effect_agent_xp_gain_rate_lzd_saurus_scripted	experience_mod_for_saurus_characters
value	wh3_main_effect_block_chaos_rifts_hidden	block_chaos_rifts
value	wh3_main_effect_block_chaos_rifts	block_chaos_rifts
value	wh3_main_effect_caravan_double_move	caravan_double_move
value	wh3_main_effect_caravan_lower_toll	caravan_lower_toll
value	wh3_main_effect_caravan_scouts	caravan_scouts
value	wh3_main_effect_caravan_speed	caravan_scouting
value	wh3_main_effect_chaos_realm_trait_removal	chaos_realm_trait_removal
value	wh3_main_effect_character_campaign_experience_mod	experience_mod
value	wh3_main_effect_character_experience_per_turn_hidden	experience
value	wh3_main_effect_character_experience_per_turn	experience
value	wh3_main_effect_character_starting_rank	character_starting_rank
value	wh3_main_effect_corruption_chaos_high_reduction_scripted	corruption_chaos_high_reduction
value	wh3_main_effect_corruption_khorne_high_reduction_scripted	corruption_khorne_high_reduction
value	wh3_main_effect_corruption_nurgle_high_reduction_scripted	corruption_nurgle_high_reduction
value	wh3_main_effect_corruption_skaven_high_reduction_scripted	corruption_skaven_high_reduction
value	wh3_main_effect_corruption_slaanesh_high_reduction_scripted	corruption_slaanesh_high_reduction
value	wh3_main_effect_corruption_tzeentch_high_reduction_scripted	corruption_tzeentch_high_reduction
value	wh3_main_effect_corruption_vampiric_high_reduction_scripted	corruption_vampiric_high_reduction
value	wh3_main_effect_cult_destroyed	destroy_foreign_slot
value	wh3_main_effect_faction_liberate_as_vassals	liberated_factions_spawn_as_vassals
value	wh3_main_effect_factionwide_growth_from_battle_result	factionwide_growth_from_battle_result
value	wh3_main_effect_force_all_campaign_movement_range_post_battle_win	campaign_movement_range_post_battle_win
value	wh3_main_effect_force_all_campaign_movement_range_post_raze_bonus	campaign_movement_range_post_raze
value	wh3_main_effect_force_army_campaign_experience_nkari	experience_mod_for_new_factions
value	wh3_main_effect_force_nurgle_unit_starting_health_fliers	recruit_hp_cav_plague_drones_0
value	wh3_main_effect_force_nurgle_unit_starting_health_fliers	recruit_hp_cav_plague_drones_1
value	wh3_main_effect_force_nurgle_unit_starting_health_fliers	recruit_hp_inf_chaos_furies_0
value	wh3_main_effect_force_nurgle_unit_starting_health_fliers	recruit_hp_mon_rot_flies_0
value	wh3_main_effect_force_nurgle_unit_starting_health_great_unclean_one_soul_grinder	recruit_hp_mon_great_unclean_one_0
value	wh3_main_effect_force_nurgle_unit_starting_health_great_unclean_one_soul_grinder	recruit_hp_mon_soul_grinder_0
value	wh3_main_effect_force_nurgle_unit_starting_health_melee_inf	recruit_hp_inf_forsaken_0
value	wh3_main_effect_force_nurgle_unit_starting_health_melee_inf	recruit_hp_inf_plaguebearers_0
value	wh3_main_effect_force_nurgle_unit_starting_health_melee_inf	recruit_hp_inf_plaguebearers_1
value	wh3_main_effect_force_nurgle_unit_starting_health_nurglings	recruit_hp_inf_nurglings_0
value	wh3_main_effect_force_nurgle_unit_starting_health_plague_toad_pox_rider	recruit_hp_cav_pox_riders_of_nurgle_0
value	wh3_main_effect_force_nurgle_unit_starting_health_plague_toad_pox_rider	recruit_hp_mon_beast_of_nurgle_0
value	wh3_main_effect_force_nurgle_unit_starting_health_plague_toad_pox_rider	recruit_hp_mon_plague_toads_0
value	wh3_main_effect_force_nurgle_unit_starting_health_plague_toad_pox_rider	recruit_hp_mon_spawn_of_nurgle_0
value	wh3_main_effect_force_starting_health_all	recruit_hp_all_units
value	wh3_main_effect_foreign_slot_diplomatic_bonus	alter_attitude_on_foreign_slot_completion
value	wh3_main_effect_foreign_slot_max_winds_of_magic	max_winds_of_magic_in_adjacent_provinces
value	wh3_main_effect_foreign_slot_spawn_agent_cultist	spawn_cultist_on_foreign_slot_completion
value	wh3_main_effect_foreign_slot_spawn_nurgle_plague	create_random_nurgle_plague
value	wh3_main_effect_foreign_slot_summon_faction_leader	summon_faction_leader
value	wh3_main_effect_kho_spawned_armies_bloodletter_upgrade	kho_spawned_army_bonus_flesh_hounds
value	wh3_main_effect_kho_spawned_armies_bonus_hounds	kho_spawned_army_bonus_flesh_hounds
value	wh3_main_effect_kho_spawned_armies_guaranteed_bloodthirster	kho_spawned_army_guaranteed_bloodthirsters
value	wh3_main_effect_kho_spawned_armies_initial_immunity_mod	kho_spawned_army_initial_attrition_immunity_duration_mod
value	wh3_main_effect_kho_spawned_armies_post_battle_immunity_mod	kho_spawned_army_post_battle_attrition_immunity_duration_mod
value	wh3_main_effect_kho_spawned_armies_size_mod	kho_spawned_army_size_mod
value	wh3_main_effect_ogr_camp_dev_point_spawned	development_points_for_camps_on_spawn
value	wh3_main_effect_ogre_contract_payload_mod	contracts_treasury_payload_modifier
value	wh3_main_effect_plague_income_on_spread	nurgle_plague_spread_earn_favour
value	wh3_main_effect_plague_pooled_resource_on_spread	nurgle_plague_spread_earn_infections
value	wh3_main_effect_plague_unit_on_spread	nurgle_plague_spread_earn_nurglings
value	wh3_main_effect_pooled_resource_kho_skulls_battle	skulls_from_province_battles
value	wh3_main_effect_pooled_resource_ksl_devotion_hero_actions_frost_maiden	devotion_hero_actions_frost_maiden
value	wh3_main_effect_pooled_resource_ksl_devotion_hero_actions_mod	devotion_hero_actions_modifier
value	wh3_main_effect_pooled_resource_ksl_devotion_hero_actions_patriarch	devotion_hero_actions_patriarch
value	wh3_main_effect_region_chance_to_spread_to_ruin_source_hidden	settlement_spread_to_province_ruin_chance
value	wh3_main_effect_region_chance_to_spread_to_ruin_source	settlement_spread_to_province_ruin_chance
value	wh3_main_effect_region_chance_to_spread_to_ruin_target	settlement_spread_to_province_ruin_chance_target_bonus
value	wh3_main_effect_scripted_capital_income	capital_income
value	wh3_main_effect_skull_piles_modifier	skull_piles_modifier
value	wh3_main_effect_slaanesh_create_disciple_army_unholy_manifestation	create_disciple_army
value	wh3_main_effect_slaanesh_create_disciple_army	create_disciple_army
value	wh3_main_effect_tol_bonus_victory_points	tol_bonus_vp
value	wh3_main_effect_unlock_bloodletting_daemon_prince	enable_win_streaks_feature
value	wh3_main_effect_unlock_plague_daemon_prince	enable_plagues_feature
value	wh3_main_effect_unlock_seduce_units_daemon_prince	enable_bribes_feature
value	wh3_main_effect_unlock_teleport_stance_daemon_prince	enable_teleport_stance_feature
value	wh3_main_enemy_post_battle_loot_bonus	post_battle_loot_mod_enemy
value	wh3_main_scripted_effect_all_forces_local_control_negative	public_order_bonus_all_forces
value	wh3_main_scripted_effect_all_forces_local_control_positive	public_order_bonus_all_forces
value	wh3_main_scripted_effect_all_forces_local_growth_negative	development_growth_bonus_all_forces
value	wh3_main_scripted_effect_all_forces_local_growth_positive	development_growth_bonus_all_forces
value	wh3_main_tech_climate_growth_mod_chaotic	growth_in_climate_chaotic
value	wh3_main_tech_climate_growth_mod_frozen	growth_in_climate_frozen
value	wh3_main_tech_climate_growth_mod_mountain	growth_in_climate_mountain
value	wh3_main_tech_climate_growth_mod_temperate	growth_in_climate_temperate
value	wh3_main_tech_climate_recruitment_cost_chaotic	recruitment_cost_in_climate_chaotic
value	wh3_main_tech_climate_recruitment_cost_frozen	recruitment_cost_in_climate_frozen
value	wh3_main_tech_climate_recruitment_cost_mountain	recruitment_cost_in_climate_mountain
value	wh3_main_tech_climate_recruitment_cost_temperate	recruitment_cost_in_climate_temperate
value	wh3_main_tech_effect_camp_raid_growth_bonus	camp_growth_enemy_territory
value	wh3_main_tech_line_of_sight_forces_with_plague	plague_sight
value	wh3_main_tech_nur_capture_bonus_dev_point	bonus_development_point_on_occupy
value	wh3_main_tech_trade_bonus_per_ally	allied_ogres_trade_income_mod
value	wh_dlc07_effect_increased_chivalry_beastmen	chivalry_from_battles_beastmen
value	wh_dlc07_effect_increased_chivalry_chaos	chivalry_from_battles_chaos
value	wh_dlc07_effect_increased_chivalry_dark_elves	chivalry_from_battles_dark_elves
value	wh_dlc07_effect_increased_chivalry_greenskins	chivalry_from_battles_greenskins
value	wh_dlc07_effect_increased_chivalry_norsca	chivalry_from_battles_norsca
value	wh_dlc07_effect_increased_chivalry_skaven	chivalry_from_battles_skaven
value	wh_dlc07_effect_increased_chivalry_tomb_kings	chivalry_from_battles_tomb_kings
value	wh_dlc07_effect_increased_chivalry_vampires	chivalry_from_battles_vampire_counts
value	wh_dlc07_effect_increased_chivalry_wood_elves	chivalry_from_battles_wood_elves
value	wh_dlc07_effect_peasant_increase_base_amount	peasant_increase_base_amount
value	wh_dlc07_effect_peasant_increase_per_region	peasant_increase_per_region
value	wh_main_effect_character_line_of_sight_mod	line_of_sight_armies_in_region_and_adjacent
value	wh_main_effect_experience_gain_necromancers	experience_mod
