key	melee	ranged_indirect	ranged_direct	fast	flanker	support	flying	high_value	gate_crusher	bomber	shock	use_skirmish	harasser	stalker	artillery?	building_breaker?	passive_shooter?	hybrid_melee
mage_flanker_highvalue	false	false	false	true	true	true	false	true	false	false	false	false	false	false	false	false	false	false
mage_highvalue	false	false	false	false	false	true	false	true	false	false	false	true	false	false	false	false	false	false
mage_stalkers_highvalue	false	false	false	false	false	true	false	true	false	false	false	true	false	true	false	false	false	false
melee	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
melee_anti_large	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
melee_cav	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
melee_cav_shock	true	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false
melee_cav_shock_highvalue	true	false	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false
melee_flanker	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false
melee_flanker_shock	true	false	false	true	true	false	false	false	false	false	true	false	false	false	false	false	false	false
melee_flanker_shock_highvalue	true	false	false	true	true	false	false	true	false	false	true	false	false	false	false	false	false	false
melee_gatecrusher	true	false	false	false	false	false	false	false	true	false	false	false	false	false	true	false	false	false
melee_gatecrusher_flanker_shock	true	false	false	false	true	false	false	false	true	false	true	false	false	false	true	false	false	false
melee_gatecrusher_highvalue	true	false	false	false	false	false	false	true	true	false	false	false	false	false	true	false	false	false
melee_gatecrusher_shock	true	false	false	false	false	false	false	false	true	false	true	false	false	false	true	false	false	false
melee_gatecrusher_support	true	false	false	false	false	true	false	false	true	false	false	false	false	false	true	false	false	false
melee_highvalue	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false
melee_lowvalue	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
melee_mage	true	false	false	false	false	true	false	true	false	false	false	false	false	false	false	false	false	false
melee_mage_highvalue	true	false	false	false	false	true	false	true	false	false	false	false	false	false	false	false	false	false
melee_passiveshooter_gatecrusher	true	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true	false	false
melee_passiveshooter_gatecrusher_highvalue	true	false	false	false	false	false	false	true	true	false	false	false	false	false	true	true	false	false
melee_stalkers	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false
melee_stalkers_flankers	true	false	false	false	true	false	false	false	false	false	false	false	false	true	false	false	false	false
ranged	false	true	false	false	false	false	false	false	false	false	false	true	false	false	false	true	false	false
ranged_cav	false	true	false	true	false	false	false	false	false	false	false	true	false	false	false	true	false	false
ranged_cav_harasser	false	true	false	true	false	false	false	false	false	false	false	true	true	false	false	true	false	false
ranged_cav_highvalue	false	true	false	true	false	false	false	true	false	false	false	true	false	false	false	true	false	false
ranged_direct	false	false	true	false	false	false	false	false	false	false	false	true	false	false	false	true	false	false
ranged_direct_arty	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	true	false
ranged_direct_cav	false	false	true	true	false	false	false	false	false	false	false	true	false	false	false	true	false	false
ranged_direct_flanker	false	false	true	true	true	false	false	false	false	false	false	true	false	false	false	true	false	false
ranged_direct_flanker_harasser	false	false	true	true	true	false	false	false	false	false	false	true	true	false	false	true	false	false
ranged_direct_gatecrusher	false	false	true	false	false	false	false	false	true	false	false	true	false	false	true	true	false	false
ranged_direct_highvalue	false	false	true	false	false	false	false	true	false	false	false	true	false	false	false	true	false	false
ranged_direct_no_skirmish	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false
ranged_flanker	false	true	false	true	true	false	false	false	false	false	false	true	false	false	false	true	false	false
ranged_harasser	false	true	false	false	false	false	false	false	false	false	false	true	true	false	false	true	false	false
ranged_harasser_flanker	false	true	false	true	true	false	false	false	false	false	false	true	true	false	false	true	false	false
ranged_harasser_highvalue	false	true	false	false	false	false	false	true	false	false	false	true	true	false	false	true	false	false
ranged_highvalue	false	true	false	false	false	false	false	true	false	false	false	true	false	false	false	true	false	false
ranged_indirect_arty	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	false
ranged_no_skirmish	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false
ranged_no_skirmish_gatecrusher	false	false	true	false	false	false	false	true	true	false	false	false	false	false	true	true	false	false
ranged_stalkers	false	true	false	false	false	false	false	false	false	false	false	true	false	true	false	true	false	false
ranged_stalkers_direct	false	false	true	false	false	false	false	false	false	false	false	true	false	true	false	true	false	false
ranged_stalkers_direct_no_skirmish	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	true	false	false
ranged_stalkers_flanker	false	true	false	true	true	false	false	false	false	false	false	true	false	true	false	true	false	false
ranged_stalkers_flanker_harasser	false	true	false	true	true	false	false	false	false	false	false	true	true	true	false	true	false	false
ranged_stalkers_harasser	false	true	false	false	false	false	false	false	false	false	false	true	true	true	false	true	false	false
ranged_stalkers_harasser_flanker	false	true	false	true	true	false	false	false	false	false	false	true	true	true	false	true	false	false
ranged_stalkers_harasser_highvalue	false	true	false	false	false	false	false	true	false	false	false	true	true	true	false	true	false	false
ranged_stalkers_no_skirmish	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	true	false	false
sky_junk	false	false	true	false	false	true	true	false	false	true	false	false	false	false	false	true	true	false
sky_lantern	false	false	true	false	false	true	true	false	false	false	false	false	false	false	false	true	false	false
