campaign_group	effect_bundle	effect_type
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_1	wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_2	wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_3	wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_4	wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_0	wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_1	wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_2	wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_3	wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_4	wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_0	wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_1	wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_2	wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_3	wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_4	wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_0	wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_1	wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_2	wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_3	wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_4	wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_0	wh2_dlc16_pooled_resource_world_roots_health_laurelorn_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_1	wh2_dlc16_pooled_resource_world_roots_health_laurelorn_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_2	wh2_dlc16_pooled_resource_world_roots_health_laurelorn_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_3	wh2_dlc16_pooled_resource_world_roots_health_laurelorn_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_4	wh2_dlc16_pooled_resource_world_roots_health_laurelorn_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_0	wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_1	wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_2	wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_3	wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_4	wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_0	wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_1	wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_2	wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_3	wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_4	wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_0	wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_1	wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_2	wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_3	wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_4	wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_4	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_0	wh2_dlc17_bst_ruination_passive_tier_0	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_1	wh2_dlc17_bst_ruination_passive_tier_1	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_2	wh2_dlc17_bst_ruination_passive_tier_2	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_3	wh2_dlc17_bst_ruination_passive_tier_3	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_4	wh2_dlc17_bst_ruination_passive_tier_4	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_5	wh2_dlc17_bst_ruination_passive_tier_5	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_6	wh2_dlc17_bst_ruination_passive_tier_6	ABSOLUTE_VALUE
wh2_dlc17_bst_ruination_tier_7	wh2_dlc17_bst_ruination_passive_tier_7	ABSOLUTE_VALUE
wh2_dlc17_taurox_bst_rampage_tier_1	wh2_dlc17_taurox_bst_rampage_passive_tier_1	ABSOLUTE_VALUE
wh2_dlc17_taurox_bst_rampage_tier_2	wh2_dlc17_taurox_bst_rampage_passive_tier_2	ABSOLUTE_VALUE
wh2_dlc17_taurox_bst_rampage_tier_3	wh2_dlc17_taurox_bst_rampage_passive_tier_3	ABSOLUTE_VALUE
wh2_main_pooled_resource_skaven_food_average	wh2_pooled_resource_skaven_food_average	PERCENTAGE_OF_CAPACITY
wh2_main_pooled_resource_skaven_food_plentiful	wh2_pooled_resource_skaven_food_plentiful	PERCENTAGE_OF_CAPACITY
wh2_main_pooled_resource_skaven_food_shortage	wh2_pooled_resource_skaven_food_shortage	PERCENTAGE_OF_CAPACITY
wh2_main_pooled_resource_skaven_food_starvation	wh2_pooled_resource_skaven_food_starvation	PERCENTAGE_OF_CAPACITY
wh2_main_pooled_resource_skaven_food_surplus	wh2_pooled_resource_skaven_food_surplus	PERCENTAGE_OF_CAPACITY
wh3_dlc20_chs_authority_khorne_-1	wh3_dlc20_bundle_chs_authority_khorne_-1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_-2	wh3_dlc20_bundle_chs_authority_khorne_-2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_-3	wh3_dlc20_bundle_chs_authority_khorne_-3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_-4	wh3_dlc20_bundle_chs_authority_khorne_-4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_-5	wh3_dlc20_bundle_chs_authority_khorne_-5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_0	wh3_dlc20_bundle_chs_authority_khorne_0	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_1	wh3_dlc20_bundle_chs_authority_khorne_1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_10	wh3_dlc20_bundle_chs_authority_khorne_10	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_2	wh3_dlc20_bundle_chs_authority_khorne_2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_3	wh3_dlc20_bundle_chs_authority_khorne_3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_4	wh3_dlc20_bundle_chs_authority_khorne_4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_5	wh3_dlc20_bundle_chs_authority_khorne_5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_6	wh3_dlc20_bundle_chs_authority_khorne_6	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_7	wh3_dlc20_bundle_chs_authority_khorne_7	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_8	wh3_dlc20_bundle_chs_authority_khorne_8	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_khorne_9	wh3_dlc20_bundle_chs_authority_khorne_9	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_-1	wh3_dlc20_bundle_chs_authority_nurgle_-1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_-2	wh3_dlc20_bundle_chs_authority_nurgle_-2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_-3	wh3_dlc20_bundle_chs_authority_nurgle_-3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_-4	wh3_dlc20_bundle_chs_authority_nurgle_-4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_-5	wh3_dlc20_bundle_chs_authority_nurgle_-5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_0	wh3_dlc20_bundle_chs_authority_nurgle_0	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_1	wh3_dlc20_bundle_chs_authority_nurgle_1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_10	wh3_dlc20_bundle_chs_authority_nurgle_10	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_2	wh3_dlc20_bundle_chs_authority_nurgle_2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_3	wh3_dlc20_bundle_chs_authority_nurgle_3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_4	wh3_dlc20_bundle_chs_authority_nurgle_4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_5	wh3_dlc20_bundle_chs_authority_nurgle_5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_6	wh3_dlc20_bundle_chs_authority_nurgle_6	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_7	wh3_dlc20_bundle_chs_authority_nurgle_7	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_8	wh3_dlc20_bundle_chs_authority_nurgle_8	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_nurgle_9	wh3_dlc20_bundle_chs_authority_nurgle_9	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_-1	wh3_dlc20_bundle_chs_authority_slaanesh_-1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_-2	wh3_dlc20_bundle_chs_authority_slaanesh_-2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_-3	wh3_dlc20_bundle_chs_authority_slaanesh_-3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_-4	wh3_dlc20_bundle_chs_authority_slaanesh_-4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_-5	wh3_dlc20_bundle_chs_authority_slaanesh_-5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_0	wh3_dlc20_bundle_chs_authority_slaanesh_0	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_1	wh3_dlc20_bundle_chs_authority_slaanesh_1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_10	wh3_dlc20_bundle_chs_authority_slaanesh_10	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_2	wh3_dlc20_bundle_chs_authority_slaanesh_2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_3	wh3_dlc20_bundle_chs_authority_slaanesh_3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_4	wh3_dlc20_bundle_chs_authority_slaanesh_4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_5	wh3_dlc20_bundle_chs_authority_slaanesh_5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_6	wh3_dlc20_bundle_chs_authority_slaanesh_6	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_7	wh3_dlc20_bundle_chs_authority_slaanesh_7	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_8	wh3_dlc20_bundle_chs_authority_slaanesh_8	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_slaanesh_9	wh3_dlc20_bundle_chs_authority_slaanesh_9	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_-1	wh3_dlc20_bundle_chs_authority_tzeentch_-1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_-2	wh3_dlc20_bundle_chs_authority_tzeentch_-2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_-3	wh3_dlc20_bundle_chs_authority_tzeentch_-3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_-4	wh3_dlc20_bundle_chs_authority_tzeentch_-4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_-5	wh3_dlc20_bundle_chs_authority_tzeentch_-5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_0	wh3_dlc20_bundle_chs_authority_tzeentch_0	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_1	wh3_dlc20_bundle_chs_authority_tzeentch_1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_10	wh3_dlc20_bundle_chs_authority_tzeentch_10	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_2	wh3_dlc20_bundle_chs_authority_tzeentch_2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_3	wh3_dlc20_bundle_chs_authority_tzeentch_3	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_4	wh3_dlc20_bundle_chs_authority_tzeentch_4	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_5	wh3_dlc20_bundle_chs_authority_tzeentch_5	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_6	wh3_dlc20_bundle_chs_authority_tzeentch_6	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_7	wh3_dlc20_bundle_chs_authority_tzeentch_7	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_8	wh3_dlc20_bundle_chs_authority_tzeentch_8	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_tzeentch_9	wh3_dlc20_bundle_chs_authority_tzeentch_9	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_undivided_0	wh3_dlc20_bundle_chs_authority_undivided_0	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_undivided_1	wh3_dlc20_bundle_chs_authority_undivided_1	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_undivided_10	wh3_dlc20_bundle_chs_authority_undivided_10	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_undivided_2	wh3_dlc20_bundle_chs_authority_undivided_2	ABSOLUTE_VALUE
wh3_dlc20_chs_authority_undivided_3	wh3_dlc20_bundle_chs_authority_undivided_3	ABSOLUTE_VALUE
