agent_subtype	ancillary	rank	instant	is_quest_battle
wh2_dlc13_lzd_gor_rok	wh2_dlc13_anc_weapon_mace_of_ulumak	3	false	false
wh_main_emp_karl_franz	wh2_dlc13_anc_weapon_runefang_drakwald	7	false	true
wh2_dlc13_lzd_nakai	wh2_dlc13_talisman_the_ogham_shard	10	false	true
wh2_dlc14_skv_deathmaster_snikch	wh2_dlc14_anc_armour_the_cloak_of_shadows	7	false	true
wh2_dlc14_brt_repanse	wh2_dlc14_anc_weapon_sword_of_lyonesse	7	false	true
wh2_dlc14_def_malus_darkblade	wh2_dlc14_anc_weapon_warpsword_of_khaine	7	false	true
wh2_dlc14_skv_deathmaster_snikch	wh2_dlc14_anc_weapon_whirl_of_weeping_blades	3	false	false
wh2_dlc15_hef_imrik	wh2_dlc15_anc_armour_armour_of_caledor	8	false	true
wh2_dlc15_hef_eltharion	wh2_dlc15_anc_armour_helm_of_yvresse	12	false	false
wh2_dlc15_grn_grom_the_paunch	wh2_dlc15_anc_enchanted_item_lucky_banner	7	false	false
wh2_dlc15_hef_eltharion	wh2_dlc15_anc_talisman_talisman_of_hoeth	7	false	true
wh2_dlc15_grn_grom_the_paunch	wh2_dlc15_anc_weapon_axe_of_grom	12	false	true
wh2_dlc15_hef_eltharion	wh2_dlc15_anc_weapon_fangsword_of_eltharion	17	false	false
wh2_dlc16_wef_drycha	wh2_dlc16_anc_enchanted_item_fang_of_taalroth	7	false	true
wh2_dlc16_skv_throt_the_unclean	wh2_dlc16_anc_enchanted_item_whip_of_domination	7	false	true
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_anc_mount_wef_cha_sisters_of_twilight_forest_dragon	12	false	true
wh2_dlc16_skv_throt_the_unclean	wh2_dlc16_anc_weapon_creature_killer	3	false	false
wh2_dlc17_dwf_thorek	wh2_dlc17_anc_armour_thoreks_rune_armour	7	false	false
wh2_dlc17_dwf_thorek	wh2_dlc17_anc_weapon_klad_brakak	12	false	true
wh2_dlc17_bst_taurox	wh2_dlc17_anc_weapon_rune_tortured_axes	7	false	true
wh2_dlc17_lzd_oxyotl	wh2_dlc17_anc_weapon_the_golden_blowpipe_of_ptoohee	7	false	true
wh2_main_def_malekith	wh2_main_anc_arcane_item_circlet_of_iron	7	false	true
wh2_main_hef_teclis	wh2_main_anc_arcane_item_moon_staff_of_lileath	4	false	false
wh2_main_skv_lord_skrolk	wh2_main_anc_arcane_item_the_liber_bubonicus	7	false	true
wh2_main_def_morathi	wh2_main_anc_arcane_item_wand_of_the_kharaidon	7	false	false
wh2_main_def_malekith	wh2_main_anc_armour_armour_of_midnight	4	false	false
wh2_main_hef_tyrion	wh2_main_anc_armour_dragon_armour_of_aenarion	7	false	true
wh2_dlc11_def_lokhir	wh2_main_anc_armour_helm_of_the_kraken	12	false	true
wh2_main_hef_teclis	wh2_main_anc_armour_war_crown_of_saphery	7	false	true
wh2_main_skv_queek_headtaker	wh2_main_anc_armour_warp_shard_armour	7	false	true
wh2_main_lzd_kroq_gar	wh2_main_anc_enchanted_item_hand_of_gods	12	false	true
wh2_main_hef_tyrion	wh2_main_anc_enchanted_item_heart_of_avelorn	17	false	false
wh2_main_hef_teclis	wh2_main_anc_enchanted_item_scroll_of_hoeth	2	false	false
wh2_main_def_malekith	wh2_main_anc_enchanted_item_supreme_spellshield	17	false	true
wh2_main_lzd_lord_mazdamundi	wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl	7	false	true
wh2_main_def_morathi	wh2_main_anc_talisman_amber_amulet	4	false	false
wh2_main_lzd_lord_mazdamundi	wh2_main_anc_weapon_cobra_mace_of_mazdamundi	12	false	true
wh2_main_def_malekith	wh2_main_anc_weapon_destroyer	12	false	true
wh2_main_skv_queek_headtaker	wh2_main_anc_weapon_dwarf_gouger	12	false	true
wh2_main_def_morathi	wh2_main_anc_weapon_heartrender_and_the_darksword	12	false	true
wh2_main_lzd_kroq_gar	wh2_main_anc_weapon_revered_spear_of_tlanxla	7	false	true
wh2_main_skv_lord_skrolk	wh2_main_anc_weapon_rod_of_corruption	12	false	true
wh2_main_hef_tyrion	wh2_main_anc_weapon_sunfang	12	false	true
wh2_main_hef_teclis	wh2_main_anc_weapon_sword_of_teclis	12	false	true
wh2_twa03_def_rakarth	wh2_twa03_anc_weapon_whip_of_agony	7	false	true
wh3_dlc20_tze_vilitch	wh3_dlc20_anc_arcane_item_vessel_of_chaos	15	false	true
wh3_dlc20_kho_valkia	wh3_dlc20_anc_armour_the_scarlet_armour	8	false	false
wh3_dlc20_kho_valkia	wh3_dlc20_anc_enchanted_item_daemonshield	12	false	false
wh3_dlc20_nur_festus	wh3_dlc20_anc_enchanted_item_pestilent_potions	15	false	true
wh3_dlc20_sla_azazel	wh3_dlc20_anc_weapon_daemonblade	15	false	true
wh3_dlc20_kho_valkia	wh3_dlc20_anc_weapon_the_spear_slaupnir	15	false	true
wh3_dlc23_chd_drazhoath	wh3_dlc23_anc_arcane_item_daemonspite_crucible	12	false	false
wh3_dlc23_chd_zhatan	wh3_dlc23_anc_armour_chd_armour_of_gazrakh	8	false	false
wh3_dlc23_chd_zhatan	wh3_dlc23_anc_enchanted_item_chd_chaos_runeshield	15	false	true
wh3_dlc23_chd_drazhoath	wh3_dlc23_anc_talisman_hellshard_amulet	15	false	true
wh3_dlc23_chd_astragoth	wh3_dlc23_anc_talisman_stone_mantle	8	false	false
wh3_dlc23_chd_astragoth	wh3_dlc23_anc_weapon_black_hammer_of_hashut	12	false	true
wh3_dlc23_chd_zhatan	wh3_dlc23_anc_weapon_chd_the_obsidian_axe	12	false	false
wh3_dlc23_chd_drazhoath	wh3_dlc23_anc_weapon_the_graven_sceptre	8	false	false
wh3_dlc24_ksl_mother_ostankya	wh3_dlc24_anc_arcane_item_crown_of_claws	12	false	true
wh3_dlc24_tze_the_changeling	wh3_dlc24_anc_arcane_item_the_tricksters_staff	12	false	true
wh3_dlc24_cth_yuan_bo	wh3_dlc24_anc_armour_armour_of_the_dragons_gaze	8	false	false
wh3_main_cth_zhao_ming	wh3_dlc24_anc_armour_horns_of_shang_yang	3	false	false
wh3_main_cth_miao_ying	wh3_dlc24_anc_armour_storm_wind_coronal	3	false	false
wh3_dlc24_ksl_mother_ostankya	wh3_dlc24_anc_enchanted_item_cauldron_of_power	8	false	false
wh3_main_cth_zhao_ming	wh3_dlc24_anc_enchanted_item_the_burning_vambraces	12	false	false
wh3_main_cth_miao_ying	wh3_dlc24_anc_enchanted_item_vambraces_of_yin	12	false	false
wh3_dlc24_cth_yuan_bo	wh3_dlc24_anc_weapon_the_dragons_fang	12	false	true
wh3_dlc25_nur_epidemius	wh3_dlc25_anc_enchanted_item_epidemius_hourglass	12	false	true
wh3_dlc25_dwf_malakai_makaisson	wh3_dlc25_anc_enchanted_item_the_eyes_of_grungni	12	false	true
wh3_dlc25_emp_elspeth_von_draken	wh3_dlc25_anc_talisman_deaths_timekeeper	15	false	true
wh3_dlc25_nur_epidemius	wh3_dlc25_anc_weapon_epidemius_sword	7	false	false
wh3_dlc25_dwf_malakai_makaisson	wh3_dlc25_anc_weapon_makaissons_persuader	8	false	false
wh3_dlc25_nur_tamurkhan	wh3_dlc25_anc_weapon_the_black_cleaver	17	false	true
wh3_dlc25_emp_elspeth_von_draken	wh3_dlc25_anc_weapon_the_pale_scythe	12	false	false
wh3_dlc26_ogr_golgfag_maneater	wh3_dlc26_anc_enchanted_item_bugmans_xxxxxx	15	false	true
wh3_dlc26_kho_arbaal_the_undefeated	wh3_dlc26_anc_weapon_destroyer_of_khorne	15	false	true
wh3_dlc26_grn_gorbad_ironclaw	wh3_dlc26_anc_weapon_morglor_the_mangler	15	false	true
wh3_dlc26_kho_skulltaker	wh3_dlc26_anc_weapon_the_slayer_sword	14	false	true
wh3_dlc27_sla_dechala	wh3_dlc27_anc_enchanted_item_elixir_of_damnation	13	false	true
wh3_dlc27_hef_aislinn	wh3_dlc27_anc_enchanted_item_mask_of_the_merlord	10	false	true
wh3_dlc27_sla_masque_of_slaanesh	wh3_dlc27_anc_enchanted_item_staff_of_the_masque	14	false	true
wh3_dlc27_nor_sayl_the_faithless	wh3_dlc27_anc_weapon_the_viperous_staff	8	false	true
wh3_main_tze_kairos	wh3_main_anc_arcane_item_staff_of_tomorrow	10	false	true
wh3_main_ksl_boris	wh3_main_anc_armour_armour_of_ursun	10	false	false
wh3_main_ksl_katarin	wh3_main_anc_armour_the_crystal_cloak	10	false	true
wh3_main_ogr_skrag_the_slaughterer	wh3_main_anc_enchanted_item_cauldron_of_the_great_maw	10	false	true
wh3_main_ogr_greasus_goldtooth	wh3_main_anc_talisman_overtyrants_crown	10	false	true
wh3_main_dae_belakor	wh3_main_anc_weapon_blade_of_shadow	7	true	false
wh3_main_ksl_katarin	wh3_main_anc_weapon_frost_fang	7	false	false
wh3_main_nur_kugath	wh3_main_anc_weapon_necrotic_missiles	10	false	true
wh3_main_ogr_greasus_goldtooth	wh3_main_anc_weapon_sceptre_of_titans	7	false	false
wh3_main_ksl_boris	wh3_main_anc_weapon_shard_blade	7	false	false
wh3_main_kho_skarbrand	wh3_main_anc_weapon_slaughter_and_carnage	10	false	true
wh3_main_ksl_kostaltyn	wh3_main_anc_weapon_the_burning_brazier	10	false	true
wh3_main_sla_nkari	wh3_main_anc_weapon_witstealer_sword	10	false	true
wh_dlc03_bst_khazrak	wh_dlc03_anc_armour_the_dark_mail	12	false	true
wh_dlc03_bst_malagor	wh_dlc03_anc_enchanted_item_icons_of_vilification	7	false	true
wh_dlc03_bst_khazrak	wh_dlc03_anc_weapon_scourge	7	false	true
wh_dlc04_vmp_helman_ghorst	wh_dlc04_anc_arcane_item_the_liber_noctus	7	false	true
wh_dlc04_emp_volkmar	wh_dlc04_anc_talisman_jade_griffon	7	false	true
wh_dlc04_vmp_vlad_con_carstein	wh_dlc04_anc_talisman_the_carstein_ring	12	false	true
wh_dlc04_vmp_vlad_con_carstein	wh_dlc04_anc_weapon_blood_drinker	7	false	true
wh_dlc04_emp_volkmar	wh_dlc04_anc_weapon_staff_of_command	12	false	true
wh_dlc05_wef_orion	wh_dlc05_anc_enchanted_item_horn_of_the_wild_hunt	7	false	true
wh_dlc05_wef_orion	wh_dlc05_anc_talisman_cloak_of_isha	12	false	true
wh_dlc05_wef_durthu	wh_dlc05_anc_weapon_daiths_sword	7	false	true
wh_dlc05_wef_orion	wh_dlc05_anc_weapon_spear_of_kurnous	17	false	true
wh_dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_anc_arcane_item_squiggly_beast	12	false	true
wh_dlc06_dwf_belegar	wh_dlc06_anc_armour_shield_of_defiance	7	false	true
wh_dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_anc_enchanted_item_baleful_mask	7	false	true
wh_dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_anc_weapon_bonewood_staff	17	false	true
wh_dlc06_grn_skarsnik	wh_dlc06_anc_weapon_skarsniks_prodder	7	false	true
wh_dlc06_dwf_belegar	wh_dlc06_anc_weapon_the_hammer_of_angrund	12	false	true
wh_dlc07_brt_fay_enchantress	wh_dlc07_anc_arcane_item_the_chalice_of_potions	12	false	true
wh_dlc07_brt_alberic	wh_dlc07_anc_weapon_trident_of_manann	7	false	true
wh_dlc08_nor_throgg	wh_dlc08_anc_enchanted_item_wintertooth_crown	7	false	true
wh_dlc08_nor_wulfrik	wh_dlc08_anc_weapon_sword_of_torgald	7	false	true
wh_main_vmp_heinrich_kemmler	wh_main_anc_arcane_item_skull_staff	17	false	true
wh_main_emp_balthasar_gelt	wh_main_anc_arcane_item_staff_of_volans	17	false	true
wh_main_vmp_mannfred_von_carstein	wh_main_anc_armour_armour_of_templehof	12	false	true
wh_dlc01_chs_prince_sigvald	wh_main_anc_armour_auric_armour	12	false	true
wh_main_grn_azhag_the_slaughterer	wh_main_anc_armour_azhags_ard_armour	12	false	true
wh_main_grn_grimgor_ironhide	wh_main_anc_armour_blood-forged_armour	12	false	true
wh_main_chs_archaon	wh_main_anc_armour_the_armour_of_morkar	12	false	true
wh_main_dwf_thorgrim_grudgebearer	wh_main_anc_armour_the_armour_of_skaldour	12	false	true
wh_main_dwf_ungrim_ironfist	wh_main_anc_armour_the_slayer_crown	7	false	true
wh_main_vmp_heinrich_kemmler	wh_main_anc_enchanted_item_cloak_of_mists_and_shadows	12	false	true
wh_main_emp_balthasar_gelt	wh_main_anc_enchanted_item_cloak_of_molten_metal	7	false	true
wh_main_chs_archaon	wh_main_anc_enchanted_item_the_crown_of_domination	22	false	true
wh_main_grn_azhag_the_slaughterer	wh_main_anc_enchanted_item_the_crown_of_sorcery	7	false	true
wh_main_dwf_thorgrim_grudgebearer	wh_main_anc_enchanted_item_the_great_book_of_grudges	22	false	true
wh_main_emp_balthasar_gelt	wh_main_anc_talisman_amulet_of_sea_gold	12	false	true
wh_main_dwf_ungrim_ironfist	wh_main_anc_talisman_dragon_cloak_of_fyrskar	12	false	true
wh_main_dwf_thorgrim_grudgebearer	wh_main_anc_talisman_the_dragon_crown_of_karaz	17	false	true
wh_main_chs_archaon	wh_main_anc_talisman_the_eye_of_sheerian	17	false	true
wh_main_emp_karl_franz	wh_main_anc_talisman_the_silver_seal	17	false	true
wh_main_dwf_ungrim_ironfist	wh_main_anc_weapon_axe_of_dargo	17	false	true
wh_main_vmp_heinrich_kemmler	wh_main_anc_weapon_chaos_tomb_blade	7	false	true
wh_main_emp_karl_franz	wh_main_anc_weapon_ghal_maraz	12	false	true
wh_main_grn_grimgor_ironhide	wh_main_anc_weapon_gitsnik	7	false	true
wh_main_grn_azhag_the_slaughterer	wh_main_anc_weapon_slaggas_slashas	17	false	true
wh_dlc01_chs_prince_sigvald	wh_main_anc_weapon_sliverslash	7	false	true
wh_dlc01_chs_kholek_suneater	wh_main_anc_weapon_starcrusher	7	false	true
wh_dlc05_bst_morghur	wh_main_anc_weapon_stave_of_ruinous_corruption	7	false	true
wh_main_vmp_mannfred_von_carstein	wh_main_anc_weapon_sword_of_unholy_power	7	false	true
wh_main_dwf_thorgrim_grudgebearer	wh_main_anc_weapon_the_axe_of_grimnir	7	false	true
wh_main_chs_archaon	wh_main_anc_weapon_the_slayer_of_kings	7	false	true
wh_main_brt_louen_leoncouer	wh_main_anc_weapon_the_sword_of_couronne	12	false	true
wh_pro01_dwf_grombrindal	wh_pro01_anc_armour_armour_of_glimril_scales	7	false	true
wh_pro01_dwf_grombrindal	wh_pro01_anc_enchanted_item_rune_helm_of_zhufbar	22	false	true
wh_pro01_dwf_grombrindal	wh_pro01_anc_talisman_cloak_of_valaya	17	false	true
wh_pro01_dwf_grombrindal	wh_pro01_anc_weapon_the_rune_axe_of_grombrindal	12	false	true
wh_pro02_vmp_isabella_von_carstein	wh_pro02_anc_enchanted_item_blood_chalice_of_bathori	8	false	true
