effect_key	set_key	effect_scope	value
wh_main_effect_character_stat_armour	wh3_dlc24_ancillary_set_chd_astragoth	character_to_character_own	10.0000
building_upkeep	wh3_dlc24_ancillary_set_cth_miao_ying	character_to_faction_unseen	50.0000
wh_main_effect_character_stat_aura_leadership_effect	wh3_dlc24_ancillary_set_cth_miao_ying	character_to_character_own	10.0000
wh_main_effect_character_stat_ward_save	wh3_dlc24_ancillary_set_cth_miao_ying	character_to_character_own	5.0000
wh3_dlc24_effect_ability_cooldown_dragons_fang	wh3_dlc24_ancillary_set_cth_yuan_bo	character_to_character_own	-10.0000
wh3_main_effect_corruption_reduction_characters	wh3_dlc24_ancillary_set_cth_yuan_bo	character_to_province_any	-3.0000
wh_main_effect_force_stat_leadership_foreign_territory	wh3_dlc24_ancillary_set_cth_yuan_bo	general_to_force_own	3.0000
wh3_main_faction_political_diplomacy_mod_cathay	wh3_dlc24_ancillary_set_cth_zhao_ming	character_to_faction_unseen	30.0000
wh_main_effect_character_stat_ap_damage	wh3_dlc24_ancillary_set_cth_zhao_ming	character_to_character_own	20.0000
wh3_dlc24_effect_force_stat_ward_hag_witch	wh3_dlc24_ancillary_set_ksl_mother_ostankya	character_to_force_own_unseen	5.0000
wh_main_effect_character_stat_armour	wh3_dlc24_ancillary_set_ksl_mother_ostankya	character_to_character_own	10.0000
wh3_dlc25_effect_resource_upkeep_cost_reduction_dwf_arty_warmachines	wh3_dlc25_ancillary_set_dwf_malakai	character_to_force_own_unseen	-5.0000
wh_main_effect_character_stat_missile_damage	wh3_dlc25_ancillary_set_dwf_malakai	character_to_character_own	10.0000
wh_main_effect_technology_research_points	wh3_dlc25_ancillary_set_dwf_malakai	character_to_faction_unseen	10.0000
wh_main_effect_force_stat_leadership_enemy_unit	wh3_dlc25_ancillary_set_emp_bruckner	region_to_force_enemy	-5.0000
wh_main_effect_public_order_characters	wh3_dlc25_ancillary_set_emp_bruckner	character_to_province_own_factionwide	1.0000
wh_main_effect_character_mod_ancillary_drop	wh3_dlc25_ancillary_set_emp_elspeth	character_to_character_own	50.0000
wh_main_effect_character_mod_ancillary_steal	wh3_dlc25_ancillary_set_emp_elspeth	character_to_character_own	20.0000
wh3_dlc25_effect_recruit_cost_emp_gunnery	wh3_dlc25_ancillary_set_emp_engineer	character_to_force_own_alt_text	-20.0000
wh3_dlc25_emp_effect_upkeep_gunnery	wh3_dlc25_ancillary_set_emp_engineer	character_to_force_own_alt_text	-10.0000
wh_main_effect_technology_research_points	wh3_dlc25_ancillary_set_emp_engineer	character_to_faction_unseen	10.0000
wh3_main_effect_corruption_reduction_characters	wh3_dlc25_ancillary_set_neu_ulrika	character_to_province_any	-4.0000
wh_main_effect_character_stat_melee_defence	wh3_dlc25_ancillary_set_neu_ulrika	character_to_character_own	5.0000
wh3_dlc20_effect_force_stat_speed_enemy	wh3_dlc25_ancillary_set_nur_epidemius	character_to_force_enemy_regionwide	-15.0000
wh3_main_effect_corruption_nurgle_characters	wh3_dlc25_ancillary_set_nur_epidemius	character_to_province_any	3.0000
wh3_main_effect_corruption_nurgle_characters	wh3_dlc25_ancillary_set_nur_kayzk	character_to_province_any	2.0000
wh_main_effect_character_stat_ward_save	wh3_dlc25_ancillary_set_nur_kayzk	character_to_character_own	5.0000
wh2_main_effect_force_stat_melee_attack_at_sea	wh3_main_ancillary_set_brt_alberic	general_to_force_own	8.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_brt_alberic	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_bretonnia	wh3_main_ancillary_set_brt_louen_leoncouer	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_brt_louen_leoncouer	character_to_province_own_factionwide	1.0000
wh3_main_effect_corruption_chaos_characters	wh3_main_ancillary_set_bst_khazrak	character_to_province_any	3.0000
wh_main_effect_force_all_campaign_raid_income	wh3_main_ancillary_set_bst_khazrak	general_to_force_own	50.0000
wh_main_effect_public_order_characters_negative	wh3_main_ancillary_set_bst_khazrak	character_to_province_enemy	-5.0000
wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh3_main_ancillary_set_chs_archaon	character_to_faction_unseen	50.0000
wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_character	wh3_main_ancillary_set_chs_archaon	character_to_force_own_factionwide	1.0000
wh3_main_effect_corruption_slaanesh_characters	wh3_main_ancillary_set_chs_prince_sigvald	character_to_province_any	4.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_chs_prince_sigvald	character_to_province_own_factionwide	1.0000
wh_main_effect_character_stat_armour	wh3_main_ancillary_set_cth_nan_gau_sentinel	character_to_character_own	10.0000
wh_main_effect_character_stat_physical_resistance	wh3_main_ancillary_set_cth_nan_gau_sentinel	character_to_character_own	7.0000
wh3_main_effect_winds_of_magic_increase_chance_mod	wh3_main_ancillary_set_cth_shang_yang_elementalist	character_to_region_any_local_province_text	50.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_cth_shang_yang_elementalist	general_to_force_own	10.0000
wh_main_effect_attribute_enable_causes_fear	wh3_main_ancillary_set_cth_the_celestial_champion	character_to_character_own	1.0000
wh_main_effect_character_stat_melee_attack	wh3_main_ancillary_set_cth_the_celestial_champion	character_to_character_own	8.0000
wh_main_effect_character_stat_melee_defence	wh3_main_ancillary_set_cth_the_celestial_champion	character_to_character_own	8.0000
wh2_main_effect_ability_cooldown_spells	wh3_main_ancillary_set_cth_tools_of_astromancy	character_to_character_own	-25.0000
wh_main_effect_character_stat_miscast	wh3_main_ancillary_set_cth_tools_of_astromancy	character_to_character_own	-10.0000
wh2_main_effect_def_rite_cost_mod	wh3_main_ancillary_set_def_crone_hellebron	character_to_faction_unseen	-50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_def_crone_hellebron	character_to_province_own_factionwide	1.0000
wh2_main_effect_force_stat_melee_attack_at_sea	wh3_main_ancillary_set_def_lokhir	character_to_force_own_factionwide	6.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_def_lokhir	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_dark_elves	wh3_main_ancillary_set_def_malekith	character_to_faction_unseen	50.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_def_malekith	general_to_force_own	10.0000
wh3_dlc20_effect_allegiance_points_mod_slaanesh	wh3_main_ancillary_set_def_morathi	character_to_faction_unseen	50.0000
wh3_main_effect_corruption_slaanesh_characters_no_tr	wh3_main_ancillary_set_def_morathi	character_to_province_any	2.0000
wh2_main_effect_building_unit_xp_levels_def_resource_animals	wh3_main_ancillary_set_def_rakarth	character_to_force_own_factionwide	4.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_def_rakarth	character_to_province_own_factionwide	1.0000
wh_main_effect_force_all_campaign_experience_base_all	wh3_main_ancillary_set_dwf_belegar	character_to_character_own_factionwide	1.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_dwf_belegar	character_to_province_own_factionwide	1.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_dwf_grombrindal	character_to_province_own_factionwide	1.0000
wh_main_faction_political_diplomacy_mod_dwarfs	wh3_main_ancillary_set_dwf_grombrindal	character_to_faction_unseen	30.0000
wh2_dlc17_pooled_resource_oathgold_runecrafting_mod	wh3_main_ancillary_set_dwf_thorek	character_to_faction_unseen	-25.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_dwf_thorek	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_dwarfs	wh3_main_ancillary_set_dwf_thorgrim_grudgebearer	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_dwf_thorgrim_grudgebearer	character_to_province_own_factionwide	1.0000
wh_main_effect_force_army_campaign_experience_base_slayers	wh3_main_ancillary_set_dwf_ungrim_ironfist	general_to_force_own	1.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_dwf_ungrim_ironfist	character_to_province_own	3.0000
wh_main_effect_tech_recruitment_cost_reduction_slayers	wh3_main_ancillary_set_dwf_ungrim_ironfist	general_to_force_own	-25.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_emp_balthasar_gelt	general_to_force_own	20.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_emp_karl_franz	character_to_province_own_factionwide	1.0000
wh_main_faction_political_diplomacy_mod_empire	wh3_main_ancillary_set_emp_karl_franz	character_to_faction_unseen	20.0000
wh2_dlc17_effect_charge_bonus_increase_clerical_units	wh3_main_ancillary_set_emp_volkmar	general_to_force_own	8.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_emp_volkmar	character_to_province_own_factionwide	1.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_grn_azhag_the_slaughterer	general_to_force_own	20.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_grn_azhag_the_slaughterer	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_greenskins	wh3_main_ancillary_set_grn_grimgor_ironhide	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_grn_grimgor_ironhide	character_to_province_own_factionwide	1.0000
wh_main_effect_character_stat_weapon_strength	wh3_main_ancillary_set_grn_grom_the_paunch	character_to_character_own	15.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_grn_grom_the_paunch	character_to_province_own_factionwide	1.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_grn_wurrzag_da_great_prophet	general_to_force_own	20.0000
wh_main_effect_character_stat_ward_save	wh3_main_ancillary_set_hef_alarielle	character_to_character_own	5.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_hef_alarielle	character_to_province_own_factionwide	1.0000
wh3_main_effect_force_all_campaign_movement_range_post_battle_win	wh3_main_ancillary_set_hef_alith_anar	character_to_character_own	8.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_hef_alith_anar	character_to_province_own_factionwide	1.0000
wh_main_effect_force_army_campaign_recruitment_points	wh3_main_ancillary_set_hef_eltharion	character_to_faction_unseen	1.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_hef_eltharion	character_to_province_own_factionwide	1.0000
wh_main_effect_force_stat_melee_defence	wh3_main_ancillary_set_hef_imrik	character_to_force_own_factionwide	3.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_hef_imrik	character_to_province_own_factionwide	1.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_hef_teclis	general_to_force_own	20.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_hef_teclis	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_high_elves	wh3_main_ancillary_set_hef_tyrion	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_hef_tyrion	character_to_province_own_factionwide	1.0000
wh3_main_effect_corruption_khorne_characters	wh3_main_ancillary_set_kho_trappings_of_blood	character_to_province_any	5.0000
wh_dlc08_effect_character_stat_enable_frostbite_attacks	wh3_main_ancillary_set_ksl_druzhina_of_ice	character_to_character_own	1.0000
wh_main_effect_character_stat_speed	wh3_main_ancillary_set_ksl_druzhina_of_ice	character_to_character_own	15.0000
wh3_main_effect_allegiance_points_mod_kislev	wh3_main_ancillary_set_ksl_raiment_of_office	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_ksl_raiment_of_office	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_loan_army_mod	wh3_main_ancillary_set_ksl_the_red_tzars_attire	character_to_faction_unseen	-20.0000
wh3_main_effect_corruption_reduction_characters	wh3_main_ancillary_set_ksl_ursire	character_to_province_any	-4.0000
wh_main_effect_character_stat_melee_defence	wh3_main_ancillary_set_ksl_ursire	character_to_character_own	5.0000
wh_main_effect_character_stat_bonus_vs_large	wh3_main_ancillary_set_ksl_wyrmhunter	character_to_character_own	5.0000
wh_main_effect_character_stat_melee_attack	wh3_main_ancillary_set_ksl_wyrmhunter	character_to_character_own	5.0000
wh3_main_effect_corruption_reduction_characters	wh3_main_ancillary_set_lzd_gor_rok	character_to_province_any	-4.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_lzd_gor_rok	character_to_province_own_factionwide	1.0000
wh_main_effect_character_stat_physical_resistance	wh3_main_ancillary_set_lzd_kroq_gar	character_to_character_own	10.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_lzd_kroq_gar	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_lizardmen	wh3_main_ancillary_set_lzd_lord_mazdamundi	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_lzd_lord_mazdamundi	character_to_province_own_factionwide	1.0000
wh_main_effect_character_mod_ancillary_drop	wh3_main_ancillary_set_lzd_nakai	character_to_character_own_factionwide	10.0000
wh_main_effect_hordebuilding_growth_characters	wh3_main_ancillary_set_lzd_nakai	general_to_force_own	5.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_lzd_tehenhauin	general_to_force_own	10.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_lzd_tehenhauin	character_to_province_own_factionwide	1.0000
wh2_main_effect_force_stat_speed_lzd_terradon	wh3_main_ancillary_set_lzd_tiktaqto	character_to_force_own_factionwide	10.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_lzd_tiktaqto	character_to_province_own_factionwide	1.0000
wh3_main_effect_corruption_nurgle_characters	wh3_main_ancillary_set_nur_impedimenta_of_plague	character_to_province_any	5.0000
wh3_main_effect_attribute_enable_devestating_flanker	wh3_main_ancillary_set_ogr_bull_balls	character_to_character_own	1.0000
wh_main_effect_character_stat_speed	wh3_main_ancillary_set_ogr_bull_balls	character_to_character_own	15.0000
wh3_main_effect_allegiance_points_mod_ogres	wh3_main_ancillary_set_ogr_da_crown_jewelz	character_to_faction_unseen	50.0000
wh_main_effect_character_stat_aura_leadership_effect	wh3_main_ancillary_set_ogr_da_crown_jewelz	character_to_character_own	5.0000
wh_main_effect_character_stat_leadership_aura_size	wh3_main_ancillary_set_ogr_da_crown_jewelz	character_to_character_own	50.0000
wh2_main_effect_ability_cooldown_spells	wh3_main_ancillary_set_ogr_halfling_meat	character_to_character_own	-25.0000
wh_main_effect_character_stat_miscast	wh3_main_ancillary_set_ogr_halfling_meat	character_to_character_own	-10.0000
wh_main_effect_attribute_enable_causes_terror	wh3_main_ancillary_set_ogr_skull_collecta	character_to_character_own	1.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_ogr_skull_collecta	character_to_province_own_unseen	5.0000
wh3_main_effect_character_stat_bonus_vs_large_vs_dae	wh3_main_ancillary_set_ogr_the_scarred	character_to_character_own	12.0000
wh3_main_effect_character_stat_melee_attack_vs_daemons	wh3_main_ancillary_set_ogr_the_scarred	character_to_character_own	10.0000
wh2_main_effect_agent_action_hinder_agent_assassinate_buff	wh3_main_ancillary_set_skv_deathmaster_snikch	faction_to_character_own	15.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_skv_deathmaster_snikch	character_to_province_own_factionwide	1.0000
wh_main_effect_building_construction_cost_mod	wh3_main_ancillary_set_skv_ikit_claw	character_to_region_own_factionwide_unseen	-10.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_skv_ikit_claw	character_to_province_own_factionwide	1.0000
wh2_main_effect_plague_infectivity_mod_good	wh3_main_ancillary_set_skv_lord_skrolk	character_to_force_own_factionwide	10.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_skv_lord_skrolk	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_skaven	wh3_main_ancillary_set_skv_queek_headtaker	character_to_faction_unseen	50.0000
wh3_main_effect_corruption_skaven_characters	wh3_main_ancillary_set_skv_queek_headtaker	character_to_province_any	3.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_skv_throt_the_unclean	character_to_province_own_factionwide	1.0000
wh_main_effect_technology_research_points	wh3_main_ancillary_set_skv_throt_the_unclean	character_to_faction_unseen	15.0000
wh3_main_effect_corruption_slaanesh_characters	wh3_main_ancillary_set_sla_accoutrements_of_desire	character_to_province_any	5.0000
wh3_main_effect_allegiance_points_mod_vampire_counts	wh3_main_ancillary_set_tmb_arkhan	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_tmb_arkhan	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_tomb_kings	wh3_main_ancillary_set_tmb_settra	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_tmb_settra	character_to_province_own_factionwide	1.0000
wh3_main_effect_corruption_tzeentch_characters	wh3_main_ancillary_set_tze_raiment_of_change	character_to_province_any	5.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_vmp_heinrich_kemmler	character_to_province_own_factionwide	1.0000
wh_main_effect_raise_dead_recruitment_cost_mod	wh3_main_ancillary_set_vmp_heinrich_kemmler	character_to_character_own_armytext	-15.0000
wh3_main_effect_winds_of_magic_pool_cap	wh3_main_ancillary_set_vmp_mannfred_von_carstein	general_to_force_own	10.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_vmp_mannfred_von_carstein	character_to_province_own_factionwide	1.0000
wh3_main_effect_corruption_vampiric_characters	wh3_main_ancillary_set_vmp_vlad_con_carstein	character_to_province_any	3.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_vmp_vlad_con_carstein	character_to_province_own_factionwide	1.0000
wh_main_effect_force_stat_missile_damage	wh3_main_ancillary_set_wef_orion	character_to_force_own_factionwide	5.0000
wh_main_effect_public_order_characters	wh3_main_ancillary_set_wef_orion	character_to_province_own_factionwide	1.0000
