key	algorithm	algorithm_variable_set	action_category_budget
wh3_character_initiatives_chs_valkia	weighted_random_select		
wh3_character_initiatives_chs_vilitch	weighted_random_select		
wh3_character_initiatives_chs_warriors	weighted_random_select		
wh3_character_initiatives_ogr	weighted_random_select		
wh3_dlc20_tze_cotw_vilitch	pick_best		
wh3_faction_initiatives_chd_hellforge_bull_centaurs	weighted_random_select	pick_four_items	
wh3_faction_initiatives_chd_hellforge_flying_beasts	weighted_random_select	pick_four_items	
wh3_faction_initiatives_chd_hellforge_kdaai	weighted_random_select	pick_four_items	
wh3_faction_initiatives_chd_hellforge_melee_infantry	weighted_random_select	pick_four_items	
wh3_faction_initiatives_chd_hellforge_missile_infantry	weighted_random_select	pick_four_items	
wh3_faction_initiatives_chd_hellforge_warmachines_artillery	weighted_random_select	pick_four_items	
wh3_faction_initiatives_chs_azazel	weighted_random_select		
wh3_faction_initiatives_chs_festus	weighted_random_select		
wh3_faction_initiatives_chs_valkia	weighted_random_select		
wh3_faction_initiatives_chs_vilitch	weighted_random_select		
wh3_faction_initiatives_woc_default	weighted_random_select		
wh3_province_initiatives_brt	pick_best		
wh3_province_initiatives_chd	pick_best		
wh3_province_initiatives_chs_archaon	pick_best		
wh3_province_initiatives_chs_azazel	pick_best		
wh3_province_initiatives_chs_festus	pick_best		
wh3_province_initiatives_chs_kholek	pick_best		
wh3_province_initiatives_chs_sigvald	pick_best		
wh3_province_initiatives_chs_valkia	pick_best		
wh3_province_initiatives_chs_vilitch	pick_best		
wh3_province_initiatives_cst	pick_best		
wh3_province_initiatives_cth	pick_best		
wh3_province_initiatives_dae	pick_best		
wh3_province_initiatives_def	pick_best		
wh3_province_initiatives_dwf	pick_best		
wh3_province_initiatives_emp	pick_best		
wh3_province_initiatives_grn	pick_best		
wh3_province_initiatives_hef	pick_best		
wh3_province_initiatives_kho	pick_best		
wh3_province_initiatives_ksl	pick_best		
wh3_province_initiatives_lzd	pick_best		
wh3_province_initiatives_nor	pick_best		
wh3_province_initiatives_nur	pick_best		
wh3_province_initiatives_ogr	pick_best		
wh3_province_initiatives_skv	pick_best		
wh3_province_initiatives_sla	pick_best		
wh3_province_initiatives_tmb	pick_best		
wh3_province_initiatives_tze	pick_best		
wh3_province_initiatives_vmp	pick_best		
wh3_ritual_belakor_great_game	pick_best		
wh3_ritual_chd_tower_of_zharr_astragoth	weighted_random_select		
wh3_ritual_chd_tower_of_zharr_drazoath	weighted_random_select		
wh3_ritual_chd_tower_of_zharr_zhatan	weighted_random_select		
wh3_ritual_chd_unit_caps	weighted_random_select		characters
wh3_ritual_cst_rites	pick_best		
wh3_ritual_cth_matters_of_state	pick_best		
wh3_ritual_def_hellebron_rites	pick_best		
wh3_ritual_def_lokhir_rites	pick_best		
wh3_ritual_def_malus_rites	pick_best		
wh3_ritual_def_rites	pick_best		
wh3_ritual_def_slave_actions	pick_best		
wh3_ritual_dwf_crafting	pick_best		
wh3_ritual_hef_alarielle_rites	pick_best		
wh3_ritual_hef_alithanar_rites	pick_best		
wh3_ritual_hef_eltharion_rites	pick_best		
wh3_ritual_hef_imrik_rites	pick_best		
wh3_ritual_hef_rites	pick_best		
wh3_ritual_lzd_gorrok_rites	pick_best		
wh3_ritual_lzd_nakai_rites	pick_best		
wh3_ritual_lzd_pyramid	pick_best		
wh3_ritual_lzd_rites	pick_best		
wh3_ritual_lzd_temple	pick_best		
wh3_ritual_lzd_tiktaqto_rites	pick_best		
wh3_ritual_skv_ikit_rites	pick_best		
wh3_ritual_skv_queek_rites	pick_best		
wh3_ritual_skv_rites	pick_best		
wh3_ritual_skv_skrolk_rites	pick_best		
wh3_ritual_skv_snikch_rites	pick_best		
wh3_ritual_skv_throt_rites	pick_best		
wh3_ritual_skv_tretch_rites	pick_best		
wh3_ritual_skv_workshop	weighted_random_select		
wh3_ritual_tmb_crafting	pick_best		
wh3_ritual_tmb_rites	pick_best		
wh3_ritual_vmp_bloodlines	pick_best		
wh3_ritual_vmp_bloodlines_lahmia	pick_best		
wh3_ritual_vmp_bloodlines_necrach	pick_best		
wh3_ritual_vmp_bloodlines_voncarstein	pick_best		
wh3_ritual_wef_forge_dragon	pick_best		
wh3_ritual_wef_forge_dreaming	pick_best		
wh3_ritual_wef_forge_eagle	pick_best		
wh3_ritual_wef_forge_twilight	pick_best		
