achievement_key	condition_key
WH3_ACHIEVEMENT_WINNING_CHAOS_DWARFS_2	WH3_ACHIEVEMENT_WINNING_CHAOS_DWARFS
WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE_1	WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE
WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE_2	WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE
WH3_ACHIEVEMENT_WINNING_DARK_ELVES_1	WH3_ACHIEVEMENT_WINNING_DARK_ELVES
WH3_ACHIEVEMENT_WINNING_DARK_ELVES_2	WH3_ACHIEVEMENT_WINNING_DARK_ELVES
WH3_ACHIEVEMENT_WINNING_DWARFS_1	WH3_ACHIEVEMENT_WINNING_DWARFS
WH3_ACHIEVEMENT_WINNING_DWARFS_2	WH3_ACHIEVEMENT_WINNING_DWARFS
WH3_ACHIEVEMENT_WINNING_EMPIRE_1	WH3_ACHIEVEMENT_WINNING_EMPIRE
WH3_ACHIEVEMENT_WINNING_EMPIRE_2	WH3_ACHIEVEMENT_WINNING_EMPIRE
WH3_ACHIEVEMENT_WINNING_GREENSKINS_1	WH3_ACHIEVEMENT_WINNING_GREENSKINS
WH3_ACHIEVEMENT_WINNING_GREENSKINS_2	WH3_ACHIEVEMENT_WINNING_GREENSKINS
WH3_ACHIEVEMENT_WINNING_HIGH_ELVES_1	WH3_ACHIEVEMENT_WINNING_HIGH_ELVES
WH3_ACHIEVEMENT_WINNING_HIGH_ELVES_2	WH3_ACHIEVEMENT_WINNING_HIGH_ELVES
WH3_ACHIEVEMENT_WINNING_KHORNE_1	WH3_ACHIEVEMENT_WINNING_KHORNE
WH3_ACHIEVEMENT_WINNING_KHORNE_2	WH3_ACHIEVEMENT_WINNING_KHORNE
WH3_ACHIEVEMENT_WINNING_KISLEV_1	WH3_ACHIEVEMENT_WINNING_KISLEV
WH3_ACHIEVEMENT_WINNING_KISLEV_2	WH3_ACHIEVEMENT_WINNING_KISLEV
WH3_ACHIEVEMENT_WINNING_LIZARDMEN_1	WH3_ACHIEVEMENT_WINNING_LIZARDMEN
WH3_ACHIEVEMENT_WINNING_LIZARDMEN_2	WH3_ACHIEVEMENT_WINNING_LIZARDMEN
WH3_ACHIEVEMENT_WINNING_NORSCA_1	WH3_ACHIEVEMENT_WINNING_NORSCA
WH3_ACHIEVEMENT_WINNING_NORSCA_2	WH3_ACHIEVEMENT_WINNING_NORSCA
WH3_ACHIEVEMENT_WINNING_NURGLE_1	WH3_ACHIEVEMENT_WINNING_NURGLE
WH3_ACHIEVEMENT_WINNING_NURGLE_2	WH3_ACHIEVEMENT_WINNING_NURGLE
WH3_ACHIEVEMENT_WINNING_OGRES_1	WH3_ACHIEVEMENT_WINNING_OGRES
WH3_ACHIEVEMENT_WINNING_OGRES_2	WH3_ACHIEVEMENT_WINNING_OGRES
WH3_ACHIEVEMENT_WINNING_SKAVEN_1	WH3_ACHIEVEMENT_WINNING_SKAVEN
WH3_ACHIEVEMENT_WINNING_SKAVEN_2	WH3_ACHIEVEMENT_WINNING_SKAVEN
WH3_ACHIEVEMENT_WINNING_SLAANESH_1	WH3_ACHIEVEMENT_WINNING_SLAANESH
WH3_ACHIEVEMENT_WINNING_SLAANESH_2	WH3_ACHIEVEMENT_WINNING_SLAANESH
WH3_ACHIEVEMENT_WINNING_TOMB_KINGS_1	WH3_ACHIEVEMENT_WINNING_TOMB_KINGS
WH3_ACHIEVEMENT_WINNING_TOMB_KINGS_2	WH3_ACHIEVEMENT_WINNING_TOMB_KINGS
WH3_ACHIEVEMENT_WINNING_TZEENTCH_1	WH3_ACHIEVEMENT_WINNING_TZEENTCH
WH3_ACHIEVEMENT_WINNING_TZEENTCH_2	WH3_ACHIEVEMENT_WINNING_TZEENTCH
WH3_ACHIEVEMENT_WINNING_VAMPIRE_COAST_1	WH3_ACHIEVEMENT_WINNING_VAMPIRE_COAST
WH3_ACHIEVEMENT_WINNING_VAMPIRE_COAST_2	WH3_ACHIEVEMENT_WINNING_VAMPIRE_COAST
WH3_ACHIEVEMENT_WINNING_VAMPIRE_COUNTS_1	WH3_ACHIEVEMENT_WINNING_VAMPIRE_COUNTS
WH3_ACHIEVEMENT_WINNING_VAMPIRE_COUNTS_2	WH3_ACHIEVEMENT_WINNING_VAMPIRE_COUNTS
WH3_ACHIEVEMENT_WINNING_WOOD_ELVES_1	WH3_ACHIEVEMENT_WINNING_WOOD_ELVES
WH3_ACHIEVEMENT_WINNING_WOOD_ELVES_2	WH3_ACHIEVEMENT_WINNING_WOOD_ELVES
