agent_subtype	campaign_type
wh2_dlc10_def_crone_hellebron	wh3_main_combi
wh2_dlc10_hef_alarielle	wh3_main_combi
wh2_dlc10_hef_alith_anar	wh3_main_combi
wh2_dlc11_cst_aranessa	wh3_main_combi
wh2_dlc11_cst_cylostra	wh3_main_combi
wh2_dlc11_cst_harkon	wh3_main_combi
wh2_dlc11_cst_noctilus	wh3_main_combi
wh2_dlc11_def_lokhir	wh3_main_combi
wh2_dlc12_lzd_lord_kroak	wh3_main_combi
wh2_dlc12_lzd_tehenhauin	wh3_main_combi
wh2_dlc12_lzd_tiktaqto	wh3_main_combi
wh2_dlc12_skv_ikit_claw	wh3_main_combi
wh2_dlc13_emp_cha_markus_wulfhart	wh3_main_combi
wh2_dlc13_lzd_gor_rok	wh3_main_combi
wh2_dlc13_lzd_nakai	wh3_main_combi
wh2_dlc14_brt_repanse	wh3_main_combi
wh2_dlc14_def_malus_darkblade	wh3_main_combi
wh2_dlc14_skv_deathmaster_snikch	wh3_main_combi
wh2_dlc15_grn_grom_the_paunch	wh3_main_combi
wh2_dlc15_hef_eltharion	wh3_main_combi
wh2_dlc15_hef_imrik	wh3_main_combi
wh2_dlc16_skv_ghoritch	wh3_main_combi
wh2_dlc16_skv_throt_the_unclean	wh3_main_combi
wh2_dlc16_wef_ariel	wh3_main_combi
wh2_dlc16_wef_drycha	wh3_main_combi
wh2_dlc16_wef_sisters_of_twilight	wh3_main_combi
wh2_dlc17_bst_taurox	wh3_main_combi
wh2_dlc17_dwf_thorek	wh3_main_combi
wh2_dlc17_lzd_oxyotl	wh3_main_combi
wh2_main_def_malekith	wh3_main_combi
wh2_main_def_morathi	wh3_main_combi
wh2_main_hef_teclis	wh3_main_combi
wh2_main_hef_tyrion	wh3_main_combi
wh2_main_lzd_kroq_gar	wh3_main_combi
wh2_main_lzd_lord_mazdamundi	wh3_main_combi
wh2_main_skv_lord_skrolk	wh3_main_combi
wh2_main_skv_queek_headtaker	wh3_main_combi
wh2_pro08_neu_felix	wh3_main_combi
wh2_pro08_neu_gotrek	wh3_main_combi
wh2_twa03_def_rakarth	wh3_main_combi
wh3_dlc20_kho_valkia	wh3_main_combi
wh3_dlc20_nur_festus	wh3_main_combi
wh3_dlc20_sla_azazel	wh3_main_combi
wh3_dlc20_tze_vilitch	wh3_main_combi
wh3_dlc23_chd_astragoth	wh3_main_combi
wh3_dlc23_chd_drazhoath	wh3_main_combi
wh3_dlc23_chd_gorduz_backstabber	wh3_main_combi
wh3_dlc23_chd_zhatan	wh3_main_combi
wh3_dlc23_neu_ulrika	wh3_main_combi
wh3_dlc24_cth_saytang_the_watcher	wh3_main_combi
wh3_dlc24_cth_yuan_bo	wh3_main_combi
wh3_dlc24_ksl_mother_ostankya	wh3_main_combi
wh3_dlc24_ksl_the_golden_knight	wh3_main_combi
wh3_dlc24_tze_aekold_helbrass	wh3_main_combi
wh3_dlc24_tze_blue_scribes	wh3_main_combi
wh3_dlc25_dwf_garagrim_ironfist	wh3_main_combi
wh3_dlc25_dwf_malakai_makaisson	wh3_main_combi
wh3_dlc25_emp_elspeth_von_draken	wh3_main_combi
wh3_dlc25_emp_theodore_bruckner	wh3_main_combi
wh3_dlc25_nur_epidemius	wh3_main_combi
wh3_dlc25_nur_kayzk_the_befouled	wh3_main_combi
wh3_dlc25_nur_tamurkhan	wh3_main_combi
wh3_dlc26_grn_gorbad_ironclaw	wh3_main_combi
wh3_dlc26_grn_snagla_grobpsit	wh3_main_combi
wh3_dlc26_kho_arbaal_the_undefeated	wh3_main_combi
wh3_dlc26_kho_scyla_anfingrimm	wh3_main_combi
wh3_dlc26_kho_skarr_bloodwrath	wh3_main_combi
wh3_dlc26_kho_skulltaker	wh3_main_combi
wh3_dlc26_ogr_bragg_the_gutsman	wh3_main_combi
wh3_dlc26_ogr_golgfag_maneater	wh3_main_combi
wh3_dlc27_hef_aislinn	wh3_main_combi
wh3_dlc27_hef_caradryan	wh3_main_combi
wh3_dlc27_nor_beorg_bearstruck	wh3_main_combi
wh3_dlc27_nor_sayl_the_faithless	wh3_main_combi
wh3_dlc27_sla_dechala	wh3_main_combi
wh3_dlc27_sla_masque_of_slaanesh	wh3_main_combi
wh3_dlc27_sla_styrkaar_the_sortsvinaer	wh3_main_combi
wh3_main_cth_miao_ying	wh3_main_combi
wh3_main_cth_zhao_ming	wh3_main_combi
wh3_main_dae_belakor	wh3_main_combi
wh3_main_kho_skarbrand	wh3_main_combi
wh3_main_ksl_boris	wh3_main_combi
wh3_main_ksl_katarin	wh3_main_combi
wh3_main_ksl_kostaltyn	wh3_main_combi
wh3_main_nur_kugath	wh3_main_combi
wh3_main_ogr_greasus_goldtooth	wh3_main_combi
wh3_main_ogr_skrag_the_slaughterer	wh3_main_combi
wh3_main_sla_nkari	wh3_main_combi
wh3_main_tze_kairos	wh3_main_combi
wh3_pro11_chs_cha_harald_hammerstorm	wh3_main_combi
wh3_pro12_kho_cha_karanak	wh3_main_combi
wh_dlc01_chs_kholek_suneater	wh3_main_combi
wh_dlc01_chs_prince_sigvald	wh3_main_combi
wh_dlc03_bst_khazrak	wh3_main_combi
wh_dlc03_bst_malagor	wh3_main_combi
wh_dlc03_emp_boris_todbringer	wh3_main_combi
wh_dlc04_emp_volkmar	wh3_main_combi
wh_dlc04_vmp_helman_ghorst	wh3_main_combi
wh_dlc04_vmp_vlad_con_carstein	wh3_main_combi
wh_dlc05_bst_morghur	wh3_main_combi
wh_dlc05_vmp_red_duke	wh3_main_combi
wh_dlc05_wef_durthu	wh3_main_combi
wh_dlc05_wef_orion	wh3_main_combi
wh_dlc06_dwf_belegar	wh3_main_combi
wh_dlc06_grn_skarsnik	wh3_main_combi
wh_dlc06_grn_wurrzag_da_great_prophet	wh3_main_combi
wh_dlc07_brt_alberic	wh3_main_combi
wh_dlc07_brt_fay_enchantress	wh3_main_combi
wh_dlc07_brt_green_knight	wh3_main_combi
wh_dlc08_nor_throgg	wh3_main_combi
wh_dlc08_nor_wulfrik	wh3_main_combi
wh_main_brt_louen_leoncouer	wh3_main_combi
wh_main_chs_archaon	wh3_main_combi
wh_main_dwf_thorgrim_grudgebearer	wh3_main_combi
wh_main_dwf_ungrim_ironfist	wh3_main_combi
wh_main_emp_balthasar_gelt	wh3_main_combi
wh_main_emp_karl_franz	wh3_main_combi
wh_main_grn_azhag_the_slaughterer	wh3_main_combi
wh_main_grn_grimgor_ironhide	wh3_main_combi
wh_main_vmp_heinrich_kemmler	wh3_main_combi
wh_main_vmp_mannfred_von_carstein	wh3_main_combi
wh_pro01_dwf_grombrindal	wh3_main_combi
wh_pro02_vmp_isabella_von_carstein	wh3_main_combi
