campaign_payload	token	is_triggered_conditionally	designer_description	visual_sort_order
wh3_dlc29_any_red_alarm_action_cost_2_single_turn	wh3_dlc29_any_red_basic_alarm_3	false	Bundle - cost of tricks	1
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_alarm_3	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_alarm_3	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_chaotic_plans_reduce_tokens_1_turns_1	wh3_dlc29_any_red_basic_alarm_4	false	Reduce Tokens for 1 turn	1
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_alarm_4	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_alarm_4	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_alarm_5	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_alarm_5	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_economic_thanquol_lose_money_4000	wh3_dlc29_any_red_basic_alarm_6_economy	false	Economy Plan - lose money	1
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_alarm_6_economy	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_basic_alarm_6_economy	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_alarm_6_military	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_basic_alarm_6_military	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_add_guards_4	wh3_dlc29_any_red_basic_alarm_6_military	false	Military Plan - lose units	1
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_elite_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_basic_elite_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_add_elites_1	wh3_dlc29_any_red_basic_elite_1	false	Any Plan - Elites (negative)	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_elite_2	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_elite_2	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_add_elites_2	wh3_dlc29_any_red_basic_elite_2	false	Any Plan - Elites (negative)	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_elite_x2	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_basic_elite_x2	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_add_elites_2	wh3_dlc29_any_red_basic_elite_x2	false	Any Plan - Elites (negative)	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_guard_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_guard_1	false	Any Plan - Guards (negative)	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_guard_2	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_guard_2	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_add_guards_2	wh3_dlc29_any_red_basic_guard_2	false	Any Plan - Guards (negative)	0
wh3_dlc29_skv_chaotic_plans_reduce_tokens_1_turns_1	wh3_dlc29_any_red_basic_guard_3	false	Reduce Tokens	2
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_guard_3	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_guards_2	wh3_dlc29_any_red_basic_guard_3	false	Any Plan - Guards (negative)	0
wh3_dlc29_skv_thanquol_add_guards_2	wh3_dlc29_any_red_deserters	false	Guards	0
wh3_dlc29_skv_economic_thanquol_lose_money_gdp_200	wh3_dlc29_any_red_embezzlement	false	Lose Treasury	0
wh3_dlc29_skv_economic_thanquol_lose_warpstone_gdp_100	wh3_dlc29_any_red_embezzlement	false	Lose Warpstone	1
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_eshin_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_eshin_alarm_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_add_elites_1	wh3_dlc29_any_red_eshin_alarm_1	false	Military Plan - lose units	2
wh3_dlc29_skv_thanquol_add_guards_2	wh3_dlc29_any_red_eshin_alarm_1	false	Military Plan - lose units	1
wh3_dlc29_skv_thanquol_lose_alarm_1	wh3_dlc29_any_red_eshin_alarm_payoff_1_generated	false	Any Plan - Lose Alarm	0
wh3_dlc29_skv_thanquol_lose_elites_1	wh3_dlc29_any_red_eshin_alarm_payoff_1_generated	false	Any Plan - Lose Elites	1
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_red_eshin_alarm_payoff_1	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_eshin_alarm_payoff_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_red_eshin_alarm_payoff_1	false	Remove targeted token	2
wh3_dlc29_skv_target_red_eshin	wh3_dlc29_any_red_eshin_alarm_payoff_1	false	Target Eshin red token	0
wh3_dlc29_skv_chaotic_plans_reduce_tokens_1_infinite	wh3_dlc29_any_red_mors_alarm_1	false	Reduce Tokens	1
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_mors_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_mors_alarm_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_lose_alarm_1	wh3_dlc29_any_red_mors_alarm_payoff_1_generated	false	Any Plan - Lose Alarm	0
wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_any_red_mors_alarm_payoff_1	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_mors_alarm_payoff_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_chaotic_plans_food_per_turn	wh3_dlc29_any_red_moulder_alarm_1	false	Lose Food per turn	2
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_moulder_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_moulder_alarm_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_lose_alarm_1	wh3_dlc29_any_red_moulder_alarm_payoff_1_generated	false	Any Plan - Lose Alarm	0
wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_any_red_moulder_alarm_payoff_1	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_moulder_alarm_payoff_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_chaotic_plans_reduce_tokens_1_turns_1	wh3_dlc29_any_red_pestilens_alarm_1	false	Reduce Tokens	2
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_pestilens_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_pestilens_alarm_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_lose_alarm_1	wh3_dlc29_any_red_pestilens_alarm_payoff_1_generated	false	Any Plan - Lose Alarm	0
wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_any_red_pestilens_alarm_payoff_1	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_pestilens_alarm_payoff_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_plague_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_plague_1	false	Alarm	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_plague_2	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_plague_2	false	Alarm	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_plague_3	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_plague_3	false	Alarm	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_plague_elite_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_plague_elite_1	false	Alarm	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_plague_elite_2	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_plague_elite_2	false	Alarm	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_plague_elite_3	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_plague_elite_3	false	Alarm	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_rictus_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_rictus_alarm_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_lose_alarm_1	wh3_dlc29_any_red_rictus_alarm_payoff_1_generated	false	Any Plan - Lose Alarm	0
wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_any_red_rictus_alarm_payoff_1	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_rictus_alarm_payoff_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_rival_grey_seer_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_2	wh3_dlc29_any_red_rival_grey_seer_alarm_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_skv_thanquol_lose_alarm_1	wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1_generated	false	Any Plan - Lose Alarm	0
wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_skryre_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_skryre_alarm_1	false	Any Plan - Alarm (negative)	0
