campaign	faction	agent_subtype	is_male	name	surname	clan_name	other_name	artset	can_naturally_spawn
	wh2_main_rogue_def_mengils_manflayers	wh2_main_def_dreadlord	true	85596645				wh2_main_art_set_def_dreadlord_01	true
	wh2_main_rogue_doomseekers	wh_main_dwf_lord	true	217825847	1675569139			wh_main_art_set_dwf_lord_01	true
	wh2_main_rogue_gerhardts_mercenaries	wh_main_emp_lord	true	2147344111				wh_main_art_set_emp_general_03	true
	wh2_main_rogue_hef_tor_elithis	wh2_main_hef_prince	true	2147359017				wh2_main_art_set_hef_prince_01	true
	wh2_main_rogue_hung_warband	wh_main_nor_marauder_chieftain	true	2147356489	2147356240			wh_main_art_set_nor_marauder_chieftain_01	true
	wh2_main_rogue_jerrods_errantry	wh_main_brt_lord	true	386500320				wh_main_art_set_brt_lord_01	true
	wh2_main_rogue_mangy_houndz	wh_dlc06_grn_night_goblin_warboss	true	1463170012	1134162982			wh_dlc06_art_set_grn_night_goblin_warboss_01	false
	wh2_main_rogue_morrsliebs_howlers	wh2_main_skv_warlord	true	2147360668				wh2_main_art_set_skv_warlord_01	true
	wh2_main_rogue_pirates_of_the_far_sea	wh_main_emp_lord	true	2147357145	2147356736			wh_main_art_set_emp_general_01	false
	wh2_main_rogue_pirates_of_the_southern_ocean	wh_main_emp_lord	true	2147357030	2147356796			wh_main_art_set_emp_general_01	false
	wh2_main_rogue_pirates_of_trantio	wh_main_emp_lord	true	2147357011	2147356888			wh_main_art_set_emp_general_04	true
	wh2_main_rogue_scions_of_tesseninck	wh_main_emp_lord	true	2147355314	2147354914			wh_main_art_set_emp_general_01	false
	wh2_main_rogue_scourge_of_aquitaine	wh_main_vmp_lord	true	512184405				wh_main_art_set_vmp_lord_01	true
	wh2_main_rogue_stuff_snatchers	wh_dlc06_grn_night_goblin_warboss	true	2147344831				wh_dlc06_art_set_grn_night_goblin_warboss_01	true
	wh2_main_rogue_teef_snatchaz	wh_dlc06_grn_night_goblin_warboss	true	2147355630				wh_dlc06_art_set_grn_night_goblin_warboss_01	false
	wh2_main_rogue_the_wandering_dead	wh_main_vmp_master_necromancer	true	2147357583				wh_main_art_set_vmp_master_necromancer_01	false
	wh2_main_rogue_troll_skullz	wh_main_grn_orc_warboss	true	1249683509				wh_main_art_set_grn_orc_warboss_02	true
	wh2_main_rogue_vauls_expedition	wh2_main_hef_prince	true	2147359934				wh2_main_art_set_hef_prince_01	false
	wh2_main_rogue_vmp_heirs_of_mourkain	wh_dlc04_vmp_strigoi_ghoul_king	true	1880091843	1064541212			wh_dlc04_art_set_vmp_strigoi_ghoul_king_01	true
	wh2_main_rogue_wef_hunters_of_kurnous	wh_dlc05_wef_glade_lord	true	2147352833				wh_dlc05_art_set_wef_glade_lord_01	true
	wh2_main_rogue_worldroot_rangers	wh_dlc05_wef_ancient_treeman	true	2147359095				wh_dlc05_art_set_wef_ancient_treeman	false
wh3_main_chaos	wh2_main_rogue_abominations	wh_dlc03_bst_beastlord	true	2147358506				wh_dlc03_art_set_bst_beastlord_01	false
wh3_main_chaos	wh2_main_rogue_beastcatchas	wh_main_grn_goblin_great_shaman	true	2147344966				wh_main_art_set_grn_goblin_great_shaman_01	false
wh3_main_chaos	wh2_main_rogue_celestial_storm	wh2_main_lzd_saurus_old_blood	true	2049506471				wh2_main_art_set_lzd_saurus_old_blood_01	false
wh3_main_chaos	wh2_main_rogue_wrath_of_nature	wh_dlc05_wef_ancient_treeman	true	2147352825				wh_dlc05_art_set_wef_ancient_treeman	false
wh3_main_chaos	wh3_dlc23_rogue_karaz_a_karak_expedition	wh_main_dwf_lord	true	856611303	2130402539			wh_main_art_set_dwf_lord_01	false
wh3_main_chaos	wh3_dlc23_rogue_sacred_host_of_tepok	wh2_dlc12_lzd_red_crested_skink_chief	true	2071366402				wh2_dlc12_art_set_lzd_red_crested_skink_chief_01	false
wh3_main_chaos	wh3_dlc23_rogue_the_cult_of_morgrim	wh_main_dwf_lord	true	1195990200	2130402539			wh_main_art_set_dwf_lord_01	false
wh3_main_chaos	wh3_dlc25_rogue_da_mad_howlerz	wh_dlc06_grn_night_goblin_warboss	true	2147344531				wh_dlc06_art_set_grn_night_goblin_warboss_01	false
wh3_main_combi	wh2_main_rogue_abominations	wh_dlc03_bst_beastlord	true	2147358506				wh_dlc03_art_set_bst_beastlord_01	true
wh3_main_combi	wh2_main_rogue_beastcatchas	wh_main_grn_goblin_great_shaman	true	2147344966				wh_main_art_set_grn_goblin_great_shaman_01	true
wh3_main_combi	wh2_main_rogue_celestial_storm	wh2_main_lzd_saurus_old_blood	true	2049506471				wh2_main_art_set_lzd_saurus_old_blood_01	true
wh3_main_combi	wh2_main_rogue_wrath_of_nature	wh_dlc05_wef_ancient_treeman	true	2147352825				wh_dlc05_art_set_wef_ancient_treeman	true
wh3_main_combi	wh3_dlc25_rogue_da_mad_howlerz	wh_dlc06_grn_night_goblin_warboss	true	2147344531				wh_dlc06_art_set_grn_night_goblin_warboss_01	false
	wh3_main_rogue_alliance_of_order	wh3_main_cth_lord_magistrate_yin	true	1957319277	1186310730			wh3_main_art_set_cth_lord_magistrate_yin_01	true
	wh3_main_rogue_argfluxs_pyrocasters	wh3_main_dae_daemon_prince_tzeentch	true	1592320285				wh3_main_art_set_dae_daemon_prince_tzeentch	true
	wh3_main_rogue_doombreeds_followers	wh3_main_dae_daemon_prince_khorne	true	642864567				wh3_main_art_set_dae_daemon_prince_khorne	true
	wh3_main_rogue_legion_of_gorehath	wh3_main_dae_daemon_prince_khorne	true	2058849124				wh3_main_art_set_dae_daemon_prince_khorne	true
	wh3_main_rogue_scaberaxs_gluttons	wh3_main_dae_daemon_prince_nurgle	true	1021590666				wh3_main_art_set_dae_daemon_prince_nurgle	true
	wh3_main_rogue_scriveners_of_fate	wh3_main_dae_daemon_prince_tzeentch	true	1529719546				wh3_main_art_set_dae_daemon_prince_tzeentch	true
	wh3_main_rogue_shrouded_wanderers_of_undead	wh_main_vmp_lord	true	1087572694	1238864252			wh_main_art_set_vmp_lord_03	false
	wh3_main_rogue_the_baleful_princes_muses	wh3_main_dae_daemon_prince_slaanesh	true	7386874				wh3_main_art_set_dae_daemon_prince_slaanesh	true
	wh3_main_rogue_the_challenge_stone_pact	wh3_main_ogr_tyrant	true	1423228633				wh3_main_art_set_ogr_tyrant_01	true
	wh3_main_rogue_the_convent	wh3_main_dae_daemon_prince_slaanesh	true	1111604197				wh3_main_art_set_dae_daemon_prince_slaanesh	true
	wh3_main_rogue_the_glothal_brood	wh3_main_dae_daemon_prince_nurgle	true	1696020736				wh3_main_art_set_dae_daemon_prince_nurgle	true
	wh3_main_rogue_the_treaty_of_ashshair	wh3_main_cth_lord_magistrate_yin	true	1593628241	1292709732			wh3_main_art_set_cth_lord_magistrate_yin_01	true
