category_object	category_chain	order
wh3_dlc29_shop_military_green_basic_infantry_2	wh3_dlc29_shop_military_green_basic_infantry	0
wh3_dlc29_shop_military_green_basic_pusbags_1	wh3_dlc29_shop_military_green_basic_pusbags	0
wh3_dlc29_shop_military_green_basic_pusbags_2	wh3_dlc29_shop_military_green_basic_pusbags	1
wh3_dlc29_shop_military_green_death_runners_1	wh3_dlc29_shop_military_green_death_runners	0
wh3_dlc29_shop_military_green_death_runners_2	wh3_dlc29_shop_military_green_death_runners	1
wh3_dlc29_shop_military_green_death_runners_3	wh3_dlc29_shop_military_green_death_runners	2
wh3_dlc29_shop_military_green_eshin_runners_1	wh3_dlc29_shop_military_green_eshin_runners	0
wh3_dlc29_shop_military_green_eshin_runners_2	wh3_dlc29_shop_military_green_eshin_runners	1
wh3_dlc29_shop_military_green_eshin_runners_3	wh3_dlc29_shop_military_green_eshin_runners	2
wh3_dlc29_shop_military_green_eshin_triads_dlc_1	wh3_dlc29_shop_military_green_eshin_triads_dlc	0
wh3_dlc29_shop_military_green_plague_monks_1	wh3_dlc29_shop_military_green_plague_monks	0
wh3_dlc29_shop_military_green_plague_monks_2	wh3_dlc29_shop_military_green_plague_monks	1
wh3_dlc29_shop_military_mod_pool_plague_censer_bearers	wh3_dlc29_shop_military_green_plague_monks	2
wh3_dlc29_shop_military_green_death_globe_bombadiers_1	wh3_dlc29_shop_military_green_poison_wind_globadiers	1
wh3_dlc29_shop_military_green_poison_wind_globadiers_1	wh3_dlc29_shop_military_green_poison_wind_globadiers	0
wh3_dlc29_shop_military_green_rictus_stormvermin_1	wh3_dlc29_shop_military_green_rictus_stormvermin	0
wh3_dlc29_shop_military_green_rictus_stormvermin_2	wh3_dlc29_shop_military_green_rictus_stormvermin	2
wh3_dlc29_shop_military_green_rictus_stormvermin_3	wh3_dlc29_shop_military_green_rictus_stormvermin	3
wh3_dlc29_shop_military_green_rictus_stormvermin_halberds_1	wh3_dlc29_shop_military_green_rictus_stormvermin	1
wh3_dlc29_shop_military_green_doom_flayer_dlc_1	wh3_dlc29_shop_military_green_skryre_ratling_guns_dlc	2
wh3_dlc29_shop_military_green_skryre_ratling_guns_dlc_1	wh3_dlc29_shop_military_green_skryre_ratling_guns_dlc	0
wh3_dlc29_shop_military_green_warplock_jezzails_dlc_1	wh3_dlc29_shop_military_green_skryre_ratling_guns_dlc	1
wh3_dlc29_shop_military_green_skryre_warpfire_throwers_1	wh3_dlc29_shop_military_green_skryre_warpfire_throwers	0
wh3_dlc29_shop_military_green_poison_wind_mortars_1	wh3_dlc29_shop_military_green_warp_grinders_dlc	1
wh3_dlc29_shop_military_green_warp_grinders_dlc_1	wh3_dlc29_shop_military_green_warp_grinders_dlc	0
wh3_dlc29_shop_military_green_warp_lightning_cannon_1_warlord	wh3_dlc29_shop_military_green_warp_lightning_cannon_warlord	0
wh3_dlc29_shop_military_green_warp_lightning_cannon_2_warlord	wh3_dlc29_shop_military_green_warp_lightning_cannon_warlord	1
wh3_dlc29_shop_military_green_warp_lightning_cannon_3_warlord	wh3_dlc29_shop_military_green_warp_lightning_cannon_warlord	2
wh3_dlc29_shop_military_mod_pool_basic_infantry_spears_1	wh3_dlc29_shop_military_mod_pool_basic_infantry_spears	0
wh3_dlc29_shop_military_mod_pool_basic_infantry_spears_2	wh3_dlc29_shop_military_mod_pool_basic_infantry_spears	1
wh3_dlc29_shop_military_mod_pool_moulder_wolf_rats_dlc_1	wh3_dlc29_shop_military_mod_pool_moulder_wolf_rats_dlc	0
wh3_dlc29_shop_military_mod_pool_moulder_wolf_rats_dlc_2	wh3_dlc29_shop_military_mod_pool_moulder_wolf_rats_dlc	1
wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult_1	wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult	0
wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult_2	wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult	1
wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult_3	wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult	2
wh3_dlc29_shop_military_mod_pool_remove_skavenslaves	wh3_dlc29_shop_military_mod_pool_remove_skavenslaves	0
wh3_dlc29_shop_military_mod_pool_stormvermin_rank_9	wh3_dlc29_shop_military_mod_pool_stormvermin_rank_9	0
wh3_dlc29_shop_military_mod_pool_mutant_dlc_1	wh3_dlc29_shop_military_mutant_dlc	0
wh3_dlc29_shop_military_mod_pool_mutant_dlc_2	wh3_dlc29_shop_military_mutant_dlc	1
wh3_dlc29_shop_military_mod_pool_mutant_dlc_3	wh3_dlc29_shop_military_mutant_dlc	2
wh3_dlc29_shop_rank_up_artillery_1	wh3_dlc29_shop_rank_up_artillery	0
wh3_dlc29_shop_rank_up_artillery_2	wh3_dlc29_shop_rank_up_artillery	1
wh3_dlc29_shop_rank_up_artillery_3	wh3_dlc29_shop_rank_up_artillery	2
wh3_dlc29_shop_rank_up_melee_infantry_1	wh3_dlc29_shop_rank_up_melee_infantry	0
wh3_dlc29_shop_rank_up_melee_infantry_2	wh3_dlc29_shop_rank_up_melee_infantry	1
wh3_dlc29_shop_rank_up_melee_infantry_3	wh3_dlc29_shop_rank_up_melee_infantry	2
wh3_dlc29_shop_rank_up_missile_infantry_1	wh3_dlc29_shop_rank_up_missile_infantry	0
wh3_dlc29_shop_rank_up_missile_infantry_2	wh3_dlc29_shop_rank_up_missile_infantry	1
wh3_dlc29_shop_rank_up_missile_infantry_3	wh3_dlc29_shop_rank_up_missile_infantry	2
wh3_dlc29_shop_rank_up_monsters_1	wh3_dlc29_shop_rank_up_monsters	0
wh3_dlc29_shop_rank_up_monsters_2	wh3_dlc29_shop_rank_up_monsters	1
wh3_dlc29_shop_rank_up_monsters_3	wh3_dlc29_shop_rank_up_monsters	2
wh3_dlc29_shop_rank_up_weapon_teams_1	wh3_dlc29_shop_rank_up_weapon_teams	0
wh3_dlc29_shop_rank_up_weapon_teams_2	wh3_dlc29_shop_rank_up_weapon_teams	1
wh3_dlc29_shop_rank_up_weapon_teams_3	wh3_dlc29_shop_rank_up_weapon_teams	2
wh3_dlc29_skv_shop_final_battle_support_eshin	wh3_dlc29_skv_shop_final_battle_support_eshin	0
wh3_dlc29_skv_shop_final_battle_support_mors	wh3_dlc29_skv_shop_final_battle_support_mors	0
wh3_dlc29_skv_shop_final_battle_support_moulder	wh3_dlc29_skv_shop_final_battle_support_moulder	0
wh3_dlc29_skv_shop_final_battle_support_pestilens	wh3_dlc29_skv_shop_final_battle_support_pestilens	0
wh3_dlc29_skv_shop_final_battle_support_rictus	wh3_dlc29_skv_shop_final_battle_support_rictus	0
wh3_dlc29_skv_shop_final_battle_support_skryre	wh3_dlc29_skv_shop_final_battle_support_skryre	0
