member	context	culture
wh2_dlc09_event_feed_cult_tomb_kings_battle_attack_outcome_draw	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_tomb_kings_battle_attack_outcome_victory	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_feature_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_ritual_tmb	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_stance_csc_tomb_kings	ORIGINATOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc10_event_feed_agent_action_shadow_walker_hinder_character_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc10_ritual_dwf_forging	ACTOR	wh_main_dwf_dwarfs
wh2_dlc11_event_feed_agent_action_all_failure_critical_hinder_army_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_all_failure_critical_hinder_character_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_all_failure_critical_hinder_province_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_all_failure_hinder_army_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_all_failure_hinder_character_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_all_failure_hinder_province_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_all_hinder_character_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_all_success_critical_hinder_character_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_champion_hinder_army_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_champion_hinder_settlement_plague_priest_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_champion_hinder_settlement_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_dignitary_hinder_army_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_dignitary_hinder_settlement_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_engineer_hinder_settlement_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_hinder_settlement_gain_influence_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_spy_hinder_army_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_spy_hinder_settlement_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_agent_action_wizard_hinder_army_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_character_dies_battle_vampire_coast	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_diplomacy_faction_destroyed_cst	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_diplomacy_faction_encountered_cst	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_faction_joins_confederation_cst	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_vampire_coast_attrition_desertion	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_vampire_coast_battle_attack_outcome_defeat	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_vampire_coast_battle_attack_outcome_draw	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_vampire_coast_battle_attack_outcome_victory	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_vampire_coast_female	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_event_feed_cult_vampire_coast_male	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_feature_vampire_coast	ACTOR	wh2_dlc11_cst_vampire_coast
wh2_dlc11_vmp_ritual_bloodline_awaken	ACTOR	wh_main_vmp_vampire_counts
wh2_dlc15_hef_eltharion_dungeon_reward_rogue_armies	ACTOR	wh2_main_rogue
wh2_dlc16_captive_option_kill_drycha_to_wood_elves	ACTOR	wh_dlc05_wef_wood_elves
wh2_dlc17_bst_rituals	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_bst_rituals_army_upgrade	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_bst_rituals_character_upgrade	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_bst_rituals_herdstone_upgrade	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_bst_rituals_units_upgrade	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_beastmen	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_beastmen	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_chaos	ACTOR	wh_main_chs_chaos
wh2_dlc17_captive_option_release_lizardmen_to_chaos_chaos	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_daemons	ACTOR	wh3_main_dae_daemons
wh2_dlc17_captive_option_release_lizardmen_to_chaos_daemons	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_khorne	ACTOR	wh3_main_kho_khorne
wh2_dlc17_captive_option_release_lizardmen_to_chaos_khorne	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_norsca	ACTOR	wh_dlc08_nor_norsca
wh2_dlc17_captive_option_release_lizardmen_to_chaos_norsca	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_nurgle	ACTOR	wh3_main_nur_nurgle
wh2_dlc17_captive_option_release_lizardmen_to_chaos_nurgle	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_skaven	ACTOR	wh2_main_skv_skaven
wh2_dlc17_captive_option_release_lizardmen_to_chaos_skaven	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_slaanesh	ACTOR	wh3_main_sla_slaanesh
wh2_dlc17_captive_option_release_lizardmen_to_chaos_slaanesh	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_lizardmen_to_chaos_tzeentch	ACTOR	wh3_main_tze_tzeentch
wh2_dlc17_captive_option_release_lizardmen_to_chaos_tzeentch	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_dlc17_captive_option_release_oxyotl_to_chaos_beastmen	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_captive_option_release_oxyotl_to_chaos_chaos	ACTOR	wh_main_chs_chaos
wh2_dlc17_captive_option_release_oxyotl_to_chaos_daemons	ACTOR	wh3_main_dae_daemons
wh2_dlc17_captive_option_release_oxyotl_to_chaos_khorne	ACTOR	wh3_main_kho_khorne
wh2_dlc17_captive_option_release_oxyotl_to_chaos_norsca	ACTOR	wh_dlc08_nor_norsca
wh2_dlc17_captive_option_release_oxyotl_to_chaos_nurgle	ACTOR	wh3_main_nur_nurgle
wh2_dlc17_captive_option_release_oxyotl_to_chaos_skaven	ACTOR	wh2_main_skv_skaven
wh2_dlc17_captive_option_release_oxyotl_to_chaos_slaanesh	ACTOR	wh3_main_sla_slaanesh
wh2_dlc17_captive_option_release_oxyotl_to_chaos_tzeentch	ACTOR	wh3_main_tze_tzeentch
wh2_main_captive_option_enslave_dark_elves	ORIGINATOR	wh2_main_def_dark_elves
wh2_main_captive_option_enslave_high_elves	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_captive_option_enslave_high_elves_to_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_captive_option_enslave_high_elves_to_high_elves	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_captive_option_enslave_lizardmen	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_captive_option_enslave_lizardmen_to_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_captive_option_enslave_lizardmen_to_lizardmen	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_captive_option_enslave_skaven	ORIGINATOR	wh2_main_skv_skaven
wh2_main_captive_option_kill_dark_elves	ORIGINATOR	wh2_main_def_dark_elves
wh2_main_captive_option_kill_high_elves	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_captive_option_kill_lizardmen	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_captive_option_kill_skaven	ORIGINATOR	wh2_main_skv_skaven
wh2_main_captive_option_release_dark_elves	ORIGINATOR	wh2_main_def_dark_elves
wh2_main_captive_option_release_high_elves	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_captive_option_release_lizardmen	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_captive_option_release_skaven	ORIGINATOR	wh2_main_skv_skaven
wh2_main_captive_option_release_skaven_to_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_captive_option_release_skaven_to_skaven	ORIGINATOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_failure_hinder_army_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_failure_hinder_army_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_failure_hinder_army_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_failure_hinder_army_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_failure_hinder_character_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_failure_hinder_character_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_failure_hinder_character_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_failure_hinder_character_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_failure_hinder_province_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_failure_hinder_province_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_failure_hinder_province_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_failure_hinder_province_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_hinder_character_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_hinder_character_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_hinder_character_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_hinder_character_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_all_success_critical_hinder_character_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_all_success_critical_hinder_character_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_all_success_critical_hinder_character_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_all_success_critical_hinder_character_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_champion_hinder_army_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_champion_hinder_army_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_champion_hinder_army_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_champion_hinder_army_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_champion_hinder_settlement_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_champion_hinder_settlement_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_champion_hinder_settlement_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_champion_hinder_settlement_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_dignitary_hinder_army_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_dignitary_hinder_army_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_dignitary_hinder_army_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_dignitary_hinder_army_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_dignitary_hinder_settlement_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_dignitary_hinder_settlement_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_dignitary_hinder_settlement_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_dignitary_hinder_settlement_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_engineer_hinder_settlement_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_engineer_hinder_settlement_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_engineer_hinder_settlement_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_engineer_hinder_settlement_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_hinder_settlement_gain_influence_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_hinder_settlement_gain_influence_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_hinder_settlement_gain_influence_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_hinder_settlement_gain_influence_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_spy_hinder_army_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_spy_hinder_army_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_spy_hinder_army_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_spy_hinder_army_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_spy_hinder_settlement_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_spy_hinder_settlement_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_spy_hinder_settlement_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_spy_hinder_settlement_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_agent_action_wizard_hinder_army_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_agent_action_wizard_hinder_army_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_agent_action_wizard_hinder_army_lizardmen	ACTOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_agent_action_wizard_hinder_army_skaven	ACTOR	wh2_main_skv_skaven
wh2_main_event_feed_cult_character_dies_battle_dark_elves	ORIGINATOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_character_dies_battle_high_elves	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_event_feed_cult_character_dies_battle_lizardmen	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_cult_character_dies_battle_rogue_army	ORIGINATOR	wh2_main_rogue
wh2_main_event_feed_cult_character_dies_battle_skaven	ORIGINATOR	wh2_main_skv_skaven
wh2_main_event_feed_cult_dark_elves	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_dark_elves_attrition_desertion	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_dark_elves_battle_attack_outcome_defeat	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_dark_elves_battle_attack_outcome_draw	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_dark_elves_battle_attack_outcome_victory	ACTOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_diplomacy_faction_destroyed_brt	ORIGINATOR	wh_main_brt_bretonnia
wh2_main_event_feed_cult_diplomacy_faction_destroyed_bst	ORIGINATOR	wh_dlc03_bst_beastmen
wh2_main_event_feed_cult_diplomacy_faction_destroyed_chs	ORIGINATOR	wh_main_chs_chaos
wh2_main_event_feed_cult_diplomacy_faction_destroyed_def	ORIGINATOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_diplomacy_faction_destroyed_dwf	ORIGINATOR	wh_main_dwf_dwarfs
wh2_main_event_feed_cult_diplomacy_faction_destroyed_emp	ORIGINATOR	wh_main_emp_empire
wh2_main_event_feed_cult_diplomacy_faction_destroyed_grn	ORIGINATOR	wh_main_grn_greenskins
wh2_main_event_feed_cult_diplomacy_faction_destroyed_hef	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_event_feed_cult_diplomacy_faction_destroyed_lzd	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_cult_diplomacy_faction_destroyed_rogue_army	ORIGINATOR	wh2_main_rogue
wh2_main_event_feed_cult_diplomacy_faction_destroyed_skv	ORIGINATOR	wh2_main_skv_skaven
wh2_main_event_feed_cult_diplomacy_faction_destroyed_vmp	ORIGINATOR	wh_main_vmp_vampire_counts
wh2_main_event_feed_cult_diplomacy_faction_destroyed_wef	ORIGINATOR	wh_dlc05_wef_wood_elves
wh2_main_event_feed_cult_diplomacy_faction_encountered_brt	ORIGINATOR	wh_main_brt_bretonnia
wh2_main_event_feed_cult_diplomacy_faction_encountered_bst	ORIGINATOR	wh_dlc03_bst_beastmen
wh2_main_event_feed_cult_diplomacy_faction_encountered_chs	ORIGINATOR	wh_main_chs_chaos
wh2_main_event_feed_cult_diplomacy_faction_encountered_def	ORIGINATOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_diplomacy_faction_encountered_dwf	ORIGINATOR	wh_main_dwf_dwarfs
wh2_main_event_feed_cult_diplomacy_faction_encountered_emp	ORIGINATOR	wh_main_emp_empire
wh2_main_event_feed_cult_diplomacy_faction_encountered_grn	ORIGINATOR	wh_main_grn_greenskins
wh2_main_event_feed_cult_diplomacy_faction_encountered_hef	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_event_feed_cult_diplomacy_faction_encountered_lzd	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_cult_diplomacy_faction_encountered_rogue_army	ORIGINATOR	wh2_main_rogue
wh2_main_event_feed_cult_diplomacy_faction_encountered_skv	ORIGINATOR	wh2_main_skv_skaven
wh2_main_event_feed_cult_diplomacy_faction_encountered_vmp	ORIGINATOR	wh_main_vmp_vampire_counts
wh2_main_event_feed_cult_diplomacy_faction_encountered_wef	ORIGINATOR	wh_dlc05_wef_wood_elves
wh2_main_event_feed_cult_faction_joins_confederation_brt	ORIGINATOR	wh_main_brt_bretonnia
wh2_main_event_feed_cult_faction_joins_confederation_bst	ORIGINATOR	wh_dlc03_bst_beastmen
wh2_main_event_feed_cult_faction_joins_confederation_chs	ORIGINATOR	wh_main_chs_chaos
wh2_main_event_feed_cult_faction_joins_confederation_def	ORIGINATOR	wh2_main_def_dark_elves
wh2_main_event_feed_cult_faction_joins_confederation_dwf	ORIGINATOR	wh_main_dwf_dwarfs
wh2_main_event_feed_cult_faction_joins_confederation_emp	ORIGINATOR	wh_main_emp_empire
wh2_main_event_feed_cult_faction_joins_confederation_grn	ORIGINATOR	wh_main_grn_greenskins
wh2_main_event_feed_cult_faction_joins_confederation_hef	ORIGINATOR	wh2_main_hef_high_elves
wh2_main_event_feed_cult_faction_joins_confederation_lzd	ORIGINATOR	wh2_main_lzd_lizardmen
wh2_main_event_feed_cult_faction_joins_confederation_skv	ORIGINATOR	wh2_main_skv_skaven
wh2_main_event_feed_cult_faction_joins_confederation_vmp	ORIGINATOR	wh_main_vmp_vampire_counts
wh2_main_event_feed_cult_faction_joins_confederation_wef	ORIGINATOR	wh_dlc05_wef_wood_elves
wh2_main_event_feed_cult_high_elves	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_cult_high_elves_attrition_desertion	ACTOR	wh2_main_hef_high_elves
wh2_main_event_feed_cult_high_elves_battle_attack_outcome_defeat	ACTOR	wh2_main_hef_high_elves
