token	removed_token	remove_from_pool
wh3_dlc29_economy_mod_pool_basic_treasury_mid_2	wh3_dlc29_economic_green_basic_treasury_mid_1	true
wh3_dlc29_economy_mod_pool_basic_treasury_mid_3	wh3_dlc29_economic_green_basic_treasury_mid_2	true
wh3_dlc29_economy_mod_pool_basic_warpstone_mid_2	wh3_dlc29_economic_green_basic_warpstone_mid_1	true
wh3_dlc29_economy_mod_pool_basic_warpstone_mid_3	wh3_dlc29_economic_green_basic_warpstone_mid_2	true
wh3_dlc29_economy_mod_pool_basic_warpstone_very_large_2	wh3_dlc29_economic_green_basic_warpstone_very_large_1	true
wh3_dlc29_economy_mod_pool_basic_warpstone_very_large_3	wh3_dlc29_economic_green_basic_warpstone_very_large_2	true
wh3_dlc29_economy_upgrade_basic_food_mid_2	wh3_dlc29_economic_green_basic_food_mid_1	true
wh3_dlc29_economy_upgrade_basic_food_mid_3	wh3_dlc29_economic_green_basic_food_mid_2	true
wh3_dlc29_economy_upgrade_basic_food_small_2	wh3_dlc29_economic_green_basic_food_small_1	true
wh3_dlc29_economy_upgrade_basic_food_small_3	wh3_dlc29_economic_green_basic_food_small_2	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_large_2	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_large_3	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_large_4	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_large_5	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_small_2	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_small_3	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_small_4	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_gdp_small_5	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_large_1	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_large_2	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_large_3	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_large_4	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_large_5	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_small_1	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_small_2	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_small_3	true
wh3_dlc29_economy_yellow_select_resource_treasury	wh3_dlc29_economic_green_basic_warpstone_very_large_1	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_large_1	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_large_2	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_large_3	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_large_4	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_large_5	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_small_1	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_small_2	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_small_3	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_small_4	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_gdp_small_5	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_large_1	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_large_2	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_large_3	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_large_4	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_large_5	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_small_1	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_small_2	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_small_3	true
wh3_dlc29_economy_yellow_select_resource_warpstone	wh3_dlc29_economic_green_basic_treasury_very_large_1	true
wh3_dlc29_military_action_skill_grey_seer_draw_units_2	wh3_dlc29_military_action_skill_grey_seer_draw_units_1	false
wh3_dlc29_military_action_skill_grey_seer_draw_units_3	wh3_dlc29_military_action_skill_grey_seer_draw_units_2	false
wh3_dlc29_military_action_skill_grey_seer_draw_units_4	wh3_dlc29_military_action_skill_grey_seer_draw_units_3	false
wh3_dlc29_military_action_skill_grey_seer_draw_units_5	wh3_dlc29_military_action_skill_grey_seer_draw_units_4	false
wh3_dlc29_military_mod_pool_basic_infantry_spears_1	wh3_dlc29_military_green_basic_infantry_1	true
wh3_dlc29_military_mod_pool_basic_pusbags_1	wh3_dlc29_military_green_basic_skavenslaves	true
wh3_dlc29_military_mod_pool_clanrats_grey_seer_2	wh3_dlc29_military_green_basic_infantry_1	true
wh3_dlc29_military_mod_pool_clanrats_grey_seer_3	wh3_dlc29_military_green_basic_infantry_2	true
wh3_dlc29_military_mod_pool_clanrats_grey_seer_5	wh3_dlc29_military_green_basic_infantry_grey_seer_3	true
wh3_dlc29_military_mod_pool_remove_skavenslaves	wh3_dlc29_military_green_basic_skavenslaves	true
wh3_dlc29_military_mod_pool_rictus_stormvermin_3	wh3_dlc29_military_green_basic_infantry_1	true
wh3_dlc29_military_mod_pool_skryre_warpfire_throwers_1	wh3_dlc29_military_green_basic_skavenslaves	true
wh3_dlc29_military_mod_pool_stormfiends_warlock_1	wh3_dlc29_military_green_basic_monsters_1	true
wh3_dlc29_military_mod_pool_stormfiends_warlord_1	wh3_dlc29_military_green_basic_monsters_1	true
wh3_dlc29_military_upgrade_basic_infantry_spears_2	wh3_dlc29_military_green_basic_infantry_spears_1	true
wh3_dlc29_military_upgrade_basic_infantry_spears_2	wh3_dlc29_military_green_basic_skavenslaves	true
wh3_dlc29_military_upgrade_basic_pusbags_2	wh3_dlc29_military_green_basic_pusbags_1	true
wh3_dlc29_military_upgrade_death_runners_2	wh3_dlc29_military_green_death_runners_1	true
wh3_dlc29_military_upgrade_death_runners_3	wh3_dlc29_military_green_death_runners_2	true
wh3_dlc29_military_upgrade_gutter_runners_1	wh3_dlc29_military_green_basic_missile_infantry_1	true
wh3_dlc29_military_upgrade_gutter_runners_1	wh3_dlc29_military_green_basic_missile_infantry_slingers_1	true
wh3_dlc29_military_upgrade_gutter_runners_poison_1	wh3_dlc29_military_green_gutter_runners_1	true
wh3_dlc29_military_upgrade_gutter_runners_poison_1	wh3_dlc29_military_green_gutter_runners_slingers_1	true
wh3_dlc29_military_upgrade_moulder_wolf_rats_dlc_2	wh3_dlc29_military_green_moulder_wolf_rats_dlc_1	true
wh3_dlc29_military_upgrade_plague_monks_2	wh3_dlc29_military_green_plague_monks_1	true
wh3_dlc29_military_upgrade_plagueclaw_catapult_2	wh3_dlc29_military_green_plagueclaw_catapult_1	true
wh3_dlc29_military_upgrade_plagueclaw_catapult_3	wh3_dlc29_military_green_plagueclaw_catapult_2	true
wh3_dlc29_military_upgrade_warp_lightning_cannon_2	wh3_dlc29_military_green_warp_lightning_cannon_1	true
wh3_dlc29_military_upgrade_warp_lightning_cannon_3	wh3_dlc29_military_green_basic_missile_infantry_1	true
wh3_dlc29_military_upgrade_warp_lightning_cannon_3	wh3_dlc29_military_green_warp_lightning_cannon_2	true
