key	type	colour_hex
wh3_main_combi_province_the_isthmus_coast_fire	devastation_fire	FF8044
wh3_main_combi_province_the_jungles_of_the_gods_crater	devastation_crater	66B538
wh3_main_combi_province_the_lost_valley_crater	devastation_crater	3A833A
wh3_main_combi_province_the_misty_hills_fire	devastation_fire	AA3112
wh3_main_combi_province_the_night_forest_road_chasm	devastation_chasm	A2A2A2
wh3_main_combi_province_the_noisome_tumour_crater	devastation_crater	0CB329
wh3_main_combi_province_the_plain_of_bones_fire	devastation_fire	FFF10A
wh3_main_combi_province_the_plain_of_zharr_crater	devastation_crater	00569E
wh3_main_combi_province_the_red_wastes_chasm	devastation_chasm	FFF9ED
wh3_main_combi_province_the_road_of_skulls_chasm	devastation_chasm	1D1D1D
wh3_main_combi_province_the_sacred_pools_crater	devastation_crater	126412
wh3_main_combi_province_the_shard_lands_fire	devastation_fire	F6AC38
wh3_main_combi_province_the_silver_road_chasm	devastation_chasm	78747B
wh3_main_combi_province_the_skull_road_chasm	devastation_chasm	9B8B87
wh3_main_combi_province_the_southern_wastes_chasm	devastation_chasm	FF8BFF
wh3_main_combi_province_the_turtle_isles_fire	devastation_fire	973214
wh3_main_combi_province_the_vaults_crater	devastation_crater	49B700
wh3_main_combi_province_the_wasteland_fire	devastation_fire	A0922A
wh3_main_combi_province_the_witchs_wood_fire	devastation_fire	EBF125
wh3_main_combi_province_the_witchwood_fire	devastation_fire	FFC72E
wh3_main_combi_province_the_wolf_lands_crater	devastation_crater	1DE2FF
wh3_main_combi_province_tilea_crater	devastation_crater	3FC0D5
wh3_main_combi_province_tiranoc_chasm	devastation_chasm	CCFAD2
wh3_main_combi_province_titan_peaks_fire	devastation_fire	DE6344
wh3_main_combi_province_troll_country_crater	devastation_crater	009A7B
wh3_main_combi_province_trollheim_mountains_chasm	devastation_chasm	FFEEF7
wh3_main_combi_province_unicorn_gate_fire	devastation_fire	F7664B
wh3_main_combi_province_vampire_coast_chasm	devastation_chasm	B6B6B6
wh3_main_combi_province_vanaheim_mountains_fire	devastation_fire	FE250E
wh3_main_combi_province_volcanic_islands_fire	devastation_fire	FF9E1E
wh3_main_combi_province_warpstone_desert_chasm	devastation_chasm	F3FBFF
wh3_main_combi_province_wastelands_of_jinshen_crater	devastation_crater	3D3DFF
wh3_main_combi_province_western_badlands_fire	devastation_fire	EA5437
wh3_main_combi_province_western_border_princes_crater	devastation_crater	1E5D99
wh3_main_combi_province_western_great_bastion_crater	devastation_crater	79A7FF
wh3_main_combi_province_western_jungles_fire	devastation_fire	CEA017
wh3_main_combi_province_winters_teeth_pass_crater	devastation_crater	0005DC
wh3_main_combi_province_wissenland_crater	devastation_crater	55F9FF
wh3_main_combi_province_yn_edri_eternos_fire	devastation_fire	C72817
wh3_main_combi_province_zorn_uzkul_crater	devastation_crater	55FFFB
