campaign_group	rebel_faction	weight
wh3_main_feature_daemons	wh_dlc03_bst_beastmen_rebels	1.0000
wh3_main_feature_daemons	wh_main_chs_chaos_rebels	1.0000
wh3_main_feature_khorne	wh3_main_kho_khorne_rebels	5.0000
wh3_main_feature_khorne	wh3_main_nur_nurgle_rebels	2.0000
wh3_main_feature_khorne	wh3_main_sla_slaanesh_rebels	2.0000
wh3_main_feature_khorne	wh3_main_tze_tzeentch_rebels	2.0000
wh3_main_feature_khorne	wh_dlc03_bst_beastmen_rebels	1.0000
wh3_main_feature_khorne	wh_main_chs_chaos_rebels	1.0000
wh3_main_feature_kislev	wh3_main_ksl_kislev_rebels	1.0000
wh3_main_feature_nurgle	wh3_main_kho_khorne_rebels	2.0000
wh3_main_feature_nurgle	wh3_main_nur_nurgle_rebels	5.0000
wh3_main_feature_nurgle	wh3_main_sla_slaanesh_rebels	2.0000
wh3_main_feature_nurgle	wh3_main_tze_tzeentch_rebels	2.0000
wh3_main_feature_nurgle	wh_dlc03_bst_beastmen_rebels	1.0000
wh3_main_feature_nurgle	wh_main_chs_chaos_rebels	1.0000
wh3_main_feature_ogre_kingdoms	wh3_main_ogr_ogre_rebels	1.0000
wh3_main_feature_slaanesh	wh3_main_kho_khorne_rebels	2.0000
wh3_main_feature_slaanesh	wh3_main_nur_nurgle_rebels	2.0000
wh3_main_feature_slaanesh	wh3_main_sla_slaanesh_rebels	5.0000
wh3_main_feature_slaanesh	wh3_main_tze_tzeentch_rebels	2.0000
wh3_main_feature_slaanesh	wh_dlc03_bst_beastmen_rebels	1.0000
wh3_main_feature_slaanesh	wh_main_chs_chaos_rebels	1.0000
wh3_main_feature_tzeentch	wh3_main_kho_khorne_rebels	2.0000
wh3_main_feature_tzeentch	wh3_main_nur_nurgle_rebels	2.0000
wh3_main_feature_tzeentch	wh3_main_sla_slaanesh_rebels	2.0000
wh3_main_feature_tzeentch	wh3_main_tze_tzeentch_rebels	5.0000
wh3_main_feature_tzeentch	wh_dlc03_bst_beastmen_rebels	1.0000
wh3_main_feature_tzeentch	wh_main_chs_chaos_rebels	1.0000
wh_dlc05_feature_wood_elves	wh_dlc03_bst_beastmen_rebels	2.0000
wh_dlc05_feature_wood_elves	wh_dlc05_wef_wood_elves_rebels	1.0000
wh_dlc08_feature_norsca	wh3_main_kho_khorne_rebels	1.0000
wh_dlc08_feature_norsca	wh3_main_nur_nurgle_rebels	1.0000
wh_dlc08_feature_norsca	wh3_main_sla_slaanesh_rebels	1.0000
wh_dlc08_feature_norsca	wh3_main_tze_tzeentch_rebels	1.0000
wh_dlc08_feature_norsca	wh_dlc03_bst_beastmen_rebels	1.0000
wh_dlc08_feature_norsca	wh_main_chs_chaos_rebels	2.0000
wh_dlc08_feature_norsca	wh_main_nor_norsca_rebels	3.0000
wh_main_feature_bretonnia	wh2_main_skv_skaven_rebels	1.0000
wh_main_feature_bretonnia	wh_main_grn_greenskins_rebels	5.0000
wh_main_feature_chaos	wh3_main_kho_khorne_rebels	1.0000
wh_main_feature_chaos	wh3_main_nur_nurgle_rebels	1.0000
wh_main_feature_chaos	wh3_main_sla_slaanesh_rebels	1.0000
wh_main_feature_chaos	wh3_main_tze_tzeentch_rebels	1.0000
wh_main_feature_chaos	wh_dlc03_bst_beastmen_rebels	1.0000
wh_main_feature_chaos	wh_main_chs_chaos_rebels	3.0000
wh_main_feature_chaos	wh_main_nor_norsca_rebels	1.0000
wh_main_feature_dwarfs	wh2_main_skv_skaven_rebels	1.0000
wh_main_feature_dwarfs	wh_main_grn_greenskins_rebels	2.0000
wh_main_feature_empire	wh2_main_skv_skaven_rebels	1.0000
wh_main_feature_empire	wh_dlc03_bst_beastmen_rebels	1.0000
wh_main_feature_empire	wh_main_emp_empire_rebels	4.0000
wh_main_feature_empire	wh_main_grn_greenskins_rebels	2.0000
wh_main_feature_empire	wh_main_vmp_vampire_rebels	2.0000
wh_main_feature_greenskins	wh_main_dwf_dwarf_rebels	1.0000
wh_main_feature_greenskins	wh_main_grn_greenskins_rebels	3.0000
wh_main_feature_vampire_counts	wh_main_emp_empire_rebels	1.0000
wh_main_feature_vampire_counts	wh_main_vmp_vampire_rebels	5.0000
