key	actor_effect_bundle	target_effect_bundle	actor_effect_bundle_turns	target_effect_bundle_turns
wh2_main_agent_action_assist_army_cannot_fail_training	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_main_bundle_agent_action_assist_army_cannot_fail_training_target	1	0
wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	wh_main_bundle_agent_action_engineer_hinder_settlement_success_actor	wh_main_bundle_agent_action_engineer_hinder_settlement_success_target	1	1
wh2_main_agent_action_hinder_army_success_assault_unit	wh_main_bundle_agent_action_wizard_hinder_army_success_actor	wh_main_bundle_agent_action_wizard_hinder_army_success_target	1	1
wh2_main_agent_action_hinder_army_success_assault_units	wh_main_bundle_agent_action_champion_hinder_army_success_actor	wh_main_bundle_agent_action_champion_hinder_army_success_target	1	1
wh2_main_agent_action_hinder_army_success_block_army	wh_main_bundle_agent_action_spy_hinder_army_success_actor	wh_main_bundle_agent_action_spy_hinder_army_success_target	1	1
wh2_main_agent_action_hinder_army_success_hinder_replenishment	wh_main_bundle_agent_action_dignitary_hinder_army_success_actor	wh_main_bundle_agent_action_dignitary_hinder_army_success_target	1	4
wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	wh_main_bundle_dummy_character	wh_main_bundle_dummy_region	1	1
wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_bundle_dummy_character	wh_main_bundle_dummy_region	1	1
wh2_main_agent_action_hinder_settlement_success_assault_garrison	wh_main_bundle_agent_action_champion_hinder_settlement_success_actor	wh_main_bundle_agent_action_champion_hinder_settlement_success_target	1	1
wh2_main_agent_action_hinder_settlement_success_damage_building	wh_main_bundle_agent_action_dignitary_hinder_settlement_success_actor	wh_main_bundle_agent_action_dignitary_hinder_settlement_success_target	1	1
wh2_main_agent_action_hinder_settlement_success_damage_walls	wh_main_bundle_agent_action_spy_hinder_settlement_success_actor	wh_main_bundle_agent_action_spy_hinder_settlement_success_target	1	1
wh2_main_agent_action_hinder_settlement_success_gain_influence	wh2_main_bundle_agent_action_hinder_settlement_success_gain_influence_actor	wh_main_bundle_dummy_region	5	0
wh2_main_agent_action_hinder_settlement_success_steal_technology	wh2_main_bundle_agent_action_hinder_settlement_success_steal_technology_actor	wh2_main_bundle_agent_action_hinder_settlement_success_steal_technology_target	3	3
wh2_main_agent_action_passive_cannot_fail_boost_income	wh2_main_bundle_agent_action_passive_cannot_fail_boost_income_actor	wh_main_bundle_dummy_character	1	1
wh2_main_agent_action_passive_cannot_fail_increase_slave_income	wh2_main_bundle_agent_action_passive_cannot_fail_increase_slave_income_actor	wh_main_bundle_dummy_character	1	1
wh2_main_agent_action_passive_cannot_fail_increase_trade	wh2_main_bundle_agent_action_passive_cannot_fail_increase_trade_actor	wh_main_bundle_dummy_character	1	1
wh2_main_agent_action_passive_cannot_fail_spread_corruption	wh2_main_bundle_agent_action_passive_cannot_fail_spread_corruption	wh_main_bundle_dummy_character	1	1
wh2_main_agent_action_passive_cannot_fail_spread_public_order	wh2_main_bundle_agent_action_passive_cannot_fail_spread_public_order_actor	wh_main_bundle_dummy_character	1	1
wh2_main_agent_action_passive_cannot_fail_spread_public_order_horde	wh2_main_bundle_agent_action_passive_cannot_fail_spread_public_order_actor	wh_main_bundle_dummy_character	1	1
wh2_main_agent_action_passive_cannot_fail_stimulate_growth	wh2_main_bundle_agent_action_passive_cannot_fail_stimulate_growth	wh_main_bundle_dummy_character	1	1
wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual	wh_main_bundle_agent_action_wizard_hinder_settlement_success_actor	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	1	1
wh3_dlc23_agent_action_daemonsmith_sorcerer_destroy_settlement_success_daemonsmith_sorcerer_settlement	wh3_dlc23_agent_action_daemonsmith_sorcerer_destroy_settlement_success_daemonsmith_sorcerer_settlement	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	10	1
wh3_dlc24_agent_action_assist_army_cannot_fail_funnel_magic	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh3_dlc24_bundle_agent_action_assist_army_cannot_fail_funnel_magic_target	1	0
wh3_dlc24_agent_action_assist_army_cannot_fail_protective_charms	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh3_dlc24_bundle_agent_action_assist_army_cannot_fail_protective_charms_target	1	0
wh3_dlc24_agent_action_engineer_hinder_settlement_success_infiltrate_cults_unique	wh_main_bundle_dummy_character	wh_main_bundle_agent_action_spy_hinder_settlement_success_target	1	1
wh3_dlc24_agent_action_hinder_army_success_hags_cursemark	wh3_main_agent_action_wizard_hinder_army_sucess_actor	wh3_dlc24_bundle_agent_action_hinder_army_success_hags_cursemark_target	1	3
wh3_dlc24_agent_action_hinder_army_success_siphon_winds	wh3_main_agent_action_wizard_hinder_army_sucess_actor	wh3_dlc24_bundle_agent_action_hinder_army_success_siphon_winds_target	1	4
wh3_main_agent_action_all_hinder_army_sucess_plague_cultist_ritual	wh3_main_agent_action_wizard_hinder_army_sucess_actor	wh3_main_agent_action_wizard_hinder_army_sucess_target	1	1
wh3_main_agent_action_all_hinder_settlement_sucess_plague_cultist_ritual	wh_main_bundle_agent_action_wizard_hinder_settlement_success_actor	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	1	1
wh3_main_agent_action_hinder_settlement_success_establish_cult	wh3_main_bundle_agent_action_dignitary_hinder_settlement_success_actor	wh_main_bundle_agent_action_dignitary_hinder_settlement_success_target	15	1
wh_main_agent_action_all_hinder_agent_critical_success	wh_main_bundle_agent_action_champion_hinder_character_success_actor	wh_main_bundle_agent_action_champion_hinder_character_success_target	2	1
wh_main_agent_action_all_hinder_agent_success	wh_main_bundle_agent_action_champion_hinder_character_success_actor	wh_main_bundle_agent_action_champion_hinder_character_success_target	2	1
wh_main_agent_action_all_hinder_army_critical_failure	wh_main_bundle_agent_action_all_failure_army_actor_compromised	wh_main_bundle_agent_action_all_failure_army_target	1	1
wh_main_agent_action_all_hinder_army_failure	wh_main_bundle_agent_action_all_failure_army_actor_compromised	wh_main_bundle_agent_action_all_failure_army_target	1	1
wh_main_agent_action_all_hinder_character_critical_failure	wh_main_bundle_agent_action_all_failure_character_actor_compromised	wh_main_bundle_agent_action_all_failure_character_target	1	1
wh_main_agent_action_all_hinder_character_failure	wh_main_bundle_agent_action_all_failure_character_actor_compromised	wh_main_bundle_agent_action_all_failure_character_target	1	1
wh_main_agent_action_all_hinder_settlement_critical_failure	wh_main_bundle_agent_action_all_failure_settlement_actor_compromised	wh_main_bundle_agent_action_all_failure_settlement_target	1	1
wh_main_agent_action_all_hinder_settlement_failure	wh_main_bundle_agent_action_all_failure_settlement_actor_compromised	wh_main_bundle_agent_action_all_failure_settlement_target	1	1
wh_main_agent_action_dummy_cannot_fail	wh_main_bundle_dummy_character	wh_main_bundle_dummy_character	1	1
wh_main_agent_action_dummy_critical_failure	wh_main_bundle_dummy_character	wh_main_bundle_dummy_character	1	1
wh_main_agent_action_dummy_critical_success	wh_main_bundle_dummy_character	wh_main_bundle_dummy_character	1	1
wh_main_agent_action_dummy_failure	wh_main_bundle_dummy_character	wh_main_bundle_dummy_character	1	1
wh_main_agent_action_dummy_province_cannot_fail	wh_main_bundle_dummy_character	wh_main_bundle_dummy_province	1	1
wh_main_agent_action_dummy_province_critical_failure	wh_main_bundle_dummy_character	wh_main_bundle_dummy_province	1	1
wh_main_agent_action_dummy_province_critical_success	wh_main_bundle_dummy_character	wh_main_bundle_dummy_province	1	1
wh_main_agent_action_dummy_province_failure	wh_main_bundle_dummy_character	wh_main_bundle_dummy_province	1	1
wh_main_agent_action_dummy_province_success	wh_main_bundle_dummy_character	wh_main_bundle_dummy_province	1	1
wh_main_agent_action_dummy_region_cannot_fail	wh_main_bundle_dummy_character	wh_main_bundle_dummy_region	1	1
wh_main_agent_action_dummy_region_critical_failure	wh_main_bundle_dummy_character	wh_main_bundle_dummy_region	1	1
wh_main_agent_action_dummy_region_critical_success	wh_main_bundle_dummy_character	wh_main_bundle_dummy_region	1	1
wh_main_agent_action_dummy_region_failure	wh_main_bundle_dummy_character	wh_main_bundle_dummy_region	1	1
wh_main_agent_action_dummy_region_success	wh_main_bundle_dummy_character	wh_main_bundle_dummy_region	1	1
wh_main_agent_action_dummy_success	wh_main_bundle_dummy_character	wh_main_bundle_dummy_character	1	1
