battlefield_building	special_ability	tier
cst_barricade_monument_01	wh3_main_barricade_monument_cst	1
cst_barricade_platform_01	wh3_main_barricade_platform	1
cst_barricade_trap_01	wh3_main_barricade_trap	1
cth_barricade_blocker_01	wh3_main_barricade_blocker	1
cth_barricade_monument_01	wh3_main_barricade_monument_cth	1
cth_barricade_platform_01	wh3_main_barricade_platform	1
cth_barricade_trap_01	wh3_main_barricade_trap	1
cth_hero_building_06	wh3_main_siege_defender	1
cth_hero_building_11	wh3_main_siege_defender	1
cth_hero_building_doorway_01	wh3_main_siege_defender	1
cth_hero_gate_01	wh3_main_siege_defender	1
cth_stat_drag_01	wh3_main_siege_defender	1
def_barricade_blocker_01	wh3_main_barricade_blocker	1
def_barricade_monument_01	wh3_main_barricade_monument_def	1
def_barricade_platform_01	wh3_main_barricade_platform	1
def_barricade_trap_01	wh3_main_barricade_trap	1
def_barricade_trap_02	wh3_main_barricade_trap	1
def_gateadd_01	wh3_main_siege_defender	1
def_statue_khaine_01	wh3_main_siege_defender	1
dwf_barracks_pillar_03	wh3_main_siege_defender	1
dwf_barricade_blocker_01	wh3_main_barricade_blocker	1
dwf_barricade_monument_01	wh3_main_barricade_monument_dwf	1
dwf_barricade_platform_01	wh3_main_barricade_platform	1
dwf_barricade_trap_01	wh3_main_barricade_trap	1
dwf_barricade_trap_02	wh3_main_barricade_trap	1
dwf_capturepoint_01_03	wh3_dlc23_building_passive_the_hellshard_pumps	1
dwf_forge_01	wh3_main_siege_defender	1
dwf_house_doublestorey_01	wh3_main_siege_defender	1
dwf_statue_03	wh3_main_siege_defender	1
emp_barricade_blocker_01	wh3_main_barricade_blocker	1
emp_barricade_monument_01	wh3_main_barricade_monument_emp	1
emp_barricade_platform_01	wh3_main_barricade_platform	1
emp_barricade_trap_01	wh3_main_barricade_trap	1
emp_death_statue_01	wh3_main_siege_defender	1
emp_hero_skullmance_01	wh3_main_siege_defender	1
emp_hero_skullmance_02	wh3_main_siege_defender	1
emp_hero_tower_04	wh3_main_siege_defender	1
emp_hero_tower_07	wh3_main_siege_defender	1
emp_infield_house_06	wh3_main_siege_defender	1
emp_sigmar_stone_g_01	wh3_main_siege_defender	1
frg_pipe_01_short	wh3_survival_forge_3_depths_of_the_forge	1
glb_ruins_tos_01	wh3_main_siege_defender	1
glb_warpstone_03	wh3_main_siege_defender	1
grn_barricade_blocker_01	wh3_main_barricade_blocker	1
grn_barricade_monument_01	wh3_main_barricade_monument_grn	1
grn_barricade_platform_01	wh3_main_barricade_platform	1
grn_barricade_trap_01	wh3_main_barricade_trap	1
grn_cheifs_hut	wh3_main_siege_defender	1
grn_hut_skull_head	wh3_main_siege_defender	1
grn_idol_02	wh3_main_siege_defender	1
grn_idol_04	wh3_main_siege_defender	1
hef_barricade_blocker_01	wh3_main_barricade_blocker	1
hef_barricade_monument_01	wh3_main_barricade_monument_hef	1
hef_barricade_platform_01	wh3_main_barricade_platform	1
hef_barricade_trap_01	wh3_main_barricade_trap	1
hef_infield_fountain_01	wh3_main_siege_defender	1
hef_infield_house_04	wh3_main_siege_defender	1
hef_infield_tower_01	wh3_main_siege_defender	1
hef_statue_01	wh3_main_siege_defender	1
hef_statue_female_01	wh3_main_siege_defender	1
hef_waystone_01	wh3_main_siege_defender	1
kho_barricade_blocker_01	wh3_main_barricade_blocker	1
kho_barricade_monument_01	wh3_main_barricade_monument_kho	1
kho_barricade_platform_01	wh3_main_barricade_platform	1
kho_barricade_trap_01	wh3_main_barricade_trap	1
ksl_barricade_blocker_01	wh3_main_barricade_blocker	1
ksl_barricade_monument_01	wh3_main_barricade_monument_ksl	1
ksl_barricade_platform_01	wh3_main_barricade_platform	1
ksl_barricade_trap_01	wh3_main_barricade_trap	1
ksl_hero_dome_03	wh3_main_siege_defender	1
ksl_hero_palace_02	wh3_main_siege_defender	1
ksl_infield_house_wooden_06	wh3_main_siege_defender	1
ksl_pillar_01	wh3_main_siege_defender	1
lzd_barricade_blocker_01	wh3_main_barricade_blocker	1
lzd_barricade_monument_01	wh3_main_barricade_monument_lzd	1
lzd_barricade_platform_01	wh3_main_barricade_platform	1
lzd_barricade_trap_01	wh3_main_barricade_trap	1
lzd_building03	wh3_main_siege_defender	1
lzd_pyramid01	wh3_main_siege_defender	1
lzd_sacrificial01	wh3_main_siege_defender	1
mrb_barricade_blocker_01	wh3_main_barricade_blocker	1
mrb_barricade_platform_01	wh3_main_barricade_platform	1
mrb_barricade_trap_01	wh3_main_barricade_trap	1
nor_barricade_blocker_01	wh3_main_barricade_blocker	1
nor_barricade_monument_01	wh3_main_barricade_monument_nor	1
nor_barricade_platform_01	wh3_main_barricade_platform	1
nor_barricade_trap_01	wh3_main_barricade_trap	1
nor_standingstones_lrg_02	wh3_main_siege_defender	1
nor_standingwood_01	wh3_main_siege_defender	1
nor_standingwood_03	wh3_main_siege_defender	1
nur_barricade_blocker_01	wh3_main_barricade_blocker	1
nur_barricade_monument_01	wh3_main_barricade_monument_nur	1
nur_barricade_platform_01	wh3_main_barricade_platform	1
nur_barricade_trap_01	wh3_main_barricade_trap	1
nur_barricade_trap_02	wh3_main_barricade_trap	1
nur_bell_01	wh3_survival_nurgle_2_seeping_tree	1
nur_symbol_02	wh3_survival_nurgle_1_sapping_tree	1
nur_toof_01	wh3_survival_nurgle_3_stinging_tree	1
ogr_barricade_blocker_01	wh3_main_barricade_blocker	1
ogr_barricade_monument_01	wh3_main_barricade_monument_ogr	1
ogr_barricade_platform_01	wh3_main_barricade_platform	1
ogr_barricade_trap_01	wh3_main_barricade_trap	1
ogr_bones_horns_03	wh3_main_siege_defender	1
ogr_bones_skull_mammoth_01	wh3_main_siege_defender	1
ogr_cooking_stage_01	wh3_main_siege_defender	1
ogr_cookingshrine_03	wh3_main_siege_defender	1
ogr_small_hut_01	wh3_main_siege_defender	1
ogr_small_hut_02	wh3_main_siege_defender	1
ogr_structure_03	wh3_main_siege_defender	1
ogr_structure_05	wh3_main_siege_defender	1
skv_barricade_blocker_01	wh3_main_barricade_blocker	1
skv_barricade_monument_01	wh3_main_barricade_monument_skv	1
skv_barricade_platform_01	wh3_main_barricade_platform	1
skv_barricade_trap_01	wh3_main_barricade_trap	1
skv_barricade_trap_02	wh3_main_barricade_trap	1
skv_wall_tower	wh3_main_siege_defender	1
skv_wheel_02	wh3_main_siege_defender	1
sla_barricade_blocker_01	wh3_main_barricade_blocker	1
sla_barricade_monument_01	wh3_main_barricade_monument_sla	1
sla_barricade_platform_01	wh3_main_barricade_platform	1
sla_barricade_trap_01	wh3_main_barricade_trap	1
sla_barricade_trap_02	wh3_main_barricade_trap	1
slaa_cliff_bridge_01	wh3_survival_slaanesh_2_scent_of_joy	1
slaa_cliff_short_03	wh3_survival_slaanesh_1_scent_of_vainglory	1
slaa_prop_horn_01	wh3_survival_slaanesh_3_scent_of_indolency	1
tmb_barricade_blocker_01	wh3_main_barricade_blocker	1
tmb_barricade_monument_01	wh3_main_barricade_monument_tmb	1
tmb_barricade_platform_01	wh3_main_barricade_platform	1
tmb_barricade_trap_01	wh3_main_barricade_trap	1
tmb_platform_waterpool_01	wh3_main_siege_defender	1
tmb_statue_scorp_01	wh3_main_siege_defender	1
tmb_upright_statue_01_sandstone	wh3_main_siege_defender	1
tze_barricade_blocker_01	wh3_main_barricade_blocker	1
tze_barricade_monument_01	wh3_main_barricade_monument_tze	1
tze_barricade_platform_01	wh3_main_barricade_platform	1
tze_barricade_trap_01	wh3_main_barricade_trap	1
tze_barricade_trap_02	wh3_main_barricade_trap	1
vmp_barricade_blocker_01	wh3_main_barricade_blocker	1
vmp_barricade_monument_01	wh3_main_barricade_monument_vmp	1
vmp_barricade_platform_01	wh3_main_barricade_platform	1
vmp_barricade_trap_01	wh3_main_barricade_trap	1
vmp_statue_varg_plin_01	wh3_main_siege_defender	1
wef_barricade_blocker_01	wh3_main_barricade_blocker	1
wef_barricade_monument_01	wh3_main_barricade_monument_wef	1
wef_barricade_platform_01	wh3_main_barricade_platform	1
wef_barricade_trap_01	wh3_main_barricade_trap	1
wef_large_waystone_01	wh3_main_siege_defender	1
