entity_type	metadata_tag	vfx_filter	sound_event_battle_start	sound_event_battle_stop	sound_event_campaign_start	culling_distance_override	sound_event_campaign_stop	vocalisation_bank_split
wh3_cam_ship_slaanesh_sails	Cam_Ship_Movement_Loop	0			Campaign_Structure_Parts_Ship_Movement_Sail_Play	0.0000	Campaign_Structure_Parts_Ship_Movement_Sail_Stop	
wh3_cam_ship_slaanesh_sails	Cam_Ship_Sla_Blades_Idle_Loop	0				0.0000		
wh3_cam_ship_slaanesh_sails	Cam_Ship_Sla_Blades_Movement_Loop	0				0.0000		
wh3_cam_ship_slaanesh_sails	Cam_Ship_Sla_Blades_Scrape	0				0.0000		
wh3_cam_ship_slaanesh_sails	Cam_Ship_Sla_Blades_Whoosh	0				0.0000		
wh3_cam_ship_tzeentch_lord	Cam_Ship_Tze_Wings_Idle_Loop	0				0.0000		
wh3_cam_ship_tzeentch_lord	Cam_Ship_Tze_Wings_Movement_Loop	0				0.0000		
wh3_dlc20_dae_sla_chaos_lord	Cine2_Archaon_Quick_Slash	0	Battle_Individual_Cinematic_Kit_Animation_Generic_Whoosh_Moderate_Huge			0.0000		
wh2_dlc14_skaven_sorcerer_LH	Cine2_Archaon_Sword_Charge_Up	0				0.0000		
wh3_dlc26_kho_cha_skulltaker_LORD	Cine2_DLC23_Fire_Blade_Impact	0	Battle_Individual_Cinekit_Skulltaker_Fire_Blade_Hit		Campaign_Individual_Cinekit_Skulltaker_Sword_Impact	300.0000		
wh3_dlc26_kho_cha_skulltaker_LORD	Cine2_DLC23_Fire_Blade_Whoosh	0	Battle_Individual_Cinekit_Skulltaker_Fire_Blade_Whoosh			300.0000		
wh3_dlc24_cth_gate_master_LH	Cine2_DLC23_Metal_Weapon_Medium_Impact	0	Battle_Individual_Cinematic_Kit_Gate_Master_Sword_Impact		Campaign_Individual_Cinematic_Kit_Gate_Master_Sword_Impact	300.0000		
wh3_dlc24_cth_gate_master_LH	Cine2_DLC23_Metal_Weapon_Medium_Swing_Short	0	Battle_Individual_Cinematic_Kit_Gate_Master_Sword_Whoosh		Campaign_Individual_Cinematic_Kit_Gate_Master_Sword_Whoosh	300.0000		
wh3_dlc24_cth_celestial_lion	Cine2_DLC24_Celestial_Lion_Bite	0	Battle_Individual_Cinematic_Kit_Celestial_Lion_Bite			300.0000		
wh3_dlc24_cth_celestial_lion	Cine2_DLC24_Celestial_Lion_Claw_Impact	0	Battle_Individual_Cinematic_Kit_Celestial_Lion_Impact			300.0000		
wh3_dlc24_cth_celestial_lion	Cine2_DLC24_Celestial_Lion_Claw_Swipe	0	Battle_Individual_Cinematic_Kit_Celestial_Lion_Claw_Swipe			300.0000		
wh3_dlc24_tze_mon_changebringer	Cine2_DLC24_Changebringers_Attack_Generic	0	Battle_Individual_Cinematic_Kit_Changebringers_Attack_Generic			100.0000		
wh3_dlc24_tze_mon_changebringer	Cine2_DLC24_Changebringers_Attack_Jumping	0	Battle_Individual_Cinematic_Kit_Changebringers_Attack_Jumping			100.0000		
wh3_dlc24_tze_mon_changebringer	Cine2_DLC24_Changebringers_Attack_Missile	0	Battle_Individual_Cinematic_Kit_Changebringers_Attack_Missile			100.0000		
wh3_dlc24_tze_mon_changebringer	Cine2_DLC24_Changebringers_Death	0	Battle_Individual_Cinematic_Kit_Changebringers_Death			100.0000		
wh3_dlc24_tze_chaos_LORD	Cine2_DLC24_Chaos_Lord_of_Tzeentch_Pre_Whoosh	0	Battle_Individual_Cinematic_Kit_Chaos_Lord_of_Tzeentch_Pre_Whoosh			300.0000		
wh3_dlc24_tze_chaos_LORD	Cine2_DLC24_Chaos_Lord_of_Tzeentch_Pull_Out	0	Battle_Individual_Cinematic_Kit_Chaos_Lord_of_Tzeentch_Pull_Out			300.0000		
wh3_dlc24_tze_chaos_LORD	Cine2_DLC24_Chaos_Lord_of_Tzeentch_Shield_Hit	0	Battle_Individual_Cinematic_Kit_Chaos_Lord_of_Tzeentch_Shield_Hit		Campaign_Individual_Cinematic_Kit_Chaos_Lord_of_Tzeentch_Shield_Hit	300.0000		
wh3_dlc24_tze_chaos_LORD	Cine2_DLC24_Chaos_Lord_of_Tzeentch_Spear_Impact	0	Battle_Individual_Cinematic_Kit_Chaos_Lord_of_Tzeentch_Spear_Impact			300.0000		
wh3_dlc24_tze_chaos_LORD	Cine2_DLC24_Chaos_Lord_of_Tzeentch_Stab	0	Battle_Individual_Cinematic_Kit_Chaos_Lord_of_Tzeentch_Stab			0.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Bow_Shoot	0	Battle_Individual_Cinematic_Kit_Druzhina_Bow_Shoot			300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Post_Swing	0	Battle_Individual_Cinematic_Kit_Druzhina_Post_Swing		Campaign_Individual_Cinematic_Kit_Druzhina_Post_Swing	300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Pre_Swing_Big	0	Battle_Individual_Cinematic_Kit_Druzhina_Pre_Swing_Big			300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Pre_Swing_Fast	0	Battle_Individual_Cinematic_Kit_Druzhina_Pre_Swing_Fast		Campaign_Individual_Cinematic_Kit_Druzhina_Pre_Swing_Fast	300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Pre_Swing	0	Battle_Individual_Cinematic_Kit_Druzhina_Pre_Swing			300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Swing_Big	0	Battle_Individual_Cinematic_Kit_Druzhina_Swing_Big			300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Swing_Fast_Short	0	Battle_Individual_Cinematic_Kit_Druzhina_Swing_Fast_Short			300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Swing_Fast	0	Battle_Individual_Cinematic_Kit_Druzhina_Swing_Fast		Campaign_Individual_Cinematic_Kit_Druzhina_Swing_Fast	300.0000		
wh3_dlc24_ksl_druzhina_LH	Cine2_DLC24_Druzhina_Swing_Main	0	Battle_Individual_Cinematic_Kit_Druzhina_Swing_Main		Campaign_Individual_Cinematic_Kit_Druzhina_Swing_Main	300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Jump_Attack_Whoosh	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Jump_Attack_Whoosh			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Jump_Attack	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Jump_Attack_Jump			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Shield_Bash_Long	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Shield_Bash_Long			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Shield_Bash_Short	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Shield_Bash_Short			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Prep	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Prep			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Release_Enemy	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Release_Enemy			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Release_Ground	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Release_Ground			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Stab_Enemy	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Stab_Enemy			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Stab_Ground	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Stab_Ground			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Swipe_Fast	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Swipe_Fast			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Swipe_Main	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Swipe_Main			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Swipe_Post	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Swipe_Post			300.0000		
wh3_dlc24_ksl_golden_knight_LH	Cine2_DLC24_Golden_Knight_Sword_Whoosh	0	Battle_Individual_Cinematic_Kit_Golden_Knight_Sword_Whoosh			300.0000		
wh3_dlc24_ksl_thing_in_the_woods_ethereal	Cine2_DLC24_Things_In_The_Woods_Blood_Ethereal_Disapear	0	Battle_Individual_Cinematic_Kit_Things_in_The_Woods_Ethereal_Disapear			300.0000		
wh3_dlc24_cth_dragon_yuan_bo_LORD	Cine2_DLC24_Yuan_Bo_Jade_Dragon_Dragon_Jade_Wall	0	Battle_Individual_Cinematic_Kit_Yuan_Bo_Jade_Dragon_Dragon_Jade_Wall			300.0000		
wh3_dlc24_cth_dragon_yuan_bo_LORD	Cine2_DLC24_Yuan_Bo_Jade_Dragon_Dragon_Shimmer_Loop	0	Battle_Individual_Cinematic_Kit_Yuan_Bo_Jade_Dragon_Dragon_Shimmer_Loop_Start	Battle_Individual_Cinematic_Kit_Yuan_Bo_Jade_Dragon_Dragon_Shimmer_Loop_Stop		300.0000		
wh3_dlc24_cth_yuan_bo_LORD	Cine2_DLC24_Yuan_Bo_Jade_Dragon_Human_Jade_Sword	0	Battle_Individual_Cinematic_Kit_Yuan_Bo_Jade_Dragon_Human_Jade_Sword			300.0000		
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Gore_Eat	0	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Eat			250.0000		
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Gore_Growth_Rip	0	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Growth_Rip			250.0000		
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Gore_Guts_Grab	0	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Guts_Grab			250.0000		
wh3_dlc26_kho_cha_scyla_LH	Cine2_DLC25_Bile_Troll_Gore_Guts_Grab	0	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Guts_Grab			250.0000		
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Gore_Guts_Rip	0	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Guts_Rip			250.0000		
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Gore_Vomit_Lp	0	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Vomit_Lp_Play	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Vomit_Lp_Stop		250.0000		
wh3_dlc25_nur_chaos_sorcerer_LH	Cine2_DLC25_Bile_Troll_Gore_Vomit_Lp	0	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Vomit_Lp_Play	Battle_Individual_Cinematic_Kit_BileTroll_Gore_Vomit_Lp_Stop	Campaign_Individual_Cinematic_Kit_BileTroll_Gore_Vomit_Lp_Play	250.0000	Campaign_Individual_Cinematic_Kit_BileTroll_Gore_Vomit_Lp_Stop	
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Impact_Gore_Generic	0	Battle_Individual_Cinematic_Kit_BileTroll_Impact_Gore_Generic			250.0000		
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Impact_Rock_Generic	0	Battle_Individual_Cinematic_Kit_BileTroll_Impact_Rock_Generic			250.0000		
wh3_dlc25_nur_bile_troll	Cine2_DLC25_Bile_Troll_Whoosh_Generic	0	Battle_Individual_Cinematic_Kit_BileTroll_Whoosh_Generic			250.0000		
wh3_dlc25_nur_plagueogres	Cine2_DLC25_Bile_Troll_Whoosh_Generic	0	Battle_Individual_Cinematic_Kit_BileTroll_Whoosh_Generic			250.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseeker_Whirlwind_Start	0	Battle_Individual_Cinematic_Kit_Garagrim_Hurricane_Start			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseeker_Whirlwind_Stop	0	Battle_Individual_Cinematic_Kit_Garagrim_Hurricane_Start			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack01_Back_Whoosh	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_01_Back_Whoosh			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack01_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_01_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack01_Retract	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_01_Retract			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack03_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_03_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack03_Retract	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_03_Retract			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack03_Whoosh	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_03_Whoosh			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack04_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_04_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_Attack04_Whoosh	0	Battle_Individual_Cinematic_Kit_Garagrim_Attack_04_Whoosh			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_JumpAttack01_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Jump_Attack_01_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_JumpAttack01_Whoosh	0	Battle_Individual_Cinematic_Kit_Garagrim_Jump_Attack_01_Whoosh			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_JumpAttack02_Impact_End	0	Battle_Individual_Cinematic_Kit_Garagrim_Jump_Attack_02_Impact_End			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_JumpAttack02_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Jump_Attack_02_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_JumpAttack02_Jump	0	Battle_Individual_Cinematic_Kit_Garagrim_Jump_Attack_02_Jump			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Doomseekers_Garagrim_JumpAttack02_Retract	0	Battle_Individual_Cinematic_Kit_Garagrim_Jump_Attack_02_Retract			300.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Charge_Burst	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Charge_Post	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Charge_Pre	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_DarkSlash	0				0.0000		
wh3_dlc25_emp_carmine_dragon	Cine2_DLC25_ElspethVonDraken_Dragon_Breath	0	Battle_Individual_Cinematic_Kit_ElspethVonDraken_Dragon_Breath			300.0000		
wh3_dlc25_emp_elspeth_von_draken_LORD	Cine2_DLC25_ElspethVonDraken_Foley_Scythe	0	Battle_Individual_Cinematic_Kit_ElspethVonDraken_Slash_Post			300.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_GRP_Impact	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Shockwave	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Slam_Pre	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Slam	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Slash_Impact	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Slash_Post	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Slash_Pre	0				0.0000		
wh_human_male_LH	Cine2_DLC25_ElspethVonDraken_Slash	0				0.0000		
wh3_dlc25_nur_palanquin_epidemius	Cine2_DLC25_Epidemius_Jump_Attack_Explosion	0	Battle_Individual_Cinematic_Kit_Epidemius_Jump_Attack_Explosion			300.0000		
wh3_dlc25_nur_palanquin_epidemius	Cine2_DLC25_Epidemius_Jump_Attack_Impact	0	Battle_Individual_Cinematic_Kit_Epidemius_Jump_Attack_Impact			300.0000		
wh3_dlc25_nur_epidemius_LH	Cine2_DLC25_Epidemius_Knife_Prep	0	Battle_Individual_Cinematic_Kit_Epidemius_Knife_Prep_Whoosh		Campaign_Individual_Cinematic_Kit_Epidemius_Knife_Prep_Whoosh	250.0000		
wh3_dlc25_nur_epidemius_LH	Cine2_DLC25_Epidemius_Knife_Stab_Impact	0	Battle_Individual_Cinematic_Kit_Epidemius_Knife_Stab_Impact			300.0000		
wh3_dlc25_nur_epidemius_LH	Cine2_DLC25_Epidemius_Knife_Stab_Pullback	0	Battle_Individual_Cinematic_Kit_Epidemius_Knife_Stab_Pullback			250.0000		
wh3_dlc25_nur_epidemius_LH	Cine2_DLC25_Epidemius_Knife_Swipe_Pre	0	Battle_Individual_Cinematic_Kit_Epidemius_Knife_Swipe_Pre			250.0000		
wh3_dlc25_nur_epidemius_LH	Cine2_DLC25_Epidemius_Knife_Swipe_Pulse	0	Battle_Individual_Cinematic_Kit_Epidemius_Knife_Swipe_Pulse		Campaign_Individual_Cinematic_Kit_Epidemius_Knife_Swipe_Pulse	300.0000		
wh3_dlc25_nur_palanquin_epidemius	Cine2_DLC25_Epidemius_Persistent_VFX_Loop	0	Battle_Individual_Cinematic_Kit_Epidemius_Persistent_VFX_Loop_Start	Battle_Individual_Cinematic_Kit_Epidemius_Persistent_VFX_Loop_Start	Campaign_Individual_Cinematic_Kit_Epidemius_Persistent_VFX_Loop_Start	40.0000	Campaign_Individual_Cinematic_Kit_Epidemius_Persistent_VFX_Loop_Stop	
wh3_dlc25_nur_palanquin_epidemius	Cine2_DLC25_Epidemius_Spin_Attack	0	Battle_Individual_Cinematic_Kit_Epidemius_Spin_Attack_Impact			300.0000		
wh3_dlc25_nur_epidemius_LH	Cine2_DLC25_Epidemius_Swipe_Whoosh	0	Battle_Individual_Cinematic_Kit_Epidemius_Swipe_Whoosh		Campaign_Individual_Cinematic_Kit_Epidemius_Swipe_Whoosh	300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Garagrim_Dual_Axe_Attack01_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Dual_Axe_Attack_01_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Garagrim_Dual_Axe_Attack01_Start	0	Battle_Individual_Cinematic_Kit_Garagrim_Dual_Axe_Attack_01_Start			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Garagrim_Dual_Axe_Attack02_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Dual_Axe_Attack_02_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Garagrim_Dual_Axe_Attack02_Start	0	Battle_Individual_Cinematic_Kit_Garagrim_Dual_Axe_Attack_02_Start			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Garagrim_Dual_Axe_Attack02_Whoosh_Impact	0	Battle_Individual_Cinematic_Kit_Garagrim_Dual_Axe_Attack_02_Whoosh_Impact			300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Garagrim_Hurricane_Start	0	Battle_Individual_Cinematic_Kit_Garagrim_Hurricane_Start	Battle_Individual_Cinematic_Kit_Garagrim_Hurricane_Stop		300.0000		
wh3_dlc25_dwf_garagrim_ironfist_LH	Cine2_DLC25_Garagrim_Hurricane_Stop	0	Battle_Individual_Cinematic_Kit_Garagrim_Hurricane_Stop			300.0000		
wh3_dlc25_dwf_malakai_makaisson_LORD	Cine2_DLC25_Malakai_Attack_01	0	Battle_Individual_Cinematic_Kit_Malakai_Attack_01			300.0000		
wh3_dlc25_dwf_malakai_makaisson_LORD	Cine2_DLC25_Malakai_Attack_Slam	0	Battle_Individual_Cinematic_Kit_Malakai_Attack_Slam			300.0000		
wh3_dlc25_dwf_malakai_makaisson_LORD	Cine2_DLC25_Malakai_Attack_Swipe	0	Battle_Individual_Cinematic_Kit_Malakai_Attack_Swipe			300.0000		
wh3_dlc25_dwf_malakai_makaisson_LORD	Cine2_DLC25_Malakai_Fire_Whoosh	0	Battle_Individual_Cinematic_Kit_Malakai_Fire_Whoosh			300.0000		
