trait_level	effect	effect_scope	value
wh2_dlc10_trait_alarielle_chaos_1	wh2_dlc10_effect_force_stat_physical_resistance_tree_units	general_to_force_own	5.0000
wh2_dlc10_trait_alarielle_chaos_1	wh2_dlc10_effect_force_stat_weapon_strength_tree_units	general_to_force_own	10.0000
wh2_dlc10_trait_alarielle_chaos_1	wh2_main_effect_character_stat_weapon_strength_vs_chaos_norsca	character_to_character_own	10.0000
wh2_dlc10_trait_alarielle_chaos_1	wh3_main_effect_winds_of_magic_pool_cap	general_to_force_own	-10.0000
wh2_dlc10_trait_alarielle_chaos_1	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	1.0000
wh2_dlc10_trait_alarielle_chaos_2	wh2_dlc10_alarielle_effect_recruitment_cost_reduction_trees	general_to_force_own	-50.0000
wh2_dlc10_trait_alarielle_chaos_2	wh2_dlc10_effect_character_stat_bonus_vs_large_vs_chaos	character_to_character_own	10.0000
wh2_dlc10_trait_alarielle_chaos_2	wh2_dlc10_effect_character_stat_miscast_vs_chaos_norsca	character_to_character_own	50.0000
wh2_dlc10_trait_alarielle_chaos_2	wh2_dlc10_effect_force_stat_physical_resistance_tree_units	general_to_force_own	10.0000
wh2_dlc10_trait_alarielle_chaos_2	wh2_dlc10_effect_force_stat_weapon_strength_tree_units	general_to_force_own	20.0000
wh2_dlc10_trait_alarielle_chaos_2	wh2_main_effect_character_stat_weapon_strength_vs_chaos_norsca	character_to_character_own	25.0000
wh2_dlc10_trait_alarielle_chaos_2	wh3_main_effect_winds_of_magic_pool_cap	general_to_force_own	-20.0000
wh2_dlc10_trait_alarielle_chaos_2	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	2.0000
wh2_dlc10_trait_alarielle_chaos_3	wh2_dlc10_alarielle_effect_recruitment_cost_reduction_trees	general_to_force_own	-80.0000
wh2_dlc10_trait_alarielle_chaos_3	wh2_dlc10_effect_character_stat_bonus_vs_large_vs_chaos	character_to_character_own	15.0000
wh2_dlc10_trait_alarielle_chaos_3	wh2_dlc10_effect_character_stat_miscast_vs_chaos_norsca	character_to_character_own	80.0000
wh2_dlc10_trait_alarielle_chaos_3	wh2_dlc10_effect_force_stat_physical_resistance_tree_units	general_to_force_own	20.0000
wh2_dlc10_trait_alarielle_chaos_3	wh2_dlc10_effect_force_stat_weapon_strength_tree_units	general_to_force_own	30.0000
wh2_dlc10_trait_alarielle_chaos_3	wh2_main_effect_character_stat_weapon_strength_vs_chaos_norsca	character_to_character_own	50.0000
wh2_dlc10_trait_alarielle_chaos_3	wh3_main_effect_winds_of_magic_pool_cap	general_to_force_own	-30.0000
wh2_dlc10_trait_alarielle_chaos_3	wh_dlc08_effect_ability_enable_the_dwellers_below	character_to_character_own	1.0000
wh2_dlc10_trait_alarielle_chaos_3	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	3.0000
wh2_dlc10_trait_alarielle_chaos_none	wh3_main_effect_corruption_reduction_characters	character_to_character_own_provincetext	-5.0000
wh2_dlc10_trait_alarielle_chaos_none	wh_main_effect_character_stat_leadership_aura_size	character_to_character_own	100.0000
wh2_dlc10_trait_alarielle_chaos_none	wh_main_effect_public_order_characters	character_to_province_own	2.0000
wh2_dlc10_trait_defeated_alarielle	wh3_main_effect_winds_of_magic_increase_chance_mod	character_to_region_any_local_province_text	5.0000
wh2_dlc10_trait_defeated_alarielle	wh_main_effect_province_growth_characters	character_to_province_own	10.0000
wh2_dlc10_trait_defeated_alarielle	wh_main_effect_public_order_characters	character_to_province_own	4.0000
wh2_dlc10_trait_defeated_alith_anar	wh_main_effect_agent_action_cost_mod	character_to_character_regionwide_local_region	-15.0000
wh2_dlc10_trait_defeated_alith_anar	wh_main_effect_agent_action_success_chance	character_to_character_regionwide_local_region	10.0000
wh2_dlc10_trait_defeated_hellebron	wh_main_effect_character_stat_ap_damage	character_to_character_own	20.0000
wh2_dlc10_trait_defeated_hellebron	wh_main_effect_character_stat_melee_attack	character_to_character_own	5.0000
wh2_dlc10_trait_sword_of_khaine	wh2_main_effect_attribute_enable_causes_fear_vs_hef	character_to_character_own	1.0000
wh2_dlc10_trait_sword_of_khaine	wh2_main_effect_attribute_enable_causes_fear_vs_wef	character_to_character_own	1.0000
wh2_dlc10_trait_sword_of_khaine	wh_main_effect_character_stat_aura_leadership_effect	character_to_character_own	-5.0000
wh2_dlc10_trait_sword_of_khaine	wh_main_effect_public_order_characters	character_to_province_own	-2.0000
wh2_dlc11_admiral_01_trait	wh2_dlc11_cst_admiral_1_trait_dummy_weapon	character_to_character_own	1.0000
wh2_dlc11_admiral_01_trait	wh2_dlc11_lord_trait_tech_admiral_ship	character_to_character_own	1.0000
wh2_dlc11_admiral_01_trait	wh_main_effect_character_mod_ancillary_steal	character_to_character_own	20.0000
wh2_dlc11_admiral_01_trait	wh_main_effect_character_stat_leadership_aura_size_defending	character_to_character_own	100.0000
wh2_dlc11_admiral_01_trait	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-15.0000
wh2_dlc11_admiral_02_trait	wh2_dlc11_cst_admiral_1_trait_dummy_weapon	character_to_character_own	1.0000
wh2_dlc11_admiral_02_trait	wh2_dlc11_lord_trait_tech_admiral_ship	character_to_character_own	1.0000
wh2_dlc11_admiral_02_trait	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
wh2_dlc11_admiral_02_trait	wh_main_effect_force_army_campaign_ambush_defence_success_chance	general_to_force_own	15.0000
wh2_dlc11_admiral_02_trait	wh_main_effect_force_stat_leadership_siege_attack	general_to_force_own	10.0000
wh2_dlc11_admiral_03_trait	wh2_dlc11_cst_admiral_1_trait_dummy_weapon	character_to_character_own	1.0000
wh2_dlc11_admiral_03_trait	wh2_dlc11_lord_trait_tech_admiral_ship	character_to_character_own	1.0000
wh2_dlc11_admiral_03_trait	wh_main_effect_force_stat_physical_resistance	general_to_force_own	10.0000
wh2_dlc11_admiral_03_trait	wh_main_effect_force_stat_weapon_strength	general_to_force_own	15.0000
wh2_dlc11_admiral_03_trait	wh_main_effect_province_growth_characters	character_to_province_own	20.0000
wh2_dlc11_admiral_04_trait	wh2_dlc11_cst_admiral_4_trait_dummy_weapon	character_to_character_own	1.0000
wh2_dlc11_admiral_04_trait	wh2_dlc11_lord_trait_tech_admiral_ship	character_to_character_own	1.0000
wh2_dlc11_admiral_04_trait	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	10.0000
wh2_dlc11_admiral_04_trait	wh_main_effect_character_stat_range	character_to_character_own	10.0000
wh2_dlc11_admiral_04_trait	wh_main_effect_force_stat_charge_bonus_pct	general_to_force_own	10.0000
wh2_dlc11_trait_defeated_aranessa_saltspite	wh2_dlc11_effect_ability_enable_regeneration_at_sea	character_to_character_own	1.0000
wh2_dlc11_trait_defeated_aranessa_saltspite	wh_main_effect_force_all_campaign_sacking_income	character_to_character_own	15.0000
wh2_dlc11_trait_defeated_count_noctilus	wh2_dlc11_effect_force_stat_leadership_vs_vampire_coasts	general_to_force_own	5.0000
wh2_dlc11_trait_defeated_count_noctilus	wh2_main_effect_force_stat_leadership_at_sea	general_to_force_own	5.0000
wh2_dlc11_trait_defeated_cylostra_direfin	wh3_main_effect_winds_of_magic_pool_cap	general_to_force_own	10.0000
wh2_dlc11_trait_defeated_cylostra_direfin	wh_main_effect_character_stat_miscast	character_to_character_own	-10.0000
wh2_dlc11_trait_defeated_lokhir_fellheart	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity	general_to_force_own	1.0000
wh2_dlc11_trait_defeated_luthor_harkon	wh2_main_effect_character_stat_leadership_at_sea	character_to_character_own	10.0000
wh2_dlc11_trait_defeated_luthor_harkon	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000
wh2_dlc11_trait_harkon_personality_coward	wh_main_effect_character_stat_leadership	character_to_character_own	-15.0000
wh2_dlc11_trait_harkon_personality_coward	wh_main_effect_character_stat_missile_damage	character_to_character_own	15.0000
wh2_dlc11_trait_harkon_personality_coward	wh_main_effect_character_stat_speed	character_to_character_own	15.0000
wh2_dlc11_trait_harkon_personality_hateful	wh2_dlc11_effect_ability_cooldown_krakens_pull	character_to_character_own	50.0000
wh2_dlc11_trait_harkon_personality_hateful	wh2_dlc11_effect_ability_enable_krakens_pull	character_to_character_own	1.0000
wh2_dlc11_trait_harkon_personality_hateful	wh_main_effect_character_stat_missile_damage	character_to_character_own	-15.0000
wh2_dlc11_trait_harkon_personality_hateful	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
wh2_dlc11_trait_harkon_personality_mad	wh2_dlc10_effect_attribute_enable_rampage	character_to_character_own	1.0000
wh2_dlc11_trait_harkon_personality_mad	wh_main_effect_character_stat_melee_attack	character_to_character_own	15.0000
wh2_dlc11_trait_harkon_personality_mad	wh_main_effect_character_stat_weapon_strength	character_to_character_own	25.0000
wh2_dlc11_trait_harkon_personality_prideful	wh2_dlc11_effect_ability_cooldown_ghost_ship	character_to_character_own	50.0000
wh2_dlc11_trait_harkon_personality_prideful	wh2_dlc11_effect_ability_enable_ghost_ship	character_to_character_own	1.0000
wh2_dlc11_trait_harkon_personality_prideful	wh_main_effect_character_stat_melee_defence	character_to_character_own	15.0000
wh2_dlc11_trait_harkon_personality_prideful	wh_main_effect_character_stat_speed	character_to_character_own	-15.0000
wh2_dlc11_trait_harkon_personality_restored	wh2_dlc11_cst_enable_lore_of_deep_spells	character_to_character_own	1.0000
wh2_dlc11_trait_harkon_personality_restored	wh_main_effect_character_stat_leadership_aura_size	character_to_character_own	40.0000
wh2_dlc11_trait_harkon_personality_restored	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
wh2_dlc11_trait_harkon_personality_restored	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
wh2_dlc11_trait_harkon_personality_restored	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
wh2_dlc11_trait_incentive_1_low	wh2_dlc11_trait_incentive_rebel_high_dummy	character_to_character_own	1.0000
wh2_dlc11_trait_incentive_1_low	wh_main_effect_agent_movement_range_mod	character_to_character_own	-5.0000
wh2_dlc11_trait_incentive_1_low	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	10.0000
wh2_dlc11_trait_incentive_1_low	wh_main_effect_public_order_characters	character_to_province_own	-5.0000
wh2_dlc11_trait_incentive_2_mid_low	wh2_dlc11_trait_incentive_rebel_low_dummy	character_to_character_own	1.0000
wh2_dlc11_trait_incentive_2_mid_low	wh_main_effect_agent_movement_range_mod	character_to_character_own	-5.0000
wh2_dlc11_trait_incentive_2_mid_low	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	5.0000
wh2_dlc11_trait_incentive_2_mid_low	wh_main_effect_public_order_characters	character_to_province_own	-3.0000
wh2_dlc11_trait_incentive_3_mid	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	5.0000
wh2_dlc11_trait_incentive_3_mid	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	5.0000
wh2_dlc11_trait_incentive_4_mid_high	wh_main_effect_agent_movement_range_mod	character_to_character_own	5.0000
wh2_dlc11_trait_incentive_4_mid_high	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	5.0000
wh2_dlc11_trait_incentive_4_mid_high	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	5.0000
wh2_dlc11_trait_incentive_4_mid_high	wh_main_effect_force_all_campaign_sacking_income	character_to_character_own	5.0000
wh2_dlc11_trait_incentive_4_mid_high	wh_main_effect_force_stat_leadership	general_to_force_own	2.0000
wh2_dlc11_trait_incentive_5_high	wh_main_effect_agent_movement_range_mod	character_to_character_own	5.0000
wh2_dlc11_trait_incentive_5_high	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
wh2_dlc11_trait_incentive_5_high	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	10.0000
wh2_dlc11_trait_incentive_5_high	wh_main_effect_force_all_campaign_sacking_income	character_to_character_own	10.0000
wh2_dlc11_trait_incentive_5_high	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	-5.0000
wh2_dlc11_trait_incentive_5_high	wh_main_effect_force_stat_leadership	general_to_force_own	5.0000
wh2_dlc11_trait_lokhir_black_ark_dummy	wh_main_effect_attribute_enable_unbreakable	character_to_character_own	1.0000
wh2_dlc12_trait_defeated_ikit_claw	wh3_main_effect_winds_of_magic_pool_cap	general_to_force_own	10.0000
wh2_dlc12_trait_defeated_ikit_claw	wh_main_effect_technology_research_points	character_to_faction_unseen	10.0000
wh2_dlc12_trait_defeated_tehenhauin	wh_main_effect_force_all_campaign_captives	general_to_force_own	15.0000
wh2_dlc12_trait_defeated_tehenhauin	wh_main_effect_force_army_campaign_attrition_all_resistance	general_to_force_own	-25.0000
wh2_dlc12_trait_defeated_tiktaqto	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	10.0000
wh2_dlc12_trait_defeated_tiktaqto	wh_main_effect_agent_movement_range_mod	character_to_character_own	10.0000
wh2_dlc13_trait_defeated_gorrok	wh_main_effect_attribute_enable_expert_charge_defence	character_to_character_own	1.0000
wh2_dlc13_trait_defeated_gorrok	wh_main_effect_force_stat_leadership	general_to_force_own	4.0000
wh2_dlc13_trait_defeated_nakai	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
wh2_dlc13_trait_defeated_nakai	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	10.0000
wh2_dlc13_trait_defeated_wulfhart	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000
wh2_dlc13_trait_defeated_wulfhart	wh_main_effect_force_stat_missile_damage	general_to_force_own	5.0000
wh2_dlc13_trait_hertwig_focused	wh_main_effect_agent_action_success_chance	character_to_character_own	8.0000
wh2_dlc13_trait_hertwig_focused	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
wh2_dlc13_trait_hertwig_legendary_physician	wh2_dlc13_effect_ability_hunters_call	character_to_character_own	1.0000
wh2_dlc13_trait_hertwig_legendary_physician	wh2_dlc13_skill_ability_patch_up	character_to_character_own	1.0000
wh2_dlc13_trait_hertwig_legendary_physician	wh_main_effect_character_stat_unit_health	character_to_character_own	15.0000
wh2_dlc13_trait_hertwig_legendary_physician	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	-3.0000
wh2_dlc13_trait_hertwig_legendary_physician	wh_main_effect_force_all_campaign_replenishment_rate	character_to_force_own	5.0000
wh2_dlc13_trait_hertwig_van_hal_bloodline	wh2_dlc13_effect_ability_hunters_call	character_to_character_own	1.0000
wh2_dlc13_trait_hertwig_van_hal_bloodline	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
wh2_dlc13_trait_hertwig_van_hal_bloodline	wh_main_effect_character_stat_melee_attack	character_to_character_own	12.0000
wh2_dlc13_trait_hertwig_van_hal_bloodline	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
wh2_dlc13_trait_hertwig_van_hal_bloodline	wh_main_effect_force_stat_leadership_enemy_unit	general_to_force_enemy_regionwide	-5.0000
wh2_dlc13_trait_jorek_creator	wh_main_effect_character_mod_ancillary_drop	agent_to_parent_army_general_own	15.0000
wh2_dlc13_trait_jorek_creator	wh_main_effect_character_mod_ancillary_steal	agent_to_parent_army_general_own	10.0000
wh2_dlc13_trait_jorek_magnificent_engineer	wh2_dlc13_effect_ability_big_boom	character_to_character_own	1.0000
wh2_dlc13_trait_jorek_magnificent_engineer	wh_main_effect_force_army_campaign_upkeep_cost_artillery	agent_to_parent_army_own	-10.0000
wh2_dlc13_trait_jorek_magnificent_engineer	wh_main_effect_force_stat_range_artillery	agent_to_parent_army_own	15.0000
wh2_dlc13_trait_jorek_magnificent_engineer	wh_main_effect_force_stat_speed_artillery	agent_to_parent_army_own	10.0000
wh2_dlc13_trait_kalara_fervent	wh_main_effect_agent_action_cost_mod	character_to_character_own	-15.0000
wh2_dlc13_trait_kalara_fervent	wh_main_effect_agent_action_success_chance	character_to_character_own	10.0000
wh2_dlc13_trait_kalara_ishas_blessing	wh2_dlc13_effect_ability_ishas_rain	character_to_character_own	1.0000
wh2_dlc13_trait_kalara_ishas_blessing	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000
wh2_dlc13_trait_kalara_ishas_blessing	wh_main_effect_character_stat_armour	character_to_character_own	10.0000
wh2_dlc13_trait_kalara_ishas_blessing	wh_main_effect_character_stat_unit_health	character_to_character_own	15.0000
wh2_dlc13_trait_kalara_pursuer	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0000
wh2_dlc13_trait_kalara_pursuer	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	10.0000
wh2_dlc13_trait_rodrik_executed_captive	wh_main_effect_character_stat_weapon_strength	character_to_character_own	20.0000
wh2_dlc13_trait_rodrik_executed_captive	wh_main_effect_force_stat_leadership_enemy_unit	general_to_force_enemy_regionwide	-5.0000
wh2_dlc13_trait_rodrik_merciful	wh_main_effect_agent_action_success_chance	character_to_character_own	8.0000
wh2_dlc13_trait_rodrik_merciful	wh_main_effect_force_army_campaign_upkeep_cost_infantry	character_to_force_own	-10.0000
wh2_dlc13_trait_rodrik_sworn_to_wulfhart	wh_main_effect_attribute_enable_expert_charge_defence	character_to_character_own	1.0000
wh2_dlc13_trait_rodrik_sworn_to_wulfhart	wh_main_effect_force_stat_speed_infantry	character_to_force_own	5.0000
wh2_dlc13_trait_rodrik_targeted_by_duke_tudual	wh_main_effect_agent_defence_wound_chance_mod	character_to_character_own	5.0000
wh2_dlc13_trait_rodrik_targeted_by_duke_tudual	wh_main_effect_force_army_campaign_ambush_attack_success_chance	character_to_force_own_unseen	10.0000
wh2_dlc13_trait_rodrik_wolf_hearted	wh2_dlc13_effect_ability_shatter	character_to_character_own	1.0000
wh2_dlc13_trait_rodrik_wolf_hearted	wh_main_effect_attribute_enable_unbreakable	character_to_character_own	1.0000
wh2_dlc13_trait_rodrik_wolf_hearted	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
wh2_dlc13_trait_rodrik_wolf_hearted	wh_main_effect_character_stat_unit_health	character_to_character_own	15.0000
wh2_dlc14_trait_defeated_gotrek	wh_main_effect_attribute_enable_unbreakable	character_to_character_own	1.0000
wh2_dlc14_trait_defeated_malus	wh_main_effect_character_stat_ap_damage	character_to_character_own	30.0000
wh2_dlc14_trait_defeated_repanse	wh_dlc08_effect_tech_xp_gain_increase_bretonnia	character_to_force_own	100.0000
wh2_dlc14_trait_defeated_repanse	wh_main_effect_province_growth_characters	character_to_province_own	5.0000
wh2_dlc14_trait_defeated_repanse	wh_main_effect_technology_research_points	character_to_faction_unseen	5.0000
wh2_dlc14_trait_defeated_snikch	wh_main_effect_agent_action_success_chance	character_to_character_regionwide_local_region	4.0000
wh2_dlc14_trait_defeated_snikch	wh_main_effect_attribute_enable_stalk	character_to_character_own	1.0000
wh2_dlc15_grom_food_collector_0	wh_main_effect_character_stat_unit_health	character_to_character_own	5.0000
wh2_dlc15_grom_food_collector_1	wh_main_effect_agent_cap_increase_spy_goblin_big_boss	character_to_faction_unseen	1.0000
wh2_dlc15_grom_food_collector_1	wh_main_effect_character_stat_unit_health	character_to_character_own	8.0000
wh2_dlc15_grom_food_collector_2	wh_dlc15_effect_force_unit_stat_leadership_goblins	general_to_force_own	5.0000
wh2_dlc15_grom_food_collector_2	wh_main_effect_agent_cap_increase_spy_goblin_big_boss	character_to_faction_unseen	1.0000
wh2_dlc15_grom_food_collector_2	wh_main_effect_character_stat_unit_health	character_to_character_own	10.0000
wh2_dlc15_grom_food_collector_3	wh_dlc15_effect_force_unit_stat_leadership_goblins	general_to_force_own	8.0000
wh2_dlc15_grom_food_collector_3	wh_main_effect_agent_cap_increase_spy_goblin_big_boss	character_to_faction_unseen	2.0000
wh2_dlc15_grom_food_collector_3	wh_main_effect_character_stat_unit_health	character_to_character_own	12.0000
wh2_dlc15_grom_food_collector_4	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0000
wh2_dlc15_grom_food_collector_4	wh_dlc15_effect_force_unit_stat_leadership_goblins	general_to_force_own	8.0000
wh2_dlc15_grom_food_collector_4	wh_main_effect_agent_cap_increase_spy_goblin_big_boss	character_to_faction_unseen	2.0000
wh2_dlc15_grom_food_collector_4	wh_main_effect_character_stat_unit_health	character_to_character_own	12.0000
wh2_dlc15_trait_defeated_eltharion	wh2_dlc15_effect_unit_enable_attribute_charge_defence_against_large	character_to_character_own	1.0000
wh2_dlc15_trait_defeated_eltharion	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000
wh2_dlc15_trait_defeated_grom	wh2_main_effect_attribute_enable_cause_terror_vs_grn	character_to_force_own	1.0000
wh2_dlc15_trait_defeated_grom	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction_unseen	10.0000
