effect_bundle	payload	duration
wh3_dlc29_bundle_dummy_rank_up_missile_infantry_3	wh3_dlc29_bundle_dummy_rank_up_missile_infantry_3	0
wh3_dlc29_bundle_dummy_rank_up_monsters_1	wh3_dlc29_bundle_dummy_rank_up_monsters_1	0
wh3_dlc29_bundle_dummy_rank_up_monsters_2	wh3_dlc29_bundle_dummy_rank_up_monsters_2	0
wh3_dlc29_bundle_dummy_rank_up_monsters_3	wh3_dlc29_bundle_dummy_rank_up_monsters_3	0
wh3_dlc29_bundle_dummy_rank_up_weapon_teams_1	wh3_dlc29_bundle_dummy_rank_up_weapon_teams_1	0
wh3_dlc29_bundle_dummy_rank_up_weapon_teams_2	wh3_dlc29_bundle_dummy_rank_up_weapon_teams_2	0
wh3_dlc29_bundle_dummy_rank_up_weapon_teams_3	wh3_dlc29_bundle_dummy_rank_up_weapon_teams_3	0
wh3_dlc29_bundle_economic_action_draw_warlock	wh3_dlc29_bundle_economic_action_draw_warlock	0
wh3_dlc29_bundle_economic_action_spawn_food_1	wh3_dlc29_bundle_economic_action_spawn_food_1	0
wh3_dlc29_bundle_economic_action_spawn_food_2	wh3_dlc29_bundle_economic_action_spawn_food_2	0
wh3_dlc29_bundle_economic_action_spawn_food_3	wh3_dlc29_bundle_economic_action_spawn_food_3	0
wh3_dlc29_bundle_economic_green_skryre_treasury_1	wh3_dlc29_bundle_economic_green_skryre_treasury_1	0
wh3_dlc29_bundle_economic_green_skryre_warpstone_1	wh3_dlc29_bundle_economic_green_skryre_warpstone_1	0
wh3_dlc29_bundle_economic_mod_pool_eshin_all_1	wh3_dlc29_bundle_economic_mod_pool_eshin_all_1	0
wh3_dlc29_bundle_economic_mod_pool_grey_seer_treasury_large_1	wh3_dlc29_bundle_economic_mod_pool_grey_seer_treasury_large_1	0
wh3_dlc29_bundle_economic_mod_pool_rictus_warpstone_1	wh3_dlc29_bundle_economic_mod_pool_rictus_warpstone_1	0
wh3_dlc29_bundle_economic_more_resources	wh3_dlc29_bundle_economic_more_resources	0
wh3_dlc29_bundle_economic_upgrade_basic_gdp	wh3_dlc29_bundle_economic_upgrade_basic_gdp	0
wh3_dlc29_bundle_economic_upgrade_grey_seer_treasury_large_2	wh3_dlc29_bundle_economic_upgrade_grey_seer_treasury_large_2	0
wh3_dlc29_bundle_economic_upgrade_rictus_warpstone_2	wh3_dlc29_bundle_economic_upgrade_rictus_warpstone_2	0
wh3_dlc29_bundle_economic_warlock_experience_gained	wh3_dlc29_bundle_economic_warlock_experience_gained	0
wh3_dlc29_bundle_economic_warlock_experience	wh3_dlc29_bundle_economic_warlock_experience	0
wh3_dlc29_bundle_economy_action_dangerous_treasury	wh3_dlc29_bundle_economy_action_dangerous_treasury	0
wh3_dlc29_bundle_economy_action_dangerous_warpstone	wh3_dlc29_bundle_economy_action_dangerous_warpstone	0
wh3_dlc29_bundle_economy_action_select_resource_purple	wh3_dlc29_bundle_economy_action_select_resource_purple	0
wh3_dlc29_bundle_economy_action_select_resource	wh3_dlc29_bundle_economy_action_select_resource	0
wh3_dlc29_bundle_magic_draw_combo_piece	wh3_dlc29_bundle_magic_draw_combo_piece	0
wh3_dlc29_bundle_magic_res_activated_negative_daemon_khorne	wh3_dlc29_bundle_magic_res_activated_negative_daemon_khorne	0
wh3_dlc29_bundle_magic_res_activated_negative_daemon_nurgle	wh3_dlc29_bundle_magic_res_activated_negative_daemon_nurgle	0
wh3_dlc29_bundle_magic_res_activated_negative_daemon_slaanesh	wh3_dlc29_bundle_magic_res_activated_negative_daemon_slaanesh	0
wh3_dlc29_bundle_magic_res_activated_negative_daemon_tzeentch	wh3_dlc29_bundle_magic_res_activated_negative_daemon_tzeentch	0
wh3_dlc29_bundle_magic_upgrade_verminlord_1	wh3_dlc29_bundle_magic_upgrade_verminlord_1	0
wh3_dlc29_bundle_magic_upgrade_verminlord	wh3_dlc29_bundle_magic_upgrade_verminlord	0
wh3_dlc29_bundle_military_action_assassin_2	wh3_dlc29_bundle_military_action_assassin_2	0
wh3_dlc29_bundle_military_action_assassin_3	wh3_dlc29_bundle_military_action_assassin_3	0
wh3_dlc29_bundle_military_action_assassin	wh3_dlc29_bundle_military_action_assassin	0
wh3_dlc29_bundle_military_action_chieftain_0	wh3_dlc29_bundle_military_action_chieftain_0	0
wh3_dlc29_bundle_military_action_chieftain_1	wh3_dlc29_bundle_military_action_chieftain_1	0
wh3_dlc29_bundle_military_action_chieftain_2	wh3_dlc29_bundle_military_action_chieftain_2	0
wh3_dlc29_bundle_military_action_eshin_sorcerer_1	wh3_dlc29_bundle_military_action_eshin_sorcerer_1	0
wh3_dlc29_bundle_military_action_eshin_sorcerer_2	wh3_dlc29_bundle_military_action_eshin_sorcerer_2	0
wh3_dlc29_bundle_military_action_eshin_sorcerer	wh3_dlc29_bundle_military_action_eshin_sorcerer	0
wh3_dlc29_bundle_military_action_packmaster_0	wh3_dlc29_bundle_military_action_packmaster_0	0
wh3_dlc29_bundle_military_action_packmaster_1	wh3_dlc29_bundle_military_action_packmaster_1	0
wh3_dlc29_bundle_military_action_packmaster_2	wh3_dlc29_bundle_military_action_packmaster_2	0
wh3_dlc29_bundle_military_action_plague_priest_0	wh3_dlc29_bundle_military_action_plague_priest_0	0
wh3_dlc29_bundle_military_action_plague_priest_1	wh3_dlc29_bundle_military_action_plague_priest_1	0
wh3_dlc29_bundle_military_action_plague_priest_2	wh3_dlc29_bundle_military_action_plague_priest_2	0
wh3_dlc29_bundle_military_action_reinforcements	wh3_dlc29_bundle_military_action_reinforcements	0
wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_1	wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_1	0
wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_2	wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_2	0
wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_3	wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_3	0
wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_4	wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_4	0
wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_5	wh3_dlc29_bundle_military_action_skill_grey_seer_draw_units_5	0
wh3_dlc29_bundle_military_action_skirmish_1	wh3_dlc29_bundle_military_action_skirmish_1	0
wh3_dlc29_bundle_military_action_skirmish_2	wh3_dlc29_bundle_military_action_skirmish_2	0
wh3_dlc29_bundle_military_action_skirmish_3	wh3_dlc29_bundle_military_action_skirmish_3	0
wh3_dlc29_bundle_military_action_warlock_engineer_1	wh3_dlc29_bundle_military_action_warlock_engineer_1	0
wh3_dlc29_bundle_military_action_warlock_engineer_2	wh3_dlc29_bundle_military_action_warlock_engineer_2	0
wh3_dlc29_bundle_military_action_warlock_engineer	wh3_dlc29_bundle_military_action_warlock_engineer	0
wh3_dlc29_bundle_military_green_basic_infantry_grey_seer_3	wh3_dlc29_bundle_military_green_basic_infantry_grey_seer_3	0
wh3_dlc29_bundle_military_green_death_runners	wh3_dlc29_bundle_military_green_death_runners	0
wh3_dlc29_bundle_military_green_moulder_wolf_rats_dlc_1	wh3_dlc29_bundle_military_green_moulder_wolf_rats_dlc_1	0
wh3_dlc29_bundle_military_green_moulder_wolf_rats_dlc_2	wh3_dlc29_bundle_military_green_moulder_wolf_rats_dlc_2	0
wh3_dlc29_bundle_military_green_moulder_wolf_rats_dlc_3	wh3_dlc29_bundle_military_green_moulder_wolf_rats_dlc_3	0
wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_2	wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_2	0
wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_3	wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_3	0
wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_4	wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_4	0
wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_5	wh3_dlc29_bundle_military_mod_pool_clanrats_grey_seer_5	0
wh3_dlc29_bundle_military_mod_pool_clanrats_spears_shields	wh3_dlc29_bundle_military_mod_pool_clanrats_spears_shields	0
wh3_dlc29_bundle_military_mod_pool_clanrats_spears	wh3_dlc29_bundle_military_mod_pool_clanrats_spears	0
wh3_dlc29_bundle_military_mod_pool_doom_flayers	wh3_dlc29_bundle_military_mod_pool_doom_flayers	0
wh3_dlc29_bundle_military_mod_pool_doomwheel_1	wh3_dlc29_bundle_military_mod_pool_doomwheel_1	0
wh3_dlc29_bundle_military_mod_pool_eshin_triads	wh3_dlc29_bundle_military_mod_pool_eshin_triads	0
wh3_dlc29_bundle_military_mod_pool_gutter_runners_poison	wh3_dlc29_bundle_military_mod_pool_gutter_runners_poison	0
wh3_dlc29_bundle_military_mod_pool_gutter_runners	wh3_dlc29_bundle_military_mod_pool_gutter_runners	0
wh3_dlc29_bundle_military_mod_pool_lower_chance_skavenslaves	wh3_dlc29_bundle_military_mod_pool_lower_chance_skavenslaves	0
wh3_dlc29_bundle_military_mod_pool_night_runners_slingers	wh3_dlc29_bundle_military_mod_pool_night_runners_slingers	0
wh3_dlc29_bundle_military_mod_pool_poison_wind_globadiers	wh3_dlc29_bundle_military_mod_pool_poison_wind_globadiers	0
wh3_dlc29_bundle_military_mod_pool_poison_wind_mortars	wh3_dlc29_bundle_military_mod_pool_poison_wind_mortars	0
wh3_dlc29_bundle_military_mod_pool_ratling_guns	wh3_dlc29_bundle_military_mod_pool_ratling_guns	0
wh3_dlc29_bundle_military_mod_pool_remove_night_runners	wh3_dlc29_bundle_military_mod_pool_remove_night_runners	0
wh3_dlc29_bundle_military_mod_pool_remove_rat_ogres	wh3_dlc29_bundle_military_mod_pool_remove_rat_ogres	0
wh3_dlc29_bundle_military_mod_pool_remove_skavenslaves	wh3_dlc29_bundle_military_mod_pool_remove_skavenslaves	0
wh3_dlc29_bundle_military_mod_pool_rictus_stormvermin_1	wh3_dlc29_bundle_military_mod_pool_rictus_stormvermin_1	0
wh3_dlc29_bundle_military_mod_pool_rictus_stormvermin_3	wh3_dlc29_bundle_military_mod_pool_rictus_stormvermin_3	0
wh3_dlc29_bundle_military_mod_pool_rictus_stormvermin_halberds_1	wh3_dlc29_bundle_military_mod_pool_rictus_stormvermin_halberds_1	0
wh3_dlc29_bundle_military_mod_pool_stormfiends_warlock_1	wh3_dlc29_bundle_military_mod_pool_stormfiends_warlock_1	0
wh3_dlc29_bundle_military_mod_pool_stormfiends_warlock_2	wh3_dlc29_bundle_military_mod_pool_stormfiends_warlock_2	0
wh3_dlc29_bundle_military_mod_pool_stormfiends_warlock_3	wh3_dlc29_bundle_military_mod_pool_stormfiends_warlock_3	0
wh3_dlc29_bundle_military_mod_pool_stormfiends_warlord_1	wh3_dlc29_bundle_military_mod_pool_stormfiends_warlord_1	0
wh3_dlc29_bundle_military_mod_pool_stormfiends_warlord_2	wh3_dlc29_bundle_military_mod_pool_stormfiends_warlord_2	0
wh3_dlc29_bundle_military_mod_pool_stormfiends_warlord_3	wh3_dlc29_bundle_military_mod_pool_stormfiends_warlord_3	0
wh3_dlc29_bundle_military_mod_pool_warp_grinders	wh3_dlc29_bundle_military_mod_pool_warp_grinders	0
wh3_dlc29_bundle_military_mod_pool_warpfire_throwers	wh3_dlc29_bundle_military_mod_pool_warpfire_throwers	0
wh3_dlc29_bundle_military_mod_pool_warplock_jezzails	wh3_dlc29_bundle_military_mod_pool_warplock_jezzails	0
wh3_dlc29_bundle_mutant_rat_ogre_dlc	wh3_dlc29_bundle_mutant_rat_ogre_dlc	0
wh3_dlc29_bundle_plague_censer_bearers	wh3_dlc29_bundle_plague_censer_bearers	0
wh3_dlc29_bundle_purple_dwarfs_any_dwarf_brew	wh3_dlc29_bundle_purple_dwarfs_any_dwarf_brew	0
wh3_dlc29_bundle_purple_magic_draw_combo_piece	wh3_dlc29_bundle_purple_magic_draw_combo_piece	0
wh3_dlc29_bundle_token_upgrade_increase_amount	wh3_dlc29_bundle_token_upgrade_increase_amount	0
wh3_dlc29_bundle_token_upgrade_increase_odds	wh3_dlc29_bundle_token_upgrade_increase_odds	0
wh3_dlc29_bundle_token_upgrade_reduce_risk	wh3_dlc29_bundle_token_upgrade_reduce_risk	0
wh3_dlc29_bundle_warp_lightning_cannons	wh3_dlc29_bundle_warp_lightning_cannons	0
wh3_dlc29_bundle_yellow_stop_drawing_treasury	wh3_dlc29_bundle_yellow_stop_drawing_treasury	0
wh3_dlc29_bundle_yellow_stop_drawing_warpstone	wh3_dlc29_bundle_yellow_stop_drawing_warpstone	0
wh3_dlc29_chaotic_plans_enable_economic	wh3_dlc29_chaotic_plans_enable_economic	0
wh3_dlc29_chaotic_plans_enable_magic	wh3_dlc29_chaotic_plans_enable_magic	0
wh3_dlc29_action_economy_vampire_pay_for_reward	wh3_dlc29_effect_bundle_action_economy_vampire_pay_for_reward	0
wh3_dlc29_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	0
wh3_dlc29_action_military_pay_tokens_to_reduce_alarm	wh3_dlc29_effect_bundle_action_military_pay_tokens_to_reduce_alarm	0
wh3_dlc29_magic_bundle_create_undercity_1	wh3_dlc29_magic_bundle_create_undercity_1	0
wh3_dlc29_military_green_death_globe_bombadiers_1	wh3_dlc29_military_green_death_globe_bombadiers_1	0
wh3_dlc29_military_green_plague_monks_1	wh3_dlc29_military_green_plague_monks_1	0
wh3_dlc29_purple_any_felix	wh3_dlc29_purple_any_felix	6
wh3_dlc29_purple_any_gotrek	wh3_dlc29_purple_any_gotrek	6
wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_pay_dummy_description	wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_pay_dummy_description	0
wh3_dlc29_red_any_ogre_kingdoms_hungry_elite_pay_dummy_description	wh3_dlc29_red_any_ogre_kingdoms_hungry_elite_pay_dummy_description	0
wh3_dlc29_red_any_ogre_kingdoms_hungry_pay_dummy_description	wh3_dlc29_red_any_ogre_kingdoms_hungry_pay_dummy_description	0
wh3_dlc29_chaotic_plans_dummy_payload_hell_pit_abomination	wh3_dlc29_skv_add_hell_pit_abomination_dummy_payload_display	0
wh3_dlc29_skv_any_effect_bundle_chance_all_tokens	wh3_dlc29_skv_any_effect_bundle_chance_all_tokens	0
wh3_dlc29_skv_any_effect_bundle_chance_to_double_skryre_units	wh3_dlc29_skv_any_effect_bundle_chance_to_double_skryre_units	0
wh3_dlc29_skv_any_effect_bundle_chance_any_token	wh3_dlc29_skv_any_effect_bundle_chance_to_double	0
wh3_dlc29_skv_any_effect_bundle_increased_amount	wh3_dlc29_skv_any_effect_bundle_increased_amount	0
wh3_dlc29_skv_any_effect_bundle_increased_chance	wh3_dlc29_skv_any_effect_bundle_increased_chance	0
wh3_dlc29_skv_any_effect_bundle_reduced_risk	wh3_dlc29_skv_any_effect_bundle_reduced_risk	0
wh3_dlc29_skv_bundle_cauldron_action_draw_1	wh3_dlc29_skv_bundle_cauldron_action_draw_1	0
wh3_dlc29_skv_bundle_cauldron_action_draw_2	wh3_dlc29_skv_bundle_cauldron_action_draw_2	0
wh3_dlc29_skv_bundle_chance_reduce_risk_high	wh3_dlc29_skv_bundle_chance_reduce_risk_high	0
wh3_dlc29_skv_bundle_chance_reduce_risk_low	wh3_dlc29_skv_bundle_chance_reduce_risk_low	0
wh3_dlc29_skv_bundle_chance_risk_alarm_dwarf_ale	wh3_dlc29_skv_bundle_chance_risk_alarm_dwarf_ale	0
wh3_dlc29_skv_bundle_cooldown_13	wh3_dlc29_skv_bundle_cooldown_13	0
wh3_dlc29_skv_bundle_cooldown_1	wh3_dlc29_skv_bundle_cooldown_1	0
wh3_dlc29_skv_bundle_cooldown_2	wh3_dlc29_skv_bundle_cooldown_2	0
wh3_dlc29_skv_bundle_cooldown_3	wh3_dlc29_skv_bundle_cooldown_3	0
wh3_dlc29_skv_bundle_cooldown_4	wh3_dlc29_skv_bundle_cooldown_4	0
wh3_dlc29_skv_bundle_cooldown_5	wh3_dlc29_skv_bundle_cooldown_5	0
wh3_dlc29_skv_bundle_cooldown_6	wh3_dlc29_skv_bundle_cooldown_6	0
wh3_dlc29_skv_bundle_dummy_draw_units_2	wh3_dlc29_skv_bundle_dummy_draw_units_2	0
wh3_dlc29_skv_bundle_dummy_final_battle_support_eshin	wh3_dlc29_skv_bundle_dummy_final_battle_support_eshin	0
wh3_dlc29_skv_bundle_dummy_final_battle_support_mors	wh3_dlc29_skv_bundle_dummy_final_battle_support_mors	0
wh3_dlc29_skv_bundle_dummy_final_battle_support_moulder	wh3_dlc29_skv_bundle_dummy_final_battle_support_moulder	0
wh3_dlc29_skv_bundle_dummy_final_battle_support_pestilens	wh3_dlc29_skv_bundle_dummy_final_battle_support_pestilens	0
wh3_dlc29_skv_bundle_dummy_final_battle_support_rictus	wh3_dlc29_skv_bundle_dummy_final_battle_support_rictus	0
wh3_dlc29_skv_bundle_dummy_final_battle_support_skryre	wh3_dlc29_skv_bundle_dummy_final_battle_support_skryre	0
wh3_dlc29_skv_bundle_dummy_receive_units	wh3_dlc29_skv_bundle_dummy_receive_units	0
wh3_dlc29_skv_bundle_final_battle_support_eshin	wh3_dlc29_skv_bundle_final_battle_support_eshin	0
wh3_dlc29_skv_bundle_final_battle_support_mors	wh3_dlc29_skv_bundle_final_battle_support_mors	0
wh3_dlc29_skv_bundle_final_battle_support_moulder	wh3_dlc29_skv_bundle_final_battle_support_moulder	0
wh3_dlc29_skv_bundle_final_battle_support_pestilens	wh3_dlc29_skv_bundle_final_battle_support_pestilens	0
wh3_dlc29_skv_bundle_final_battle_support_rictus	wh3_dlc29_skv_bundle_final_battle_support_rictus	0
wh3_dlc29_skv_bundle_final_battle_support_skryre	wh3_dlc29_skv_bundle_final_battle_support_skryre	0
wh3_dlc29_skv_bundle_magic_summon_verminlord_spawn	wh3_dlc29_skv_bundle_magic_summon_verminlord_spawn	0
wh3_dlc29_skv_bundle_red_spawn_corruptor_verminlord_army	wh3_dlc29_skv_bundle_red_spawn_corruptor_verminlord_army	0
wh3_dlc29_skv_bundle_red_spawn_deceiver_verminlord_army	wh3_dlc29_skv_bundle_red_spawn_deceiver_verminlord_army	0
wh3_dlc29_skv_bundle_red_spawn_warbringer_verminlord_army	wh3_dlc29_skv_bundle_red_spawn_warbringer_verminlord_army	0
wh3_dlc29_skv_bundle_red_spawn_warpseer_verminlord_army	wh3_dlc29_skv_bundle_red_spawn_warpseer_verminlord_army	0
wh3_dlc29_skv_bundle_reduce_risk	wh3_dlc29_skv_bundle_reduce_risk	0
wh3_dlc29_skv_bundle_remove_complication	wh3_dlc29_skv_bundle_remove_complication	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_skv_bundle_single_use	0
wh3_dlc29_skv_bundle_thanquol_pull_moon	wh3_dlc29_skv_bundle_thanquol_pull_moon	0
wh3_dlc29_skv_bundle_vault_draw_tokens	wh3_dlc29_skv_bundle_vault_draw_tokens	0
wh3_dlc29_skv_chaotic_plans_food_per_turn_1	wh3_dlc29_skv_chaotic_plans_food_per_turn_1	3
wh3_dlc29_skv_chaotic_plans_food_per_turn_2	wh3_dlc29_skv_chaotic_plans_food_per_turn_2	3
wh3_dlc29_skv_chaotic_plans_food_per_turn_3	wh3_dlc29_skv_chaotic_plans_food_per_turn_3	3
wh3_dlc29_skv_chaotic_plans_food_per_turn	wh3_dlc29_skv_chaotic_plans_food_per_turn	3
wh3_dlc29_skv_chaotic_plans_increase_tokens_1	wh3_dlc29_skv_chaotic_plans_increase_tokens_1	1
wh3_dlc29_skv_chaotic_plans_increase_tokens_2	wh3_dlc29_skv_chaotic_plans_increase_tokens_2	3
