upgrade_key	base_unit_group	target_unit_group	resource_cost	required_rank	subtracted_rank
wh3_dlc20_chs_marauder_horsemen_und_to_horsemasters	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_marauder_horsemasters	wh3_dlc20_chs_upgrade_cost_t2	4	4
wh3_dlc20_chs_marauder_horsemen_und_to_kho	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_marauder_horsemen_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_horsemen_und_to_nur	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_marauder_horsemen_nur	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_horsemen_und_to_self	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_marauder_horsemen_und_to_sla	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_marauder_horsemen_sla	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_horsemen_und_to_tze	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_marauder_horsemen_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_inf_kho_to_forsaken	wh3_dlc20_chs_marauder_inf_kho	wh3_dlc20_chs_forsaken_kho	wh3_dlc20_chs_upgrade_cost_t3	3	3
wh3_dlc20_chs_marauder_inf_kho_to_self	wh3_dlc20_chs_marauder_inf_kho	wh3_dlc20_chs_marauder_inf_kho	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_marauder_inf_kho_to_warriors	wh3_dlc20_chs_marauder_inf_kho	wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_upgrade_cost_t3	5	5
wh3_dlc20_chs_marauder_inf_nur_to_forsaken	wh3_dlc20_chs_marauder_inf_nur	wh3_dlc20_chs_forsaken_nur	wh3_dlc20_chs_upgrade_cost_t3	3	3
wh3_dlc20_chs_marauder_inf_nur_to_self	wh3_dlc20_chs_marauder_inf_nur	wh3_dlc20_chs_marauder_inf_nur	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_marauder_inf_nur_to_warriors	wh3_dlc20_chs_marauder_inf_nur	wh3_dlc20_chs_warriors_nur	wh3_dlc20_chs_upgrade_cost_t3	5	5
wh3_dlc20_chs_marauder_inf_sla_to_forsaken	wh3_dlc20_chs_marauder_inf_sla	wh3_dlc20_chs_forsaken_sla	wh3_dlc20_chs_upgrade_cost_t3	3	3
wh3_dlc20_chs_marauder_inf_sla_to_self	wh3_dlc20_chs_marauder_inf_sla	wh3_dlc20_chs_marauder_inf_sla	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_marauder_inf_sla_to_warriors	wh3_dlc20_chs_marauder_inf_sla	wh3_dlc20_chs_warriors_sla	wh3_dlc20_chs_upgrade_cost_t3	5	5
wh3_dlc20_chs_marauder_inf_tze_to_forsaken	wh3_dlc20_chs_marauder_inf_tze	wh3_dlc20_chs_forsaken_tze	wh3_dlc20_chs_upgrade_cost_t3	3	3
wh3_dlc20_chs_marauder_inf_tze_to_self	wh3_dlc20_chs_marauder_inf_tze	wh3_dlc20_chs_marauder_inf_tze	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_marauder_inf_tze_to_warriors	wh3_dlc20_chs_marauder_inf_tze	wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_upgrade_cost_t3	5	5
wh3_dlc20_chs_marauder_inf_und_to_forsaken	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_forsaken_und	wh3_dlc20_chs_upgrade_cost_t3	3	3
wh3_dlc20_chs_marauder_inf_und_to_kho	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_marauder_inf_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_inf_und_to_nur	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_marauder_inf_nur	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_inf_und_to_self	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_marauder_inf_und_to_sla	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_marauder_inf_sla	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_inf_und_to_tze	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_marauder_inf_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_inf_und_to_warriors	wh3_dlc20_chs_marauder_inf_und	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_upgrade_cost_t3	5	5
wh3_dlc20_chs_trolls_to_armoured_trolls	wh3_dlc20_chs_trolls	wh3_dlc20_chs_trolls_armoured	wh3_dlc20_chs_upgrade_cost_t2	3	3
wh3_dlc20_chs_trolls_to_bile_trolls	wh3_dlc20_chs_trolls	wh3_dlc25_nur_mon_bile_trolls	wh3_dlc20_chs_upgrade_cost_t3	6	6
wh3_dlc20_chs_trolls_to_self	wh3_dlc20_chs_trolls	wh3_dlc20_chs_trolls	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_warriors_kho_to_chosen	wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_chosen_kho	wh3_dlc20_chs_upgrade_cost_t4	7	7
wh3_dlc20_chs_warriors_kho_to_knights	wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_upgrade_cost_t4	6	6
wh3_dlc20_chs_warriors_kho_to_self	wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_warriors_nur_to_chosen	wh3_dlc20_chs_warriors_nur	wh3_dlc20_chs_chosen_nur	wh3_dlc20_chs_upgrade_cost_t4	7	7
wh3_dlc20_chs_warriors_nur_to_knights	wh3_dlc20_chs_warriors_nur	wh3_dlc20_chs_knights_nur	wh3_dlc20_chs_upgrade_cost_t4	6	6
wh3_dlc20_chs_warriors_nur_to_self	wh3_dlc20_chs_warriors_nur	wh3_dlc20_chs_warriors_nur	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_warriors_sla_to_chosen	wh3_dlc20_chs_warriors_sla	wh3_dlc20_chs_chosen_sla	wh3_dlc20_chs_upgrade_cost_t4	7	7
wh3_dlc20_chs_warriors_sla_to_knights	wh3_dlc20_chs_warriors_sla	wh3_dlc20_chs_knights_sla	wh3_dlc20_chs_upgrade_cost_t4	6	6
wh3_dlc20_chs_warriors_sla_to_self	wh3_dlc20_chs_warriors_sla	wh3_dlc20_chs_warriors_sla	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_warriors_tze_to_chosen	wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_chosen_tze	wh3_dlc20_chs_upgrade_cost_t4	7	7
wh3_dlc20_chs_warriors_tze_to_knights	wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_upgrade_cost_t4	6	6
wh3_dlc20_chs_warriors_tze_to_self	wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_warriors_und_to_chosen	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_upgrade_cost_t4	7	7
wh3_dlc20_chs_warriors_und_to_kho	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_warriors_und_to_knights	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_upgrade_cost_t4	6	6
wh3_dlc20_chs_warriors_und_to_nur	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_warriors_nur	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_warriors_und_to_self	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_warriors_und_to_sla	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_warriors_sla	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_warriors_und_to_tze	wh3_dlc20_chs_warriors_und	wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc23_chd_iron_daemon_1deathshrieker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1dreadquake_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_2dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_1deathshrieker_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_1deathshrieker_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_1dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_1deathshrieker_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_1dreadquake_add_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1deathshrieker	0	0
wh3_dlc23_chd_iron_daemon_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_2dreadquake	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_1dreadquake_add_1magma	wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1magma	0	0
wh3_dlc23_chd_iron_daemon_1magma_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1dreadquake_1magmacannon	wh3_dlc23_chd_veh_iron_daemon_2dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_1magma_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_1magma_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1magmacannon	wh3_dlc23_chd_veh_iron_daemon_1dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_1magma_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_2dreadquake_add_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_2dreadquake	wh3_dlc23_chd_veh_iron_daemon_2dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1deathshrieker	0	0
wh3_dlc23_chd_iron_daemon_2dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_2dreadquake	wh3_dlc23_chd_veh_iron_daemon_3dreadquake	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_2dreadquake_add_1magma	wh3_dlc23_chd_veh_iron_daemon_2dreadquake	wh3_dlc23_chd_veh_iron_daemon_2dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1magma	0	0
wh3_dlc23_chd_iron_daemon_add_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon	wh3_dlc23_chd_veh_iron_daemon_1deathshrieker	wh3_dlc23_chd_iron_daemon_add_1deathshrieker	0	0
wh3_dlc23_chd_iron_daemon_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon	wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc23_chd_iron_daemon_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_add_1magma	wh3_dlc23_chd_veh_iron_daemon	wh3_dlc23_chd_veh_iron_daemon_1magmacannon	wh3_dlc23_chd_iron_daemon_add_1magma	0	0
wh3_dlc23_chd_iron_daemon_ror_1deathshrieker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_1deathshrieker_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_ror_1deathshrieker_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_1deathshrieker_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1deathshrieker	0	0
wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1magma	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1magma	0	0
wh3_dlc23_chd_iron_daemon_ror_1magma_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake_1magmacannon	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_1magma_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_ror_1magma_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1magmacannon	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_1magma_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake_1deathshrieker	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1deathshrieker	0	0
wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_3dreadquake	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1magma	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_2dreadquake_1magmacannon	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1magma	0	0
wh3_dlc23_chd_iron_daemon_ror_add_1deathshrieker	wh3_dlc23_chd_veh_iron_daemon_ror	wh3_dlc23_chd_veh_iron_daemon_ror_1deathshrieker	wh3_dlc23_chd_iron_daemon_add_1deathshrieker	0	0
wh3_dlc23_chd_iron_daemon_ror_add_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake	wh3_dlc23_chd_iron_daemon_add_1dreadquake	0	0
wh3_dlc23_chd_iron_daemon_ror_add_1magma	wh3_dlc23_chd_veh_iron_daemon_ror	wh3_dlc23_chd_veh_iron_daemon_ror_1magmacannon	wh3_dlc23_chd_iron_daemon_add_1magma	0	0
wh3_dlc23_chd_skullcracker_1deathshrieker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1dreadquake_1deathshrieker	wh3_dlc23_chd_veh_skullcracker_2dreadquake_1deathshrieker	wh3_dlc23_chd_skullcracker_1deathshrieker_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_skullcracker_1deathshrieker_add_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1deathshrieker	wh3_dlc23_chd_veh_skullcracker_1dreadquake_1deathshrieker	wh3_dlc23_chd_skullcracker_1deathshrieker_add_1dreadquake	0	0
wh3_dlc23_chd_skullcracker_1dreadquake_add_1deathshrieker	wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1dreadquake_1deathshrieker	wh3_dlc23_chd_skullcracker_1dreadquake_add_1deathshrieker	0	0
wh3_dlc23_chd_skullcracker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc23_chd_veh_skullcracker_2dreadquake	wh3_dlc23_chd_skullcracker_1dreadquake_add_1dreadquake	0	0
wh3_dlc23_chd_skullcracker_1dreadquake_add_1magma	wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1dreadquake_1magmacannon	wh3_dlc23_chd_skullcracker_1dreadquake_add_1magma	0	0
wh3_dlc23_chd_skullcracker_1magma_1dreadquake_add_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1dreadquake_1magmacannon	wh3_dlc23_chd_veh_skullcracker_2dreadquake_1magmacannon	wh3_dlc23_chd_skullcracker_1magma_1dreadquake_add_1dreadquake	0	0
