environment	loop	type
chaos_volcanic	WH3_Generic_Volcanic_Secondary_Loop	main
chaos_volcanic	generic_river	river
chaos_volcanic	generic_sea	sea
chaos_volcanic	WH3_Generic_Volcanic_Wind_Loop	wind
chaos	WH3_Faction_Khorne_Forest_Loop	forest
chaos	volcanic_lake	lake
chaos	WH3_Faction_Chaos_Ext_Primary_Creature_Breath	main
chaos	WH3_Faction_Chaos_Ext_Primary_Loop_Flavor	main
chaos	WH3_Faction_Chaos_Ext_Primary_Loop_Voices	main
chaos	WH3_Faction_Chaos_Ext_Secondary_Loop_Fire	main
chaos	WH3_Faction_Chaos_Ext_Secondary_Loop_Rumble	main
chaos	generic_river	river
chaos	generic_sea	sea
chaos	WH3_Faction_Chaos_Loop_Ext_Wind	wind
climate_darklands	WH3_Generic_Volcanic_Forest_Loop	forest
climate_darklands	WH3_Generic_Lake	lake
climate_darklands	climate_desert_main	main
climate_darklands	generic_river	sea
climate_darklands	generic_sea	sea
climate_darklands	climate_desert_wind	wind
climate_desert	climate_desert_forest	forest
climate_desert	beastmen_lake	lake
climate_desert	climate_desert_main	main
climate_desert	generic_river	sea
climate_desert	generic_sea	sea
climate_desert	climate_desert_wind	wind
dark_elves_beach	dark_elves_beach_forest	forest
dark_elves_beach	dark_elves_beach_lake	lake
dark_elves_beach	dark_elves_beach_primary	main
dark_elves_beach	dark_elves_beach_secondary	main
dark_elves_beach	generic_river	river
dark_elves_beach	generic_sea	sea
dark_elves_beach	dark_elves_beach_wind	wind
dark_elves_cold	dark_elves_cold_forest	forest
dark_elves_cold	dark_elves_cold_lake	lake
dark_elves_cold	dark_elves_cold_primary	main
dark_elves_cold	generic_river	river
dark_elves_cold	generic_sea	sea
dark_elves_cold	dark_elves_cold_wind	wind
dark_elves_desert	dark_elves_desert_forest	forest
dark_elves_desert	dark_elves_desert_lake	lake
dark_elves_desert	dark_elves_desert_primary	main
dark_elves_desert	generic_river	river
dark_elves_desert	generic_sea	sea
dark_elves_desert	dark_elves_desert_wind	wind
dark_elves_hills	dark_elves_hills_forest	forest
dark_elves_hills	dark_elves_hills_lake	lake
dark_elves_hills	dark_elves_hills_primary	main
dark_elves_hills	generic_river	river
dark_elves_hills	generic_sea	sea
dark_elves_hills	dark_elves_hills_wind	wind
dark_elves_marsh	dark_elves_marsh_forest	forest
dark_elves_marsh	dark_elves_marsh_lake	lake
dark_elves_marsh	dark_elves_marsh_primary	main
dark_elves_marsh	generic_river	river
dark_elves_marsh	generic_sea	sea
dark_elves_marsh	dark_elves_marsh_wind	wind
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_lake	lake
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary	main
dark_elves_qb_altar_of_darkness	generic_river	river
dark_elves_qb_altar_of_darkness	generic_sea	sea
dark_elves_qb_altar_of_darkness	dark_elves_cold_wind	wind
dark_elves_volcanic_forest	dark_elves_volcanic_forest	forest
dark_elves_volcanic_forest	dark_elves_volcanic_lake	lake
dark_elves_volcanic_forest	dark_elves_volcanic_primary	main
dark_elves_volcanic_forest	generic_river	river
dark_elves_volcanic_forest	generic_sea	sea
dark_elves_volcanic_forest	dark_elves_volcanic_wind	wind
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_lake	lake
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary	main
dark_elves_volcanic_lava_river	dark_elves_volcanic_lake	river
dark_elves_volcanic_lava_river	generic_sea	sea
dark_elves_volcanic_lava_river	dark_elves_volcanic_wind	wind
dark_elves_volcanic	dark_elves_volcanic_forest	forest
dark_elves_volcanic	dark_elves_volcanic_lake	lake
dark_elves_volcanic	dark_elves_volcanic_primary	main
dark_elves_volcanic	generic_river	river
dark_elves_volcanic	generic_sea	sea
dark_elves_volcanic	dark_elves_volcanic_wind	wind
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_lake	lake
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary	main
dlc10_dark_elves_qb_shrine_of_khaine	generic_river	river
dlc10_dark_elves_qb_shrine_of_khaine	generic_sea	sea
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_wind	wind
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_lake	lake
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_primary	main
dlc10_dark_elves_qb_the_moonbow	generic_river	river
dlc10_dark_elves_qb_the_moonbow	generic_sea	sea
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_wind	wind
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest	forest
dlc10_high_elves_qb_shadow_realm	high_elves_lake	lake
dlc10_high_elves_qb_shadow_realm	high_elves_hills_primary	main
dlc10_high_elves_qb_shadow_realm	generic_river	river
dlc10_high_elves_qb_shadow_realm	generic_sea	sea
dlc10_high_elves_qb_shadow_realm	high_elves_hills_wind	wind
dlc10_high_elves_qb_star_of_avelorn	nordic_forest	forest
dlc10_high_elves_qb_star_of_avelorn	nordic_lake	lake
dlc10_high_elves_qb_star_of_avelorn	nordic_ambience	main
dlc10_high_elves_qb_star_of_avelorn	generic_river	river
dlc10_high_elves_qb_star_of_avelorn	generic_sea	sea
dlc10_high_elves_qb_star_of_avelorn	nordic_wind	wind
dlc11_coast_desert_island	vampire_coast_desert_island_forest	forest
dlc11_coast_desert_island	dark_elves_desert_lake	lake
dlc11_coast_desert_island	vampire_coast_desert_island_plains	main
dlc11_coast_desert_island	generic_river	river
dlc11_coast_desert_island	generic_sea	sea
dlc11_coast_desert_island	skaven_desert_wind	wind
dlc11_coast_final_battle	vampire_coast_final_battle_plains	main
dlc11_coast_final_battle	generic_sea	sea
dlc11_coast_galleons_graveyard	dark_elves_desert_lake	lake
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_plains	main
dlc11_coast_galleons_graveyard	generic_river	river
dlc11_coast_galleons_graveyard	generic_sea	sea
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_wind	wind
dlc11_coast_rocky_island	vampire_coast_rocky_island_forest	forest
dlc11_coast_rocky_island	dark_elves_desert_lake	lake
dlc11_coast_rocky_island	vampire_coast_rocky_island_plains	main
dlc11_coast_rocky_island	generic_river	river
dlc11_coast_rocky_island	generic_sea	sea
dlc11_coast_rocky_island	skaven_desert_wind	wind
dlc11_coast_snowy_island	vampire_coast_snowy_island_forest	forest
dlc11_coast_snowy_island	nordic_lake	lake
dlc11_coast_snowy_island	vampire_coast_snowy_island_plains	main
dlc11_coast_snowy_island	generic_river	river
dlc11_coast_snowy_island	generic_sea	sea
dlc11_coast_snowy_island	nordic_wind	wind
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_mountain_lake	lake
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_mountain_primary	main
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_qb_lord_kroak_temple	main
dlc12_lizardmen_qb_lord_kroak_mountain	generic_river	river
dlc12_lizardmen_qb_lord_kroak_mountain	generic_sea	sea
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_wind	wind
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_forest	forest
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_lake	lake
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_primary	main
dlc12_lizardmen_qb_mask_of_heavens	generic_river	river
dlc12_lizardmen_qb_mask_of_heavens	generic_sea	sea
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_wind	wind
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_mountain_lake	lake
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_qb_fallen_gates_primary	main
dlc12_lizardmen_qb_plaque_of_sotek	generic_river	river
dlc12_lizardmen_qb_plaque_of_sotek	generic_sea	sea
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_wind	wind
dlc12_prophet_grassy_island	empire_forest	forest
dlc12_prophet_grassy_island	empire_lake	lake
dlc12_prophet_grassy_island	empire_ambience	main
dlc12_prophet_grassy_island	generic_river	river
dlc12_prophet_grassy_island	generic_sea	sea
dlc12_prophet_grassy_island	generic_wind	wind
dlc12_prophet_tropical_island	lizardmen_jungle_primary	forest
dlc12_prophet_tropical_island	lizardmen_jungle_lake	lake
dlc12_prophet_tropical_island	lizardmen_mountain_primary	main
dlc12_prophet_tropical_island	generic_river	river
dlc12_prophet_tropical_island	generic_sea	sea
dlc12_prophet_tropical_island	generic_wind	wind
dlc12_skaven_qb_storm_daemon	skaven_marsh_forest	forest
dlc12_skaven_qb_storm_daemon	lizardmen_mountain_lake	lake
dlc12_skaven_qb_storm_daemon	skaven_dlc12_qb_storm_daemon	main
dlc12_skaven_qb_storm_daemon	generic_river	river
dlc12_skaven_qb_storm_daemon	generic_sea	sea
dlc12_skaven_qb_storm_daemon	skaven_desert_wind	wind
dlc13_lizardmen_qb_amber_bow	lizardmen_jungle_forest	forest
dlc13_lizardmen_qb_amber_bow	lizardmen_mountain_lake	lake
dlc13_lizardmen_qb_amber_bow	lizardmen_jungle_primary	main
dlc13_lizardmen_qb_amber_bow	generic_river	river
dlc13_lizardmen_qb_amber_bow	lizardmen_jungle_wind	wind
dlc13_lizardmen_qb_final_battle	lizardmen_mountain_forest	forest
dlc13_lizardmen_qb_final_battle	lizardmen_swamp_lake	lake
dlc13_lizardmen_qb_final_battle	lizardmen_swamp_primary	main
dlc13_lizardmen_qb_final_battle	generic_river	river
dlc13_lizardmen_qb_final_battle	generic_sea	sea
dlc13_lizardmen_qb_final_battle	lizardmen_swamp_wind	wind
dlc13_lizardmen_qb_golden_tributes	lizardmen_jungle_forest	forest
dlc13_lizardmen_qb_golden_tributes	lizardmen_mountain_lake	lake
dlc13_lizardmen_qb_golden_tributes	lizardmen_jungle_primary	main
dlc13_lizardmen_qb_golden_tributes	generic_river	river
dlc13_lizardmen_qb_golden_tributes	lizardmen_jungle_wind	wind
dlc13_lizardmen_qb_ogham_shard	dark_elves_cold_forest	forest
dlc13_lizardmen_qb_ogham_shard	dark_elves_marsh_lake	lake
dlc13_lizardmen_qb_ogham_shard	dark_elves_marsh_primary	main
dlc13_lizardmen_qb_ogham_shard	generic_river	river
dlc13_lizardmen_qb_ogham_shard	generic_sea	sea
dlc13_lizardmen_qb_ogham_shard	dark_elves_marsh_wind	wind
dlc14_bretonnia_qb_guardian_of_lyonesse	high_elves_beach_forest	forest
dlc14_bretonnia_qb_guardian_of_lyonesse	high_elves_lake	lake
dlc14_bretonnia_qb_guardian_of_lyonesse	high_elves_beach_primary	main
dlc14_bretonnia_qb_guardian_of_lyonesse	generic_river	river
dlc14_bretonnia_qb_guardian_of_lyonesse	generic_sea	sea
dlc14_bretonnia_qb_guardian_of_lyonesse	generic_wind	wind
dlc14_bretonnia_qb_sword_of_lyonesse	lizardmen_jungle_forest	forest
dlc14_bretonnia_qb_sword_of_lyonesse	lizardmen_jungle_lake	lake
dlc14_bretonnia_qb_sword_of_lyonesse	lizardmen_jungle_primary	main
dlc14_bretonnia_qb_sword_of_lyonesse	generic_river	river
dlc14_bretonnia_qb_sword_of_lyonesse	tomb_kings_desert_secondary	urban
dlc14_bretonnia_qb_sword_of_lyonesse	dwarf_wind	wind
dlc14_bretonnia_qb_vanquisher_of_undead	tomb_kings_desert_secondary	main
dlc14_bretonnia_qb_vanquisher_of_undead	tomb_kings_qb_final_battle_primary	main
dlc14_bretonnia_qb_vanquisher_of_undead	skaven_desert_wind	wind
dlc14_dark_elves_qb_warpsword_of_khaine	dark_elves_volcanic_forest	forest
dlc14_dark_elves_qb_warpsword_of_khaine	dark_elves_volcanic_lake	lake
dlc14_dark_elves_qb_warpsword_of_khaine	dark_elves_volcanic_primary	main
dlc14_dark_elves_qb_warpsword_of_khaine	generic_river	river
dlc14_dark_elves_qb_warpsword_of_khaine	generic_sea	sea
dlc14_dark_elves_qb_warpsword_of_khaine	dark_elves_volcanic_wind	wind
dlc17_beastmen_taurox_qb_rune_tortured_axes	dark_elves_cold_forest	forest
dlc17_beastmen_taurox_qb_rune_tortured_axes	dark_elves_cold_lake	lake
dlc17_beastmen_taurox_qb_rune_tortured_axes	dark_elves_cold_primary	main
dlc17_beastmen_taurox_qb_rune_tortured_axes	generic_river	river
dlc17_beastmen_taurox_qb_rune_tortured_axes	generic_sea	sea
dlc17_beastmen_taurox_qb_rune_tortured_axes	dark_elves_cold_wind	wind
dlc17_dwarves_thorek_qb_klad_brakak	lizardmen_jungle_forest	forest
dlc17_dwarves_thorek_qb_klad_brakak	lizardmen_jungle_lake	lake
dlc17_dwarves_thorek_qb_klad_brakak	lizardmen_jungle_primary	main
dlc17_dwarves_thorek_qb_klad_brakak	generic_river	river
dlc17_dwarves_thorek_qb_klad_brakak	generic_sea	sea
dlc17_dwarves_thorek_qb_klad_brakak	lizardmen_jungle_wind	wind
dlc17_dwarves_thorek_qb_the_lost_vault	lizardmen_mountain_forest	forest
dlc17_dwarves_thorek_qb_the_lost_vault	lizardmen_mountain_lake	lake
dlc17_dwarves_thorek_qb_the_lost_vault	lizardmen_mountain_primary	main
dlc17_dwarves_thorek_qb_the_lost_vault	generic_river	river
dlc17_dwarves_thorek_qb_the_lost_vault	generic_sea	sea
dlc17_dwarves_thorek_qb_the_lost_vault	lizardmen_jungle_wind	wind
dlc17_final_battle_heart_of_the_dark	beastmen_forest	forest
dlc17_final_battle_heart_of_the_dark	beastmen_lake	lake
dlc17_final_battle_heart_of_the_dark	beastmen_ambience	main
dlc17_final_battle_heart_of_the_dark	generic_river	river
dlc17_final_battle_heart_of_the_dark	generic_sea	sea
dlc17_final_battle_heart_of_the_dark	WH3_Generic_Desert_Wind_Loop	wind
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	nordic_forest	forest
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	nordic_lake	lake
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	nordic_ambience	main
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	generic_river	river
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	generic_sea	sea
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	nordic_wind	wind
dlc26_Arbaal_qb_destroyer_of_khorne	nordic_forest	forest
dlc26_Arbaal_qb_destroyer_of_khorne	dark_elves_hills_lake	lake
dlc26_Arbaal_qb_destroyer_of_khorne	dark_elves_desert_primary	main
dlc26_Arbaal_qb_destroyer_of_khorne	generic_river	river
dlc26_Arbaal_qb_destroyer_of_khorne	lizardmen_jungle_wind	wind
dlc26_Gorbad_qb_forest_bane	high_elves_hills_forest	forest
dlc26_Gorbad_qb_forest_bane	high_elves_lake	lake
dlc26_Gorbad_qb_forest_bane	high_elves_hills_primary	main
dlc26_Gorbad_qb_forest_bane	generic_river	river
dlc26_Gorbad_qb_forest_bane	generic_sea	sea
dlc26_Gorbad_qb_forest_bane	high_elves_hills_wind	wind
dlc26_khorne_qb_skulltaker_slayer_sword	WH3_Generic_Desert_Forest_Loop	forest
dlc26_khorne_qb_skulltaker_slayer_sword	WH3_Generic_Forest_Loop_Trees	forest
dlc26_khorne_qb_skulltaker_slayer_sword	tomb_kings_desert_secondary	main
dlc26_khorne_qb_skulltaker_slayer_sword	tomb_kings_qb_final_battle_primary	main
dlc26_khorne_qb_skulltaker_slayer_sword	skaven_desert_wind	wind
dlc26_ogr_qb_golgfag_bugmans_xxxxxx	nordic_forest	forest
dlc26_ogr_qb_golgfag_bugmans_xxxxxx	nordic_lake	lake
dlc26_ogr_qb_golgfag_bugmans_xxxxxx	nordic_ambience	main
dlc26_ogr_qb_golgfag_bugmans_xxxxxx	generic_river	river
dlc26_ogr_qb_golgfag_bugmans_xxxxxx	generic_sea	sea
dlc26_ogr_qb_golgfag_bugmans_xxxxxx	nordic_wind	wind
dwarf	dwarf_forest	forest
dwarf	dwarf_lake	lake
dwarf	dwarf_ambience	main
dwarf	generic_river	river
dwarf	generic_sea	sea
dwarf	dwarf_wind	wind
empire	empire_forest	forest
empire	empire_lake	lake
empire	empire_ambience	main
empire	generic_river	river
empire	generic_sea	sea
empire	generic_wind	wind
forge	WH3_Faction_Khorne_Forest_Loop	forest
forge	volcanic_lake	lake
forge	WH3_Faction_Chaos_Ext_Primary_Creature_Breath	main
forge	WH3_Faction_Chaos_Ext_Primary_Loop_Flavor	main
forge	WH3_Faction_Chaos_Ext_Primary_Loop_Voices	main
forge	WH3_Faction_Chaos_Ext_Secondary_Loop_Fire	main
forge	WH3_Faction_Chaos_Ext_Secondary_Loop_Rumble	main
forge	WH3_Faction_Chaos_Int_Primary_Loop	main
forge	WH3_Faction_Chaos_Int_Primary_Loop_Flavor	main
forge	WH3_Faction_Chaos_Int_Secondary_Loop	main
forge	generic_river	river
forge	generic_sea	sea
forge	WH3_Faction_Chaos_Loop_Ext_Wind	wind
forge	WH3_Faction_Chaos_Loop_Int_Wind	wind
greenskin	greenskin_forest	forest
greenskin	greenskin_lake	lake
greenskin	greenskin_ambience	main
greenskin	generic_river	river
greenskin	generic_sea	sea
greenskin	generic_wind	wind
high_elves_beach	high_elves_beach_forest	forest
high_elves_beach	high_elves_lake	lake
high_elves_beach	high_elves_beach_primary	main
high_elves_beach	high_elves_beach_secondary	main
high_elves_beach	generic_river	river
high_elves_beach	generic_sea	sea
high_elves_beach	high_elves_beach_wind	wind
high_elves_hills	high_elves_hills_forest	forest
high_elves_hills	high_elves_lake	lake
high_elves_hills	high_elves_hills_primary	main
high_elves_hills	generic_river	river
high_elves_hills	generic_sea	sea
high_elves_hills	high_elves_hills_wind	wind
high_elves_mwnl_steps_of_isha_01	high_elves_hills_forest	forest
high_elves_mwnl_steps_of_isha_01	high_elves_lake	lake
high_elves_mwnl_steps_of_isha_01	wood_elves_generic_ambience	main
high_elves_mwnl_steps_of_isha_01	generic_river	river
high_elves_mwnl_steps_of_isha_01	generic_sea	sea
high_elves_mwnl_steps_of_isha_01	wood_elves_generic_wind	wind
high_elves_mwnl_steps_of_isha_02	high_elves_hills_forest	forest
high_elves_mwnl_steps_of_isha_02	high_elves_lake	lake
high_elves_mwnl_steps_of_isha_02	wood_elves_generic_ambience	main
high_elves_mwnl_steps_of_isha_02	generic_river	river
high_elves_mwnl_steps_of_isha_02	generic_sea	sea
high_elves_mwnl_steps_of_isha_02	wood_elves_generic_wind	wind
high_elves_mwnl_steps_of_isha_03	high_elves_hills_forest	forest
high_elves_mwnl_steps_of_isha_03	high_elves_lake	lake
high_elves_mwnl_steps_of_isha_03	wood_elves_generic_ambience	main
high_elves_mwnl_steps_of_isha_03	generic_river	river
high_elves_mwnl_steps_of_isha_03	generic_sea	sea
high_elves_mwnl_steps_of_isha_03	high_elves_hills_wind	wind
high_elves_mwnl_steps_of_isha_04	high_elves_hills_forest	forest
high_elves_mwnl_steps_of_isha_04	high_elves_lake	lake
high_elves_mwnl_steps_of_isha_04	high_elves_hills_primary	main
high_elves_mwnl_steps_of_isha_04	generic_river	river
high_elves_mwnl_steps_of_isha_04	generic_sea	sea
high_elves_mwnl_steps_of_isha_04	high_elves_hills_wind	wind
high_elves_qb_arnheim	high_elves_hills_forest	forest
high_elves_qb_arnheim	high_elves_lake	lake
high_elves_qb_arnheim	high_elves_hills_primary	main
high_elves_qb_arnheim	generic_river	river
high_elves_qb_arnheim	generic_sea	sea
high_elves_qb_arnheim	high_elves_hills_wind	wind
high_elves_qb_tower_of_hoeth	high_elves_hills_forest	forest
high_elves_qb_tower_of_hoeth	high_elves_lake	lake
high_elves_qb_tower_of_hoeth	high_elves_hills_primary	main
high_elves_qb_tower_of_hoeth	generic_river	river
high_elves_qb_tower_of_hoeth	generic_sea	sea
high_elves_qb_tower_of_hoeth	high_elves_hills_wind	wind
khorne	WH3_Faction_Khorne_Forest_Loop	forest
khorne	WH3_Faction_Khorne_Water_Lake	lake
khorne	WH3_Faction_Khorne_Primary_Loop	main
khorne	WH3_Faction_Khorne_Secondary_Loop	main
khorne	generic_river	river
khorne	generic_sea	sea
khornestorm	WH3_Faction_Khorne_Forest_Loop	forest
khornestorm	WH3_Faction_Khorne_Water_Lake	lake
khornestorm	WH3_Faction_Khorne_Storm_Flavor_Loop	main
khornestorm	WH3_Faction_Khorne_Storm_Primary_Creature_Loop	main
khornestorm	WH3_Faction_Khorne_Storm_Primary_Rumble_Loop	main
khornestorm	WH3_Faction_Khorne_Storm_Primary_Voices_Loop	main
khornestorm	WH3_Faction_Khorne_Storm_Secondary_Loop	main
khornestorm	generic_river	river
khornestorm	generic_sea	sea
khornestorm	WH3_Faction_Khorne_Wind_Loop	wind
khorne	WH3_Generic_Volcanic_Wind_Loop	wind
kislev	WH3_Faction_Kislev_Forest_Loop	forest
kislev	high_elves_lake	lake
kislev	WH3_Faction_Kislev_Primary_Loop	main
kislev	WH3_Faction_Kislev_Secondary_Loop	main
kislev	generic_river	river
kislev	generic_sea	sea
kislev	WH3_Generic_Cold_Wind_Loop	wind
lizardmen_jungle	lizardmen_jungle_forest	forest
lizardmen_jungle	lizardmen_jungle_lake	lake
lizardmen_jungle	lizardmen_jungle_primary	main
lizardmen_jungle	generic_river	river
lizardmen_jungle	generic_sea	sea
lizardmen_jungle	lizardmen_jungle_wind	wind
lizardmen_mountain_thunder	lizardmen_mountain_forest	forest
lizardmen_mountain_thunder	lizardmen_mountain_lake	lake
lizardmen_mountain_thunder	lizardmen_mountain_primary	main
lizardmen_mountain_thunder	generic_river	river
lizardmen_mountain_thunder	generic_sea	sea
lizardmen_mountain_thunder	lizardmen_mountain_thunder_wind	wind
lizardmen_mountain	lizardmen_mountain_forest	forest
lizardmen_mountain	lizardmen_mountain_lake	lake
lizardmen_mountain	lizardmen_mountain_primary	main
lizardmen_mountain	generic_river	river
lizardmen_mountain	generic_sea	sea
lizardmen_mountain	lizardmen_mountain_wind	wind
lizardmen_qb_crimson_skull	lizardmen_jungle_forest	forest
lizardmen_qb_crimson_skull	lizardmen_jungle_lake	lake
lizardmen_qb_crimson_skull	lizardmen_jungle_primary	main
lizardmen_qb_crimson_skull	generic_river	river
lizardmen_qb_crimson_skull	generic_sea	sea
lizardmen_qb_crimson_skull	lizardmen_jungle_wind	wind
lizardmen_qb_fallen_gates	lizardmen_jungle_forest	forest
lizardmen_qb_fallen_gates	lizardmen_mountain_lake	lake
lizardmen_qb_fallen_gates	lizardmen_qb_fallen_gates_primary	main
lizardmen_qb_fallen_gates	generic_river	river
lizardmen_qb_fallen_gates	generic_sea	sea
lizardmen_qb_fallen_gates	lizardmen_jungle_wind	wind
lizardmen_qb_mosquito_swamp	lizardmen_jungle_forest	forest
lizardmen_qb_mosquito_swamp	lizardmen_jungle_lake	lake
lizardmen_qb_mosquito_swamp	lizardmen_jungle_primary	main
lizardmen_qb_mosquito_swamp	generic_river	river
lizardmen_qb_mosquito_swamp	generic_sea	sea
lizardmen_qb_mosquito_swamp	lizardmen_jungle_wind	wind
lizardmen_spawning_pool	lizardmen_jungle_forest	forest
lizardmen_spawning_pool	lizardmen_mountain_lake	lake
lizardmen_spawning_pool	lizardmen_spawning_pool_primary	main
lizardmen_spawning_pool	generic_river	river
lizardmen_spawning_pool	generic_sea	sea
lizardmen_spawning_pool	lizardmen_jungle_wind	wind
lizardmen_swamp	lizardmen_swamp_forest	forest
lizardmen_swamp	lizardmen_jungle_lake	lake
lizardmen_swamp	lizardmen_swamp_lake	lake
lizardmen_swamp	lizardmen_swamp_primary	main
lizardmen_swamp	generic_river	river
lizardmen_swamp	generic_sea	sea
lizardmen_swamp	lizardmen_swamp_wind	wind
nordic	nordic_forest	forest
nordic	nordic_lake	lake
nordic	nordic_ambience	main
nordic	generic_river	river
nordic	generic_sea	sea
nordic	nordic_wind	wind
nurgle	WH3_Faction_Nurgle_Forest_Loop	forest
nurgle	WH3_Faction_Nurgle_Water_Lake	lake
nurgle	WH3_Faction_Nurgle_Primary_Loop	main
nurgle	WH3_Faction_Nurgle_Secondary_Loop	main
nurgle	generic_river	river
nurgle	generic_sea	sea
nurglestorm	WH3_Faction_Nurgle_Forest_Loop	forest
nurglestorm	WH3_Faction_Nurgle_Water_Lake	lake
nurglestorm	WH3_Faction_Nurgle_Storm_Flavor_Loop	main
nurglestorm	WH3_Faction_Nurgle_Storm_Primary_Loop	main
nurglestorm	WH3_Faction_Nurgle_Storm_Secondary_Loop	main
nurglestorm	generic_river	river
nurglestorm	generic_sea	sea
nurglestorm	WH3_Faction_Nurgle_Wind_Loop	wind
nurgle	WH3_Generic_Desert_Wind_Loop	wind
ogres	WH3_Faction_Ogres_Forest_Loop	forest
ogres	lizardmen_mountain_lake	lake
ogres	WH3_Faction_Ogres_Primary_Loop	main
ogres	WH3_Faction_Ogres_Secondary_Loop	main
ogres	generic_river	river
ogres	generic_sea	sea
ogres	WH3_Generic_Hills_Wind_Loop	wind
prologue_kislev_chaos	WH3_Faction_Kislev_Forest_Loop	forest
prologue_kislev_chaos	WH3_Generic_Volcanic_Forest_Loop	forest
prologue_kislev_chaos	high_elves_lake	lake
prologue_kislev_chaos	WH3_Faction_Kislev_Primary_Loop	main
prologue_kislev_chaos	WH3_Faction_Kislev_Secondary_Loop	main
