key	resource
wh3_dlc20_special_karak_dum_major_primary	
wh3_dlc20_special_karak_dum_secondary	
wh3_dlc20_special_okkams_forever_maze_major_primary	
wh3_dlc20_special_okkams_forever_maze_secondary	
wh3_dlc20_special_plains_of_zanbaijin_major_primary	
wh3_dlc20_special_plains_of_zanbaijin_secondary	
wh3_dlc20_special_red_fortress_secondary_obsidian	res_obsidian
wh3_dlc20_special_the_crystal_spires_major_primary	
wh3_dlc20_special_the_forbidden_citadel_major_primary	
wh3_dlc20_special_the_forbidden_citadel_secondary_iron	res_rom_iron
wh3_dlc20_special_the_gallows_tree_major_primary	
wh3_dlc20_special_the_gallows_tree_secondary_timber	res_rom_timber
wh3_dlc20_special_the_howling_citadel_major_primary	
wh3_dlc20_special_the_howling_citadel_secondary	
wh3_dlc20_special_the_lost_palace_major_primary	
wh3_dlc20_special_the_lost_palace_secondary_furs	res_rom_furs
wh3_dlc20_special_the_palace_of_ruin_secondary_spices	res_spices
wh3_dlc20_special_the_shifting_monolith_major_primary	
wh3_dlc20_special_the_shifting_monolith_secondary_gold	res_gold
wh3_dlc20_special_the_silvered_tower_of_sorcerers_major_primary	
wh3_dlc20_special_the_silvered_tower_of_sorcerers_secondary	res_gems
wh3_dlc20_special_the_sunken_sewers_major_primary	
wh3_dlc20_special_the_twisted_towers_major_primary	
wh3_dlc20_special_the_twisted_towers_secondary	
wh3_dlc20_special_the_volary_major_primary	
wh3_dlc20_special_the_writhing_fortress_major_primary	
wh3_dlc20_special_tower_of_khrakk_major_primary	
wh3_dlc20_special_tower_of_khrakk_secondary	
wh3_dlc20_special_troll_fjord_major_primary	
wh3_dlc20_special_troll_fjord_secondary_salt	res_rom_lead
wh3_dlc20_special_uzkulak_major_primary	
wh3_dlc20_special_uzkulak_major_secondary	res_rom_iron
wh3_dlc20_special_varg_camp_major_primary	
wh3_dlc20_special_varg_camp_secondary	
wh3_dlc20_special_zerulous_major_primary	
wh3_dlc20_special_zerulous_secondary	
wh3_dlc20_special_zharr_naggrund_major_primary	
wh3_dlc20_special_zharr_naggrund_secondary_obsidian	res_obsidian
wh3_dlc23_special_anurells_tomb_primary	
wh3_dlc23_special_anurells_tomb_secondary	
wh3_dlc23_special_bitter_bay_primary	
wh3_dlc23_special_bitter_bay_secondary	
wh3_dlc23_special_black_fortress_primary	
wh3_dlc23_special_black_fortress_secondary	
wh3_dlc23_special_daemons_stump_primary	
wh3_dlc23_special_daemons_stump_secondary	
wh3_dlc23_special_flayed_rock_major_secondary	
wh3_dlc23_special_flayed_rock_primary	
wh3_dlc23_special_flayed_rock_secondary	
wh3_dlc23_special_fortress_of_dawn_port	
wh3_dlc23_special_fortress_of_dawn_secondary	res_spices
wh3_dlc23_special_gates_of_zharr_primary	
wh3_dlc23_special_gates_of_zharr_secondary	
wh3_dlc23_special_iron_storm_primary	
wh3_dlc23_special_iron_storm_secondary	
wh3_dlc23_special_the_sentinels_primary	
wh3_dlc23_special_the_sentinels_secondary	res_rom_marble
wh3_dlc23_special_the_volary_secondary_combi	
wh3_dlc23_special_uzkulak_primary	
wh3_dlc23_special_uzkulak_secondary	res_rom_iron
wh3_dlc24_special_black_pit_secondary	
wh3_dlc24_special_bleak_hold_fortress_secondary	
wh3_dlc24_special_castle_alexandronov_minor_secondary	
wh3_dlc24_special_castle_alexandronov_minor_secondary_wine	res_rom_wine
wh3_dlc24_special_castle_of_splendour_secondary	
wh3_dlc24_special_deff_gorge_secondary	
wh3_dlc24_special_dolganyeir_secondary	
wh3_dlc24_special_fateweavers_crevasse_secondary	
wh3_dlc24_special_haichai_secondary	
wh3_dlc24_special_maw_gate_secondary	res_spices
wh3_dlc24_special_plesk_secondary	
wh3_dlc24_special_shang_wu_major_secondary_animals	res_animals
wh3_dlc24_special_shrine_of_kurnous_secondary	
wh3_dlc24_special_tower_of_ashshair_secondary	
wh3_dlc24_tze_cult_changeling	
wh3_dlc25_black_tower	
wh3_dlc25_chaos_region_mount_gunbad_special	res_gold
wh3_dlc25_special_chaos_dark_fortress_secondary_middenheim	
wh3_dlc25_special_silver_pinnacle_primary	
wh3_dlc25_special_silver_pinnacle_secondary	res_gems
wh3_dlc25_special_temple_of_elemental_winds	res_rom_timber
wh3_dlc25_special_the_gallows_tree_secondary_timber	res_rom_timber
wh3_dlc26_special_cuexotl_primary	
wh3_dlc26_special_cuexotl_secondary	
wh3_dlc26_special_great_hall_of_greasus_major_primary	
wh3_dlc26_special_jade_wind_mountain_primary	res_savage
wh3_dlc26_special_jade_wind_mountain_secondary	res_ivory
wh3_dlc26_special_major_primary_savage	res_savage
wh3_dlc26_special_minor_primary_savage	res_savage
wh3_dlc26_special_pahuax_primary	res_savage
wh3_dlc26_special_pahuax_secondary	res_medicine
wh3_dlc26_special_springs_of_eternal_life_primary	
wh3_dlc26_special_springs_of_eternal_life_secondary	res_rom_marble
wh3_dlc26_special_stormhenge_primary	
wh3_dlc26_special_stormhenge_secondary	
wh3_dlc26_tyrants_demands	
wh3_main_chaos_region_dragon_fang_mount_special_secondary_medicine_roc_only	res_medicine
wh3_main_chaos_region_fire_mouth_special_secondary_furs_roc_only	res_rom_furs
wh3_main_chaos_region_floating_mountain_special_secondary_marble_roc_only	res_rom_marble
wh3_main_chaos_region_wei_jin_special_secondary_spices_roc_only	res_spices
wh3_main_combi_jungles_of_chian_secondary	res_animals
wh3_main_combi_special_bloodwind_keep_secondary	
wh3_main_combi_special_red_fortress_secondary	
wh3_main_combi_special_the_challenge_stone_secondary	
wh3_main_combi_the_haunted_forest_secondary	res_animals
wh3_main_cth_bastion_primary	res_bastion
wh3_main_cth_bastion_secondary	
wh3_main_dwf_underdeep	
wh3_main_dwf_underdeep_karak_eight_peaks	
wh3_main_dwf_underdeep_minor	
wh3_main_dwf_underdeep_skavenblight	
wh3_main_dwf_underdeep_zharr_naggrund	
wh3_main_erengrad_city_primary	
wh3_main_erengrad_city_secondary	res_rom_textiles
wh3_main_foreign_slot_allied	
wh3_main_human_major_secondary_ivory	res_ivory
wh3_main_human_minor_secondary_ivory	res_ivory
wh3_main_kho_cult	
wh3_main_kho_cult_magus	
wh3_main_kislev_city_primary	
wh3_main_kislev_city_secondary	res_rom_furs
wh3_main_minor_cults	
wh3_main_nur_cult	
wh3_main_nur_cult_magus	
wh3_main_praag_city_primary	
wh3_main_praag_city_secondary	res_rom_marble
wh3_main_prologue_dervingard_primary	
wh3_main_prologue_dervingard_secondary	
wh3_main_prologue_minor_primary	
wh3_main_prologue_minor_secondary	
wh3_main_sla_cult	
wh3_main_sla_cult_magus	
wh3_main_special_blood_mountain_minor_primary	
wh3_main_special_blood_mountain_secondary_iron	res_rom_iron
wh3_main_special_bloodwind_keep_minor_primary	
wh3_main_special_bloodwind_keep_secondary_obsidian	res_obsidian
wh3_main_special_clarak_spire_secondary	
wh3_main_special_drackle_spire_secondary	
wh3_main_special_fire_mouth_minor_primary	
wh3_main_special_fire_mouth_secondary_furs	res_rom_furs
wh3_main_special_fortress_of_the_damned_minor_primary	
wh3_main_special_fortress_of_the_damned_secondary_marble	res_rom_marble
wh3_main_special_fu_hung_major_primary	
wh3_main_special_fu_hung_secondary_dyes	res_dyes
wh3_main_special_great_hall_of_greasus_minor_primary	
wh3_main_special_great_hall_of_greasus_secondary_gold	res_gold
wh3_main_special_gristle_valley_minor_primary	
wh3_main_special_gristle_valley_secondary_ivory	res_ivory
wh3_main_special_infernius_major_secondary	
wh3_main_special_jungles_of_chian_secondary	
wh3_main_special_karak_azorn_secondary	
wh3_main_special_karak_vrag_secondary	res_gems
wh3_main_special_khazid_bordkarag_secondary	
wh3_main_special_li_temple_secondary	
wh3_main_special_misty_mountain_secondary	
wh3_main_special_mordheim_secondary	
wh3_main_special_nan_gau_major_primary	
wh3_main_special_nan_gau_secondary_pottery	res_rom_textiles
wh3_main_special_nuln_secondary_iron	res_rom_iron
wh3_main_special_palace_of_princes_secondary	
wh3_main_special_red_fortress_major_primary	
wh3_main_special_red_fortress_secondary_ivory	res_ivory
wh3_main_special_sabre_mountain_secondary	
wh3_main_special_shang_yang_major_primary	
wh3_main_special_shang_yang_secondary_spices	res_spices
wh3_main_special_shiyamas_rest_secondary	res_rom_textiles
wh3_main_special_the_challenge_stone_secondary	
wh3_main_special_the_crystal_spires_secondary	
wh3_main_special_the_great_desert_secondary	
wh3_main_special_the_palace_of_ruin_major_primary	
wh3_main_special_the_palace_of_ruin_secondary_marble	
wh3_main_special_the_sky_monolith_secondary	
wh3_main_special_the_sunken_sewers_secondary	
wh3_main_special_the_twisted_towers_secondary	
wh3_main_special_the_volary_secondary	
wh3_main_special_the_writhing_fortress_secondary	
wh3_main_special_tower_of_gorgoth_primary	
wh3_main_special_tower_of_gorgoth_secondary	
wh3_main_special_volksgrad_secondary	res_rom_timber
wh3_main_special_wei_jin_major_primary	
wh3_main_special_wei_jin_secondary_spices	res_spices
wh3_main_special_weng_chang_minor_primary	
wh3_main_special_weng_chang_secondary_iron	res_rom_iron
wh3_main_special_xing_po_minor_primary	
wh3_main_special_xing_po_secondary_gems	res_gems
wh3_main_tze_cult	
wh3_main_tze_cult_magus	
wh_dlc05_elf_major_primary_oak_of_ages	
wh_dlc05_elf_major_secondary_oak_of_ages	
wh_dlc15_special_plain_of_bones_darkhold_secondary	res_savage
wh_dlc15_special_plain_of_bones_fortress_of_vorag_secondary	
wh_dlc15_special_plain_of_bones_fortress_of_vorag_secondary_major	
wh_dlc24_special_fu_chow_port	
wh_dlc24_special_southern_sentinels_secondary	
wh_dlc24_special_star_tower_secondary	
wh_dlc24_special_the_turtle_isle_secondary	res_obsidian
wh_main_dwarf_orc_major_secondary_savage	res_savage
wh_main_dwarf_orc_minor_secondary_savage	res_savage
wh_main_human_major_primary	
wh_main_human_major_secondary	
wh_main_human_major_secondary_dyes	res_dyes
wh_main_human_major_secondary_furs	res_rom_furs
wh_main_human_major_secondary_gold	res_gold
wh_main_human_major_secondary_iron	res_rom_iron
wh_main_human_major_secondary_marble	res_rom_marble
wh_main_human_major_secondary_pastures	res_rom_oil
wh_main_human_major_secondary_pottery	res_rom_textiles
wh_main_human_major_secondary_salt	res_rom_lead
wh_main_human_major_secondary_timber	res_rom_timber
wh_main_human_major_secondary_wine	res_rom_wine
wh_main_human_minor_primary	
wh_main_human_minor_secondary	
wh_main_human_minor_secondary_dyes	res_dyes
wh_main_human_minor_secondary_furs	res_rom_furs
wh_main_human_minor_secondary_gold	res_gold
wh_main_human_minor_secondary_iron	res_rom_iron
wh_main_human_minor_secondary_marble	res_rom_marble
wh_main_human_minor_secondary_pastures	res_rom_oil
wh_main_human_minor_secondary_pottery	res_rom_textiles
wh_main_human_minor_secondary_salt	res_rom_lead
wh_main_human_minor_secondary_timber	res_rom_timber
wh_main_human_minor_secondary_wine	res_rom_wine
wh_main_norsca_major_primary	
wh_main_norsca_major_secondary	
wh_main_norsca_major_secondary_dervingard_special	
wh_main_norsca_major_secondary_iron	res_rom_iron
wh_main_norsca_major_secondary_salt	res_rom_lead
wh_main_norsca_minor_primary	
wh_main_norsca_minor_secondary	
wh_main_norsca_minor_secondary_iron	res_rom_iron
wh_main_norsca_minor_secondary_marble	res_rom_marble
wh_main_norsca_minor_secondary_obsidian	res_obsidian
wh_main_norsca_port	
wh_main_port	
wh_main_special_altdorf_primary	
wh_main_special_altdorf_secondary	res_rom_textiles
wh_main_special_bay_of_blades_secondary	
wh_main_special_black_crag_primary	
wh_main_special_black_crag_secondary	res_gold
wh_main_special_bordeleaux_port	
wh_main_special_bordeleux_primary	
wh_main_special_bordeleux_secondary	res_rom_wine
wh_main_special_carcassonne_primary	
wh_main_special_carcassonne_secondary	res_dyes
wh_main_special_carroburg_primary	
wh_main_special_carroburg_secondary	res_rom_oil
wh_main_special_castle_drakenhof_primary	
wh_main_special_castle_drakenhof_secondary	res_gold
wh_main_special_citadel_of_lead_secondary	
wh_main_special_couronne_primary	
wh_main_special_couronne_secondary	res_rom_textiles
wh_main_special_crag_halls_primary	
wh_main_special_crag_halls_secondary	res_rom_furs
wh_main_special_doomkeep_secondary	
wh_main_special_eight_peaks_primary	
wh_main_special_eight_peaks_secondary	res_rom_oil
wh_main_special_erengrad_port	
wh_main_special_karag_dromar_primary	
wh_main_special_karag_dromar_secondary	
wh_main_special_karak_azgal_secondary	res_gems
wh_main_special_karak_azul_primary	
wh_main_special_karak_azul_secondary	res_rom_lead
wh_main_special_karak_hirn_secondary	res_rom_iron
wh_main_special_karak_kadrin_2_secondary	
wh_main_special_karak_kadrin_primary	
wh_main_special_karak_norn_secondary	res_rom_furs
wh_main_special_karak_ungor_secondary	res_gold
wh_main_special_karaz_a_karak_primary	
wh_main_special_karaz_a_karak_secondary	res_gems
wh_main_special_konquata_secondary	
wh_main_special_luccini_secondary	
wh_main_special_magritta_primary	
wh_main_special_magritta_secondary	res_rom_iron
wh_main_special_marienburg_port	
wh_main_special_marienburg_primary	
wh_main_special_marienburg_secondary	res_dyes
wh_main_special_massif_orca_primary	
wh_main_special_massif_orca_secondary	
wh_main_special_middenheim_primary	
wh_main_special_middenheim_secondary	
wh_main_special_miragliano_primary	
wh_main_special_miragliano_secondary	res_rom_oil
wh_main_special_monolith_of_katam_secondary	res_obsidian
wh_main_special_moot_secondary	res_rom_oil
wh_main_special_mount_gunbad_primary	
wh_main_special_mount_gunbad_secondary	res_gold
wh_main_special_nuln_primary	
wh_main_special_nuln_secondary	
wh_main_special_pfeildorf_secondary	
wh_main_special_sjoktraken_secondary	
wh_main_special_talabheim_primary	
wh_main_special_talabheim_secondary	res_rom_furs
wh_main_special_talabheim_secondary_roc	
wh_main_special_tobaro_secondary	
wh_main_special_tower_of_khrakk_secondary	res_rom_marble
wh_main_special_ubersreik_secondary	
wh_main_special_vauls_anvil_primary	
wh_main_special_vauls_anvil_secondary	res_rom_timber
wh_main_special_waterfall_palace_primary	
wh_main_special_waterfall_palace_secondary	
wh_main_special_yn_edryl_korian_primary	
wh_main_special_yn_edryl_korian_secondary	
wh_main_special_zhufbar_secondary	res_rom_iron
