key	parent_set
source_pooled_resource_skulls_min1000	pooled_resource_skulls
source_pooled_resource_skulls_min1500	pooled_resource_skulls
source_pooled_resource_skulls_min2000	pooled_resource_skulls
source_pooled_resource_skulls_min4000	pooled_resource_skulls
source_pooled_resource_skulls_min8000	pooled_resource_skulls
source_to_target_faction_province_enemy	queried_domain_source_to_target
source_treasury_below_10000	
source_treasury_below_2000	
source_treasury_below_5000	
spawnable_force_ogre_camp	
stance_ogre_camp	
stance_recruit	
subculture_cathay	
target_treasury	
teleportation_network_dlc20	
teleportation_network_main	
treasury_low	
value_between_0_15_scaled	
value_between_0_40_scaled	
wh3_dlc25_com_metal_wizard_hero	
wh3_dlc25_tamurkhan_chieftain_unlock_bray_shaman	
wh3_dlc25_tamurkhan_chieftain_unlock_castellan	
wh3_dlc25_tamurkhan_chieftain_unlock_exalted_hero	
wh3_dlc25_tamurkhan_chieftain_unlock_fimir_balefiend	
wh3_dlc25_tamurkhan_chieftain_unlock_kazyk	
wh3_dlc25_tamurkhan_chieftain_unlock_wolf_werekin	
