bonus_value_id	effect	siege_item
siege_item_allowed	wh3_main_effect_siege_engine_number_cth_battering_ram	cth_battering_ram
siege_item_enabled	wh3_main_effect_siege_engine_number_cth_battering_ram	cth_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_cth_battering_ram	cth_battering_ram
siege_item_allowed	wh3_main_effect_siege_engine_number_cth_siege_tower	cth_siege_tower
siege_item_enabled	wh3_main_effect_siege_engine_number_cth_siege_tower	cth_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_cth_siege_tower	cth_siege_tower
siege_item_allowed	wh3_main_effect_siege_engine_number_kho_battering_ram	kho_battering_ram
siege_item_enabled	wh3_main_effect_siege_engine_number_kho_battering_ram	kho_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_kho_battering_ram	kho_battering_ram
siege_item_allowed	wh3_main_effect_siege_engine_number_kho_siege_tower	kho_siege_tower
siege_item_enabled	wh3_main_effect_siege_engine_number_kho_siege_tower	kho_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_kho_siege_tower	kho_siege_tower
siege_item_allowed	wh3_main_effect_siege_engine_number_ksl_battering_ram	ksl_battering_ram
siege_item_enabled	wh3_main_effect_siege_engine_number_ksl_battering_ram	ksl_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_ksl_battering_ram	ksl_battering_ram
siege_item_allowed	wh3_main_effect_siege_engine_number_ksl_siege_tower	ksl_siege_tower
siege_item_enabled	wh3_main_effect_siege_engine_number_ksl_siege_tower	ksl_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_ksl_siege_tower	ksl_siege_tower
siege_item_allowed	wh3_main_effect_siege_engine_number_nur_battering_ram	nur_battering_ram
siege_item_enabled	wh3_main_effect_siege_engine_number_nur_battering_ram	nur_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_nur_battering_ram	nur_battering_ram
siege_item_allowed	wh3_main_effect_siege_engine_number_nur_siege_tower	nur_siege_tower
siege_item_enabled	wh3_main_effect_siege_engine_number_nur_siege_tower	nur_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_nur_siege_tower	nur_siege_tower
siege_item_allowed	wh3_main_effect_siege_engine_number_sla_battering_ram	sla_battering_ram
siege_item_enabled	wh3_main_effect_siege_engine_number_sla_battering_ram	sla_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_sla_battering_ram	sla_battering_ram
siege_item_allowed	wh3_main_effect_siege_engine_number_sla_siege_tower	sla_siege_tower
siege_item_enabled	wh3_main_effect_siege_engine_number_sla_siege_tower	sla_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_sla_siege_tower	sla_siege_tower
siege_item_allowed	wh3_main_effect_siege_engine_number_tze_battering_ram	tze_battering_ram
siege_item_enabled	wh3_main_effect_siege_engine_number_tze_battering_ram	tze_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_tze_battering_ram	tze_battering_ram
siege_item_allowed	wh3_main_effect_siege_engine_number_tze_siege_tower	tze_siege_tower
siege_item_enabled	wh3_main_effect_siege_engine_number_tze_siege_tower	tze_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh3_main_effect_siege_engine_number_tze_siege_tower	tze_siege_tower
siege_item_allowed	wh_dlc03_effect_siege_engine_number_bst_battering_ram	bst_battering_ram
siege_item_enabled	wh_dlc03_effect_siege_engine_number_bst_battering_ram	bst_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_dlc03_effect_siege_engine_number_bst_battering_ram	bst_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_dlc03_effect_siege_engine_number_bst_siege_tower_number_increase	bst_siege_tower
siege_item_allowed	wh_dlc03_effect_siege_engine_number_bst_siege_tower	bst_siege_tower
siege_item_enabled	wh_dlc03_effect_siege_engine_number_bst_siege_tower	bst_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_dlc03_effect_siege_engine_number_bst_siege_tower	bst_siege_tower
siege_item_allowed	wh_dlc05_effect_siege_engine_number_wef_battering_ram	wef_battering_ram
siege_item_enabled	wh_dlc05_effect_siege_engine_number_wef_battering_ram	wef_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_dlc05_effect_siege_engine_number_wef_battering_ram	wef_battering_ram
siege_item_allowed	wh_dlc05_effect_siege_engine_number_wef_siege_tower	wef_siege_tower
siege_item_enabled	wh_dlc05_effect_siege_engine_number_wef_siege_tower	wef_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_dlc05_effect_siege_engine_number_wef_siege_tower	wef_siege_tower
siege_item_allowed	wh_dlc08_effect_siege_engine_number_nor_battering_ram	nor_battering_ram
siege_item_enabled	wh_dlc08_effect_siege_engine_number_nor_battering_ram	nor_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_dlc08_effect_siege_engine_number_nor_battering_ram	nor_battering_ram
siege_item_allowed	wh_dlc08_effect_siege_engine_number_nor_siege_tower	nor_siege_tower
siege_item_enabled	wh_dlc08_effect_siege_engine_number_nor_siege_tower	nor_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_dlc08_effect_siege_engine_number_nor_siege_tower	nor_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	brt_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	brt_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	bst_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	bst_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	chs_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	chs_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	cst_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	cst_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	cth_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	cth_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	def_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	def_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	dwf_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	dwf_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	emp_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	emp_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	grn_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	grn_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	hef_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	hef_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	kho_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	kho_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	ksl_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	ksl_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	lzd_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	lzd_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	nor_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	nor_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	nur_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	nur_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	skv_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	skv_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	sla_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	sla_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	tmb_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	tmb_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	tze_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	tze_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	vmp_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	vmp_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	wef_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	wef_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	brt_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	brt_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	bst_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	bst_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	chs_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	chs_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	cst_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	cst_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	cth_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	cth_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	def_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	def_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	dwf_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	dwf_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	emp_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	emp_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	grn_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	grn_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	hef_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	hef_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	kho_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	kho_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	ksl_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	ksl_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	lzd_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	lzd_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	nor_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	nor_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	nur_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	nur_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	skv_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	skv_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	sla_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	sla_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	tmb_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	tmb_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	tze_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	tze_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	vmp_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	vmp_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	wef_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	wef_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_number_brt_battering_ram	brt_battering_ram
siege_item_enabled	wh_main_effect_siege_engine_number_brt_battering_ram	brt_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_brt_battering_ram	brt_battering_ram
siege_item_allowed	wh_main_effect_siege_engine_number_brt_siege_tower	brt_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_number_brt_siege_tower	brt_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_brt_siege_tower	brt_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_number_chs_battering_ram	chs_battering_ram
siege_item_enabled	wh_main_effect_siege_engine_number_chs_battering_ram	chs_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_chs_battering_ram	chs_battering_ram
siege_item_allowed	wh_main_effect_siege_engine_number_chs_siege_tower	chs_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_number_chs_siege_tower	chs_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_chs_siege_tower	chs_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_number_dwf_battering_ram	dwf_battering_ram
siege_item_enabled	wh_main_effect_siege_engine_number_dwf_battering_ram	dwf_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_dwf_battering_ram	dwf_battering_ram
siege_item_allowed	wh_main_effect_siege_engine_number_dwf_siege_tower	dwf_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_number_dwf_siege_tower	dwf_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_dwf_siege_tower	dwf_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_number_emp_battering_ram	emp_battering_ram
siege_item_enabled	wh_main_effect_siege_engine_number_emp_battering_ram	emp_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_emp_battering_ram	emp_battering_ram
siege_item_allowed	wh_main_effect_siege_engine_number_emp_siege_tower	emp_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_number_emp_siege_tower	emp_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_emp_siege_tower	emp_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_number_grn_battering_ram	grn_battering_ram
siege_item_enabled	wh_main_effect_siege_engine_number_grn_battering_ram	grn_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_grn_battering_ram	grn_battering_ram
siege_item_allowed	wh_main_effect_siege_engine_number_grn_siege_tower	grn_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_number_grn_siege_tower	grn_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_grn_siege_tower	grn_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_number_vmp_battering_ram	vmp_battering_ram
siege_item_enabled	wh_main_effect_siege_engine_number_vmp_battering_ram	vmp_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_vmp_battering_ram	vmp_battering_ram
siege_item_allowed	wh_main_effect_siege_engine_number_vmp_siege_tower	vmp_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_number_vmp_siege_tower	vmp_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_vmp_siege_tower	vmp_siege_tower
