key	battle_context	unit_attribute
wh2_main_effect_cause_terror_versus_grn	fighting_culture_greenskins	causes_terror
wh2_main_effect_cause_terror_versus_hef	fighting_culture_highelf	causes_terror
wh2_main_effect_cause_terror_versus_human	fighting_culture_empire_and_bretonnia	causes_terror
wh2_main_effect_cause_terror_versus_lzd	fighting_culture_lizardmen	causes_terror
wh2_main_effect_cause_terror_versus_rogue	fighting_culture_rogue_armies	causes_terror
wh2_main_effect_cause_terror_versus_skv	fighting_culture_skaven	causes_terror
wh2_main_effect_cause_terror_versus_vmp	fighting_culture_vampire_counts	causes_terror
wh2_main_effect_cause_terror_versus_wef	fighting_culture_wood_elves	causes_terror
wh3_dlc23_effect_attribute_enable_causes_fear_vs_chd	fighting_culture_chaos_dwarfs	causes_fear
wh3_dlc25_effect_attribute_enable_woodsman_vs_bst	fighting_culture_beastmen	ignore_trees
wh3_dlc25_effect_attribute_unbreakable_vs_undead	fighting_culture_undead	unbreakable
wh3_dlc26_effect_attribute_enable_immune_to_psychology_vs_contract	fighting_against_contract_target	immune_to_psychology
wh3_dlc27_effect_attribute_devastating_flanker_during_ambushes	fighting_force_status_yours_ambushing	devastating_flanker
wh3_dlc27_effect_attribute_enable_causes_fear_vs_emp	fighting_culture_empire	causes_fear
wh3_dlc27_effect_attribute_enable_causes_fear_vs_emp_bre_wef	fighting_culture_empire_bretonnia_wood_elves	causes_fear
wh3_dlc27_effect_attribute_enable_charge_defence_vs_bretonnia	fighting_culture_bretonnia	charge_defense_vs_large
wh3_dlc27_effect_attribute_enable_charge_defence_vs_norsca	fighting_culture_norsca	charge_defense_vs_large
wh3_dlc27_effect_attribute_enable_devastating_flanker_vs_tmb	fighting_culture_tomb_kings	devastating_flanker
wh3_dlc27_effect_attribute_enable_glorious_charge_vs_hef	fighting_culture_highelf	glorious_charge
wh3_dlc27_effect_attribute_enable_immune_to_psychology_vs_lzd	fighting_culture_lizardmen	immune_to_psychology
wh3_dlc27_effect_attribute_enable_perfect_vigour_attacking	fighting_force_status_yours_attacking	fatigue_immune
wh3_dlc27_effect_attribute_enable_perfect_vigour_vs_khorne	fighting_culture_khorne	fatigue_immune
wh3_dlc27_effect_attribute_enable_stalk_vs_vcoast	fighting_culture_vampire_coast	stalk
wh3_dlc27_effect_attribute_enable_unbreakable_vs_darkelves_vampcoast	fighting_culture_dark_elves_vamp_coast	unbreakable
wh3_dlc27_effect_attribute_enable_unyielding_assault_vs_dwarfs	fighting_culture_dwarfs	unyielding_assault
wh3_dlc27_effect_attribute_enable_vanguard_deployment_vs_cth	fighting_culture_cathay	guerrilla_deploy
wh3_dlc27_effect_attribute_immune_contact_effects_siege_battles	fighting_battle_type_siege	ignore_imbue_contact_effects_enemy
wh3_dlc27_effect_attribute_perfect_vigour_siege_battles	fighting_battle_type_siege	fatigue_immune
wh3_dlc27_effect_attribute_perfect_vigour_vs_order	fighting_culture_forces_of_order	fatigue_immune
wh3_dlc27_effect_attribute_silenced_siege_battles	fighting_battle_type_siege	silenced
wh3_dlc27_effect_attribute_stalk_during_sieges	fighting_battle_type_siege	stalk
wh3_dlc27_effect_attribute_unbreakable_during_siege_vs_dark_elves	fighting_culture_dark_elves_battle_type_siege	unbreakable
wh3_dlc27_effect_attribute_unbreakable_siege_battles	fighting_battle_type_siege	unbreakable
wh3_dlc27_effect_attribute_unbreakable_vs_order	fighting_culture_forces_of_order	unbreakable
wh3_dlc27_effect_attribute_unyielding_assault_siege_battles	fighting_battle_type_siege	unyielding_assault
wh3_dlc27_effect_enable_attribute_immpsy_vs_nurgle	fighting_culture_nurgle	immune_to_psychology
wh3_dlc27_effect_enable_attribute_immpsy_vs_slaanesh	fighting_culture_slaanesh	immune_to_psychology
wh3_dlc27_effect_enable_attribute_immpsy_vs_tzeentch	fighting_culture_tzeentch	immune_to_psychology
wh3_dlc27_effect_enable_attribute_immpsy_vs_woc	fighting_culture_chaos	immune_to_psychology
wh3_dlc27_effect_enable_attribute_strider_vs_chs_dwarfs	fighting_culture_chaos_dwarfs	strider
wh3_dlc27_effect_force_stat_enable_magic_attacks_vs_slaanesh	fighting_culture_slaanesh	charge_defense
wh3_dlc27_effect_force_stat_unbreakable_vs_norsca	fighting_culture_norsca	unbreakable
wh3_dlc27_effect_tech_contact_immune_vs_nurgle	fighting_culture_nurgle	ignore_imbue_contact_effects_enemy
wh3_dlc27_effect_unit_enable_attribute_immpsy_when_fighting_khorne	fighting_culture_khorne	immune_to_psychology
wh3_dlc27_effect_unit_enable_attribute_woodsman_vs_beastmen	fighting_culture_beastmen	ignore_trees
wh3_main_effect_attribute_enable_causes_fear_vs_cth	fighting_culture_cathay	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_dae	fighting_culture_daemons	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_kho	fighting_culture_khorne	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_ksl	fighting_culture_kislev	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_nur	fighting_culture_nurgle	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_ogr	fighting_culture_ogres	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_sla	fighting_culture_slaanesh	causes_fear
wh3_main_effect_attribute_enable_causes_fear_vs_tze	fighting_culture_tzeentch	causes_fear
wh3_main_effect_attribute_enable_causes_terror_vs_ksl	fighting_culture_kislev	causes_terror
wh3_main_effect_unit_enable_attribute_immpsy_when_fighting_chaos_daemons	fighting_culture_daemons_chaos_chaos_dwarfs_norsca	immune_to_psychology
