key	faction_effects	faction_leader_effects	group	icon	vo_trigger	cooldown
wh3_dlc24_ingredient_skulls_marauder_skull			wh3_dlc24_ingredient_group_skulls	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_skulls_marauder_skull.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_stone_brynduraz			wh3_dlc24_ingredient_group_stone	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_stone_brynduraz.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_stone_stone_dog_ornament			wh3_dlc24_ingredient_group_stone	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_stone_stone_dog_ornament.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_stone_warpstone_fragment			wh3_dlc24_ingredient_group_stone	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_stone_warpstone_fragment.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_teeth_cold_ones_fang			wh3_dlc24_ingredient_group_teeth	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_teeth_cold_ones_fang.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_teeth_incisor_of_man			wh3_dlc24_ingredient_group_teeth	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_teeth_incisor_of_man.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_teeth_orc_molar			wh3_dlc24_ingredient_group_teeth	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_teeth_orc_molar.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_wood_bark_of_ages			wh3_dlc24_ingredient_group_wood	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_wood_bark_of_ages.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_wood_branch_of_arden			wh3_dlc24_ingredient_group_wood	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_wood_branch_of_arden.png	Play_mother_ostankya_ingredient_vox	1
wh3_dlc24_ingredient_wood_ursun_totem			wh3_dlc24_ingredient_group_wood	ui/skins/default/dlc24_ostankya_ingredients/wh3_dlc24_ingredient_wood_ursun_totem.png	Play_mother_ostankya_ingredient_vox	1
