key	battle_sound_event_start	battle_sound_event_stop	campaign_sound_event_start	campaign_sound_event_stop	average_position	tracked	scale	reverb	max_distance	group_sound	battle_limitation	campaign_limitation	battle_limitation_scale	campaign_limitation_scale
VFX_Environment_Campaign_Element_Skaven_Meteor_Impacts			Campaign_Environment_Skaven_Meteor_Impacts_Play		false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Skaven_Meteor_Trails			Campaign_Environment_Skaven_Meteor_Trails_Play		false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Snow_Storm			Campaign_Environment_Element_Snow_Storm_Play	Campaign_Environment_Element_Snow_Storm_Stop	false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Wind_Vortex_Lightning_Synced			Campaign_Environment_Element_Wind_Vortex_Lightning_Strike_Synced_Play		false	false	false	false	75.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Winds_Of_Magic_Light			Campaign_Environment_Element_Winds_Of_Magic_Light_Play	Campaign_Environment_Element_Winds_Of_Magic_Light_Stop	false	false	false	false	60.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Winds_Of_Magic_Medium			Campaign_Environment_Element_Winds_Of_Magic_Medium_Play	Campaign_Environment_Element_Winds_Of_Magic_Medium_Stop	false	false	false	false	60.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Winds_Of_Magic_Strong			Campaign_Environment_Element_Winds_Of_Magic_Strong_Play	Campaign_Environment_Element_Winds_Of_Magic_Strong_Stop	false	false	false	false	60.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Generic_Attrition			Campaign_Environment_Generic_Attrition_Play	Campaign_Environment_Generic_Attrition_Stop	false	true	false	false	25.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Generic_Shroud_Lightning			Campaign_Environment_Generic_Shroud_Lightning_VFX		false	true	false	true	75.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Generic_Shroud_Magical_Swirls			Campaign_Environment_Generic_Shroud_Magic_Swirls_VFX		false	true	false	true	75.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Generic_Shroud_Swirls			Campaign_Environment_Generic_Shroud_Magic_Swirls_VFX		false	true	false	true	100.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Great_Maw_Gas_Oneshot			Campaign_Environment_Ogres_Props_The_Great_Maw_Gas_Oneshot_Play		false	false	false	true	30.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Lzd_Swamp_Fire			Campaign_Environment_Generic_Swamp_Fire_Start	Campaign_Environment_Generic_Swamp_Fire_Stop	false	true	false	true	30.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Magic_Dwarf_Ruin			Campaign_Environment_Dwarf_Rune_Marker_Play	Campaign_Environment_Dwarf_Rune_Marker_Stop	false	false	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Nurgle_Spit			Campaign_Environment_Nurgle_Prop_VFX_Spit		false	false	false	true	30.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Settlement_Coast_Monster_Attack			Campaign_Environment_Vampire_Coast_Settlement_Sea_Monster_Attack_Play	Campaign_Environment_Vampire_Coast_Settlement_Sea_Monster_Attack_Stop	false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Tomb_Kings_Books_Of_Nagash			Campaign_Environment_Tomb_Kings_Books_Of_Nagash_Play	Campaign_Environment_Tomb_Kings_Books_Of_Nagash_Stop	false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Tomb_Kings_Small_Head_Sandfall			Campaign_Environment_Tomb_Kings_Sandfall_Small_Head_Play	Campaign_Environment_Tomb_Kings_Sandfall_Small_Head_Stop	false	true	false	false	20.0000		default	fire	1.0000	1.0000
VFX_Environment_Campaign_Tomb_Kings_Small_Tail_Sandfall			Campaign_Environment_Tomb_Kings_Sandfall_Small_Tail_Play	Campaign_Environment_Tomb_Kings_Sandfall_Small_Tail_Stop	false	true	false	false	20.0000		default	fire	1.0000	1.0000
VFX_Environment_Campaign_Tzeentch_Teleport_Locus			Campaign_Environment_Tzeentch_Teleport_Locus_Play	Campaign_Environment_Tzeentch_Teleport_Locus_Stop	false	true	false	false	20.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Volcano_Explosion			Cam_Volcano_Explosion_Oneshot_Play		false	false	false	false	35.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Volcano_Splash			Cam_Volcano_Lava_Splash_Oneshot_Play		false	true	false	false	35.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Vortex_Lightning_Strike_Pillar			Campaign_Environment_Element_Wind_Vortex_Lightning_Strike_Pillar_Play		false	false	false	false	75.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_WEF_Invasion_Marker			Cam_Env_Wood_Elves_Invasion_Marker_VFX_Loop_Play	Cam_Env_Wood_Elves_Invasion_Marker_VFX_Loop_Stop	false	true	false	false	20.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Weather_Rain			Campaign_Environment_Weather_Rain_Play	Campaign_Environment_Weather_Rain_Stop	false	true	false	true	100.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Weather_Snow_Heavy			Campaign_Environment_Weather_Snow_Heavy_Play	Campaign_Environment_Weather_Snow_Heavy_Stop	false	true	false	true	100.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Weather_Snow_Light			Campaign_Environment_Weather_Snow_Light_Play	Campaign_Environment_Weather_Snow_Light_Stop	false	true	false	true	100.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Wind_Snow_Light			Campaign_Environment_Element_Wind_Snow_VFX_Light_Play	Campaign_Environment_Element_Wind_Snow_VFX_Light_Stop	true	true	false	true	30.0000		default	default	1.0000	1.0000
VFX_Environment_Corruption_Vmp_Encircling_Ghosts			Cam_Env_Corruption_Vamp_Encircling_Ghost_Oneshot		false	true	false	false	20.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Chd_Magic_Haze			Campaign_Environment_CHD_Magic_Haze_Play	Campaign_Environment_CHD_Magic_Haze_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Sand_Storms			Campaign_Environment_Element_Sand_Storm_Play	Campaign_Environment_Element_Sand_Storm_Stop	false	false	false	false	60.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Sand_Storms_Light			Campaign_Environment_Element_Wind_Desert_Sand_Storms_Light_Play	Campaign_Environment_Element_Wind_Desert_Sand_Storms_Light_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Small_Lightning	Battle_Environment_Element_Small_Lightning_Start	Battle_Environment_Element_Small_Lightning_Stop			false	false	false	false	300.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Small_Pink_Lightning	Battle_Environment_Element_Small_Lightning_Pink_Start	Battle_Environment_Element_Small_Lightning_Pink_Stop			false	false	false	false	1200.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Wind_Desert_Dust_Devil			Campaign_Environment_Element_Wind_Desert_Dust_Devil_Play	Campaign_Environment_Element_Wind_Desert_Dust_Devil_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Winds_Of_Magic_Light			Campaign_Environment_Element_Winds_Of_Magic_Light_Play	Campaign_Environment_Element_Winds_Of_Magic_Light_Stop	false	true	false	false	20.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Winds_Of_Magic_Medium			Campaign_Environment_Element_Winds_Of_Magic_Medium_Play	Campaign_Environment_Element_Winds_Of_Magic_Medium_Stop	false	true	false	false	20.0000		default	default	1.0000	1.0000
VFX_Environment_Element_Winds_Of_Magic_Strong			Campaign_Environment_Element_Winds_Of_Magic_Strong_Play	Campaign_Environment_Element_Winds_Of_Magic_Strong_Stop	false	true	false	true	20.0000		default	default	1.0000	1.0000
VFX_Environment_Land_Of_The_Dead_Lightning	Battle_Environment_Land_of_the_Dead_Lightning				false	true	false	false	4000.0000		default	default	1.0000	1.0000
VFX_Environment_Tomb_Kings_Black_Tower_Of_Arkhan_Lightning			Campaign_Environment_Tomb_Kings_Black_Tower_Of_Arkhan_Storm_Lightning_Play		false	true	false	false	50.0000		default	default	1.0000	1.0000
VFX_Environment_Tomb_Kings_Black_Tower_Of_Arkhan_Storm			Campaign_Environment_Tomb_Kings_Black_Tower_Of_Arkhan_Storm_Play	Campaign_Environment_Tomb_Kings_Black_Tower_Of_Arkhan_Storm_Stop	false	true	false	false	50.0000		default	default	1.0000	1.0000
VFX_Environment_Tomb_Kings_Small_Head_Sandfall	Battle_Environment_Tomb_Kings_Generic_Small_Sandfall_Head_Play	Battle_Environment_Tomb_Kings_Generic_Small_Sandfall_Head_Stop			false	false	false	false	50.0000		default	default	1.0000	1.0000
VFX_Foley_Juggernaut_Steam	Battle_Individual_Foley_Juggernaut_Charge_Steam_Oneshot				false	true	false	false	40.0000	wh3_grp_foley_juggernaut_charge	default	default	1.0000	1.0000
VFX_Magic_Abilities_Agonys_Succession_Unit_Oneshot	a				false	true	false	true	350.0000	wh3_dlc24_ability_agonys_succession_unit	default	default	1.0000	1.0000
VFX_Magic_Abilities_Seafang_Portal_Close	Battle_IND_Magic_Abilities_Seafang_Portal_Close				false	false	false	false	500.0000		default	default	1.0000	1.0000
VFX_Magic_Abilities_Seafang_Portal_Open	Battle_IND_Magic_Abilities_Seafang_Portal_Open				false	false	false	false	500.0000		default	default	1.0000	1.0000
VFX_Magic_Ability_Agonys_Succession_Banner	Battle_Individual_Magic_Ostankya_Agonys_Succession_Banner_Loop_Play	Battle_Individual_Magic_Ostankya_Agonys_Succession_Banner_Loop_Stop			false	true	false	true	350.0000		default	default	1.0000	1.0000
VFX_Magic_Ability_Harry_The_Hammer_Explosion	Battle_IND_Ability_The_Hammer_Of_Harry_Explosion				false	false	false	false	300.0000		default	default	1.0000	1.0000
VFX_Magic_Ability_Harry_The_Hammer_FloorDecal	Battle_IND_Ability_The_Hammer_Of_Harry_FloorDecal				false	false	false	false	100.0000		default	default	1.0000	1.0000
VFX_Magic_Chd_Kdaai_Fireborn_Explosion	Battle_Individual_Foley_Kdaai_Fireborn_Explosion_Fire				false	true	false	false	60.0000		medium	medium	0.5000	0.5000
VFX_Magic_Fire_Active_Loop	BAT_IND_Magic_Persistent_Fire_Active_Loop_Start	BAT_IND_Magic_Persistent_Fire_Active_Loop_Stop	CAM_IND_Magic_Persistent_Fire_Active_Loop_Start	CAM_IND_Magic_Persistent_Fire_Active_Loop_Stop	false	true	false	false	25.0000		default	default	1.0000	1.0000
VFX_Magic_Focus_Shot_Special_Ability_Targeting	Battle_IND_Magic_Deathblow_Targeting				false	true	false	false	200.0000		default	default	1.0000	1.0000
VFX_Magic_Ghost_Dissolve_Death	Battle_Individual_Magic_Ghost_Dissolve_Death				false	true	false	false	70.0000		default	default	1.0000	1.0000
VFX_Magic_Greater_Daemon_Dissolve			Campaign_Individual_Magic_Greater_Daemon_Dissolve_Death		false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Magic_Greater_Daemon_Dissolve_Death			Campaign_Individual_Magic_Greater_Daemon_Dissolve_Death		false	false	false	false	40.0000		default	default	1.0000	1.0000
VFX_Magic_Hashut_Ash_Storm_Red_Mist	Battle_IND_Magic_Hashut_Ash_Storm_Red_Mist_Start	Battle_IND_Magic_Hashut_Ash_Storm_Red_Mist_Stop			false	false	false	true	300.0000		default	default	1.0000	1.0000
VFX_Magic_Hashut_Ash_Storm_Red_Mist_Oneshot	Battle_IND_Magic_Hashut_Ash_Storm_Red_Mist_Oneshot				false	false	false	true	300.0000		default	default	1.0000	1.0000
VFX_Magic_Hashut_Ash_Storm_Rune_Fire	Battle_IND_Magic_Hashut_Ash_Storm_Fire_Oneshot				false	false	false	false	200.0000		default	default	1.0000	1.0000
VFX_Magic_Hashut_Ash_Storm_Rune_Pulse	Battle_IND_Magic_Hashut_Ash_Storm_Rune_Pulse_Start	Battle_IND_Magic_Hashut_Ash_Storm_Rune_Pulse_Stop			false	false	false	true	500.0000		default	default	1.0000	1.0000
VFX_Magic_High_Fiery_Convocation_Vocal_Scream	Battle_IND_Magic_High_Magic_Fiery_Convocation_Vocal_Scream_Distant				false	false	false	false	0.0000		default	default	1.0000	1.0000
VFX_Magic_Kholek_Tempest_Rage_Conjure	IND_Magic_Kholek_Tempest_Rage_Conjure				false	false	false	false	800.0000		default	default	1.0000	1.0000
VFX_Magic_Kholek_Tempest_Rage_Lightning_Bolt	IND_Magic_Kholek_Tempest_Rage_Lightning_Bolt				false	false	false	false	500.0000		default	default	1.0000	1.0000
VFX_Magic_Ksl_Special_Ability_Incarnate_Flock_Of_Doom_Banner_Loop	Incarnate_Flock_Of_Doom_Banner_Loop_Start	Incarnate_Flock_Of_Doom_Banner_Loop_Stop			false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Magic_Ksl_Special_Ability_Incarnate_Flock_Of_Doom_Entity	Incarnate_Flock_of_Doom_Start	Incarnate_Flock_of_Doom_Stop			false	true	false	true	500.0000	wh3_dlc24_ability_incarnate_flock_of_doom	default	default	1.0000	1.0000
VFX_Magic_Lesser_Daemon_Dissolve_Death	Battle_Individual_Magic_Lesser_Daemon_Death		Campaign_Individual_Magic_Lesser_Daemon_Death		false	false	false	false	70.0000	wh3_grp_magic_lesser_daemon_death	default	default	1.0000	1.0000
VFX_Magic_Lesser_Daemon_Nurgle_Dissolve_Death	Battle_Individual_Magic_Nurgle_Lesser_Daemon_Dissolve_Death		Campaign_Individual_Magic_Nurgle_Lesser_Daemon_Dissolve_Death		false	false	false	false	70.0000		default	default	1.0000	1.0000
VFX_Magic_Lesser_Daemon_Slaanesh_Dissolve_Death	Battle_Individual_Magic_Slaanesh_Lesser_Daemon_Dissolve_Death		Campaign_Individual_Magic_Slaanesh_Lesser_Daemon_Dissolve_Death		false	false	false	true	70.0000		default	default	1.0000	1.0000
VFX_Magic_Lzd_Special_Ability_Shield_Of_The_Old_Ones	Battle_IND_Magic_Shield_Of_The_Old_Ones_Loop_Start	Battle_IND_Magic_Shield_Of_The_Old_Ones_Loop_Stop			false	true	false	false	350.0000		default	default	1.0000	1.0000
VFX_Magic_Lzd_Special_Ability_Supreme_Shield_Of_The_Old_Ones	Battle_IND_Magic_Supreme_Shield_Of_The_Old_Ones_Loop_Start	Battle_IND_Magic_Supreme_Shield_Of_The_Old_Ones_Loop_Stop			false	true	false	false	350.0000		default	default	1.0000	1.0000
VFX_Magic_Maelstrom_Of_Change_Impact	Battle_IND_Magic_Ability_Maelstrom_Of_Change_Impact				false	false	false	false	350.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Aekold_Flower_Loop	Battle_Individual_Magic_Persistent_DLC24_Aekold_Helbrass_Flower_Loop_Play	Battle_Individual_Magic_Persistent_DLC24_Aekold_Helbrass_Flower_Loop_Stop			false	true	false	false	300.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Aekold_Helbrass_Charge_Loop	Battle_Individual_Magic_Persistent_DLC24_Aekold_Helbrass_Charge_Loop_Play	Battle_Individual_Magic_Persistent_DLC24_Aekold_Helbrass_Charge_Loop_Stop			false	true	false	false	300.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Aekold_Helbrass_Sword_VFX	Battle_Individual_Cinematic_Kit_Aekold_Helbrass_Sword_Glow_Loop_Play	Battle_Individual_Cinematic_Kit_Aekold_Helbrass_Sword_Glow_Loop_Stop			false	true	false	false	300.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Aekold_Helbrass_Thornes_VFX	Battle_Individual_Cinematic_Kit_Things_in_The_Woods_Ethereal_Portal_Open				false	true	false	false	300.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Arkhan_Chariot			Campaign_Structure_Artillery_Chariot_Arkhan_Magic_Play	Campaign_Structure_Artillery_Chariot_Arkhan_Magic_Stop	false	true	false	false	15.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Chaos_Sorcerer_Death			CAM_IND_Magic_Persistent_DLC20_Death_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Death_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Chaos_Sorcerer_Fire			CAM_IND_Magic_Persistent_DLC20_Fire_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Fire_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Chaos_Sorcerer_Metal			CAM_IND_Magic_Persistent_DLC20_Metal_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Metal_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Chaos_Sorcerer_Nurgle			CAM_IND_Magic_Persistent_DLC20_Nur_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Nur_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Chaos_Sorcerer_Shadow			CAM_IND_Magic_Persistent_DLC20_Shadow_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Shadow_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Magic_Persistent_Chaos_Sorcerer_Slaanesh			CAM_IND_Magic_Persistent_DLC20_Sla_Chaos_Sorcerer_Loop_Start	CAM_IND_Magic_Persistent_DLC20_Sla_Chaos_Sorcerer_Loop_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
