banner	unit_set
wh3_dlc26_golgfag_contract_anc_banner_predatory_fighter	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_predatory_fighter	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_primal_instincts	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_primal_instincts	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_rage	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_rage	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_ratbag_tactics	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_ratbag_tactics	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_red_crest_toxins	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_red_crest_toxins	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_rotten_diet	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_rotten_diet	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_runes_of_protection	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_runes_of_protection	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_shield_of_distraction	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_shield_of_distraction	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_slayer	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_slayer	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_taunt	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_taunt	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_the_hungry	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_the_hungry	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_tools_of_judgement	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_tools_of_judgement	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_undying_will	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_undying_will	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_verminous_doom	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_verminous_doom	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_waaaagh	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_waaaagh	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_warpaint	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_warpaint	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_witchbrew	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_witchbrew	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_worthy_foe	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_worthy_foe	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_yang	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_yang	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_yin	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_yin	ogr_maneaters
wh3_main_anc_magic_standard_banner_of_the_moon_empress	missile_units
wh3_main_anc_magic_standard_bastion_standard	all_units
wh3_main_anc_magic_standard_flag_of_grand_cathay	all_units
wh3_main_anc_magic_standard_revered_banner_of_the_ancestors	all_units
wh3_main_anc_magic_standard_serene_cloud_prayer_flag	all_units
wh3_main_anc_magic_standard_standard_of_nan_gau	missile_units
wh3_main_anc_magic_standard_standard_of_shang_yang	all_units
wh3_main_anc_magic_standard_standard_of_wei_jin	all_units
wh3_main_banner_magic_standard_banner_of_change	all_units
wh3_main_banner_magic_standard_banner_of_ecstacy	all_units
wh3_main_banner_magic_standard_banner_of_feng_shi	all_units
wh3_main_banner_magic_standard_banner_of_hellfire	all_units
wh3_main_banner_magic_standard_banner_of_praag	all_units
wh3_main_banner_magic_standard_banner_of_the_empress_eye	all_units
wh3_main_banner_magic_standard_banner_of_the_orthodoxy	all_units
wh3_main_banner_magic_standard_banner_of_unholy_victory	all_units
wh3_main_banner_magic_standard_blood_feasters_banner	all_units
wh3_main_banner_magic_standard_bull_standard	all_units
wh3_main_banner_magic_standard_cannibal_totem	all_units
wh3_main_banner_magic_standard_dragonhide_banner	all_units
wh3_main_banner_magic_standard_father_niklas_mantle	all_units
wh3_main_banner_magic_standard_great_icon_of_despair	all_units
wh3_main_banner_magic_standard_great_standard_of_sundering	all_units
wh3_main_banner_magic_standard_icon_of_endless_war	all_units
wh3_main_banner_magic_standard_icon_of_eternal_virulence	all_units
wh3_main_banner_magic_standard_icon_of_sorcery	all_units
wh3_main_banner_magic_standard_khornes_gift	all_units
wh3_main_banner_magic_standard_lifetaker_banner	all_units
wh3_main_banner_magic_standard_ragbanner	all_units
wh3_main_banner_magic_standard_rune_maw	all_units
wh3_main_banner_magic_standard_siren_standard	all_units
wh3_main_banner_magic_standard_skull_totem	all_units
wh3_main_banner_magic_standard_standard_of_chaos_glory	all_units
wh3_main_banner_magic_standard_standard_of_seeping_decay	all_units
wh3_main_banner_magic_standard_standard_of_the_empty_steppe	all_units_excluding_guerrilla_deployment
wh3_main_banner_magic_standard_the_great_celestial_banner	all_units
wh3_main_banner_magic_standard_trophy_of_killers	all_units
wh_dlc03_banner_magic_standard_banner_of_outrage	all_units
wh_dlc03_banner_magic_standard_banner_of_the_fallen_kings	all_units
wh_dlc03_banner_magic_standard_manbane_standard	all_units
wh_dlc03_banner_magic_standard_the_beast_banner	all_units
wh_dlc03_banner_magic_standard_totem_of_rust	all_units
wh_dlc03_banner_mark_of_chaos_crown_of_horns	all_units
wh_dlc03_banner_mark_of_chaos_gnarled_hide	all_units
wh_dlc03_banner_mark_of_chaos_gouge_tusks	all_units
wh_dlc03_banner_mark_of_chaos_many_limbed_fiend	all_units
wh_dlc03_banner_mark_of_chaos_shadow_hide	all_units
wh_dlc03_banner_mark_of_chaos_slug_skin	all_units
wh_dlc03_banner_mark_of_chaos_uncanny_senses	all_units
wh_dlc05_banner_magic_standard_the_banner_of_the_eternal_queen	all_units
wh_dlc05_banner_magic_standard_the_banner_of_the_hunter_king	all_units
wh_dlc06_banner_magic_standard_skarsniks_boyz	grn_dlc06_night_goblins_and_goblins
wh_dlc07_banner_magic_standard_banner_of_defence	all_units
wh_dlc07_banner_magic_standard_errantry_banner	all_units
wh_dlc07_banner_magic_standard_twilight_banner	all_units
wh_dlc07_banner_magic_standard_valorous_standard	all_units
wh_dlc08_banner_magic_standard_ancient_mammoth_cub	wh_dlc08_feral_mammoth
wh_dlc08_banner_magic_standard_banner_of_wolfclaw	dlc08_nor_skin_wolves
wh_dlc08_banner_magic_standard_black_iron_reavers	dlc08_nor_marauders_all
wh_dlc08_banner_magic_standard_crimson_reapers	dlc08_nor_marauders_all
wh_dlc08_banner_magic_standard_drake_hunters	dlc08_nor_marauders_hunters
wh_main_banner_magic_standard_banner_of_eternal_flame	all_units
wh_main_banner_magic_standard_banner_of_lost_holds	all_units
wh_main_banner_magic_standard_banner_of_rage	all_units
wh_main_banner_magic_standard_banner_of_swiftness	all_units
wh_main_banner_magic_standard_banner_of_the_barrows	all_units
wh_main_banner_magic_standard_blasted_standard	all_units
wh_main_banner_magic_standard_da_immortulz	grn_black_orcs
wh_main_banner_magic_standard_gleaming_pennant	all_units
wh_main_banner_magic_standard_griffon_banner	all_units
wh_main_banner_magic_standard_lichbone_pennant	all_units
wh_main_banner_magic_standard_morks_war_banner	all_units
wh_main_banner_magic_standard_rampagers_standard	all_units
wh_main_banner_magic_standard_rangers_standard	all_units_excluding_strider
wh_main_banner_magic_standard_razor_standard	all_units
wh_main_banner_magic_standard_scarecrow_banner	all_units
wh_main_banner_magic_standard_spider_banner	all_units
wh_main_banner_magic_standard_standard_of_discipline	all_units
wh_main_banner_magic_standard_steel_standard	all_units
wh_main_banner_magic_standard_the_bad_moon_banner	all_units
wh_main_banner_magic_standard_the_screaming_banner	all_units
wh_main_banner_magic_standard_wailing_banner	all_units_excluding_terror
wh_main_banner_magic_standard_war_banner	all_units
wh_main_banner_mark_of_chaos_mark_of_khorne	all_units
wh_main_banner_mark_of_chaos_mark_of_nurgle	all_units
wh_main_banner_mark_of_chaos_mark_of_slaanesh	all_units_excluding_immune_to_psychology
wh_main_banner_mark_of_chaos_mark_of_tzeentch	all_units
wh_main_banner_rune_ancestor_rune	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_battle	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_courage	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_groth_one-eye	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_grungni	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_sanctuary	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_slowness	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_stoicism	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_stromni_redbeard	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_valaya	dlc14_all_units_excluding_characters
wh_main_banner_rune_strollaz_rune	dlc14_all_units_excluding_characters
