domain	query	query_variables	invert
factions_we_agreed_trespass_warning_recently	decision_item_rounds_ago_that_this_was_chosen	recent_accept_decision_in_trespass_warning	false
non_enemy_armies	resource_mobile_check_if_agent	queried_domain_most_specific	true
non_enemy_armies	resource_mobile_check_if_armed_citizenry	queried_domain_most_specific	true
non_enemy_factions	faction_to_faction_check_if_owned_by	queried_domain_source_to_most_specific_enemy	true
non_rebel_regions_near_our_forces	region_check_if_abandoned	queried_domain_target	true
nonenemy_regions_at_our_forces	faction_to_faction_check_if_owned_by	queried_domain_source_to_most_specific_enemy	true
not_enemy_factions	faction_to_faction_check_if_owned_by	queried_domain_source_to_most_specific_enemy	true
not_our_faction_or_rebels	faction_check_if_analysing_faction	queried_domain_most_specific	true
not_our_faction_or_rebels	faction_check_if_rebel	queried_domain_most_specific	true
not_our_faction_or_rebels	faction_to_faction_check_if_known	queried_domain_source_to_most_specific	false
our_agents_near_friendly_army	resource_mobile_search_strongest_force_nearby	friendly_army_present_range_1	false
our_agents	resource_mobile_check_if_agent	queried_domain_most_specific	false
our_armies_at_home_in_recruit_stance	resource_mobile_check_if_in_stance	stance_recruit	false
our_armies_at_least_10_units	resource_mobile_check_units	bounds_min_10	false
our_armies_enemy_regions	resource_mobile_search_territory	enemy_territory_range_0	false
our_armies_full_stack_full_hp	resource_mobile_check_average_unit_health_percentage	bounds_min_0.95	false
our_armies_full_stack_full_hp	resource_mobile_check_units	bounds_min_17	false
our_armies_high_hp	resource_mobile_check_average_unit_health_percentage	bounds_min_0.95	false
our_armies_low_hp	resource_mobile_check_average_unit_health_percentage	bounds_max_0.6	false
our_armies_recruit	resource_mobile_check_if_allocated_to_recruit	queried_domain_most_specific	false
our_armies_with_at_least_14_units	resource_mobile_check_units	bounds_min_14	false
our_armies_with_max_16_units	resource_mobile_check_units	bounds_min_17	true
our_armies_with_max_18_units	resource_mobile_check_units	bounds_min_19	true
our_armies	resource_mobile_check_if_armed_citizenry	queried_domain_most_specific	true
our_armies	resource_mobile_check_if_locatable	queried_domain_most_specific	false
our_armies	resource_mobile_check_if_military_force	queried_domain_most_specific	false
our_cathay_bastion_regions	region_check_if_in_campaign_region_group	region_group_cathay_bastion	false
our_damaged_character_using_rift_to_teleport	resource_mobile_check_average_unit_health_percentage	bounds_max_0.6	false
our_faction_if_completed_all_realms	faction_check_shared_state_value	queried_domain_source_value_minimum_4_faction_shared_state_finished_all_realms	false
our_faction_if_difficulty_is_easy	world_check_difficulty	equals_0	false
our_faction_if_difficulty_is_hard	world_check_difficulty	equals_2	false
our_faction_if_difficulty_is_legendary	world_check_difficulty	equals_4	false
our_faction_if_difficulty_is_normal	world_check_difficulty	equals_1	false
our_faction_if_difficulty_is_veryhard	world_check_difficulty	equals_3	false
our_faction_if_free_army_upkeep_is_high_not_earlygame	world_check_round_number	bounds_min_17	false
our_faction_if_free_army_upkeep_is_high	faction_check_free_army_upkeep	bounds_min_300	false
our_faction_if_game_is_still_on	world_check_shared_state_value	queried_domain_source_value_minimum_1_shared_state_game_is_won	true
our_faction_if_human_is_in_realm	world_check_shared_state_value	queried_domain_source_value_minimum_1_shared_state_player_is_in_a_realm	false
our_faction_if_human_isnt_cathay	world_check_if_any_player_has_subculture	subculture_cathay	true
our_faction_if_no_ogre_camps	faction_check_mobiles_in_stance	ogre_camp_stance_min_1	true
our_faction_if_primary_and_game_is_still_on	faction_check_pooled_resource	pooled_resource_enter_realm_min1	false
our_faction_if_primary_if_collected_soul_this_cycle	faction_check_shared_state_value	queried_domain_source_value_minimum_1_shared_state_collected_soul_this_cycle	false
our_faction_if_primary	faction_check_if_has_faction_feature	queried_domain_source_faction_feature_primary	false
our_faction_leader_army_enemy_military_force_nearby_range_2	resource_mobile_check_if_military_force	enemy_army_present_range_2	false
our_faction_leader_army	resource_mobile_check_if_commander_is_faction_leader	queried_domain_most_specific	false
our_faction_no_ports	faction_check_port_settlements	bounds_max_0	false
our_faction_past_turn_50_more_than_6_settlements	faction_check_regions	bounds_min_6	false
our_faction_past_turn_50_more_than_6_settlements	world_check_round_number	bounds_max_49	true
our_faction_provinces_with_100_public_order	faction_province_check_public_order	queried_domain_most_specific_min_100	false
our_faction_turn_0_50	world_check_round_number	bounds_max_49	false
our_faction_turn_101_onwards	world_check_round_number	bounds_min_100	false
our_faction_turn_51_100	world_check_round_number	bounds_min_50_max_99	false
our_non_faction_leader_armies	resource_mobile_check_if_commander_is_faction_leader	queried_domain_most_specific	true
our_nondamaged_character_using_rift_to_teleport	resource_mobile_check_average_unit_health_percentage	bounds_max_0.6	true
our_ogre_camps	resource_mobile_check_if_in_stance	stance_ogre_camp	false
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_unkownfaction	faction_to_faction_check_if_known	queried_domain_source_to_target	true
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed	region_check_if_abandoned	queried_domain_most_specific	true
regions_flagged_as_capture_if_owned_by_other_subcult	faction_to_faction_check_if_matching_subculture	queried_domain_source_to_target	true
regions_flagged_as_capture_if_owned_by_other_subcult	region_check_if_flagged_with_region_hint_type	region_hint_capture_if_owned_by_another_subcultured	false
regions_in_personality_region_group_identifier_1	region_check_if_in_personality_region_group	personality_region_group_identifier_1	false
regions_in_personality_region_group_identifier_2	region_check_if_in_personality_region_group	personality_region_group_identifier_2	false
regions_in_personality_region_group_identifier_3	region_check_if_in_personality_region_group	personality_region_group_identifier_3	false
regions_near_region_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy	faction_to_faction_check_if_owned_by	queried_domain_source_to_target_enemy	false
rifts_at_least_x_units_far_from_home_territory	faction_to_locatable_check_distance_from_territory	queried_domain_source_to_target_bounds_min_300	false
rifts_less_than_x_units_far_from_home_territory	faction_to_locatable_check_distance_from_territory	queried_domain_source_to_target_bounds_max_50	false
rifts_near_our_armies_range_3_far_from_our_land	faction_to_locatable_check_distance_from_territory	queried_domain_source_to_target_bounds_min_300	false
rifts_near_our_regions_range_3_if_player_is_in_chaos_realm_diff	world_check_shared_state_value	queried_domain_source_value_minimum_1_shared_state_player_is_in_a_realm	false
settlement_is_bay_of_blades_early	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_bay_of_blades	false
settlement_is_bay_of_blades_early	world_check_round_number	bounds_min_10	true
settlement_is_cathay_shouldnt_enter	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_cathay_shouldnt_enter	false
settlement_is_dark_fortress	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_dark_fortress	false
settlement_is_kislev_major_city	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_kislev_major_cities	false
settlement_is_woodelf_forest	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_woodelf_forest	false
third_party_known_by_target	faction_to_faction_check_if_known	queried_domain_target_to_third_party	false
undiscovered_factions	faction_check_if_analysing_faction	queried_domain_most_specific	true
undiscovered_factions	faction_check_if_dead	queried_domain_most_specific	true
undiscovered_factions	faction_check_if_dead	queried_domain_target	true
undiscovered_factions	faction_check_if_rebel	queried_domain_most_specific	true
undiscovered_factions	faction_to_faction_check_if_known	queried_domain_source_to_target	true
us_or_liked_third_party_known_by_target	faction_to_faction_check_attitude	queried_domain_target_to_third_party_bounds_0_and_above	false
us_or_third_party_known_by_target	faction_to_faction_check_if_known	queried_domain_target_to_third_party	false
