key	special_ability_phase	unit_set
wh3_dlc29_cst_mortars_dazed	wh2_dlc17_unit_contact_dazed	wh2_dlc11_cst_art_mortar
wh3_dlc29_disable_contact_phase_eroding_poison_marauder_marauder_horsemen_hellstriders_chariot_of_slaanesh_hidden	wh_main_unit_contact_poison	wh3_dlc27_marauder_marauder_horsemen_hellstriders_chariot_of_slaanesh
wh3_dlc29_effect_ability_contact_poison	wh_main_unit_contact_poison	wh3_dlc29_skv_plague_knowledge_units
wh3_dlc29_effect_ability_disable_black_nimbus	wh_main_unit_abilities_black_nimbus	vmp_unit_black_coach
wh3_dlc29_effect_character_stat_enable_nag_lesser_withering_attacks	wh3_dlc29_contact_lesser_withering	nag_shadow_casters
wh3_dlc29_effect_contact_effect_nag_mortar_dazed	wh2_dlc17_unit_contact_dazed	wh2_dlc11_cst_art_mortar
wh3_dlc29_effect_contact_effect_nag_queen_bess_dazed	wh2_dlc17_unit_contact_dazed	wh2_dlc11_cst_art_queen_bess
wh3_dlc29_effect_contact_phase_poison_for_direwolves_bats_carrion	wh_main_unit_contact_poison	wh3_dlc29_nag_direwolves_bats_carrion
wh3_dlc29_effect_force_stat_armour_sundering_great_weapons	wh2_dlc12_unit_contact_sundered_armour	nag_great_weapons
wh3_dlc29_effect_poison_attacks_dual_wield	wh_main_unit_contact_poison	nag_dual_weapons
wh3_dlc29_effect_unit_stat_weeping_blade_skv_stormfiends_grinderfists	wh2_main_unit_contact_weeping_blade	wh3_dlc29_melee_stormfiends_grinderfists
wh3_dlc29_enable_charmed_attacks_vmp_lahmian_handmaidens	wh2_dlc11_unit_contact_charmed	wh3_dlc29_handmaidens
wh3_dlc29_enable_contact_sundered_armour_vmp_skeleton_warriors_zombies	wh_dlc06_unit_contact_sundered_armour	vmp_skeleton_warriors_zombies
wh3_dlc29_endgame_crisis_the_vermintide_enemy_wave_06_soulblight_attacks	wh3_dlc25_unit_contact_soulblight	wh3_dlc29_endgame_crisis_the_vermintide_enemy_wave_06_soulblight_units
wh3_dlc29_zombies_skeletons_grave_guards	wh_dlc06_unit_contact_discouraged	wh3_dlc29_vmp_zombies_skeletons_grave_guards
wh3_main_effect_character_stat_scorching_attacks_kostaltyn_patriarch	wh2_dlc12_unit_contact_flammable	wh3_main_ksl_patriarch_kostaltyn
wh3_main_effect_force_stat_enable_frostbite_attacks_ksl_snow_leopards	wh_dlc08_unit_contact_frostbite	wh3_main_ksl_mon_snow_leopard_0
wh3_main_effect_force_stat_enable_soporific_musk_sla_marauders	wh3_main_unit_contact_soporific_musk	sla_marauders
wh3_main_effect_force_stat_enable_warpflame_attacks_tze_horrors	wh3_main_unit_contact_warpflame	tze_blue_pink_horrors
wh3_main_enable_charmed_attacks_tze_screamers	wh2_dlc11_unit_contact_charmed	wh3_main_tze_mon_screamers_0
wh3_soporific_musk_daemonettes	wh3_main_unit_contact_soporific_musk	sla_daemonettes
wh_dlc04_unit_passive_vigour_mortis	wh_dlc04_unit_passive_vigour_mortis	wh3_dlc29_nag_corpse_carts
