id	friendly_towards_enemy_multiplier	friendly_towards_friend_multiplier	hostile_towards_enemy_multiplier	hostile_towards_friend_multiplier	max_friendly_attitude	max_hostile_attitude	unknown_faction_multiplier	max_merc_proportion	min_merc_cap	enemy_strength_modifier	enemy_threat_strength_modifier	min_retreat_ratio	min_retreat_to_settlement_ratio	strategic_balance_opportunism_factor	fortified_settlement_assault_strength_modifier	fortified_settlement_defend_strength_modifier	short_description	long_description	last_settlement_modifier	min_refuse_tunneling_intercept_ratio	use_classic_stance_generation_mechanics	ai_threat_score_threat_treshold	strategic_context_local_strength_balance_weight	strategic_context_maximum_band_adjustment_reached_in_rounds	strategic_context_maximum_band_adjustment_proportion	strategic_context_global_strenth_balance_weight	strategic_context_default_band_value	sally_out_chance	war_coordination_assist_attack_force_max_distance	war_coordination_assist_attack_settlement_max_distance	dead_zone	call_to_arms_chance_defensive_war_with_human_players	call_to_arms_chance_offensive_war_with_ai_only	call_to_arms_chance_offensive_war_with_human_players	call_to_arms_chance_defensive_war_with_ai_only
wh3_strategic_component_cowardly	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	1.1000	1.1000	0.9000	0.9000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_cowardly_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	1.0000	1.0000	0.9000	0.9000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_default	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_default_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_defensive	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.9500	0.9500	0.8000	0.8000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_defensive_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.9000	0.9000	0.8000	0.8000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_defensive_holds_grudges	-1.2000	0.3000	0.3000	-1.5000	100.0000	-100.0000	0.0000	1.0000	0	0.9500	0.9500	0.8000	0.8000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_defensive_holds_grudges_hard	-1.2000	0.3000	0.3000	-1.5000	100.0000	-100.0000	0.0000	1.0000	0	0.9000	0.9000	0.8000	0.8000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_frenzied	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.3000	0.3000	0.1000	0.1000	0.4000	0.9000	1.2000			25.0000	0.3000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_noretreat	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.2000	0.2000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_noretreat_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.2000	0.2000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_nurgle	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.6000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_nurgle_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.6000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_opportunistic	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.7000	0.7000	0.9000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_opportunistic_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.7000	0.7000	0.9000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_prologue	-0.5000	0.2000	0.5000	-0.2000	100.0000	-100.0000	0.3000	1.0000	0	0.7500	0.7500	0.6000	0.7000	0.5500	1.0000	2.0000			5.0000	1.0000	false	1.0000	0.5000	10	0.5000	0.5000	50.0000	5.0000	3.0000	3.0000	15.0000	0.0000	0.0000	0.0000	0.0000
wh3_strategic_component_prologue_bellicose	-0.5000	0.2000	0.5000	-0.2000	100.0000	-100.0000	0.3000	1.0000	0	0.6500	0.6500	0.4500	0.5500	0.5500	1.0000	2.0000			5.0000	1.0000	false	1.0000	0.5000	10	0.5000	0.5000	50.0000	10.0000	3.0000	3.0000	15.0000	0.0000	0.0000	0.0000	0.0000
wh3_strategic_component_prologue_ignore_threat	-0.5000	0.2000	0.5000	-0.2000	100.0000	-100.0000	0.3000	1.0000	0	0.6500	0.1000	0.4500	0.5500	0.5500	1.0000	2.0000			5.0000	1.0000	false	1.0000	0.5000	10	0.5000	0.5000	50.0000	5.0000	3.0000	3.0000	15.0000	0.0000	0.0000	0.0000	0.0000
wh3_strategic_component_rift_spawned	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	0.5000	0	0.7500	0.3000	0.3000	0.3000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_sentinel	-0.1000	0.1000	0.1000	-0.1000	100.0000	-100.0000	0.0000	1.0000	0	0.9500	0.9500	0.8000	0.8000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_sentinel_hard	-0.1000	0.1000	0.1000	-0.1000	100.0000	-100.0000	0.0000	1.0000	0	0.9000	0.9000	0.8000	0.8000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_simple	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.3000	1.0000	0	0.8000	0.8000	0.7000	0.7000	0.4000	1.0000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	20.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_simple_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.3000	1.0000	0	0.7500	0.7500	0.7000	0.7000	0.4000	1.0000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	20.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_vampire	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.6000	0.7000	0.6000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_vampire_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.6000	0.7000	0.6000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_vengeful	-1.2000	0.3000	0.3000	-1.0000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_vengeful_hard	-1.2000	0.3000	0.3000	-1.0000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
