unit	faction_override	character_level
wh2_dlc13_emp_inf_greatswords_ror_0		0
wh2_dlc13_emp_inf_halberdiers_ror_0		0
wh2_dlc13_emp_inf_handgunners_ror_0		0
wh2_dlc13_emp_inf_huntsmen_ror_0		16
wh2_dlc13_emp_inf_spearmen_ror_0		0
wh2_dlc13_emp_inf_swordsmen_ror_0		0
wh2_dlc13_emp_veh_steam_tank_ror_0		0
wh2_dlc13_emp_veh_war_wagon_ror_0		26
wh2_dlc13_huntmarshall_veh_obsinite_gyrocopter_0		0
wh2_dlc13_lzd_mon_dread_saurian_ror_0		30
wh2_dlc13_lzd_mon_razordon_pack_ror_0		16
wh2_dlc13_lzd_mon_sacred_kroxigors_ror_0		23
wh2_dlc14_def_cav_scourgerunner_chariot_ror_0		20
wh2_dlc14_def_inf_harpies_ror_0		10
wh2_dlc14_def_mon_bloodwrack_medusa_ror_0		30
wh2_dlc14_skv_inf_death_runners_ror_0		16
wh2_dlc14_skv_inf_eshin_triads_ror_0		13
wh2_dlc14_skv_inf_poison_wind_mortar_ror_0		20
wh2_dlc15_grn_mon_river_trolls_ror_0		16
wh2_dlc15_grn_mon_rogue_idol_ror_0		30
wh2_dlc15_grn_veh_snotling_pump_wagon_ror_0		13
wh2_dlc15_hef_inf_archers_ror_0		10
wh2_dlc15_hef_mon_arcane_phoenix_ror_0		30
wh2_dlc15_hef_mon_black_dragon_imrik		0
wh2_dlc15_hef_mon_forest_dragon_imrik		0
wh2_dlc15_hef_mon_moon_dragon_imrik		0
wh2_dlc15_hef_mon_star_dragon_imrik		0
wh2_dlc15_hef_mon_sun_dragon_imrik		0
wh2_dlc15_hef_mon_war_lions_of_chrace_ror_0		20
wh2_dlc16_skv_mon_hell_pit_abomination_ror_0		30
wh2_dlc16_skv_mon_rat_ogre_mutant_ror_0		23
wh2_dlc16_skv_mon_rat_ogres_ror_0		18
wh2_dlc16_wef_cav_great_stag_knights_ror_0		25
wh2_dlc16_wef_inf_dryads_ror_0		10
wh2_dlc16_wef_mon_zoats_ror_0		18
wh2_dlc17_bst_inf_centigors_ror_1		14
wh2_dlc17_bst_mon_ghorgon_ror_0		28
wh2_dlc17_bst_mon_jabberslythe_ror_0		26
wh2_dlc17_kho_mon_ghorgon_ror_0		28
wh2_dlc17_lzd_mon_carnosaur_ror_0		28
wh2_dlc17_lzd_mon_coatl_ror_0		23
wh2_dlc17_lzd_mon_troglodon_ror_0		26
wh3_dlc20_chs_cav_chaos_chariot_msla_ror		12
wh3_dlc20_chs_cav_chaos_chariot_msla_ror	wh3_dlc20_chs_azazel	10
wh3_dlc20_chs_inf_aspiring_champions_mtze_ror		10
wh3_dlc20_chs_inf_aspiring_champions_mtze_ror	wh3_dlc20_chs_vilitch	10
wh3_dlc20_chs_mon_giant_mnur_ror		18
wh3_dlc20_chs_mon_giant_mnur_ror	wh3_dlc20_chs_festus	10
wh3_dlc20_kho_cav_skullcrushers_mkho_ror		26
wh3_dlc20_kho_cav_skullcrushers_mkho_ror	wh3_dlc20_chs_valkia	10
wh3_dlc23_chd_cav_bull_centaurs_dual_axe_ror		25
wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror		10
wh3_dlc23_chd_inf_chaos_dwarf_blunderbusses_ror		17
wh3_dlc23_chd_inf_chaos_dwarf_warriors_ror		13
wh3_dlc23_chd_inf_infernal_ironsworn_ror		20
wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake		30
wh3_dlc24_cth_inf_dragon_guard_crossbowmen_ror		10
wh3_dlc24_cth_inf_onyx_crowmen_ror		5
wh3_dlc24_cth_veh_zhangu_war_drum_ror		15
wh3_dlc24_ksl_inf_akshina_ambushers_ror		8
wh3_dlc24_ksl_inf_streltsi_ror		10
wh3_dlc24_ksl_mon_the_things_in_the_woods_ror		15
wh3_dlc24_lzd_mon_carnosaur_0	wh3_dlc24_tze_the_deceivers	0
wh3_dlc24_tze_inf_pink_horrors_ror		5
wh3_dlc24_tze_mon_mutalith_vortex_beast_ror		27
wh3_dlc24_tze_mon_screamers_ror		12
wh3_main_pro_ksl_cav_gryphon_legion_ror_0		0
wh3_main_pro_ksl_inf_ice_guard_ror_0		0
wh3_main_pro_ksl_inf_ice_guard_ror_1		0
wh3_main_pro_ksl_mon_elemental_bear_ror_0		0
wh3_main_pro_ksl_mon_snow_leopard_ror_0		0
wh3_main_pro_ksl_veh_heavy_war_sled_ror_0		0
wh3_main_pro_ksl_veh_light_war_sled_ror_0		0
wh3_twa06_cth_inf_dragon_guard_ror_0		20
wh3_twa06_kho_inf_bloodletters_ror_0		20
wh3_twa06_ksl_inf_tzar_guard_ror_0		20
wh3_twa06_nur_inf_plaguebearers_ror_0		20
wh3_twa06_ogr_inf_maneaters_ror_0		20
wh3_twa06_sla_inf_daemonette_ror_0		20
wh3_twa06_tze_inf_pink_horrors_ror_0		20
wh3_twa07_cth_cav_jade_longma_riders_ror_0		25
wh3_twa07_kho_cav_bloodcrushers_ror_0		25
wh3_twa07_ksl_cav_war_bear_riders_ror_0		25
wh3_twa07_nur_cav_pox_riders_of_nurgle_ror_0		25
wh3_twa07_ogr_cav_crushers_ror_0		25
wh3_twa07_sla_cav_heartseekers_of_slaanesh_ror_0		25
wh3_twa07_tze_cav_doom_knights_ror_0		25
wh3_twa08_cth_mon_terracotta_sentinel_0_ror		30
wh3_twa08_kho_mon_bloodthirster_0_ror		30
wh3_twa08_ksl_mon_elemental_bear_0_ror		30
wh3_twa08_nur_mon_great_unclean_one_0_ror		30
wh3_twa08_ogr_mon_stonehorn_0_ror		30
wh3_twa08_sla_mon_keeper_of_secrets_0_ror		30
wh3_twa08_tze_mon_lord_of_change_0_ror		30
wh3_twa10_cth_inf_peasant_archers_ror		10
wh3_twa10_kho_inf_flesh_hounds_of_khorne_ror		13
wh3_twa10_ksl_inf_armoured_kossars_ror		13
wh3_twa10_nur_inf_nurglings_ror		10
wh3_twa10_ogr_inf_gnoblars_ror		10
wh3_twa10_sla_inf_marauders_spears_ror		10
wh3_twa10_tze_inf_blue_horrors_ror		10
wh_dlc04_emp_art_hammer_of_the_witches_0		23
wh_dlc04_emp_art_sunmaker_0		26
wh_dlc04_emp_cav_royal_altdorf_gryphites_0		30
wh_dlc04_emp_cav_zintlers_reiksguard_0		20
wh_dlc04_emp_inf_sigmars_sons_0		10
wh_dlc04_emp_inf_silver_bullets_0		16
wh_dlc04_emp_inf_stirlands_revenge_0		13
wh_dlc04_emp_inf_tattersouls_0		20
wh_dlc04_emp_inf_tattersouls_0	wh3_main_emp_cult_of_sigmar	4
wh_dlc04_emp_veh_templehof_luminark_0		23
wh_dlc04_vmp_cav_chillgheists_0		26
wh_dlc04_vmp_cav_vereks_reavers_0		23
wh_dlc04_vmp_inf_feasters_in_the_dusk_0		16
wh_dlc04_vmp_inf_konigstein_stalkers_0		10
wh_dlc04_vmp_inf_sternsmen_0		23
wh_dlc04_vmp_inf_tithe_0		13
wh_dlc04_vmp_mon_devils_swartzhafen_0		20
wh_dlc04_vmp_mon_direpack_0		13
wh_dlc04_vmp_veh_claw_of_nagash_0		30
wh_dlc06_dwf_art_gob_lobber_0		16
wh_dlc06_dwf_inf_dragonback_slayers_0		16
wh_dlc06_dwf_inf_ekrund_miners_0		10
wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0		26
wh_dlc06_dwf_inf_norgrimlings_irondrakes_0		26
wh_dlc06_dwf_inf_old_grumblers_0		20
wh_dlc06_dwf_inf_peak_gate_guard_0		23
wh_dlc06_dwf_inf_ulthars_raiders_0		23
wh_dlc06_dwf_inf_warriors_dragonfire_pass_0		13
wh_dlc06_dwf_veh_skyhammer_0		30
wh_dlc06_grn_art_hammer_of_gork_0		23
wh_dlc06_grn_cav_broken_tusks_mob_0		26
wh_dlc06_grn_cav_deff_creepers_0		16
wh_dlc06_grn_cav_durkits_squigs_0		13
wh_dlc06_grn_cav_mogrubbs_marauders_0		13
wh_dlc06_grn_cav_moon_howlers_0		10
wh_dlc06_grn_cav_teef_robbers_0		23
wh_dlc06_grn_inf_da_eight_peaks_loonies_0		20
wh_dlc06_grn_inf_da_rusty_arrers_0		16
wh_dlc06_grn_inf_da_warlords_boyz_0		16
wh_dlc06_grn_inf_krimson_killerz_0		26
wh_dlc06_grn_mon_venom_queen_0		30
wh_dlc08_chs_mon_dragon_ogre_shaggoth_boss		0
wh_dlc08_nor_art_hellcannon_battery		30
wh_dlc08_nor_mon_frost_wyrm_ror_0		0
wh_dlc08_nor_mon_frost_wyrm_ror_0	wh3_dlc24_tze_the_deceivers	0
wh_dlc08_nor_mon_war_mammoth_ror_1		0
wh_main_emp_veh_steam_tank	wh3_dlc24_tze_the_deceivers	0
wh_pro04_brt_cav_knights_errant_ror_0		20
wh_pro04_brt_cav_knights_of_the_realm_ror_0		13
wh_pro04_brt_cav_mounted_yeomen_ror_0		10
wh_pro04_brt_cav_questing_knights_ror_0		30
wh_pro04_brt_inf_battle_pilgrims_ror_0		16
wh_pro04_brt_inf_foot_squires_ror_0		25
wh_pro04_bst_inf_bestigor_herd_ror_0		20
wh_pro04_bst_inf_centigors_ror_0		16
wh_pro04_bst_inf_cygor_ror_0		30
wh_pro04_bst_inf_gor_herd_ror_0		13
wh_pro04_bst_inf_minotaurs_ror_0		25
wh_pro04_bst_inf_ungor_spearmen_ror_0		10
wh_pro04_chs_art_hellcannon_ror_0		30
wh_pro04_chs_cav_chaos_knights_ror_0		20
wh_pro04_chs_cav_chaos_knights_ror_0	wh_main_chs_chaos	2
wh_pro04_chs_inf_chaos_warriors_ror_0		14
wh_pro04_chs_inf_chaos_warriors_ror_0	wh3_dlc20_chs_sigvald	2
wh_pro04_chs_inf_forsaken_ror_0		10
wh_pro04_chs_mon_chaos_spawn_ror_0		16
wh_pro04_chs_mon_dragon_ogre_ror_0		23
wh_pro04_chs_mon_dragon_ogre_ror_0	wh3_dlc20_chs_kholek	2
wh_pro04_nor_inf_chaos_marauders_ror_0		10
wh_pro04_nor_inf_marauder_berserkers_ror_0		16
wh_pro04_nor_mon_fimir_ror_0		25
wh_pro04_nor_mon_marauder_warwolves_ror_0		13
wh_pro04_nor_mon_skinwolves_ror_0		20
wh_pro04_nor_mon_war_mammoth_ror_0		30
wh_pro04_wef_cav_wild_riders_ror_0		25
wh_pro04_wef_inf_eternal_guard_ror_0		10
wh_pro04_wef_inf_wardancers_ror_0		13
wh_pro04_wef_inf_waywatchers_ror_0		16
wh_pro04_wef_inf_wildwood_rangers_ror_0		20
wh_pro04_wef_mon_treekin_ror_0		30
