type	ui_icon
wh2_dlc12_anc_mount_doomwheel	ui/campaign ui/mounts/mount_doom_wheel.png
wh2_dlc12_anc_mount_horned_one	ui/campaign ui/mounts/mount_horned_one.png
wh2_dlc12_anc_mount_ripperdactyl	ui/campaign ui/mounts/mount_ripperdactyl.png
wh2_dlc12_anc_mount_white_lion_chariot	ui/campaign ui/mounts/mount_white_lion_chariot.png
wh2_dlc12_lzd_anc_follower_chameleon_spotter	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_follower_chameleon.png
wh2_dlc12_lzd_anc_follower_consul_of_calith	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_scribe.png
wh2_dlc12_lzd_anc_follower_lotl_botls_spawn_brother	ui/campaign ui/ancillaries/wh2_main_anc_lzd_saurus_warrior.png
wh2_dlc12_lzd_anc_follower_obsinite_miner_skink	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_follower_skink.png
wh2_dlc12_lzd_anc_follower_piqipoqi_qupacoco	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_follower_twin_skinks.png
wh2_dlc12_lzd_anc_follower_priest_of_the_star_chambers	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_priest.png
wh2_dlc12_lzd_anc_follower_prophets_spawn_brother	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_servant.png
wh2_dlc12_lzd_anc_follower_swamp_trawler_skink	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_follower_skink.png
wh2_dlc12_lzd_anc_magic_standard_coatlpelt_flagstaff	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_coatlpelt_flagstaff.png
wh2_dlc12_lzd_anc_magic_standard_culchan_feathered_standard	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_culchan_feathered_standard.png
wh2_dlc12_lzd_anc_magic_standard_exalted_banner_of_xapati	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_exalted_banner_of_xapati.png
wh2_dlc12_lzd_anc_magic_standard_flag_of_the_daystar	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_flag_of_the_daystar.png
wh2_dlc12_lzd_anc_magic_standard_shroud_of_chaqua	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_shroud_of_chaqua.png
wh2_dlc12_lzd_anc_magic_standard_sign_of_the_coiled_one	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_sign_of_the_coiled_one.png
wh2_dlc12_lzd_anc_magic_standard_totem_of_the_spitting_viper	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_totem_of_the_spitting_viper.png
wh2_dlc12_lzd_anc_magic_standard_totem_pole_of_destiny	ui/campaign ui/ancillaries/wh2_dlc12_lzd_anc_magic_standard_totem_pole_of_destiny.png
wh2_dlc14_anc_banner_jean_claude_sartre	ui/campaign ui/ancillaries/wh2_dlc14_anc_banner_jean_claude_sartre.png
wh2_dlc14_anc_banner_pierre_dardens	ui/campaign ui/ancillaries/wh2_dlc14_anc_banner_pierre_dardens.png
wh2_dlc14_anc_banner_rene_de_cartes	ui/campaign ui/ancillaries/wh2_dlc14_anc_banner_rene_de_cartes.png
wh2_dlc14_anc_mount_scourgerunner_chariot	ui/campaign ui/mounts/mount_scourgerunner_chariot.png
wh2_dlc15_anc_mount_arcane_phoenix	ui/campaign ui/mounts/mount_arcane_phoenix.png
wh2_dlc15_anc_mount_hef_griffon	ui/campaign ui/mounts/mount_hef_griffon.png
wh2_dlc16_anc_mount_bonebreaker	ui/campaign ui/mounts/mount_rat_ogre.png
wh2_dlc16_anc_mount_brood_horror	ui/campaign ui/mounts/mount_brood_horror.png
wh2_dlc16_mount_wef_great_stag	ui/campaign ui/mounts/mount_great_stag.png
wh2_dlc17_anc_banner_banner_of_unholy_exultation	ui/campaign ui/ancillaries/wh2_dlc17_anc_banner_of_unholy_exultation.png
wh2_dlc17_anc_banner_bst_banner_of_ghorok	ui/campaign ui/ancillaries/wh2_dlc17_anc_banner_bst_banner_of_ghorok.png
wh2_dlc17_anc_banner_bst_banner_of_madness	ui/campaign ui/ancillaries/wh2_dlc17_anc_banner_of_madness.png
wh2_dlc17_anc_banner_lzd_poison_daemonbane	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_poison_daemonbane.png
wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_poison_fireblood.png
wh2_dlc17_anc_banner_lzd_poison_slow_death	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_poison_slow_death.png
wh2_dlc17_anc_banner_lzd_poison_toadskin_essence	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_poison_toadskin.png
wh2_dlc17_anc_mount_tuskgor_chariot	ui/campaign ui/mounts/mount_tuskgor_chariot.png
wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_seeking.png
wh2_dlc17_anc_rune_engineering_master_rune_of_disguise	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_disguise.png
wh2_dlc17_anc_rune_engineering_master_rune_of_immolation	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_immolation.png
wh2_dlc17_anc_rune_engineering_rune_of_burning	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_burning.png
wh2_dlc17_anc_rune_engineering_rune_of_penetration	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_penetration.png
wh2_dlc17_anc_rune_personal_ancestor_rune_of_grimnir	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_ancestor_grimnir.png
wh2_dlc17_anc_rune_personal_ancestor_rune_of_grungni	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_ancestor_grungni.png
wh2_dlc17_anc_rune_personal_ancestor_rune_of_valaya	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_ancestor_valaya.png
wh2_dlc17_anc_rune_personal_master_rune_alaric_the_mad	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_alaric_the_mad.png
wh2_dlc17_anc_rune_personal_master_rune_of_adamant	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_adamant.png
wh2_dlc17_anc_rune_personal_master_rune_of_flight	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_flight.png
wh2_dlc17_anc_rune_personal_master_rune_of_gromril	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_gromril.png
wh2_dlc17_anc_rune_personal_master_rune_of_passage	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_passage.png
wh2_dlc17_anc_rune_personal_master_rune_of_skalf_blackhammer	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_skalf_blackhammer.png
wh2_dlc17_anc_rune_personal_master_rune_of_snorri_spangelhelm	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_snorri_spangelhelm.png
wh2_dlc17_anc_rune_personal_master_rune_of_spite	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_spite.png
wh2_dlc17_anc_rune_personal_rune_of_cleaving	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_cleaving.png
wh2_dlc17_anc_rune_personal_rune_of_dismay	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_dismay.png
wh2_dlc17_anc_rune_personal_rune_of_fear	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_fear.png
wh2_dlc17_anc_rune_personal_rune_of_fire	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_fire.png
wh2_dlc17_anc_rune_personal_rune_of_impact	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_impact.png
wh2_dlc17_anc_rune_personal_rune_of_iron	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_iron.png
wh2_dlc17_anc_rune_personal_rune_of_luck	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_luck.png
wh2_dlc17_anc_rune_personal_rune_of_shielding	ui/campaign ui/ancillaries/wh2_dlc17_ancillary_rune_shielding.png
wh2_dlc17_bst_anc_follower_battle_scarred_ungor_raider	ui/campaign ui/ancillaries/wh2_dlc17_anc_battle_scarred_ungor_raider.png
wh2_main_anc_def_assassin	ui/campaign ui/ancillaries/wh2_main_anc_def_assassin.png
wh2_main_anc_def_degenerate	ui/campaign ui/ancillaries/wh2_main_anc_def_degenerate.png
wh2_main_anc_def_slaver	ui/campaign ui/ancillaries/wh2_main_anc_def_slaver.png
wh2_main_anc_def_warrior	ui/campaign ui/ancillaries/wh2_main_anc_def_warrior.png
wh2_main_anc_def_zealot	ui/campaign ui/ancillaries/wh2_main_anc_def_zealot.png
wh2_main_anc_follower_def_fimir_balefiend	ui/campaign ui/ancillaries/wh2_main_anc_def_fimir_balefiend.png
wh2_main_anc_hef_agent	ui/campaign ui/ancillaries/wh2_main_anc_hef_agent.png
wh2_main_anc_hef_courtier	ui/campaign ui/ancillaries/wh2_main_anc_hef_courtier.png
wh2_main_anc_hef_priest	ui/campaign ui/ancillaries/wh2_main_anc_hef_priest.png
wh2_main_anc_hef_priestess	ui/campaign ui/ancillaries/wh2_main_anc_hef_priestess.png
wh2_main_anc_hef_scholar	ui/campaign ui/ancillaries/wh2_main_anc_hef_scholar.png
wh2_main_anc_hef_warrior	ui/campaign ui/ancillaries/wh2_main_anc_hef_warrior.png
wh2_main_anc_lzd_saurus_warrior	ui/campaign ui/ancillaries/wh2_main_anc_lzd_saurus_warrior.png
wh2_main_anc_lzd_skink_priest	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_priest.png
wh2_main_anc_lzd_skink_scribe	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_scribe.png
wh2_main_anc_lzd_skink_servant	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_servant.png
wh2_main_anc_magic_standard_banner_of_ellyrion	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_ellyrion.png
wh2_main_anc_magic_standard_banner_of_murder	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_murder.png
wh2_main_anc_magic_standard_banner_of_the_under_empire	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_the_under_empire.png
wh2_main_anc_magic_standard_banner_of_the_world_dragon	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_the_world_dragon.png
wh2_main_anc_magic_standard_banner_of_verminous_scurrying	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_verminous_scurrying.png
wh2_main_anc_magic_standard_battle_banner	ui/battle ui/ability_icons/wh2_main_banner_passive_battle_banner.png
wh2_main_anc_magic_standard_dread_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_dread_banner.png
wh2_main_anc_magic_standard_dwarf_hide_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_dwarf_hide_banner.png
wh2_main_anc_magic_standard_grand_banner_of_clan_superiority	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_grand_banner_of_clan_superiority.png
wh2_main_anc_magic_standard_horn_of_isha	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_horn_of_isha.png
wh2_main_anc_magic_standard_huanchis_blessed_totem	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_huanchis_blessed_totem.png
wh2_main_anc_magic_standard_hydra_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_hydra_banner.png
wh2_main_anc_magic_standard_lion_standard	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_lion_standard.png
wh2_main_anc_magic_standard_sacred_banner_of_the_horned_rat	ui/battle ui/ability_icons/wh2_main_banner_passive_sacred_banner_of_the_horned_rat.png
wh2_main_anc_magic_standard_sea_serpent_standard	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_sea_serpent_standard.png
wh2_main_anc_magic_standard_shroud_of_dripping_death	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_shroud_of_dripping_death.png
wh2_main_anc_magic_standard_skavenpelt_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_skavenpelt_banner.png
wh2_main_anc_magic_standard_standard_of_hag_graef	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_standard_of_hag_graef.png
wh2_main_anc_magic_standard_storm_banner	ui/battle ui/ability_icons/wh2_main_banner_passive_storm_banner.png
wh2_main_anc_magic_standard_sun_standard_of_chotec	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_sun_standard_of_chotec.png
wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl.png
wh2_main_anc_magic_standard_the_blood_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_the_blood_banner.png
wh2_main_anc_magic_standard_the_jaguar_standard	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_the_jaguar_standard.png
wh2_main_anc_magic_standard_totem_of_prophecy	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_totem_of_prophecy.png
wh2_main_anc_mount_ancient_stegadon	ui/campaign ui/mounts/mount_ancient_stegadon.png
wh2_main_anc_mount_barded_ithilmar_steed	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png
wh2_main_anc_mount_black_dragon	ui/campaign ui/mounts/mount_black_dragon.png
wh2_main_anc_mount_carnosaur	ui/campaign ui/mounts/mount_carnosaur.png
wh2_main_anc_mount_cauldron_of_blood	ui/campaign ui/mounts/mount_cauldron_of_blood.png
wh2_main_anc_mount_cold_one	ui/campaign ui/mounts/mount_cold_one.png
wh2_main_anc_mount_cold_one_chariot	ui/campaign ui/mounts/mount_cold_one_chariot.png
wh2_main_anc_mount_dark_pegasus	ui/campaign ui/mounts/mount_dark_pegasus.png
wh2_main_anc_mount_dark_steed	ui/campaign ui/mounts/mount_dark_steed.png
wh2_main_anc_mount_elven_steed	ui/campaign ui/mounts/mount_elven_steed.png
wh2_main_anc_mount_grymloq	ui/campaign ui/mounts/mount_grymloq.png
wh2_main_anc_mount_horned_one	ui/campaign ui/mounts/mount_horned_one.png
wh2_main_anc_mount_ithilmar_chariot	ui/campaign ui/mounts/mount_ithilmar_chariot.png
wh2_main_anc_mount_moon_dragon	ui/campaign ui/mounts/mount_moon_dragon.png
wh2_main_anc_mount_plague_furnace	ui/campaign ui/mounts/mount_plague_furnace.png
wh2_main_anc_mount_rat_ogre	ui/campaign ui/mounts/mount_rat_ogre.png
wh2_main_anc_mount_screaming_bell	ui/campaign ui/mounts/mount_screaming_bell.png
wh2_main_anc_mount_star_dragon	ui/campaign ui/mounts/mount_star_dragon.png
wh2_main_anc_mount_stegadon	ui/campaign ui/mounts/mount_stegadon.png
wh2_main_anc_mount_sun_dragon	ui/campaign ui/mounts/mount_sun_dragon.png
wh2_main_anc_mount_terradon	ui/campaign ui/mounts/mount_terradon.png
wh2_main_anc_skv_assassin	ui/campaign ui/ancillaries/wh2_main_anc_skv_assassin.png
wh2_main_anc_skv_sea_cucumber	ui/campaign ui/ancillaries/wh_dlc03_anc_mark_of_chaos_slug_skin.png
wh2_main_anc_skv_servant	ui/campaign ui/ancillaries/wh2_main_anc_skv_servant.png
wh2_main_anc_skv_warplock_engineer	ui/campaign ui/ancillaries/wh2_main_anc_skv_warplock_engineer.png
wh2_main_anc_skv_warrior	ui/campaign ui/ancillaries/wh2_main_anc_skv_warrior.png
wh2_twa01_anc_mount_spider_shrine	ui/campaign ui/mounts/mount_arachnarok_spider.png
wh3_dlc21_anc_rune_personal_master_rune_of_cleansing	ui/campaign ui/ancillaries/wh3_dlc21_ancillary_rune_cleansing.png
wh3_dlc23_anc_banner_chd_banner_of_the_khanate	ui/campaign ui/ancillaries/wh3_dlc23_anc_banner_chd_banner_of_the_khanate.png
wh3_dlc23_anc_banner_chd_eye_of_hashut	ui/campaign ui/ancillaries/wh3_dlc23_anc_banner_chd_eye_of_hashut.png
wh3_dlc23_anc_banner_chd_hellbound_standard	ui/campaign ui/ancillaries/wh3_dlc23_anc_banner_chd_hellbound_standard.png
wh3_dlc23_anc_banner_chd_hobgoblin_standard	ui/campaign ui/ancillaries/wh3_dlc23_anc_banner_chd_hobgoblin_standard.png
wh3_dlc23_anc_banner_chd_oath_of_contempt	ui/campaign ui/ancillaries/wh3_dlc23_anc_banner_chd_oath_of_contempt.png
wh3_dlc23_anc_banner_chd_standard_of_zharr	ui/campaign ui/ancillaries/wh3_dlc23_anc_banner_chd_standard_of_zharr.png
wh3_dlc23_anc_follower_arms_merchant	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_arms_merchant.png
wh3_dlc23_anc_follower_artificer	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_artificer.png
wh3_dlc23_anc_follower_castellan_drillmaster	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_castellan_drillmaster.png
wh3_dlc23_anc_follower_convoy_enforcer	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_convoy_enforcer.png
wh3_dlc23_anc_follower_dark_prophet	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_dark_prophet.png
wh3_dlc23_anc_follower_devoted_of_hashut	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_devoted_of_hashut.png
wh3_dlc23_anc_follower_hobgoblin_scout	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_hobgoblin_scout.png
wh3_dlc23_anc_follower_infernal_deathmask	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_infernal_deathmask.png
wh3_dlc23_anc_follower_infernal_engineer	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_infernal_engineer.png
wh3_dlc23_anc_follower_infernal_musician	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_infernal_musician.png
wh3_dlc23_anc_follower_k'daai_hellsmith	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_k'daai_hellsmith.png
wh3_dlc23_anc_follower_khanate_assassin	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_khanate_assassin.png
wh3_dlc23_anc_follower_khanate_raider	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_khanate_raider.png
wh3_dlc23_anc_follower_khanate_scout	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_khanate_scout.png
wh3_dlc23_anc_follower_navigator	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_navigator.png
wh3_dlc23_anc_follower_neu_gabriella	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_neu_gabriella.png
wh3_dlc23_anc_follower_sorcerer_priest	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_sorcerer_priest.png
wh3_dlc23_anc_follower_taur'ruk_guardian	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_taur'ruk_guardian.png
wh3_dlc23_anc_follower_train_operator	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_train_operator.png
wh3_dlc23_anc_follower_veteran_overseer	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_veteran_overseer.png
wh3_dlc23_anc_follower_warsmith	ui/campaign ui/ancillaries/wh3_dlc23_anc_follower_warsmith.png
wh3_dlc23_anc_mount_bale_taurus	ui/campaign ui/mounts/mount_bale_taurus.png
wh3_dlc23_anc_mount_bale_taurus_cinderbreath	ui/campaign ui/mounts/mount_bale_taurus_cinderbreath.png
wh3_dlc23_anc_mount_great_taurus	ui/campaign ui/mounts/mount_great_taurus.png
wh3_dlc23_anc_mount_lammasu	ui/campaign ui/mounts/mount_lammasu.png
wh3_dlc24_anc_mount_celestial_lion	ui/campaign ui/mounts/mount_celestial_lion.png
wh3_dlc24_anc_mount_frost_wyrm	ui/campaign ui/mounts/mount_frost_wyrm.png
wh3_dlc24_anc_mount_great_moon_bird	ui/campaign ui/mounts/mount_great_moon_bird.png
wh3_dlc24_anc_mount_ice_court_sled	ui/campaign ui/mounts/mount_sled.png
wh3_main_anc_cathay_artisan	ui/campaign ui/ancillaries/wh3_main_anc_cathay_artisan.png
wh3_main_anc_cathay_assassin	ui/campaign ui/ancillaries/wh3_main_anc_cathay_assassin.png
wh3_main_anc_cathay_diplomat	ui/campaign ui/ancillaries/wh3_main_anc_cathay_diplomat.png
wh3_main_anc_cathay_lord	ui/campaign ui/ancillaries/wh3_main_anc_cathay_lord.png
wh3_main_anc_cathay_merchant	ui/campaign ui/ancillaries/wh3_main_anc_cathay_merchant.png
wh3_main_anc_cathay_monk	ui/campaign ui/ancillaries/wh3_main_anc_cathay_monk.png
wh3_main_anc_khorne_cultist	ui/campaign ui/ancillaries/wh3_main_anc_khorne_cultist.png
wh3_main_anc_khorne_daemon	ui/campaign ui/ancillaries/wh3_main_anc_khorne_daemon.png
wh3_main_anc_khorne_mutant	ui/campaign ui/ancillaries/wh3_main_anc_khorne_mutant.png
wh3_main_anc_khorne_old_man	ui/campaign ui/ancillaries/wh3_main_anc_khorne_old_man.png
wh3_main_anc_khorne_warrior	ui/campaign ui/ancillaries/wh3_main_anc_khorne_warrior.png
wh3_main_anc_kislev_artisan	ui/campaign ui/ancillaries/wh3_main_anc_kislev_artisan.png
wh3_main_anc_kislev_boyar	ui/campaign ui/ancillaries/wh3_main_anc_kislev_boyar.png
wh3_main_anc_kislev_old_hag	ui/campaign ui/ancillaries/wh3_main_anc_kislev_old_hag.png
wh3_main_anc_kislev_priest	ui/campaign ui/ancillaries/wh3_main_anc_kislev_priest.png
wh3_main_anc_kislev_ungol	ui/campaign ui/ancillaries/wh3_main_anc_kislev_ungol.png
wh3_main_anc_kislev_warrior	ui/campaign ui/ancillaries/wh3_main_anc_kislev_warrior.png
wh3_main_anc_magic_standard_banner_of_change	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_change.png
wh3_main_anc_magic_standard_banner_of_ecstacy	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_ecstacy.png
wh3_main_anc_magic_standard_banner_of_feng_shi	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_feng_shi.png
wh3_main_anc_magic_standard_banner_of_hellfire	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_hellfire.png
wh3_main_anc_magic_standard_banner_of_praag	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_praag.png
wh3_main_anc_magic_standard_banner_of_the_empress_eye	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_the_empress_eye.png
wh3_main_anc_magic_standard_banner_of_the_moon_empress	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_the_moon_empress.png
wh3_main_anc_magic_standard_banner_of_the_orthodoxy	ui/campaign ui/ancillaries/wh3_main_anc_magic_standard_banner_of_the_orthodoxy.png
