member	agent_subtype
wh2_stance_csc_lizardmen_slann_wh2_main_lzd_lord_mazdamundi	wh2_main_lzd_lord_mazdamundi
wh2_stance_csc_lizardmen_slann_wh2_main_lzd_slann_mage_priest	wh2_main_lzd_slann_mage_priest
wh2_stance_csc_lizardmen_slann_wh2_main_lzd_slann_mage_priest_horde	wh2_main_lzd_slann_mage_priest_horde
wh2_stance_csc_lizardmen_wh2_dlc12_lzd_skink_chief_red_crested	wh2_dlc12_lzd_red_crested_skink_chief
wh2_stance_csc_lizardmen_wh2_dlc12_lzd_skink_chief_red_crested_legendary	wh2_dlc12_lzd_red_crested_skink_chief_legendary
wh2_stance_csc_lizardmen_wh2_dlc12_lzd_tehenhauin	wh2_dlc12_lzd_tehenhauin
wh2_stance_csc_lizardmen_wh2_dlc12_lzd_tiktaqto	wh2_dlc12_lzd_tiktaqto
wh2_stance_csc_lizardmen_wh2_dlc13_lzd_gor_rok	wh2_dlc13_lzd_gor_rok
wh2_stance_csc_lizardmen_wh2_dlc13_lzd_kroxigor_ancient	wh2_dlc13_lzd_kroxigor_ancient
wh2_stance_csc_lizardmen_wh2_dlc13_lzd_kroxigor_ancient_horde	wh2_dlc13_lzd_kroxigor_ancient_horde
wh2_stance_csc_lizardmen_wh2_dlc13_lzd_nakai	wh2_dlc13_lzd_nakai
wh2_stance_csc_lizardmen_wh2_dlc13_lzd_red_crested_skink_chief_horde	wh2_dlc13_lzd_red_crested_skink_chief_horde
wh2_stance_csc_lizardmen_wh2_dlc13_lzd_saurus_old_blood_horde	wh2_dlc13_lzd_saurus_old_blood_horde
wh2_stance_csc_lizardmen_wh2_dlc17_lzd_oxyotl	wh2_dlc17_lzd_oxyotl
wh2_stance_csc_lizardmen_wh2_main_lzd_kroq_gar	wh2_main_lzd_kroq_gar
wh2_stance_csc_lizardmen_wh2_main_lzd_saurus_old_blood	wh2_main_lzd_saurus_old_blood
wh3_dlc20_character_initiative_set_boons_khorne_chs_exalted_hero_mkho	wh3_dlc20_chs_exalted_hero_mkho
wh3_dlc20_character_initiative_set_boons_khorne_chs_lord_mkho	wh3_dlc20_chs_lord_mkho
wh3_dlc20_character_initiative_set_boons_khorne_daemon_prince_kho	wh3_dlc20_chs_daemon_prince_khorne
wh3_dlc20_character_initiative_set_boons_nur_daemon_prince_nur	wh3_dlc20_chs_daemon_prince_nurgle
wh3_dlc20_character_initiative_set_boons_nurgle_chs_exalted_hero_mnur	wh3_dlc20_chs_exalted_hero_mnur
wh3_dlc20_character_initiative_set_boons_nurgle_chs_sorcerer_lord_death_mnur	wh3_dlc20_chs_sorcerer_lord_death_mnur
wh3_dlc20_character_initiative_set_boons_nurgle_chs_sorcerer_lord_nurgle_mnur	wh3_dlc20_chs_sorcerer_lord_nurgle_mnur
wh3_dlc20_character_initiative_set_boons_sla_daemon_prince_sla	wh3_dlc20_chs_daemon_prince_slaanesh
wh3_dlc20_character_initiative_set_boons_slaanesh_chs_lord_msla	wh3_dlc20_chs_lord_msla
wh3_dlc20_character_initiative_set_boons_slaanesh_chs_sorcerer_shadows_msla	wh3_dlc20_chs_sorcerer_shadows_msla
wh3_dlc20_character_initiative_set_boons_slaanesh_chs_sorcerer_slaanesh_msla	wh3_dlc20_chs_sorcerer_slaanesh_msla
wh3_dlc20_character_initiative_set_boons_tze_daemon_prince_tze	wh3_dlc20_chs_daemon_prince_tzeentch
wh3_dlc20_character_initiative_set_boons_tzeentch_chs_sorcerer_lord_metal_mtze	wh3_dlc20_chs_sorcerer_lord_metal_mtze
wh3_dlc20_character_initiative_set_boons_tzeentch_chs_sorcerer_lord_tzeentch_mtze	wh3_dlc20_chs_sorcerer_lord_tzeentch_mtze
wh3_dlc20_character_initiative_set_boons_tzeentch_chs_sorcerer_metal_mtze	wh3_dlc20_chs_sorcerer_metal_mtze
wh3_dlc20_character_initiative_set_boons_tzeentch_chs_sorcerer_tzeentch_mtze	wh3_dlc20_chs_sorcerer_tzeentch_mtze
wh3_dlc20_character_initiative_set_boons_und_daemon_prince_und	wh3_dlc20_chs_daemon_prince_undivided
wh3_dlc20_character_initiative_set_boons_undivided_chs_exalted_hero	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_boons_undivided_chs_lord	wh_main_chs_lord
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_death	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_fire	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_lord_death	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_lord_fire	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_lord_metal	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_lord_shadows	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_metal	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_boons_undivided_chs_sorcerer_shadows	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_exalted_hero_mkho_upgrades_warriors	wh3_dlc20_chs_exalted_hero_mkho
wh3_dlc20_character_initiative_set_exalted_hero_mnur_upgrades_warriors	wh3_dlc20_chs_exalted_hero_mnur
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_archaon	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_azazel	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_belakor	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_festus	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_kholek	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_sigvald	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_valkia	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_vilitch	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_lord_mko_upgrades	wh3_dlc20_chs_lord_mkho
wh3_dlc20_character_initiative_set_lord_msla_upgrades	wh3_dlc20_chs_lord_msla
wh3_dlc20_character_initiative_set_lord_upgrades_archaon	wh_main_chs_lord
wh3_dlc20_character_initiative_set_lord_upgrades_azazel	wh_main_chs_lord
wh3_dlc20_character_initiative_set_lord_upgrades_belakor	wh_main_chs_lord
wh3_dlc20_character_initiative_set_lord_upgrades_festus	wh_main_chs_lord
wh3_dlc20_character_initiative_set_lord_upgrades_kholek	wh_main_chs_lord
wh3_dlc20_character_initiative_set_lord_upgrades_sigvald	wh_main_chs_lord
wh3_dlc20_character_initiative_set_lord_upgrades_valkia	wh_main_chs_lord
wh3_dlc20_character_initiative_set_lord_upgrades_vilitch	wh_main_chs_lord
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_death_archaon	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_death_belakor	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_death_kholek	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_death_sigvald	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_shadows_archaon	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_shadows_belakor	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_shadows_kholek	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_shadows_sigvald	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_fire_archaon	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_fire_belakor	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_fire_kholek	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_fire_sigvald	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_metal_archaon	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_metal_belakor	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_metal_kholek	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_metal_sigvald	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_death_archaon	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_death_belakor	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_death_kholek	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_death_sigvald	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_shadows_archaon	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_shadows_belakor	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_shadows_kholek	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_shadows_sigvald	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_fire_archaon	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_fire_belakor	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_fire_kholek	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_fire_sigvald	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_metal_archaon	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_metal_belakor	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_metal_kholek	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_metal_sigvald	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_mnur_upgrades_death	wh3_dlc20_chs_sorcerer_lord_death_mnur
wh3_dlc20_character_initiative_set_sorcerer_lord_mnur_upgrades_nurgle	wh3_dlc20_chs_sorcerer_lord_nurgle_mnur
wh3_dlc20_character_initiative_set_sorcerer_lord_mtze_upgrades_metal	wh3_dlc20_chs_sorcerer_lord_metal_mtze
wh3_dlc20_character_initiative_set_sorcerer_lord_mtze_upgrades_tzeentch	wh3_dlc20_chs_sorcerer_lord_tzeentch_mtze
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_azazel_death	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_azazel_fire	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_azazel_metal	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_azazel_shadows	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_festus_death	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_festus_fire	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_festus_metal	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_festus_shadows	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_vilitch_death	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_vilitch_fire	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_vilitch_metal	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_vilitch_shadows	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_msla_shadows_upgrades_warriors	wh3_dlc20_chs_sorcerer_shadows_msla
wh3_dlc20_character_initiative_set_sorcerer_msla_slaanesh_upgrades_warriors	wh3_dlc20_chs_sorcerer_slaanesh_msla
wh3_dlc20_character_initiative_set_sorcerer_mtze_metal_upgrades_warriors	wh3_dlc20_chs_sorcerer_metal_mtze
wh3_dlc20_character_initiative_set_sorcerer_mtze_tzeentch_upgrades_warriors	wh3_dlc20_chs_sorcerer_tzeentch_mtze
wh3_dlc20_character_initiative_set_sorcerer_upgrades_azazel_death	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_upgrades_azazel_fire	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_upgrades_azazel_metal	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_upgrades_azazel_shadows	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_upgrades_festus_death	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_upgrades_festus_fire	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_upgrades_festus_metal	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_upgrades_festus_shadows	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_upgrades_valkia_fire	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_upgrades_valkia_metal	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_upgrades_vilitch_death	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_upgrades_vilitch_fire	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_upgrades_vilitch_metal	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_upgrades_vilitch_shadows	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_chs_lord_msla	wh3_dlc20_chs_lord_msla
wh3_dlc20_chs_sorcerer_shadows_msla	wh3_dlc20_chs_sorcerer_shadows_msla
wh3_dlc20_chs_sorcerer_slaanesh_msla	wh3_dlc20_chs_sorcerer_slaanesh_msla
wh3_dlc20_sla_azazel	wh3_dlc20_sla_azazel
wh3_dlc23_chaos_dwarfs_hobgoblin_summoned_army	wh3_dlc23_chd_overseer_hobgoblin_spawned_army
wh3_dlc23_chd_convoy	wh3_dlc23_chd_lord_convoy_overseer
wh3_dlc23_stances_chd_lord_convoy_overseer	wh3_dlc23_chd_lord_convoy_overseer
wh3_dlc24_character_initiative_set_boons_khorne_chs_lord_mtze	wh3_dlc24_chs_lord_mtze
wh3_dlc24_character_initiative_set_boons_nurgle_chs_exalted_hero_mtze	wh3_dlc24_chs_exalted_hero_mtze
wh3_dlc24_character_initiative_set_lord_mtze_upgrades	wh3_dlc24_chs_lord_mtze
wh3_dlc24_mother_ostankya_summoned_army	wh3_dlc24_ksl_boyar_summoned
wh3_dlc24_stances_cth_celestial_general_yang	wh3_dlc24_cth_celestial_general_yang
wh3_dlc24_stances_cth_celestial_general_yin	wh3_dlc24_cth_celestial_general_yin
wh3_dlc24_stances_cth_yuan_bo	wh3_dlc24_cth_yuan_bo
wh3_dlc24_the_changeling_unique_event_exalted_lord_of_change_metal	wh3_dlc24_tze_exalted_lord_of_change_metal_locked_army
wh3_dlc24_the_changeling_unique_event_exalted_lord_of_change_tzeentch	wh3_dlc24_tze_exalted_lord_of_change_tzeentch_locked_army
wh3_dlc24_yuan_bo_summoned_army	wh3_dlc24_cth_lord_magistrate_reserves
wh3_dlc25_character_initiative_set_boons_nurgle_chs_lord_mnur	wh3_dlc25_chs_lord_mnur
wh3_dlc25_character_initiative_set_boons_nurgle_chs_sorcerer_death_mnur	wh3_dlc25_chs_sorcerer_death_mnur
wh3_dlc25_character_initiative_set_boons_nurgle_chs_sorcerer_nurgle_mnur	wh3_dlc25_chs_sorcerer_nurgle_mnur
wh3_dlc25_character_initiative_set_lord_mnur_upgrades	wh3_dlc25_chs_lord_mnur
wh3_dlc25_character_initiative_set_sorcerer_mnur_death_upgrades_warriors	wh3_dlc25_chs_sorcerer_death_mnur
wh3_dlc25_character_initiative_set_sorcerer_mnur_nurgle_upgrades_warriors	wh3_dlc25_chs_sorcerer_nurgle_mnur
wh3_dlc25_dwf_grudge_cycle_army	wh3_dlc25_dwf_daemon_slayer_spawned_army
wh3_dlc25_emp_send_aid_army	wh_main_emp_lord_spawned_army
wh3_dlc25_malakai_bound_horde_agents	wh3_dlc25_dwf_malakai_makaisson
wh3_dlc26_character_initiative_set_boons_bloodspeaker	wh3_dlc26_kho_bloodspeaker
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_golgfag_maneater_1	wh3_dlc26_ogr_golgfag_maneater
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_golgfag_maneater_2	wh3_dlc26_ogr_golgfag_maneater
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_golgfag_maneater_3	wh3_dlc26_ogr_golgfag_maneater
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_golgfag_maneater_4	wh3_dlc26_ogr_golgfag_maneater
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_greasus_goldtooth_1	wh3_main_ogr_greasus_goldtooth
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_greasus_goldtooth_2	wh3_main_ogr_greasus_goldtooth
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_greasus_goldtooth_3	wh3_main_ogr_greasus_goldtooth
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_greasus_goldtooth_4	wh3_main_ogr_greasus_goldtooth
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_paymaster_1	wh3_dlc26_ogr_paymaster
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_paymaster_2	wh3_dlc26_ogr_paymaster
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_paymaster_3	wh3_dlc26_ogr_paymaster
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_paymaster_4	wh3_dlc26_ogr_paymaster
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_skrag_1	wh3_main_ogr_skrag_the_slaughterer
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_skrag_2	wh3_main_ogr_skrag_the_slaughterer
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_skrag_3	wh3_main_ogr_skrag_the_slaughterer
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_skrag_4	wh3_main_ogr_skrag_the_slaughterer
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_beasts_1	wh3_main_ogr_slaughtermaster_beasts
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_beasts_2	wh3_main_ogr_slaughtermaster_beasts
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_beasts_3	wh3_main_ogr_slaughtermaster_beasts
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_beasts_4	wh3_main_ogr_slaughtermaster_beasts
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_death_1	wh3_dlc26_ogr_cha_slaughtermaster_death
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_death_2	wh3_dlc26_ogr_cha_slaughtermaster_death
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_death_3	wh3_dlc26_ogr_cha_slaughtermaster_death
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_death_4	wh3_dlc26_ogr_cha_slaughtermaster_death
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_heavens_1	wh3_dlc26_ogr_cha_slaughtermaster_heavens
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_heavens_2	wh3_dlc26_ogr_cha_slaughtermaster_heavens
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_heavens_3	wh3_dlc26_ogr_cha_slaughtermaster_heavens
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_heavens_4	wh3_dlc26_ogr_cha_slaughtermaster_heavens
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_maw_1	wh3_main_ogr_slaughtermaster_great_maw
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_maw_2	wh3_main_ogr_slaughtermaster_great_maw
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_maw_3	wh3_main_ogr_slaughtermaster_great_maw
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_slaughtermaster_maw_4	wh3_main_ogr_slaughtermaster_great_maw
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_tyrant_1	wh3_main_ogr_tyrant
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_tyrant_2	wh3_main_ogr_tyrant
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_tyrant_3	wh3_main_ogr_tyrant
wh3_dlc26_character_initiative_set_lord_ogr_great_maw_offerings_tyrant_4	wh3_main_ogr_tyrant
wh3_dlc26_character_initiative_set_ogre_big_names_bruiser	wh3_dlc26_ogr_bruiser
wh3_dlc26_character_initiative_set_ogre_big_names_golgfag	wh3_dlc26_ogr_golgfag_maneater
wh3_dlc26_character_initiative_set_ogre_big_names_paymaster	wh3_dlc26_ogr_paymaster
wh3_dlc26_character_intiative_set_ogre_big_names_bragg	wh3_dlc26_ogr_bragg_the_gutsman
wh3_dlc26_character_intiative_set_ogre_big_names_bruiser	wh3_dlc26_ogr_bruiser
wh3_dlc26_character_intiative_set_ogre_big_names_butcher_beasts	wh3_main_ogr_butcher_beasts
wh3_dlc26_character_intiative_set_ogre_big_names_butcher_death	wh3_dlc26_ogr_cha_butcher_death
wh3_dlc26_character_intiative_set_ogre_big_names_butcher_great_maw	wh3_main_ogr_butcher_great_maw
