area	unnamed colour group_1
wh3_main_macro_nor_forests_inital_battle	FF2878
wh3_main_macro_nor_mountains	000078
wh3_main_macro_nor_river_chokepoint	3C78F0
wh3_main_macro_nor_tundra	005078
wh3_main_macro_nur_realm	64FF46
wh3_main_macro_nur_realm_chokepoint	0AFF23
wh3_main_macro_ogr_haunted_forest	FFC832
wh3_main_macro_ogr_haunted_forest_chokepoint	FFFF32
wh3_main_macro_ogr_mountains	FFFF78
wh3_main_macro_ogr_mountains_chokepoint	FFFF96
wh3_main_macro_ogr_valley	C8C882
wh3_main_macro_ogr_valley_chokepoint	C8C846
wh3_main_macro_old_world_mountains	787878
wh3_main_macro_old_world_mountains_chokepoint	A0A0A0
wh3_main_macro_sla_realm	5E32BB
wh3_main_macro_sla_realm_chokepoint	6432C8
wh3_main_macro_tze_realm	D1BA42
wh3_main_macro_tze_realm_chokepoint	C8C832
wh3_main_macro_vmp_forest	640064
wh3_main_macro_vmp_forest_chokepoint	644B64
wh3_main_macro_vmp_grasslands	640096
wh3_main_macro_vmp_grasslands_chokepoint	644B96
wh3_main_macro_wef_forest	0AFF0A
wh3_main_macro_wef_forest_chokepoint	0A647F
wh3_main_nor_settlement_1	411E14
wh3_main_nor_settlement_1_mountains_ogr_camp	412F0A
wh3_main_nor_settlement_2	413C14
wh3_main_nor_settlement_3	415A14
wh3_main_nor_settlement_4	417814
wh3_main_ogr_settlement_1	176F62
wh3_main_ogr_settlement_2	1701E7
wh3_main_ogr_settlement_3	1733B4
wh3_main_ogr_settlement_4	176F00
wh3_main_ogr_settlement_5	17AFFF
wh3_main_ogr_settlement_6	17F706
wh3_main_quest_kho_brazen_altar	877DD6
wh3_main_quest_ksl_lucent_maze	72B57A
wh3_main_quest_ksl_temple_of_ursun	4EE83B
wh3_main_quest_ksl_the_frozen_falls	ED12CE
wh3_main_quest_ogr_fire_mouth_volcano	2E0370
wh3_main_quest_ogr_ice_caverns_of_ymirdrak	F9848E
wh3_main_quest_tze_floating_chaos_island	FAC6B3
wh3_main_skv_settlement_1	FF7E00
wh3_main_skv_settlement_2	FF7EC9
wh3_main_tmb_settlement_1	F0E664
wh3_main_tmb_settlement_2	F0E632
wh3_main_tmb_settlement_black_pyramid	F0E696
wh3_main_vmp_settlement_1	B3A957
wh3_main_wef_settlement	17A181
wh3_prologue_chaos_settlements	3E3232
wh3_prologue_dervingard_settlement	3E64C8
wh3_prologue_khorne_land_battle	3E7373
wh3_prologue_snow_land_battle	3EDCC8
wh3_prologue_tzeentch_land_battle	3E0F7D
