battle_map_location	group	catchment_name	tile_upgrades
terrain/battles/subterranean_battle_03/	wh2_main_subterranean_tiles		
terrain/battles/subterranean_battle_b/	wh2_main_subterranean_tiles		
terrain/battles/subterranean_battle_c/	wh2_main_subterranean_tiles		
terrain/battles/subterranean_battle_d/	wh2_main_subterranean_tiles		
terrain/battles/subterranean_battle_e/	wh2_main_subterranean_tiles		
terrain\battles\qb_dlc06_subterranean\	wh2_main_subterranean_tiles		
terrain\battles\qb_todtheim\	wh2_main_subterranean_tiles		
terrain/battles/def_bleak_forest_infield_a/	wh2_naggarond_bleak_forest_ambush	catchment_01	
terrain/battles/def_bleak_forest_infield_a/	wh2_naggarond_bleak_forest	*	
terrain/battles/def_swamps_infield_a/	wh2_naggarond_bleak_forest	*	
terrain/battles/def_bleak_mountain_pass_infield_a/	wh2_naggarond_bleak_plains_ambush	catchment_01	
terrain/battles/def_bleak_mountain_pass_infield_a/	wh2_naggarond_bleak_plains_ambush	catchment_03	
terrain/battles/def_bleak_plains_infield_a/	wh2_naggarond_bleak_plains_ambush	catchment_02	
terrain/battles/def_bleak_mountain_pass_infield_a/	wh2_naggarond_bleak_plains	*	
terrain/battles/def_bleak_plains_infield_a/	wh2_naggarond_bleak_plains	*	
terrain/battles/def_bleak_river_infield_a/	wh2_naggarond_bleak_plains	*	
terrain/battles/def_swamps_infield_a/	wh2_naggarond_bleak_plains	*	
terrain/battles/def_forest_infield_a/	wh2_naggarond_coast_ambush	catchment_05	
terrain/battles/def_coast_infield_a/	wh2_naggarond_coast	*	
terrain/battles/def_lakes_infield_a/	wh2_naggarond_def_tutorial_battle	catchment_01	
terrain/battles/def_desert_dunes_infield_a/	wh2_naggarond_desert_ambush	catchment_04	
terrain/battles/def_desert_hills_infield_a/	wh2_naggarond_desert_ambush	catchment_01	
terrain/battles/def_desert_plains_infield_a/	wh2_naggarond_desert_ambush	catchment_01	
terrain/battles/def_desert_ravine_infield_a/	wh2_naggarond_desert_ambush	catchment_01	
terrain/battles/def_desert_river_infield_a/	wh2_naggarond_desert_ambush	catchment_04	
terrain/battles/def_desert_plains_infield_a/	wh2_naggarond_desert_coast_ambush	catchment_01	
terrain/battles/def_desert_coast_infield_a/	wh2_naggarond_desert_coast	*	
terrain/battles/def_desert_dunes_infield_a/	wh2_naggarond_desert	*	
terrain/battles/def_desert_hills_infield_a/	wh2_naggarond_desert	*	
terrain/battles/def_desert_lakes_infield_a/	wh2_naggarond_desert	*	
terrain/battles/def_desert_plains_infield_a/	wh2_naggarond_desert	*	
terrain/battles/def_desert_ravine_infield_a/	wh2_naggarond_desert	*	
terrain/battles/def_desert_river_infield_a/	wh2_naggarond_desert	*	
terrain/battles/def_forest_infield_a/	wh2_naggarond_forest_ambush	catchment_05	
terrain/battles/def_forest_infield_a/	wh2_naggarond_forest	*	
terrain/battles/def_lakes_infield_a/	wh2_naggarond_grassland_ambush	catchment_02	
terrain/battles/chokepoint_def_grassland_river/	wh2_naggarond_grassland_chokepoint		
terrain/battles/def_lakes_infield_a/	wh2_naggarond_grassland	*	
terrain/battles/def_river_infield_a/	wh2_naggarond_grassland	*	
terrain/battles/def_hills_infield_a/	wh2_naggarond_hills_ambush	catchment_03	
terrain/battles/def_ravine_infield_a/	wh2_naggarond_hills_ambush	catchment_01	
terrain/battles/def_hills_infield_a/	wh2_naggarond_hills	*	
terrain/battles/def_ravine_infield_a/	wh2_naggarond_hills	*	
terrain/battles/chokepoint_def_chasm/	wh2_naggarond_mountain_chokepoint		
terrain/battles/chokepoint_def_chasm_b/	wh2_naggarond_mountain_chokepoint		
terrain/battles/def_mtn_pass_infield_a/	wh2_naggarond_mountains_ambush	catchment_02	
terrain/battles/def_mtn_pass_infield_a/	wh2_naggarond_mountains	*	
terrain/battles/def_pet_coast_infield_a/	wh2_naggarond_petrified_coast_ambush	catchment_02	
terrain/battles/def_pet_coast_infield_a/	wh2_naggarond_petrified_coast	*	
terrain/battles/def_pet_hills_infield_a/	wh2_naggarond_petrified_forest_ambush	catchment_02	
terrain/battles/def_pet_forest_infield_a/	wh2_naggarond_petrified_forest	*	
terrain/battles/def_pet_hills_infield_a/	wh2_naggarond_petrified_plains_ambush	catchment_02	
terrain/battles/def_pet_ravine_infield_a/	wh2_naggarond_petrified_plains_ambush	catchment_04	
terrain/battles/def_pet_hills_infield_a/	wh2_naggarond_petrified_plains	*	
terrain/battles/def_pet_ravine_infield_a/	wh2_naggarond_petrified_plains	*	
terrain/battles/def_plains_infield_a/	wh2_naggarond_plains_ambush	catchment_03	
terrain/battles/def_plains_infield_a/	wh2_naggarond_plains	*	
terrain/battles/def_nor_forest_infield_a/	wh2_norsca_coast_ambush	catchment_02	
terrain/battles/def_nor_coast_infield_a/	wh2_norsca_coast	*	
terrain/battles/def_nor_forest_infield_a/	wh2_norsca_forest_ambush	catchment_04	
terrain/battles/def_nor_forest_infield_a/	wh2_norsca_forest	*	
terrain/battles/def_nor_river_infield_a/	wh2_norsca_grassland_ambush	catchment_01	
terrain\battles\def_nor_ravine_infield_a\	wh2_norsca_grassland_ambush	catchment_05	
terrain/battles/def_nor_river_infield_a/	wh2_norsca_grassland	*	
terrain\battles\def_nor_ravine_infield_a\	wh2_norsca_grassland	*	
terrain/battles/def_nor_hill_infield_a/	wh2_norsca_hills_ambush	catchment_02	
terrain/battles/def_nor_hill_infield_a/	wh2_norsca_hills	*	
terrain/battles/chokepoint_norsca_chasm/	wh2_norsca_mountain_chokepoint		
terrain/battles/chokepoint_norsca_river/	wh2_norsca_mountain_chokepoint		
terrain/battles/chokepoint_northern_mountain_pass/	wh2_norsca_mountain_chokepoint		
terrain/battles/chokepoint_northern_river/	wh2_norsca_mountain_chokepoint		
terrain/battles/chokepoint_northern_river_b/	wh2_norsca_mountain_chokepoint		
terrain/battles/def_nor_hill_infield_a/	wh2_norsca_tundra_ambush	catchment_02	
terrain/battles/def_nor_river_infield_a/	wh2_norsca_tundra_ambush	catchment_01	
terrain\battles\def_nor_ravine_infield_a\	wh2_norsca_tundra_ambush	catchment_05	
terrain/battles/def_nor_hill_infield_a/	wh2_norsca_tundra	*	
terrain/battles/def_nor_river_infield_a/	wh2_norsca_tundra	*	
terrain\battles\def_nor_ravine_infield_a\	wh2_norsca_tundra	*	
terrain/battles/mp_shrine_of_khaine/	wh2_shrine_of_khaine_ambush	catchment_05	
terrain/battles/mp_shrine_of_khaine/	wh2_shrine_of_khaine	*	
terrain/battles/lzd_lakes_infield_a/	wh2_skv_tutorial_battle	catchment_02	
terrain/battles/stl_hills_infield_a/	wh2_southlands_coast_ambush	catchment_01	
terrain/battles/stl_coast_infield_a/	wh2_southlands_coast	*	
terrain/battles/stl_dunes_infield_a/	wh2_southlands_desert_ambush	catchment_04	
terrain/battles/stl_ravine_infield_a/	wh2_southlands_desert_ambush	catchment_01	
terrain/battles/tmb_desert_infield_01/	wh2_southlands_desert_ambush	catchment_04	
terrain/battles/tmb_desert_infield_02/	wh2_southlands_desert_ambush	catchment_01	
terrain/battles/stl_dunes_infield_a/	wh2_southlands_desert	*	
terrain/battles/stl_hills_infield_a/	wh2_southlands_desert	*	
terrain/battles/stl_ravine_infield_a/	wh2_southlands_desert	*	
terrain/battles/tmb_desert_infield_01/	wh2_southlands_desert	catchment_01	
terrain/battles/tmb_desert_infield_01/	wh2_southlands_desert	catchment_02	
terrain/battles/tmb_desert_infield_01/	wh2_southlands_desert	catchment_03	
terrain/battles/tmb_desert_infield_01/	wh2_southlands_desert	catchment_04	
terrain/battles/tmb_desert_infield_02/	wh2_southlands_desert	catchment_01	
terrain/battles/tmb_desert_infield_02/	wh2_southlands_desert	catchment_02	
terrain/battles/tmb_desert_infield_02/	wh2_southlands_desert	catchment_03	
terrain/battles/tmb_desert_infield_02/	wh2_southlands_desert	catchment_04	
terrain/battles/tmb_desert_infield_03/	wh2_southlands_desert	catchment_01	
terrain/battles/tmb_desert_infield_03/	wh2_southlands_desert	catchment_02	
terrain/battles/tmb_desert_infield_04/	wh2_southlands_desert	catchment_01	
terrain/battles/tmb_desert_infield_04/	wh2_southlands_desert	catchment_02	
terrain/battles/tmb_desert_infield_04/	wh2_southlands_desert	catchment_03	
terrain/battles/stl_hills_infield_a/	wh2_southlands_grassland_ambush	catchment_01	
terrain/battles/stl_plains_infield_a/	wh2_southlands_grassland_ambush	catchment_01	
terrain/battles/stl_river_infield_a/	wh2_southlands_grassland_ambush	catchment_01	
terrain/battles/stl_lakes_infield_a/	wh2_southlands_grassland	*	
terrain/battles/stl_plains_infield_a/	wh2_southlands_grassland	*	
terrain/battles/stl_river_infield_a/	wh2_southlands_grassland	*	
terrain/battles/chokepoint_sylvania_river/	wh2_sylvania_river_chokepoint		
terrain/battles/ult_hills_infield_a/	wh2_ulthuan_coast_ambush	catchment_05	
terrain\battles\ult_coast_ravine_infield_a\	wh2_ulthuan_coast_ambush	catchment_01	
terrain\battles\ult_coast_ravine_infield_a\	wh2_ulthuan_coast_ambush	catchment_02	
terrain\battles\ult_coast_ravine_infield_a\	wh2_ulthuan_coast_ambush	catchment_03	
terrain/battles/ult_coast_infield_a/	wh2_ulthuan_coast	*	
terrain/battles/ult_forest_infield_a/	wh2_ulthuan_forest_ambush	catchment_01	
terrain/battles/chokepoint_ult_forest_river/	wh2_ulthuan_forest_chokepoint		
terrain/battles/ult_forest_infield_a/	wh2_ulthuan_forest	*	
terrain/battles/ult_hills_infield_a/	wh2_ulthuan_grassland_ambush	catchment_05	
terrain/battles/ult_lakes_infield_a/	wh2_ulthuan_grassland_ambush	catchment_03	
terrain/battles/chokepoint_ult_grassland_river/	wh2_ulthuan_grassland_chokepoint		
terrain/battles/ult_hills_infield_a/	wh2_ulthuan_grassland	*	
terrain/battles/ult_lakes_infield_a/	wh2_ulthuan_grassland	*	
terrain/battles/chokepoint_generic_mountain_pass_climate_hef/	wh2_ulthuan_mountain_chokepoint		
terrain/battles/ult_mtn_pass_infield_a/	wh2_ulthuan_mountains_ambush	catchment_01	
terrain/battles/ult_mtn_pass_infield_a/	wh2_ulthuan_mountains	*	
terrain/battles/ult_lakes_infield_a/	wh2_ulthuan_plains_ambush	catchment_03	
terrain/battles/ult_plains_infield_a/	wh2_ulthuan_plains_ambush	catchment_02	
terrain/battles/chokepoint_ult_plains_river/	wh2_ulthuan_plains_chokepoint		
terrain/battles/ult_plains_infield_a/	wh2_ulthuan_plains	*	
terrain/battles/ult_river_infield_a/	wh2_ulthuan_plains	*	
terrain/battles/major_b_brt/	wh3_dlc20_brt_settlement_standard_1	catchment_01	
terrain/battles/major_b_brt/	wh3_dlc20_brt_settlement_standard_2	catchment_01	
terrain/battles/minor_b_brt/	wh3_dlc20_brt_settlement_unfortified_1	catchment_01	
terrain/battles/minor_b_brt/	wh3_dlc20_brt_settlement_unfortified_2	catchment_01	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills_ambush	catchment_09	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills_ambush	catchment_10	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills_ambush	catchment_11	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills_chokepoint	catchment_07	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills_chokepoint	catchment_08	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills_ogr_camp	catchment_12	wh3_main_ogr_camp
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_01	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_02	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_03	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_04	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_05	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_06	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_13	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_14	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_15	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_16	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_17	
terrain\battles\wh3_dlc20_macro_brt_hills_01\	wh3_dlc20_macro_brt_hills	catchment_18	
terrain\battles\major_w_chd\	wh3_dlc23_chd_settlement_standard_1	catchment_01	
terrain\battles\major_s_chd\	wh3_dlc23_chd_settlement_standard_2	catchment_01	
terrain\battles\minor_w_chd\	wh3_dlc23_chd_settlement_unfortified_1		
terrain\battles\minor_s_chd\	wh3_dlc23_chd_settlement_unfortified_2		
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr_ambush	catchment_09	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr_ambush	catchment_10	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr_ambush	catchment_11	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_01	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_02	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_03	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_04	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_05	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_06	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_13	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_14	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_15	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_17	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_18	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_19	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_20	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_21	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_22	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_dar_plains_of_zharr	catchment_23	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_zharr_plains_chokepoint	catchment_07	
terrain\battles\dar_infield_a\	wh3_dlc23_macro_zharr_plains_chokepoint	catchment_08	
terrain\battles\subterranean_chd_a\	wh3_dlc23_subterranean_tiles	catchment_01	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast_ambush	catchment_10	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast_ambush	catchment_11	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast_ambush	catchment_12	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast_chokepoint	catchment_07	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast_chokepoint	catchment_08	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_01	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_02	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_04	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_05	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_06	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_09	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_13	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_14	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_16	
terrain\battles\chs_wastes_coast_a\	wh3_dlc25_macro_chs_wastes_coast	catchment_18	
terrain\battles\minor_bst_01\	wh3_main_bst_settlement_unfortified_1	catchment_02	
terrain/battles/major_i_chs/	wh3_main_chs_settlement_standard_1	catchment_01	
terrain/battles/major_m_chs/	wh3_main_chs_settlement_standard_2	catchment_01	
terrain/battles/major_k_chs/	wh3_main_chs_settlement_standard_3	catchment_01	
terrain\battles\minor_i_chs\	wh3_main_chs_settlement_unfortified_1		
terrain\battles\minor_m_chs\	wh3_main_chs_settlement_unfortified_2		
terrain\battles\minor_k_chs\	wh3_main_chs_settlement_unfortified_3		
terrain\battles\minor_g_chs\	wh3_main_chs_settlement_unfortified_4		
terrain\battles\minor_p_chs\	wh3_main_chs_settlement_unfortified_5		
terrain\battles\major_h_vmp_port\	wh3_main_cst_settlement_standard_1		
terrain\battles\minor_h_vmp_port\	wh3_main_cst_settlement_unfortified_1		
terrain/battles/major_q_cth/	wh3_main_cth_settlement_bastion	catchment_01	
terrain/battles/major_n_cth/	wh3_main_cth_settlement_standard_1		
terrain/battles/major_o_cth/	wh3_main_cth_settlement_standard_2		
terrain\battles\minor_f_cth\	wh3_main_cth_settlement_unfortified_1		
terrain\battles\minor_n_cth\	wh3_main_cth_settlement_unfortified_2		
terrain\battles\minor_o_cth\	wh3_main_cth_settlement_unfortified_3		
terrain\battles\minor_p_cth\	wh3_main_cth_settlement_unfortified_4		
terrain\battles\wh3_minor_t_cth\	wh3_main_cth_settlement_unfortified_5		
terrain\battles\major_n_cth_weijin\	wh3_main_cth_settlement_weijin		
terrain\battles\major_k_def\	wh3_main_def_settlement_standard_1	catchment_01	
terrain\battles\major_l_def\	wh3_main_def_settlement_standard_2		
terrain\battles\minor_k_def\	wh3_main_def_settlement_unfortified_1		
terrain\battles\minor_l_def\	wh3_main_def_settlement_unfortified_2		
terrain/battles/major_g_dwf/	wh3_main_dwf_settlement_standard_1		
terrain/battles/major_i_dwf/	wh3_main_dwf_settlement_standard_2	catchment_01	
terrain\battles\minor_g_dwf\	wh3_main_dwf_settlement_unfortified_1		
terrain\battles\minor_i_dwf\	wh3_main_dwf_settlement_unfortified_2		
