key	value	description
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE	1.0000	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, lower distance bound.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE_AND_NEARER_MULTIPLIER	1.2500	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, lower distance priority multiplier.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_AND_AFTER_MULTIPLIER	1.7500	(In-game) In generating tasks versus human horde armies the ending priority used.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_ROUND	100.0000	(In-game) In generating tasks versus human horde armies the round at which to end applying a priority variation.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE	4.0000	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, upper distance bound.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE_AND_FURTHER_MULTIPLIER	0.0000	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, upper distance priority multiplier.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE	1.0000	(In-game) Multiplier applied to attack non-human horde armies tasks based on distance to nearest asset, lower distance bound.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE_AND_NEARER_MULTIPLIER	1.2500	(In-game) Multiplier applied to attack non- human horde armies tasks based on distance to nearest asset, lower distance priority multiplier.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE	4.0000	(In-game) Multiplier applied to attack non-human horde armies tasks based on distance to nearest asset, upper distance bound.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE_AND_FURTHER_MULTIPLIER	0.0000	(In-game) Multiplier applied to attack non-human horde armies tasks based on distance to nearest asset, upper distance priority multiplier.
CAI_VARIABLE_BARTER_SUPPLY_PERCENT_MAX	70.0000	(In-game) AIs won't exceed this percent of the current supply of a particular resource when proposing single barters for that resource.
CAI_VARIABLE_BASIC_CTRL_BUILDING_CONVERSION_BONUS	20.0000	(In-game) Bonus applied to scoring of cultural conversion options in the construction system.
CAI_VARIABLE_BASIC_CTRL_BUILDING_DEMOLITION_BONUS	60.0000	(In-game) Bonus applied to scoring of demolition options in the construction system.
CAI_VARIABLE_BASIC_CTRL_BUILDING_REPAIR_BONUS	60.0000	(In-game) Bonus applied to scoring of repair options in the construction system.
CAI_VARIABLE_BLACK_ARK_SUPPORT_STRENGTH	1000000.0000	(In-game) Strenght bonus from black ark support
CAI_VARIABLE_CLIMATE_CHANGE_IMMINENT_CONSTRUCTION_SYSTEM_FOOD_CONTROL_MULTIPLIER	2.0000	(In-game) Multiplier applied to region count values if climate change mitigation is in effect (CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW_REGION_ADJUSTMENT, CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_PENALTY_BELOW_REGION_ADJUSTMENT).
CAI_VARIABLE_CLIMATE_CHANGE_IMMINENT_WITHIN	10.0000	(In-game) Rounds from expected climate change that AI's will start to take mitigating action.
CAI_VARIABLE_CNSTR_PRIORITY_OVER_COST_MODIFICATION	0.1000	(In-game) When considering the importance of buildings for a specific context how much should value for money count versus raw priority (0.0, not a bit to 1.0, entirely).
CAI_VARIABLE_CONSIDER_MAJOR_OVER_REGIONS	3.0000	DEPRECATED
CAI_VARIABLE_CONSTRUCTION_SYSTEM_VALUE_FOR_MONEY_CONSIDERATION_MULTIPLIER	1.0000	(In-game) Within the AI construction system the proportion of value for money evaluation that should be applied.
CAI_VARIABLE_CONSTRUCTION_SYSTEM_VALUE_FOR_MONEY_CONSIDERATION_TARGET	1000.0000	(In-game) In the construction system the target value used when adjusting a buildings evaluation due to value of money effects.
CAI_VARIABLE_DEFEND_LOCATION_RITUAL_CURRENCY_THRESHOLD	0.9500	(In-game) 
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_ALLIED_TERRITORY	0.0000	(In-game) Weight for camp deplyment when in allied territory
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_ENEMY_TERRITORY	0.0000	(In-game) Weight for camp deployment when in enemy territory
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_ENEMY_TERRITORY_NEAR	0.0000	(In-game) Weight for camp deplyment when enemy territory in an adjacent region
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_EXISTING_CAMP_HERE	0.0000	(In-game) Weight for camp deployment when there is an existing camp at the foreces region
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_EXISTING_CAMP_NEAR	0.0000	(In-game) Weight for camp deplyment when there is a camp in an adjecent region
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_HIGH_MEAT	0.0000	(In-game) Weight for camp deployment when force at high meat
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_HOME_TERRITORY	0.0000	(In-game) Weight for camp deployment when in home territory
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_LOW_MEAT	0.0000	(In-game) Weight for camp deployment based on a force having low meat
CAI_VARIABLE_DEPLOY_OGRE_CAMP_WEIGHT_MODERATE_MEAT	0.0000	(In-game) Weight for camp deployment when a force is at moderate meat
CAI_VARIABLE_DILEMMA_BONUS_LARGE	20.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_LARGE_FALLOFF	25.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_MEDIUM	10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_MEDIUM_FALLOFF	25.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_SMALL	5.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_SMALL_FALLOFF	25.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XLARGE	20.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XLARGE_FALLOFF	40.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXLARGE	20.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXLARGE_FALLOFF	50.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXXLARGE	40.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXXLARGE_FALLOFF	60.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_LARGE	-20.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_LARGE_FALLOFF	10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_MEDIUM	-10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_MEDIUM_FALLOFF	10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_SMALL	-5.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_SMALL_FALLOFF	10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XLARGE	-30.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XLARGE_FALLOFF	10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXLARGE	-40.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXLARGE_FALLOFF	10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXXLARGE	-50.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXXLARGE_FALLOFF	10.0000	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DISBAND_OGRE_CAMP_SUPPORTABLE_FORCE_IS_CLOSE_AT_OR_LESS_THAN_ROUNDS_AWAY	1.0000	((n-game) When considering ogre camp disband a supportable force is close at this or less rounds away
CAI_VARIABLE_DISBAND_OGRE_CAMP_SUPPORTABLE_FORCE_IS_NEAR_BUT_NOT_CLOSE_AT_OR_LESS_THAN_ROUNDS_AWAY	2.0000	((n-game) When considering ogre camp disband a supportable force is near at this or less rounds away
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_AT_CAMP_LIMIT	0.0200	(In-game) When considering ogre camp disband, base weight for disband if at the camp limit
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_ENEMY_FORCE_FAR_FROM_CAMP	-0.0500	(In-game) When considering camp disband, enemy forces are not so near but still present
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_ENEMY_FORCE_NEAR_CAMP	-0.2000	(In-game) When considering camp disband enemy forces are nearby
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_ENEMY_TERRITORY_FAR_FROM_CAMP	-0.0100	(In-game) When considering camp disband enemy territory is not that nearby but present
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_ENEMY_TERRITORY_NEAR_CAMP	-0.1000	(In-game) When considering camp disband, enemy territory is adjacent to camp but not in this region
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_LOCAL_REGION_ALLIED_TERRITORY	0.0200	(In-game) When considering camp disband, camp region is allied owned
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_LOCAL_REGION_ENEMY_TERRITORY	-0.5000	(In-game) When considering camp disband, camp region is enemy owned
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_LOCAL_REGION_OWN_TERRITORY	0.1000	(In-game) When considering camp disband, camp region is self owned
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_PER_BUILDING_LEVEL	-0.0050	(In-game) When considering ogre camp disband, wieght per building level record in existing camp
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_SUPPORTABLE_FORCES_CLOSE	-0.5000	(In-game) When considering camp disband, supportable forces a close
CAI_VARIABLE_DISBAND_OGRE_CAMP_WEIGHT_SUPPORTABLE_FORCES_NEAR_BUT_NOT_CLOSE	-0.0500	(In-game) When considering camp disband, supportable forces are near but not very close
CAI_VARIABLE_DO_NOT_ENABLE	0.0000	(In-game) Set it to 1 if you dare. DO NOT SET IT ANY HIGHER!!!
CAI_VARIABLE_EMERGENCY_UNIT_CULL_COST_WEIGHT	2.0000	(In-game) Weight of cost in the emergency unit culling mechanics.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_FORCE_PERCENTAGE_TO_CULL	20.0000	(In-game) In using the emergency unit culling mechanics what percentage of elligable units should be disbanded to mitigate the problem.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_PRIORITY_WEIGHT	1.0000	(In-game) Weight of task priority in the emergency unit culling mechanics.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_REPLENISHMENT_WEIGHT	2.0000	(In-game) Weight of current replenishment in the emergency unit culling mechanics.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_TIME_WINDOW_MULTIPLIER	1.0000	(In-game) In making use of the emergency unit culling mechanics what multiplier should be allied to the factions corresponding zero_or_negative_net_income_survival_rounds value.
CAI_VARIABLE_FACTION_MANAGEMENT	0.0000	(In-game) Enables CAI faction controller management.
CAI_VARIABLE_FACTION_MANAGEMENT_BASE_PROBABILITY	0.1000	(In-game) For valid factions the base faction management probability.
CAI_VARIABLE_FACTION_MANAGEMENT_CONSIDER_CULTURE_SECONDARY_FACTIONS	1.0000	(In-game) Should factions that aren't their primary culture member be considered for minimisation
CAI_VARIABLE_FACTION_MANAGEMENT_CONSIDER_MINOR_FACTIONS	1.0000	(In-game) Should minor factions be considered for minimisation.
CAI_VARIABLE_FACTION_MANAGEMENT_LOWER_THRESHOLD	2.0000	(In-game) For faction management, the lower threshold below which it will automatically be enabled if possible.
CAI_VARIABLE_FACTION_MANAGEMENT_MAX_PROBABILITY	0.9000	(In-game) For faction management, the maximum probability whn below the threshold.
CAI_VARIABLE_FACTION_MANAGEMENT_MINIMISE_IF_UNKNOWN	0.0000	(In-game) Should factions considered for minimisation automatically be minimised if unknown by the player.
CAI_VARIABLE_FACTION_MANAGEMENT_SCALING_EXPONENT	2.0000	(In-game) For valid factions the scaling exponent on the management probability.
CAI_VARIABLE_FACTION_MANAGEMENT_THRESHOLD	5.0000	(In-game) Specifies the CAI faction controller management threshold.
CAI_VARIABLE_FINANCE_CONST_BIAS_EASY_LEVEL	4.0000	(In-game) CAI Budgeting bias, easy difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_EASY_TURNS	12.0000	(In-game) CAI Budgeting bias,easy difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_HARD_LEVEL	2.0000	(In-game) CAI Budgeting bias, hard difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_HARD_TURNS	3.0000	(In-game) CAI Budgeting bias, hard difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_LEGENDARY_LEVEL	1.0000	(In-game) CAI Budgeting bias, legendary difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_LEGENDARY_TURNS	0.0000	(In-game) CAI Budgeting bias, legendary difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_NORMAL_LEVEL	2.0000	(In-game) CAI Budgeting bias, normal difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_NORMAL_TURNS	6.0000	(In-game) CAI Budgeting bias, normal difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_VERY_HARD_LEVEL	1.0000	(In-game) CAI Budgeting bias, very hard difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_VERY_HARD_TURNS	0.0000	(In-game) CAI Budgeting bias, very hard difficulty, rounds to apply for.
CAI_VARIABLE_FNCA_AID_MINOR_ALLY_PADJ	0.2500	DEPRECATED
CAI_VARIABLE_FNCA_ALLY_MINOR_PADJ	0.2500	DEPRECATED
CAI_VARIABLE_FNCA_JOIN_MINOR_ALLY_WADJ	0.7500	DEPRECATED
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW	50.0000	(In-game) The point at or below which bonus will be provided to food producgin buildings.
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW_REGION_ADJUSTMENT	1.0000	(In-game) Adjustment to the food penalty thresholds based on number of regions owned by a faction.
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_PENALTY_BELOW	0.0000	(In-game) The point below which a food penalty will be applied to a building option.
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_PENALTY_BELOW_REGION_ADJUSTMENT	2.0000	(In-game) Adjustment to the food penalty thresholds based on number of regions owned by a faction.
CAI_VARIABLE_FOOD_CTRL_BUILDING_BONUS	0.9000	(In-game) Bonus applied (per food point) for buildings that increase food up to the specified level.
CAI_VARIABLE_FOOD_CTRL_BUILDING_NEW_BUILDING_BONUS_SCALING	0.5000	(In-game) When calculating food based building score adjustements, the discount applied for being a new building.
CAI_VARIABLE_FOOD_CTRL_BUILDING_PENALTY	3.0000	(In-game) Penalty applied (per food point) for buildings that use food beyond the specified level.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC	160.0000	(In-game) Score at or above which the ongoing food detection system will start allowing building conversion to solve the problem.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_REGION_ADJUSTMENT	0.0000	(In-game) Per region based adjustment to CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC	310.0000	(In-game) Score at or above which the ongoing food detection system will start allowing building demolition to solve the problem.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_REGION_ADJUSTMENT	0.0000	(In-game) Per region based adjustment to CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_SCORE_PER_TURN_ACCUMULATION_CAP	50.0000	(In-game) When accruing score for the ongoing food problem detection system the cap applied to the amount being added to the score.
CAI_VARIABLE_FOREIGN_SLOT_REMOVAL_BASE_CHANCE	10.0000	(In-game) Base probability for demoliting discovered foreign slots.
CAI_VARIABLE_FOREIGN_SLOT_REMOVAL_DISCOVERABILITY_CAP	100.0000	(In-game) Discoverability cap level for helping determine if the AI should demolished discovered foreign slots.
CAI_VARIABLE_FOREIGN_SLOT_REMOVAL_DISCOVERABILITY_MULTIPLIER	1.0000	(In-game) Cap adjusted discoverability multiplier for converting that value in to a demolition chance percentage for knocking down discovered foreign slots.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_BONUS	300000.0000	(In-game) AI strength bonus for fortified settlements.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER	1.3000	(In-game) AI strength multiplier for fortified settlements, modified by Siege engines.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_PRE_ASSAULT	1.2000	(In-game) AI strength multiplier for fortified settlements, pre-assault.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_SIEGE_ENGINE_DECREASE	0.1000	(In-game) Reduction of fortification bonus for each siege engine present.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_THREAT	1.0000	(In-game) AI strength multiplier for fortified settlements used for threat detection.
CAI_VARIABLE_GLOBAL_ENEMY_THREAT_MODIFIER	1.0000	(In-game) Modifier for enemy strength in threat calculations. Cannot be 0.
CAI_VARIABLE_GLOBAL_ULTIMATUM_COOLDOWN	2.0000	(In-game) Used to limit the frequency of ultimatums issued by AIs to human players.
CAI_VARIABLE_HORDE_GROUPING_HORDES_TO_SPLIT_FROM_GROUP_ON_OVERSIZE	1.0000	(In-game) When adding a horde to an existing group the number of hordes to split from the group (excluding the new horde) to use in forming a new horde group.
CAI_VARIABLE_HORDE_GROUPING_MAXIMUM_GROUP_SIZE	3.0000	(In-game) Maximum size of a horde group.
CAI_VARIABLE_HORDE_GROUPING_MAXIMUM_NEW_GROUP_MEMBERSHIP_DISTANCE	20.0000	(In-game) Maximum acceptable distance from a horde to consider membership - multiplier on the median bordering inter-region distance.
CAI_VARIABLE_IMPERIUM_ATTITUDE_BONUS_MODIFIER_AI	1.0000	(In-game) Modifier to imperium attitude bonus towards the AI. Global multiplier to cai_personality_empire_rivalry_components 
CAI_VARIABLE_IMPERIUM_ATTITUDE_BONUS_MODIFIER_PLAYER	1.0000	(In-game) Modifier to imperium attitude bonus towards the player. Global multiplier to cai_personality_empire_rivalry_components 
CAI_VARIABLE_IMPERIUM_ATTITUDE_PENALTY_MODIFIER_AI	1.0000	(In-game) Modifier to imperium attitude penalty towards the AI. Global multiplier to cai_personality_empire_rivalry_components 
CAI_VARIABLE_IMPERIUM_ATTITUDE_PENALTY_MODIFIER_PLAYER	1.0000	(In-game) Modifier to imperium attitude penalty towards the player. Global multiplier to cai_personality_empire_rivalry_components 
CAI_VARIABLE_INVERT_INTERVENTION_CHANCES_THRESHOLD	2.0000	(In-game) If the vortex ritual we're interrupting is lower than this level, we weight the different intervention ritual levels based on the INVERSE of their casting cost (so low level intervention will have higher chance). Note: ritual index starts from 0, so if it's set to 2 it means we'll use inverted weights at vortex ritual level 1 and 2. THE END
CAI_VARIABLE_MAKE_THIS_WORK_PAYMENT_PRECISION	20.0000	(In-game) An absolute monetary value; specifies the maximum allowed difference between the actual minimum payment required to make a deal acceptable and the one proposed by Make this Work.
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	1.0000	(In-game) AI will receive a bonus to confederating when the resulting faction would be under this proportion of human strength.
CAI_VARIABLE_MAX_GOAL_EVALUATIONS_PER_ROUND	3000.0000	(In-game) Maximum number of goals evaluated by all factions per round.
CAI_VARIABLE_MAX_NONCRUCIAL_OFFERS_TO_PLAYER_PER_TURN	1.0000	(In-game) Maximum number of non crucial offers a human player can receive per round.
CAI_VARIABLE_MAX_REBEL_SIEGE_EQUIP	4.0000	(In-game) Number of siege engines required before rebels assault a highest level fortified settlement.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_PROBABILITY_LOWER	0.0100	(In-game) Probability of migration at the lower threshold.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_PROBABILITY_UPPER	0.1500	(In-game) Probability of migration at and beyond the upper threshold.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_THRESHOLD_LOWER	2.0000	(In-game) Lower threshold for enemy strength for migration. Expressed as a multiple of our strength.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_THRESHOLD_UPPER	5.0000	(In-game) Upper threshold for enemy strength for migration. Expressed as a multiple of our strength.
CAI_VARIABLE_MIGRATION_THREATENING_HORDE_ATTITUDE_THRESHOLD	-25.0000	(In-game) Hordes below that attitude will be considered a threat when deciding whether to migrate.
CAI_VARIABLE_MINIMUM_WAIT_FOR_NON_CRUCIAL_OFFERS_AFTER_CAMPAIGN_START	5.0000	(In-game) Minimum wait of rounds before AIs can make non crucial offers to a human player after the campaign start.
CAI_VARIABLE_MINOR_SETTLEMENT_FIELD_BATTLE_PERCENT	0.0000	(In-game) Percentage chance that the AI will choose to fight you on the field for non-port, minor settlement battles. DOES NOTHING IN WH3
CAI_VARIABLE_MINUMUM_LAND_HEX_AP_COST	80.0000	(In-game) Smallest AP cost for a traversible non-settlement land hex. Used to get a worst-(i.e largest-)case bounds for the region a mobile could move to.
CAI_VARIABLE_MIN_REBEL_SIEGE_EQUIP	2.0000	(In-game) Number of siege engines required before rebels assault a lowest level fortified settlement.
CAI_VARIABLE_MOBILE_STRENGTH_ARMY_WEIGHT	1.0000	(In-game) Weight of army strength when analyzing strength on sea.
CAI_VARIABLE_MOBILE_STRENGTH_NAVY_WEIGHT	3.0000	(In-game) Weight of navy strength when analyzing strength on sea.
CAI_VARIABLE_NIGHT_BATTLE_PERCENT	5.0000	(In-game) Percentage chance that the AI will choose to fight you at night.
CAI_VARIABLE_OCCUPATION_DECISION_TIME_HORIZON	20.0000	(In-game) Time in rounds beyond which specific occupation decisions information against a settlement will be forgotten.
CAI_VARIABLE_OGRE_MEAT_LEVEL_HIGH_AT_OR_ABOVE	100.0000	(In-game) Used to determine what the CAI consideres a high level of ogre meat at an army
