key	water	sails	mud	grass	road	rock	sand	snow	leather	wood	blood	camera_shake
wh2_dlc12_abilities_drop_sphere	wh_main_impact_medium_water		wh2_dlc12_abilities_drop_sphere_impact	wh2_dlc12_abilities_drop_sphere_impact	wh2_dlc12_abilities_drop_sphere_impact	wh2_dlc12_abilities_drop_sphere_impact	wh2_dlc12_abilities_drop_sphere_impact	wh2_dlc12_abilities_drop_sphere_impact	wh2_dlc12_abilities_drop_sphere_impact	wh2_dlc12_abilities_drop_sphere_impact		wh_main_unit_impact_light
wh2_dlc12_lord_abilities_drop_rocks_of_chotec	wh_main_impact_large_water		wh2_dlc12_abilities_drop_rocks_chotec_impact	wh2_dlc12_abilities_drop_rocks_chotec_impact	wh2_dlc12_abilities_drop_rocks_chotec_impact	wh2_dlc12_abilities_drop_rocks_chotec_impact	wh2_dlc12_abilities_drop_rocks_chotec_impact	wh2_dlc12_abilities_drop_rocks_chotec_impact	wh_main_projectile_penetration_impact	wh2_dlc12_abilities_drop_rocks_chotec_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_dlc12_lord_abilities_drop_rocks_of_sundering	wh_main_impact_large_water		wh2_dlc12_abilities_drop_rocks_sundering_impact	wh2_dlc12_abilities_drop_rocks_sundering_impact	wh2_dlc12_abilities_drop_rocks_sundering_impact	wh2_dlc12_abilities_drop_rocks_sundering_impact	wh2_dlc12_abilities_drop_rocks_sundering_impact	wh2_dlc12_abilities_drop_rocks_sundering_impact	wh_main_projectile_penetration_impact	wh2_dlc12_abilities_drop_rocks_sundering_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_dlc12_lzd_salamander_flame	wh_main_impact_medium_water		wh2_dlc12_lizard_fireball_impact	wh2_dlc12_lizard_fireball_impact	wh2_dlc12_lizard_fireball_impact	wh2_dlc12_lizard_fireball_impact	wh2_dlc12_lizard_fireball_impact	wh2_dlc12_lizard_fireball_impact	wh2_dlc12_lizard_fireball_explosion	wh2_dlc12_lizard_fireball_impact		wh_main_unit_impact_light
wh2_dlc12_lzd_salamander_flame_large	wh_main_impact_medium_water		wh2_dlc12_lizard_fireball_large_impact	wh2_dlc12_lizard_fireball_large_impact	wh2_dlc12_lizard_fireball_large_impact	wh2_dlc12_lizard_fireball_large_impact	wh2_dlc12_lizard_fireball_large_impact	wh2_dlc12_lizard_fireball_large_impact	wh2_dlc12_lizard_fireball_large_impact	wh2_dlc12_lizard_fireball_large_impact		wh_main_unit_impact_light
wh2_dlc12_lzd_salamander_flame_ror	wh_main_impact_medium_water		wh2_dlc12_lizard_ror_fireball_impact	wh2_dlc12_lizard_ror_fireball_impact	wh2_dlc12_lizard_ror_fireball_impact	wh2_dlc12_lizard_ror_fireball_impact	wh2_dlc12_lizard_ror_fireball_impact	wh2_dlc12_lizard_ror_fireball_impact	wh2_dlc12_lizard_ror_fireball_impact	wh2_dlc12_lizard_ror_fireball_impact		wh_main_unit_impact_light
wh2_dlc12_skv_warp_jezzails_impact	wh2_dlc12_skv_rifle_impact_small_water		wh2_dlc12_skv_rifle_impact_small_sand	wh2_dlc12_skv_rifle_impact_small_grass	wh2_dlc12_skv_rifle_impact_small_rock	wh2_dlc12_skv_rifle_impact_small_rock	wh2_dlc12_skv_rifle_impact_small_sand	wh2_dlc12_skv_rifle_impact_small_snow	wh_main_impact_small_leather	wh2_dlc12_skv_rifle_impact_small_wood		
wh2_dlc12_skv_warp_jezzails_impact_ror	wh2_dlc12_skv_rifle_impact_small_purple_water		wh2_dlc12_skv_rifle_impact_small_purple_sand	wh2_dlc12_skv_rifle_impact_small_purple_grass	wh2_dlc12_skv_rifle_impact_small_purple_rock	wh2_dlc12_skv_rifle_impact_small_purple_rock	wh2_dlc12_skv_rifle_impact_small_purple_sand	wh2_dlc12_skv_rifle_impact_small_purple_snow	wh_main_impact_small_leather	wh2_dlc12_skv_rifle_impact_small_purple_wood		
wh2_dlc12_skv_warp_lightning_doomwheel_ror	wh_main_impact_medium_water		wh2_dlc12_machine_doomwheel_blue_impact	wh2_dlc12_machine_doomwheel_blue_impact	wh2_dlc12_machine_doomwheel_blue_impact	wh2_dlc12_machine_doomwheel_blue_impact	wh2_dlc12_machine_doomwheel_blue_impact	wh2_dlc12_machine_doomwheel_blue_impact	wh2_dlc12_machine_doomwheel_blue_impact	wh2_dlc12_machine_doomwheel_blue_impact		wh_main_unit_impact_light
wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact		wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact	wh2_dlc12_warpstorm_doomrocket_impact		wh_main_unit_impact_heavy
wh2_dlc13_abilities_amber_bow_impact	wh_main_impact_medium_water		wh2_dlc13_abilities_amber_bow_impact	wh2_dlc13_abilities_amber_bow_impact	wh2_dlc13_abilities_amber_bow_impact	wh2_dlc13_abilities_amber_bow_impact	wh2_dlc13_abilities_amber_bow_impact	wh2_dlc13_abilities_amber_bow_impact	wh2_dlc13_abilities_amber_bow_impact	wh2_dlc13_abilities_amber_bow_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh2_dlc13_abilities_big_boom_impact	wh_main_impact_large_water		wh2_dlc13_abilities_big_boom_explosion	wh2_dlc13_abilities_big_boom_explosion	wh2_dlc13_abilities_big_boom_explosion	wh2_dlc13_abilities_big_boom_explosion	wh2_dlc13_abilities_big_boom_explosion	wh2_dlc13_abilities_big_boom_explosion		wh2_dlc13_abilities_big_boom_explosion		
wh2_dlc13_abilities_oil_flask	wh_main_impact_large_water		wh2_dlc13_abilities_oil_flask_explosion	wh2_dlc13_abilities_oil_flask_explosion	wh2_dlc13_abilities_oil_flask_explosion	wh2_dlc13_abilities_oil_flask_explosion	wh2_dlc13_abilities_oil_flask_explosion	wh2_dlc13_abilities_oil_flask_explosion	wh2_dlc13_abilities_oil_flask_explosion	wh2_dlc13_abilities_oil_flask_explosion		wh_main_unit_impact_medium
wh2_dlc13_ability_ishas_rain_impact	wh_main_impact_small_water		wh2_dlc13_water_impact	wh2_dlc13_water_impact	wh2_dlc13_water_impact	wh2_dlc13_water_impact	wh2_dlc13_water_impact	wh2_dlc13_water_impact	wh2_dlc13_water_impact	wh2_dlc13_water_impact		
wh2_dlc13_entity_fire_impact_penetrate	wh_main_projectile_penetration_impact		wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh2_dlc13_projectile_penetration_fire_impact	wh_main_projectile_penetration_impact	wh_dlc02_arrow_impact_blood_medium	
wh2_dlc13_magic_arrow	wh_main_impact_vsmall_water		wh2_dlc13_magic_impact_arrow_grass	wh2_dlc13_magic_impact_arrow_grass	wh2_dlc13_magic_impact_arrow_rock	wh2_dlc13_magic_impact_arrow_rock	wh2_dlc13_magic_impact_arrow_grass	wh2_dlc13_magic_impact_arrow_snow	wh2_dlc13_weapon_magic_arrow_penetrate	wh_main_impact_arrow_wood	wh_dlc02_arrow_impact_blood_medium	
wh2_dlc13_weapon_abilities_fire_arrow	wh_main_impact_medium_water		wh2_dlc13_weapon_fire_arrow_impact	wh2_dlc13_weapon_fire_arrow_impact	wh2_dlc13_weapon_fire_arrow_impact	wh2_dlc13_weapon_fire_arrow_impact	wh2_dlc13_weapon_fire_arrow_impact	wh2_dlc13_weapon_fire_arrow_impact	wh2_dlc13_weapon_fire_arrow_impact	wh2_dlc13_weapon_fire_arrow_impact		wh_main_unit_impact_light
wh2_dlc13_weapon_fire_arrow	wh_main_impact_vsmall_water		wh_main_impact_arrow_mud	wh2_dlc13_weapon_fire_arrow_impact_small	wh_main_impact_arrow_rock	wh_main_impact_arrow_rock	wh_main_impact_arrow_sand	wh_main_impact_arrow_snow	wh2_dlc13_projectile_penetration_fire_impact	wh_main_impact_arrow_wood	wh_dlc02_projectile_penetration_fire_blood_impact	
wh2_dlc14_medusa_projectile_impact	wh_main_impact_medium_water		wh2_dlc14_medusa_projectile_impact	wh2_dlc14_medusa_projectile_impact	wh2_dlc14_medusa_projectile_impact	wh2_dlc14_medusa_projectile_impact	wh2_dlc14_medusa_projectile_impact	wh2_dlc14_medusa_projectile_impact	wh2_dlc14_medusa_projectile_impact	wh2_dlc14_medusa_projectile_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh2_dlc14_poisoned_wind_mortar	wh_main_impact_medium_water		wh2_dlc14_poisoned_wind_mortar_impact	wh2_dlc14_poisoned_wind_mortar_impact	wh2_dlc14_poisoned_wind_mortar_impact	wh2_dlc14_poisoned_wind_mortar_impact	wh2_dlc14_poisoned_wind_mortar_impact	wh2_dlc14_poisoned_wind_mortar_impact	wh2_dlc14_poisoned_wind_mortar_impact	wh2_dlc14_poisoned_wind_mortar_impact		wh_main_unit_impact_medium
wh2_dlc14_poisoned_wind_mortar_ror_shrapnel	wh_main_impact_medium_water		wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact	wh2_dlc14_poisoned_wind_mortar_ror_shrapnel_impact		wh_main_unit_impact_medium
wh2_dlc14_spear_large_poison_impact	wh2_dlc14_impact_poison_spear		wh2_dlc14_impact_poison_spear	wh2_dlc14_impact_poison_spear	wh2_dlc14_impact_poison_spear	wh2_dlc14_impact_poison_spear	wh2_dlc14_impact_poison_spear	wh2_dlc14_impact_poison_spear	wh2_dlc14_impact_poison_spear	wh2_dlc14_impact_poison_spear		
wh2_dlc14_spell_bound_warpfireball	wh_main_impact_medium_water		wh2_dlc14_warp_fireball_impact	wh2_dlc14_warp_fireball_impact	wh2_dlc14_warp_fireball_impact	wh2_dlc14_warp_fireball_impact	wh2_dlc14_warp_fireball_impact	wh2_dlc14_warp_fireball_impact	wh2_dlc14_warp_fireball_impact	wh2_dlc14_warp_fireball_impact		wh_main_unit_impact_light
wh2_dlc14_warp_stars	wh2_dlc14_warp_stars_impact		wh2_dlc14_warp_stars_impact	wh2_dlc14_warp_stars_impact	wh2_dlc14_warp_stars_impact_leather	wh2_dlc14_warp_stars_impact_leather	wh2_dlc14_warp_stars_impact	wh2_dlc14_warp_stars_impact	wh2_dlc14_warp_stars_impact_leather	wh2_dlc14_warp_stars_impact	wh_dlc02_arrow_impact_blood_medium	
wh2_dlc15_hef_magic_arrow_impact	wh_main_impact_small_water		wh2_dlc15_impact_hef_arrow	wh2_dlc15_impact_hef_arrow	wh2_dlc15_impact_hef_arrow	wh2_dlc15_impact_hef_arrow	wh2_dlc15_impact_hef_arrow	wh2_dlc15_impact_hef_arrow	wh_main_projectile_penetration_impact	wh2_dlc15_impact_hef_arrow		
wh2_dlc15_rogue_idol_rock_impact	wh_main_impact_vlarge_water		wh_main_impact_vlarge_mud	wh_main_impact_vlarge_grass	wh_main_impact_vlarge_rock	wh_main_impact_vlarge_rock	wh_main_impact_vlarge_sand	wh_main_impact_vlarge_snow	wh_main_impact_vlarge_leather	wh_main_impact_vlarge_wood	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_heavy
wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact		wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact	wh2_dlc15_swamp_breath_impact		
wh2_dlc16_item_abilities_dart_of_doom	wh_main_impact_medium_water		wh2_dlc16_abilities_dart_of_doom_impact	wh2_dlc16_abilities_dart_of_doom_impact	wh2_dlc16_abilities_dart_of_doom_impact	wh2_dlc16_abilities_dart_of_doom_impact	wh2_dlc16_abilities_dart_of_doom_impact	wh2_dlc16_abilities_dart_of_doom_impact	wh2_dlc16_abilities_dart_of_doom_impact	wh2_dlc16_abilities_dart_of_doom_impact		wh_main_unit_impact_light
wh2_dlc16_talon_of_dawn_arrow	wh_main_impact_vsmall_water		wh2_dlc16_talon_of_dawn_impact	wh2_dlc16_talon_of_dawn_impact	wh2_dlc16_talon_of_dawn_impact	wh2_dlc16_talon_of_dawn_impact	wh2_dlc16_talon_of_dawn_impact	wh2_dlc16_talon_of_dawn_impact	wh2_dlc16_talon_of_dawn_impact	wh2_dlc16_talon_of_dawn_impact		
wh2_dlc16_talon_of_dusk_arrow	wh_main_impact_vsmall_water		wh2_dlc16_talon_of_dusk_impact	wh2_dlc16_talon_of_dusk_impact	wh2_dlc16_talon_of_dusk_impact	wh2_dlc16_talon_of_dusk_impact	wh2_dlc16_talon_of_dusk_impact	wh2_dlc16_talon_of_dusk_impact	wh2_dlc16_talon_of_dusk_impact	wh2_dlc16_talon_of_dusk_impact		
wh2_dlc17_ability_ancestral_rune_of_grimnir_impact	wh_main_impact_large_water		wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion	wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion	wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion	wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion	wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion	wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion	wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion	wh2_dlc17_ability_ancestral_rune_of_grimnir_explosion		wh_main_unit_impact_heavy
wh2_dlc_moonbow_impact	wh_main_impact_medium_water		wh2_dlc10_moonbow_impact	wh2_dlc10_moonbow_impact	wh2_dlc10_moonbow_impact	wh2_dlc10_moonbow_impact	wh2_dlc10_moonbow_impact	wh2_dlc10_moonbow_impact	wh2_dlc10_moonbow_impact	wh2_dlc10_moonbow_impact		wh_main_unit_impact_light
wh2_main_abilities_bloodwrack_cauldron	wh_main_impact_large_water		wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact	wh2_main_abilities_bloodwrack_cauldron_impact		wh_main_unit_impact_heavy
wh2_main_abilities_bolt_of_spite	wh_main_impact_medium_water		wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact	wh2_main_abilities_bolt_of_spite_impact		wh_main_unit_impact_medium
wh2_main_abilities_brazen_cauldron	wh_main_impact_large_water		wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact	wh2_main_abilities_brazen_cauldron_impact		wh_main_unit_impact_heavy
wh2_main_abilities_khaines_flail_bolt	wh_main_impact_medium_water		wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact	wh2_main_abilities_khaines_flail_impact		wh_main_unit_impact_medium
wh2_main_abilities_khaines_lash_bolt	wh_main_impact_medium_water		wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact	wh2_main_abilities_khaines_lash_impact		wh_main_unit_impact_medium
wh2_main_abilities_khaines_scourge_bolt	wh_main_impact_medium_water		wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact		wh_main_unit_impact_medium
wh2_main_abilities_sky_cauldron	wh_main_impact_large_water		wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact		wh_main_unit_impact_heavy
wh2_main_abilities_soul_rain_impact	wh_main_impact_medium_water		wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact		wh_main_unit_impact_light
wh2_main_abilities_soul_storm_impact	wh_main_impact_medium_water		wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact		wh_main_unit_impact_light
wh2_main_abilities_soul_torrent_impact	wh_main_impact_medium_water		wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact		wh_main_unit_impact_light
wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer		wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_main_army_abilities_vortic_blast_shrapnel	wh_main_impact_medium_water		wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact		wh_main_unit_impact_medium
