key	cost	effect_bundle	category	pre_requisite_set
wh2_dlc15_grn_upgrade_spiked_weapon	wh3_dlc26_scrap_cost_50	wh2_dlc15_grn_upgrade_spiked_weapon	weapon	
wh2_dlc15_grn_upgrade_water_flask	wh3_dlc26_scrap_cost_60	wh2_dlc15_grn_upgrade_water_flask	flask	
wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction	breed	
wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection	breed	
wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel	breed	
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction	breed	
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction	breed	
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction	breed	
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal	breed	
wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save	breed	
wh2_dlc16_throt_flesh_lab_inf_aug_0	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_0	gene	
wh2_dlc16_throt_flesh_lab_inf_aug_1	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_1	gene	
wh2_dlc16_throt_flesh_lab_inf_aug_10	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_inf_aug_10	augment	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_dlc16_throt_flesh_lab_inf_aug_11	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_inf_aug_11	augment	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_dlc16_throt_flesh_lab_inf_aug_12	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_inf_aug_12	augment	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_dlc16_throt_flesh_lab_inf_aug_13	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_inf_aug_13	augment	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_dlc16_throt_flesh_lab_inf_aug_14	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_inf_aug_14	augment	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_dlc16_throt_flesh_lab_inf_aug_15	wh2_dlc16_throt_flesh_lab_mutation_tier_2	wh2_dlc16_throt_flesh_lab_inf_aug_15	meta	wh2_dlc16_throt_flesh_lab_inf_aug_15
wh2_dlc16_throt_flesh_lab_inf_aug_16	wh2_dlc16_throt_flesh_lab_mutation_tier_2	wh2_dlc16_throt_flesh_lab_inf_aug_16	meta	wh2_dlc16_throt_flesh_lab_inf_aug_16
wh2_dlc16_throt_flesh_lab_inf_aug_17	wh2_dlc16_throt_flesh_lab_mutation_tier_2	wh2_dlc16_throt_flesh_lab_inf_aug_17	meta	wh2_dlc16_throt_flesh_lab_inf_aug_17
wh2_dlc16_throt_flesh_lab_inf_aug_2	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_2	gene	
wh2_dlc16_throt_flesh_lab_inf_aug_3	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_3	gene	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_dlc16_throt_flesh_lab_inf_aug_4	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_4	gene	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_dlc16_throt_flesh_lab_inf_aug_5	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_5	gene	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_dlc16_throt_flesh_lab_inf_aug_6	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_6	gene	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_dlc16_throt_flesh_lab_inf_aug_7	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_inf_aug_7	gene	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_dlc16_throt_flesh_lab_inf_aug_8	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_inf_aug_8	augment	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_dlc16_throt_flesh_lab_inf_aug_9	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_inf_aug_9	augment	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_dlc16_throt_flesh_lab_instability	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_instability	Instability	
wh2_dlc16_throt_flesh_lab_instability_1	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_instability_1	Instability	
wh2_dlc16_throt_flesh_lab_instability_2	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_instability_2	Instability	
wh2_dlc16_throt_flesh_lab_instability_3	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_instability_3	Instability	
wh2_dlc16_throt_flesh_lab_instability_4	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_instability_4	Instability	
wh2_dlc16_throt_flesh_lab_instability_5	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_instability_5	Instability	
wh2_dlc16_throt_flesh_lab_instability_6	wh2_dlc16_throt_flesh_lab_zero_cost_augments	wh2_dlc16_throt_flesh_lab_instability_6	Instability	
wh2_dlc16_throt_flesh_lab_mon_aug_0	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_0	gene	
wh2_dlc16_throt_flesh_lab_mon_aug_1	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_1	gene	
wh2_dlc16_throt_flesh_lab_mon_aug_10	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_mon_aug_10	augment	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_dlc16_throt_flesh_lab_mon_aug_11	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_mon_aug_11	augment	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_dlc16_throt_flesh_lab_mon_aug_12	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_mon_aug_12	augment	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_dlc16_throt_flesh_lab_mon_aug_13	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_mon_aug_13	augment	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_dlc16_throt_flesh_lab_mon_aug_14	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_mon_aug_14	augment	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_dlc16_throt_flesh_lab_mon_aug_15	wh2_dlc16_throt_flesh_lab_mutation_tier_2	wh2_dlc16_throt_flesh_lab_mon_aug_15	meta	wh2_dlc16_throt_flesh_lab_mon_aug_15
wh2_dlc16_throt_flesh_lab_mon_aug_16	wh2_dlc16_throt_flesh_lab_mutation_tier_2	wh2_dlc16_throt_flesh_lab_mon_aug_16	meta	wh2_dlc16_throt_flesh_lab_mon_aug_16
wh2_dlc16_throt_flesh_lab_mon_aug_17	wh2_dlc16_throt_flesh_lab_mutation_tier_2	wh2_dlc16_throt_flesh_lab_mon_aug_17	meta	wh2_dlc16_throt_flesh_lab_mon_aug_17
wh2_dlc16_throt_flesh_lab_mon_aug_2	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_2	gene	
wh2_dlc16_throt_flesh_lab_mon_aug_3	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_3	gene	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_dlc16_throt_flesh_lab_mon_aug_4	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_4	gene	wh2_dlc16_throt_flesh_lab_mon_aug_4
wh2_dlc16_throt_flesh_lab_mon_aug_5	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_5	gene	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_dlc16_throt_flesh_lab_mon_aug_6	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_6	gene	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_dlc16_throt_flesh_lab_mon_aug_7	wh2_dlc16_throt_flesh_lab_mutation_tier_0	wh2_dlc16_throt_flesh_lab_mon_aug_7	gene	wh2_dlc16_throt_flesh_lab_mon_aug_7
wh2_dlc16_throt_flesh_lab_mon_aug_8	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_mon_aug_8	augment	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_dlc16_throt_flesh_lab_mon_aug_9	wh2_dlc16_throt_flesh_lab_mutation_tier_1	wh2_dlc16_throt_flesh_lab_mon_aug_9	augment	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh2_dlc16_wef_upgrade_aspect_birch_dryad	wh2_dlc16_upgrade_cost_aspect_dryad	wh2_dlc16_wef_upgrade_aspect_birch_dryad	birch_aspect	
wh2_dlc16_wef_upgrade_aspect_birch_treekin	wh2_dlc16_upgrade_cost_aspect_treekin	wh2_dlc16_wef_upgrade_aspect_birch_treekin	birch_aspect	
wh2_dlc16_wef_upgrade_aspect_birch_treeman	wh2_dlc16_upgrade_cost_aspect_treeman	wh2_dlc16_wef_upgrade_aspect_birch_treeman	birch_aspect	
wh2_dlc16_wef_upgrade_aspect_oak_dryad	wh2_dlc16_upgrade_cost_aspect_dryad	wh2_dlc16_wef_upgrade_aspect_oak_dryad	oak_aspect	
wh2_dlc16_wef_upgrade_aspect_oak_treekin	wh2_dlc16_upgrade_cost_aspect_treekin	wh2_dlc16_wef_upgrade_aspect_oak_treekin	oak_aspect	
wh2_dlc16_wef_upgrade_aspect_oak_treeman	wh2_dlc16_upgrade_cost_aspect_treeman	wh2_dlc16_wef_upgrade_aspect_oak_treeman	oak_aspect	
wh2_dlc16_wef_upgrade_aspect_willow_dryad	wh2_dlc16_upgrade_cost_aspect_dryad	wh2_dlc16_wef_upgrade_aspect_willow_dryad	willow_aspect	
wh2_dlc16_wef_upgrade_aspect_willow_treekin	wh2_dlc16_upgrade_cost_aspect_treekin	wh2_dlc16_wef_upgrade_aspect_willow_treekin	willow_aspect	
wh2_dlc16_wef_upgrade_aspect_willow_treeman	wh2_dlc16_upgrade_cost_aspect_treeman	wh2_dlc16_wef_upgrade_aspect_willow_treeman	willow_aspect	
wh3_dlc26_grn_upgrade_best_blades	wh3_dlc26_scrap_cost_55	wh3_dlc26_grn_upgrade_best_blades	weapon	
wh3_dlc26_grn_upgrade_betta_bows	wh3_dlc26_scrap_cost_30	wh3_dlc26_grn_upgrade_betta_bows	weapon	
wh3_dlc26_grn_upgrade_big_banner_boyz	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_big_banner_boyz	bag	
wh3_dlc26_grn_upgrade_big_bone_basha	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_big_bone_basha	weapon	
wh3_dlc26_grn_upgrade_big_squig_spikes	wh3_dlc26_scrap_cost_80	wh3_dlc26_grn_upgrade_big_squig_spikes	weapon	
wh3_dlc26_grn_upgrade_bigga_rocks	wh3_dlc26_scrap_cost_40	wh3_dlc26_grn_upgrade_bigga_rocks	arrow	
wh3_dlc26_grn_upgrade_biggest_stick	wh3_dlc26_scrap_cost_70	wh3_dlc26_grn_upgrade_biggest_stick	weapon	
wh3_dlc26_grn_upgrade_bone_basha	wh3_dlc26_scrap_cost_45	wh3_dlc26_grn_upgrade_bone_basha	weapon	
wh3_dlc26_grn_upgrade_bone_breastplates	wh3_dlc26_scrap_cost_45	wh3_dlc26_grn_upgrade_bone_breastplates	armour	
wh3_dlc26_grn_upgrade_borrowed_bolts	wh3_dlc26_scrap_cost_40	wh3_dlc26_grn_upgrade_borrowed_bolts	arrow	
wh3_dlc26_grn_upgrade_hairstring_bow	wh3_dlc26_scrap_cost_40	wh3_dlc26_grn_upgrade_hairstring_bow	weapon	
wh3_dlc26_grn_upgrade_ivory_armguards	wh3_dlc26_scrap_cost_20	wh3_dlc26_grn_upgrade_ivory_armguards	armour	
wh3_dlc26_grn_upgrade_less_lucky_banner	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_less_lucky_banner	bag	
wh3_dlc26_grn_upgrade_mandibles	wh3_dlc26_scrap_cost_45	wh3_dlc26_grn_upgrade_mandibles	weapon	
wh3_dlc26_grn_upgrade_pump_plating	wh3_dlc26_scrap_cost_30	wh3_dlc26_grn_upgrade_pump_plating	armour	
wh3_dlc26_grn_upgrade_rollers	wh3_dlc26_scrap_cost_35	wh3_dlc26_grn_upgrade_rollers	weapon	
wh3_dlc26_grn_upgrade_salvaged_artillery	wh3_dlc26_scrap_cost_60	wh3_dlc26_grn_upgrade_salvaged_artillery	weapon	
wh3_dlc26_grn_upgrade_scrap_gauntlet	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_scrap_gauntlet	weapon	
wh3_dlc26_grn_upgrade_sharpening_stones	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_sharpening_stones	bag	
wh3_dlc26_grn_upgrade_shroom_powda	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_shroom_powda	bag	
wh3_dlc26_grn_upgrade_smoke_bomb_bag	wh3_dlc26_scrap_cost_30	wh3_dlc26_grn_upgrade_smoke_bomb_bag	bag	
wh3_dlc26_grn_upgrade_spikier_weapon	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_spikier_weapon	weapon	
wh3_dlc26_grn_upgrade_spiky_claws	wh3_dlc26_scrap_cost_75	wh3_dlc26_grn_upgrade_spiky_claws	weapon	
wh3_dlc26_grn_upgrade_spiky_legs	wh3_dlc26_scrap_cost_60	wh3_dlc26_grn_upgrade_spiky_legs	weapon	
wh3_dlc26_grn_upgrade_squig_spikes	wh3_dlc26_scrap_cost_55	wh3_dlc26_grn_upgrade_squig_spikes	weapon	
wh3_dlc26_grn_upgrade_strapped_plates	wh3_dlc26_scrap_cost_50	wh3_dlc26_grn_upgrade_strapped_plates	armour	
wh3_dlc26_grn_upgrade_thicker_robes	wh3_dlc26_scrap_cost_35	wh3_dlc26_grn_upgrade_thicker_robes	armour	
wh3_dlc26_grn_upgrade_wagon_weelz	wh3_dlc26_scrap_cost_40	wh3_dlc26_grn_upgrade_wagon_weelz	mount	
wh3_dlc26_grn_upgrade_weighted_carriages	wh3_dlc26_scrap_cost_30	wh3_dlc26_grn_upgrade_weighted_carriages	mount	
wh3_dlc26_grn_upgrade_wheel_blades	wh3_dlc26_scrap_cost_30	wh3_dlc26_grn_upgrade_wheel_blades	weapon	
wh3_dlc26_grn_upgrade_wing_suit	wh3_dlc26_scrap_cost_30	wh3_dlc26_grn_upgrade_wing_suit	armour	
