bonus_value_id	effect	pooled_resource
maximum_mod	wh3_main_effect_dae_khorne_points_maximum_mod	wh3_main_dae_khorne_points
percentage_multiplier_mod	wh3_main_effect_dae_khorne_points_percentage_multiplier_mod	wh3_main_dae_khorne_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_khorne_points_percentage_multiplier_mod	wh3_main_dae_khorne_points
income_disabled	wh3_main_effect_dae_nurgle_points_income_disabled	wh3_main_dae_nurgle_points
maximum_mod	wh3_main_effect_dae_nurgle_points_maximum_mod	wh3_main_dae_nurgle_points
percentage_multiplier_mod	wh3_main_effect_dae_nurgle_points_percentage_multiplier_mod	wh3_main_dae_nurgle_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_nurgle_points_percentage_multiplier_mod	wh3_main_dae_nurgle_points
income_disabled	wh3_main_effect_dae_slaanesh_points_income_disabled	wh3_main_dae_slaanesh_points
maximum_mod	wh3_main_effect_dae_slaanesh_points_maximum_mod	wh3_main_dae_slaanesh_points
percentage_multiplier_mod	wh3_main_effect_dae_slaanesh_points_percentage_multiplier_mod	wh3_main_dae_slaanesh_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_slaanesh_points_percentage_multiplier_mod	wh3_main_dae_slaanesh_points
income_disabled	wh3_main_effect_dae_tzeentch_points_income_disabled	wh3_main_dae_tzeentch_points
maximum_mod	wh3_main_effect_dae_tzeentch_points_maximum_mod	wh3_main_dae_tzeentch_points
percentage_multiplier_mod	wh3_main_effect_dae_tzeentch_points_percentage_multiplier_mod	wh3_main_dae_tzeentch_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_tzeentch_points_percentage_multiplier_mod	wh3_main_dae_tzeentch_points
income_disabled	wh3_main_effect_dae_undivided_points_income_disabled	wh3_main_dae_undivided_points
maximum_mod	wh3_main_effect_dae_undivided_points_maximum_mod	wh3_main_dae_undivided_points
maximum_mod	wh3_main_effect_pooled_resource_seductive_influence_capacity_mod	wh3_main_sla_seductive_influence
maximum_mod	wh3_main_effect_winds_of_magic_pool_cap_enemy	wh3_main_winds_of_magic
maximum_mod	wh3_main_effect_winds_of_magic_pool_cap_hidden	wh3_main_winds_of_magic
maximum_mod	wh3_main_effect_winds_of_magic_pool_cap	wh3_main_winds_of_magic
minimum_mod	wh3_main_effect_winds_of_magic_pool_min	wh3_main_winds_of_magic
maximum_mod	wh3_main_pooled_resource_def_slaves_buildings_capacity	def_slaves
