tree_id	can_be_removed	season	colour_hex
shrubs_evil_04	true	ALL	645A5A
shrubs_grn_01	false	ALL	C80A28
shrubs_grn_02	false	ALL	C80A28
shrubs_grn_03	false	ALL	C80A28
shrubs_grn_04	true	ALL	C80A28
shrubs_kho_01	true	ALL	FF5050
shrubs_kho_02	true	ALL	FF5050
shrubs_kho_03	true	ALL	FF5050
shrubs_kho_04	true	ALL	FF5050
shrubs_marsh_01	false	ALL	646446
shrubs_marsh_02	false	ALL	646446
shrubs_marsh_03	false	ALL	646446
shrubs_marsh_04	false	ALL	646446
shrubs_mtn_01	true	ALL	FFA050
shrubs_mtn_02	true	ALL	FFA050
shrubs_mtn_03	true	ALL	FFA050
shrubs_mtn_04	true	ALL	FFA050
shrubs_nur_01	true	ALL	967D32
shrubs_nur_02	true	ALL	967D32
shrubs_nur_03	true	ALL	967D32
shrubs_nur_04	true	ALL	967D32
shrubs_snow_01	false	ALL	E6E6FF
shrubs_snow_02	false	ALL	E6E6FF
shrubs_snow_03	true	ALL	E6E6FF
shrubs_snow_04	true	ALL	E6E6FF
shrubs_swamp_01	true	ALL	738723
shrubs_swamp_02	true	ALL	738723
shrubs_swamp_03	true	ALL	738723
shrubs_swamp_04	true	ALL	738723
shrubs_tze_01	false	ALL	695596
shrubs_tze_02	false	ALL	695596
shrubs_tze_03	false	ALL	695596
shrubs_tze_04	false	ALL	695596
skull_mounds_01	true	ALL	CDD0BE
skull_mounds_02	true	ALL	CDD0BE
skull_mounds_light_01	true	ALL	E6F0C3
skull_mounds_light_02	true	ALL	E6F0C3
tree_large_01	false	ALL	4A904A
tree_large_02	false	ALL	4A904A
tree_large_03	false	ALL	4A904A
tree_large_04	false	ALL	4A904A
tree_large_blossom_01	true	ALL	F06EFF
tree_large_blossom_02	true	ALL	F06EFF
tree_large_blossom_03	true	ALL	F06EFF
tree_large_blossom_04	true	ALL	F06EFF
tree_large_burnt_01	true	ALL	FFFFFF
tree_large_burnt_02	true	ALL	FFFFFF
tree_large_burnt_03	true	ALL	FFFFFF
tree_large_burnt_04	true	ALL	FFFFFF
tree_large_cth_01	false	ALL	6EC81E
tree_large_cth_02	false	ALL	6EC81E
tree_large_cth_03	false	ALL	6EC81E
tree_large_cth_04	false	ALL	6EC81E
tree_large_dead_01	false	ALL	967355
tree_large_dead_02	false	ALL	967355
tree_large_dead_03	false	ALL	967355
tree_large_dead_04	false	ALL	967355
tree_large_dead_burnt_01	true	ALL	AB9F82
tree_large_dead_burnt_02	true	ALL	AB9F82
tree_large_dead_burnt_03	true	ALL	AB9F82
tree_large_dead_burnt_04	true	ALL	AB9F82
tree_large_evil_01	false	ALL	191919
tree_large_evil_02	false	ALL	191919
tree_large_evil_03	false	ALL	191919
tree_large_evil_04	false	ALL	191919
tree_large_grn_01	true	ALL	96965A
tree_large_grn_02	true	ALL	96965A
tree_large_grn_03	true	ALL	96965A
tree_large_grn_04	true	ALL	96965A
tree_large_jungle_01	true	ALL	87914B
tree_large_jungle_02	true	ALL	87914B
tree_large_jungle_03	true	ALL	87914B
tree_large_jungle_04	true	ALL	87914B
tree_large_mtn_01	true	ALL	96735A
tree_large_mtn_02	true	ALL	96735A
tree_large_mtn_03	true	ALL	96735A
tree_large_mtn_04	true	ALL	96735A
tree_large_nur_01	false	ALL	A58228
tree_large_nur_02	false	ALL	A58228
tree_large_nur_03	false	ALL	A58228
tree_large_nur_04	true	ALL	A58228
tree_large_palm_01	true	ALL	FFAA00
tree_large_palm_02	true	ALL	FFAA00
tree_large_palm_03	true	ALL	FFAA00
tree_large_palm_04	true	ALL	FFAA00
tree_large_snow_01	false	ALL	C86800
tree_large_snow_02	false	ALL	C86800
tree_large_snow_03	false	ALL	C86800
tree_large_snow_04	false	ALL	C86800
tree_large_snow_pro_01	true	ALL	8B4800
tree_large_snow_pro_02	true	ALL	8B4800
tree_large_snow_pro_03	true	ALL	8B4800
tree_large_snow_pro_04	true	ALL	8B4800
tree_large_snow_pro_tze_01	true	ALL	714BAF
tree_large_snow_pro_tze_02	true	ALL	714BAF
tree_large_snow_pro_tze_03	true	ALL	714BAF
tree_large_snow_pro_tze_04	true	ALL	714BAF
tree_large_tze_01	false	ALL	4B50AF
tree_large_tze_02	false	ALL	4B50AF
tree_large_tze_03	false	ALL	4B50AF
tree_large_tze_04	true	ALL	4B50AF
tree_mangrove_01	true	ALL	82D7BE
tree_mangrove_02	true	ALL	82D7BE
tree_mangrove_03	true	ALL	82D7BE
tree_mangrove_04	true	ALL	82D7BE
tree_mangrove_05	true	ALL	82D7BE
tree_small_01	false	ALL	8CD28C
tree_small_02	false	ALL	8CD28C
tree_small_03	false	ALL	8CD28C
tree_small_04	false	ALL	8CD28C
tree_small_burnt_01	true	ALL	DDDDDD
tree_small_burnt_02	true	ALL	DDDDDD
tree_small_burnt_03	true	ALL	DDDDDD
tree_small_burnt_04	true	ALL	DDDDDD
tree_small_cth_01	false	ALL	96F53C
tree_small_cth_02	false	ALL	96F53C
tree_small_cth_03	false	ALL	96F53C
tree_small_cth_04	false	ALL	96F53C
tree_small_evil_01	false	ALL	323232
tree_small_evil_02	false	ALL	323232
tree_small_evil_03	false	ALL	323232
tree_small_evil_04	false	ALL	323232
tree_small_grn_01	true	ALL	C3C373
tree_small_grn_02	true	ALL	C3C373
tree_small_grn_03	true	ALL	C3C373
tree_small_grn_04	true	ALL	C3C373
tree_small_jungle_01	true	ALL	B4BE64
tree_small_jungle_02	true	ALL	B4BE64
tree_small_jungle_03	true	ALL	B4BE64
tree_small_jungle_04	true	ALL	B4BE64
tree_small_palm_01	true	ALL	FAC85F
tree_small_palm_02	true	ALL	FAC85F
tree_small_palm_03	true	ALL	FAC85F
tree_small_palm_04	true	ALL	FAC85F
tree_small_snow_01	false	ALL	C89600
tree_small_snow_02	false	ALL	C89600
tree_small_snow_03	false	ALL	C89600
tree_small_snow_04	false	ALL	C89600
tree_small_snow_pro_01	true	ALL	8E6A00
tree_small_snow_pro_02	true	ALL	8E6A00
tree_small_snow_pro_03	true	ALL	8E6A00
tree_small_snow_pro_04	true	ALL	8E6A00
tree_small_snow_pro_tze_01	true	ALL	9772D5
tree_small_snow_pro_tze_02	true	ALL	9772D5
tree_small_snow_pro_tze_03	true	ALL	9772D5
tree_small_snow_pro_tze_04	true	ALL	9772D5
tree_small_tze_01	false	ALL	3278BE
tree_small_tze_02	false	ALL	3278BE
tree_small_tze_03	false	ALL	3278BE
tree_small_tze_04	true	ALL	3278BE
