key	icon	parent_group
chd_kdaai_destroyer	wh3_dlc23_chd_kdaai_destroyer	monster_beasts
chd_kdaai_fireborn	wh3_dlc23_chd_kdaai_fireborn	monster_beasts
chd_lammasu	wh3_dlc23_chd_lammasu	monster_beasts
chd_skullcracker	wh3_dlc23_chd_skullcracker	artillery_war_machines
chs_dragon_ogre_shaggoth	chs_shaggoth	monster_beasts
chs_dragon_ogres	chs_shaggoth	monster_beasts
chs_exalted_hero	wh_main_chs_champion	heroes_agents
chs_exalted_hero_cavalry	wh_main_chs_champion	heroes_agents
chs_exalted_hero_chariot	wh_main_chs_champion	heroes_agents
chs_exalted_hero_manticore	wh_main_chs_champion	heroes_agents
chs_harald_hammerstorm	wh3_pro11_chs_harald_hammerstorm	heroes_agents
dragon	dragon	monster_beasts
dwf_dragon_slayer	dwf_dragon_slayer	heroes_agents
dwf_garagrim_ironfist	dwf_garagrim_ironfist	heroes_agents
dwf_gyrocopter	dwf_gyrocopter	flying_war_machine
dwf_irondrakes	dwf_irondrakes	missile_infantry
dwf_irondrakes_torpedo	dwf_irondrakes_torpedo	missile_infantry
dwf_master_engineer	wh_main_dwf_master_engineer	heroes_agents
dwf_master_engineer_campaign	wh_main_dwf_master_engineer	campaign_exclusives
dwf_runesmith	wh_main_dwf_runesmith	heroes_agents
dwf_runesmith_campaign	wh_main_dwf_runesmith	campaign_exclusives
dwf_thane	wh_main_dwf_champion	heroes_agents
dwf_thane_campaign	wh_main_dwf_champion	campaign_exclusives
dwf_thunderbarge	dwf_thunderbarge	flying_war_machine
emp_captain	wh_main_emp_champion	heroes_agents
emp_captain_cavalry	wh_main_emp_champion	heroes_agents
emp_captain_pegasus	wh_main_emp_champion	heroes_agents
emp_engineer	emp_master_engineer	heroes_agents
emp_marienburg_land_ship	emp_marienburg_land_ship	artillery_war_machines
emp_master_engineer	emp_master_engineer	commander
emp_rocket_battery	emp_rocket_battery	artillery_war_machines
emp_steam_tank	emp_steam_tank	artillery_war_machines
emp_theodore_bruckner	emp_theodore_bruckner	heroes_agents
emp_warrior_priest	wh_main_emp_dignitary	heroes_agents
emp_warrior_priest_cavalry	wh_main_emp_dignitary	heroes_agents
emp_witch_hunter	wh_main_emp_spy	heroes_agents
field_gun_flame	flame_cannon	artillery_war_machines
flying_monstrous_cavalry	wh2_dlc15_griffon_knights	cavalry_chariots
giant	giant	monster_beasts
goblin_hewer	wh_dlc06_dwf_throwing_axe	artillery_war_machines
grn_arachnarok	grn_arachnarok	monster_beasts
grn_black_orc_bigboss	wh2_dlc15_black_orc_big_boss	heroes_agents
grn_doomdiver	grn_doomdiver	artillery_war_machines
grn_goblin_bigboss	wh_main_grn_spy	heroes_agents
grn_goblin_bigboss_cavalry	wh_main_grn_spy	heroes_agents
grn_goblin_bigboss_chariot	wh_main_grn_spy	heroes_agents
grn_spider_hatchling	grn_arachnarok	monster_beasts
hero_infantry_axe	infantry_axe	heroes_agents
infantry_axe	infantry_axe	infantry
infantry_axe_dual	infantry_axe_dual	infantry
infantry_axe_great	infantry_axe_great	infantry
infantry_axe_great_grn	infantry_axe_great_grn	infantry
infantry_axe_great_labourers	infantry_pickaxe	infantry
infantry_axe_magical	wh3_dlc23_infantry_axe_magical	infantry
infantry_axe_throwing	wh_dlc06_dwf_throwing_axe	missile_infantry
infantry_hammer_great	infantry_hammer_great	infantry
infantry_pickaxe	infantry_pickaxe	infantry
infantry_spear	infantry_spear	infantry
infantry_spear_halberd	infantry_spear_halberd	infantry
infantry_sword	infantry_sword	infantry
infantry_sword_dual	wh2_dlc09_tmb_dual_sword	infantry
infantry_sword_great	infantry_sword_great	infantry
infantry_sword_grn	infantry_sword_grn	infantry
lord_cavalry	cavalry	commander
lord_cavalry_flying	cavalry_flying	commander
lord_cavalry_wolf	cavalry_wolf	commander
lord_chariot	chariot	commander
lord_chs_kholek	chs_shaggoth	commander
lord_dragon	dragon	commander
lord_dwf_master_engineer	wh_main_dwf_master_engineer	commander
lord_griffon	wh2_dlc15_griffon_knights	commander
lord_infantry_axe	infantry_axe	commander
lord_infantry_axe_dual	infantry_axe_dual	commander
lord_infantry_axe_great	infantry_axe_great	commander
lord_infantry_axe_great_grn	infantry_axe_great_grn	commander
lord_infantry_halberd	infantry_spear_halberd	commander
lord_infantry_hammer_great	infantry_hammer_great	commander
lord_infantry_lord_of_change	wh_main_lore_metal	commander
lord_infantry_sword	infantry_sword	commander
lord_infantry_sword_great	infantry_sword_great	commander
lord_infantry_sword_grn	infantry_sword_grn	commander
lord_magic_chariot	magic_chariot	commander
lord_shock_cavalry	shock_cavalry	commander
lord_wizard_beasts	wh_dlc03_lore_beasts	commander
lord_wizard_big_waaagh	wh_main_lore_big_waaagh	commander
lord_wizard_death	wh_main_lore_death	commander
lord_wizard_deep	wh2_dlc11_cst_lore_deeps	commander
lord_wizard_fire	wh_main_lore_fire	commander
lord_wizard_hashut	wh3_dlc23_lore_hashut	commander
lord_wizard_heavens	wh_main_lore_heavens	commander
lord_wizard_life	wh_dlc05_wef_lore_life	commander
lord_wizard_light	wh_main_lore_light	commander
lord_wizard_lil_waaagh	wh_main_lore_lil_waaagh	commander
lord_wizard_metal	wh_main_lore_metal	commander
lord_wizard_mixed	wh2_dlc12_magic_lore_generic	commander
lord_wizard_nehekhara	wh2_dlc09_lore_nehekhara	commander
lord_wizard_runelord	wh_main_dwf_runesmith	commander
lord_wizard_shadows	wh_dlc05_wef_lore_shadow	commander
lord_wizard_vampires	wh_main_lore_vampires	commander
lord_wizard_vampires_shadows	wh_main_lore_vampires	commander
lord_wizard_wild	wh_dlc03_bst_lore_wild	commander
magic_chariot	magic_chariot	artillery_war_machines
missile_cavalry_axe	missile_cavalry_axe	missile_cavalry_chariots
missile_cavalry_blunderbuss	missile_cavalry_blunderbuss	missile_cavalry_chariots
missile_cavalry_bow	missile_cavalry_bow	missile_cavalry_chariots
missile_cavalry_bow_skeleton	wh2_dlc09_tmb_cavalry_bow	missile_cavalry_chariots
missile_cavalry_bow_spider	missile_cavalry_bow_spider	missile_cavalry_chariots
missile_cavalry_bow_wolf	missile_cavalry_bow_wolf	missile_cavalry_chariots
missile_cavalry_grenade_launcher	missile_cavalry_grenade_launcher	missile_cavalry_chariots
missile_cavalry_javelin	missile_cavalry_javelin	missile_cavalry_chariots
missile_cavalry_pistol	missile_cavalry_pistol	missile_cavalry_chariots
missile_cavalry_rifle	missile_cavalry_rifle	missile_cavalry_chariots
missile_chariot	missile_chariot	missile_cavalry_chariots
missile_chariot_field_gun	missile_chariot_field_gun	missile_cavalry_chariots
missile_chariot_mortar	missile_chariot_mortar	missile_cavalry_chariots
missile_chariot_rifle	missile_chariot_rifle	missile_cavalry_chariots
missile_infantry_bow	missile_infantry_bow	missile_infantry
missile_infantry_bow_dwf	missile_infantry_bow_dwf	missile_infantry
missile_infantry_bow_grn	missile_infantry_bow_grn	missile_infantry
missile_infantry_grudge_raker	missile_infantry_grudge_raker	missile_infantry
missile_infantry_pistol	missile_infantry_pistol	missile_infantry
missile_infantry_rifle	missile_infantry_rifle	missile_infantry
missile_infantry_sniper	wh2_dlc11_cst_specialist_missile_infantry	missile_infantry
monster_artillery	wh2_dlc11_cst_missile_monster	missile_monster_beasts
monster_generic	giant	monster_beasts
monstrous_chariot	wh2_dlc15_lion_chariot	cavalry_chariots
monstrous_infantry	monstrous_infantry	monster_beasts
monstrous_infantry_flying	monstrous_infantry	monster_beasts
monstrous_shock_cavalry	wh2_dlc15_griffon_knights	cavalry_chariots
monstrous_shock_cavalry_stags	wh_dlc05_wef_wild_riders	cavalry_chariots
nor_mammoth	wh_dlc08_nor_chaos_war_mammoth	monster_beasts
nur_kayzk	wh3_dlc25_nur_cha_kayzk_the_befouled	heroes_agents
nur_plague_ogres	wh3_dlc25_nur_inf_plague_ogres	infantry
nur_rot_knights	wh3_dlc25_nur_cav_rot_knights	cavalry_chariots
nur_toad_dragon	wh3_dlc25_nur_mon_toad_dragon	monster_beasts
shock_cavalry	shock_cavalry	cavalry_chariots
shock_cavalry_boar	shock_cavalry_boar	cavalry_chariots
vmp_cavalry_scythe	vmp_cavalry_scythe	cavalry_chariots
vmp_crypt_ghouls	infantry_cudgel	infantry
vmp_fell_bats	vmp_fell_bats	monster_beasts
vmp_infantry_scythe	vmp_infantry_scythe	infantry
vmp_tomb_banshee	wh_main_vmp_spy	heroes_agents
vmp_varghulf	vmp_varghulf	monster_beasts
vmp_wight_king	wh_main_vmp_champion	heroes_agents
vmp_wight_king_cavalry	wh_main_vmp_champion	heroes_agents
war_beast	war_beast	monster_beasts
wef_zoats	chs_shaggoth	monster_beasts
wh2_dlc09_lord_infantry_spear	infantry_spear	commander
wh2_dlc09_lord_tmb_warsphinx	wh2_dlc09_tmb_khemrian_warsphinx_missile	commander
wh2_dlc09_tmb_carrion	wh2_dlc09_tmb_carrion	monster_beasts
wh2_dlc09_tmb_casket_of_souls	wh2_dlc09_tmb_casket_of_souls	artillery_war_machines
wh2_dlc09_tmb_hierotitan	wh2_dlc09_tmb_hierotitan_magic_scales	constructs
wh2_dlc09_tmb_necroserpent_halberd	wh2_dlc09_tmb_necroserpent_halberd	constructs
wh2_dlc09_tmb_necroserpent_spear	wh2_dlc09_tmb_necroserpent_spear	constructs
wh2_dlc09_tmb_necrosphinx	wh2_dlc09_tmb_necrosphinx	constructs
wh2_dlc09_tmb_necrotect	wh2_dlc09_tmb_necrotect	heroes_agents
wh2_dlc09_tmb_scorpion	wh2_dlc09_tmb_scorpion	constructs
wh2_dlc09_tmb_sepulchral_stalkers	wh2_dlc09_tmb_sepulchral_stalkers	constructs
wh2_dlc09_tmb_tomb_prince	wh2_dlc09_tmb_tomb_prince	heroes_agents
wh2_dlc09_tmb_ushabti	monstrous_infantry	constructs
wh2_dlc09_tmb_ushabti_bow	wh2_dlc09_tmb_monstrous_inf_bow_ushabti	constructs
wh2_dlc09_tmb_warsphinx	wh2_dlc09_tmb_khemrian_warsphinx_missile	constructs
wh2_dlc10_def_kharibdyss	wh2_main_def_mon_war_hydra	monster_beasts
wh2_dlc10_def_whip_infantry	wh2_dlc09_tmb_whip_infantry	infantry
wh2_dlc10_flying_missile_cavalry	missile_cavalry_bow	missile_cavalry_chariots
wh2_dlc10_hef_hand_of_the_shadow_crown	wh2_dlc10_hef_hand_of_the_shadowking	heroes_agents
wh2_dlc10_hef_handmaiden	wh2_dlc10_hef_handmaiden	heroes_agents
wh2_dlc10_lord_alith_anar_mirror	commander	commander
wh2_dlc10_magic_melee_cav	wh2_dlc10_magic_cav	cavalry_chariots
wh2_dlc10_tmb_bone_giant	giant	constructs
wh2_dlc11_cst_close_quarters_missile_infantry	wh2_dlc11_cst_close_quarters_missile_infantry	missile_infantry
wh2_dlc11_cst_deck_droppers	wh2_dlc11_cst_flying_rifle_cavalry	missile_monster_beasts
wh2_dlc11_cst_deck_droppers_bombs	wh2_dlc11_cst_flying_explosives_cavalry	missile_monster_beasts
wh2_dlc11_cst_deck_droppers_pistols	vmp_fell_bats	missile_monster_beasts
wh2_dlc11_cst_exploding_monster	wh2_dlc11_cst_exploding_monster	monster_beasts
wh2_dlc11_cst_explosives_infantry	wh2_dlc11_cst_explosives_infantry	missile_infantry
wh2_dlc11_cst_gunnery_wight	wh2_dlc11_cst_gunnery_wight	heroes_agents
wh2_dlc11_cst_missile_pistol	wh2_dlc11_cst_missile_pistol	missile_infantry
wh2_dlc11_cst_mourngul_haunter	wh2_dlc11_cst_mourngul_haunter	heroes_agents
wh2_dlc11_cst_promethean	monstrous_infantry	monster_beasts
wh2_dlc11_cst_promethean_missile	monstrous_infantry	missile_monster_beasts
wh2_dlc11_cst_syreens	wh2_dlc11_cst_syreens	infantry
wh2_dlc12_wizard_lord_kroak	wh2_dlc12_magic_lore_generic	heroes_agents
wh2_dlc14_def_hero_champion	wh2_dlc14_def_champion	heroes_agents
wh2_dlc14_def_monster_medusa	wh2_dlc14_def_medusa	missile_monster_beasts
wh2_dlc14_lord_snikch	wh2_main_infantry_dual_swords	commander
wh2_dlc14_lord_spear_whip	wh2_dlc14_lord_spear_whip	commander
wh2_dlc14_lore_stealth	wh2_dlc14_lore_stealth	heroes_agents
wh2_dlc14_skv_infantry_guandao	wh2_dlc14_skv_infantry_guandao	infantry
wh2_dlc14_skv_weapon_team_death_globe_mortar	wh2_dlc14_skv_missile_infantry_death_globe_mortar	missile_infantry
wh2_dlc14_skv_weapon_team_gun	wh2_dlc11_cst_specialist_missile_infantry	missile_infantry
wh2_dlc14_skv_weapon_team_poisoned_wind_mortar	wh2_dlc14_skv_missile_infantry_poisoned_wind_mortar	missile_infantry
wh2_dlc14_skv_weapon_team_warp_grinder	wh2_dlc14_skv_warp_grinder	infantry
wh2_dlc14_skv_weapon_team_warpfire	dwf_irondrakes	missile_infantry
wh2_dlc15_hef_close_quarters_missile_infantry	wh2_main_def_missile_infantry_bow_shades_dual_weapons	missile_infantry
wh2_dlc15_hef_mistwalkers_cavalry	wh2_dlc15_griffon_knights	monster_beasts
wh2_dlc15_hef_mistwalkers_hybrid	wh2_main_hef_missile_infantry_bow_spear	missile_infantry
wh2_dlc15_hef_mistwalkers_sword	infantry_sword	infantry
wh2_dlc15_hef_phoenix_arcane	wh2_dlc15_arcane_phoenix	monster_beasts
wh2_dlc15_rogue_idol	wh2_dlc15_idol_of_gork	monster_beasts
wh2_dlc15_rogue_idol_ror	wh2_dlc15_idol_of_gork	monster_beasts
wh2_dlc15_snotling_pump_wagon	wh2_dlc15_snotling_pump_wagons	artillery_war_machines
wh2_dlc15_snotling_pump_wagon_flappa	wh2_dlc15_snotling_pump_wagons_flappas	artillery_war_machines
wh2_dlc15_snotling_pump_wagon_roller	wh2_dlc15_snotling_pump_wagons_spiky_rolla	artillery_war_machines
wh2_dlc15_squig_explosive	wh2_dlc15_soopa_squig	monster_beasts
wh2_dlc16_skv_brood_horror	wh2_dlc16_skv_brood_horror	monster_beasts
wh2_dlc16_skv_chieftain	wh2_dlc16_skv_chieftain	heroes_agents
wh2_dlc16_skv_ghoritch	wh2_dlc16_skv_ghoritch	heroes_agents
wh2_dlc16_skv_packmaster	wh2_dlc16_skv_packmaster	heroes_agents
wh2_dlc16_wef_ancient_treeman	wh_dlc05_wef_treeman	heroes_agents
wh2_dlc16_wef_hawks	wh_dlc05_wef_great_eagle	monster_beasts
wh2_dlc17_bst_ghorgon	wh2_dlc17_bst_ghorgon	monster_beasts
wh2_dlc17_bst_jabberslythe	wh2_dlc17_bst_jabberslythe	monster_beasts
wh2_dlc17_bst_manticore	wh2_dlc17_bst_manticore	monster_beasts
wh2_dlc17_bst_wargor	wh2_dlc17_bst_wargor	heroes_agents
wh2_dlc17_chameleon_stalkers	wh2_dlc17_chameleon_stalkers	infantry
wh2_dlc17_lzd_ancient_stegadon	wh2_dlc17_lzd_ancient_stegadon	missile_monster_beasts
wh2_dlc17_lzd_ancient_stegadon_engine	wh2_dlc17_lzd_ancient_stegadon_engine	monster_beasts
wh2_dlc17_lzd_bastiladon	wh2_dlc17_lzd_bastiladon	monster_beasts
wh2_dlc17_lzd_bastiladon_engine	wh2_dlc17_lzd_bastiladon_engine	missile_monster_beasts
wh2_dlc17_lzd_bastiladon_healing	wh2_dlc17_lzd_bastiladon_healing	monster_beasts
wh2_dlc17_lzd_carnosaur	wh2_dlc17_lzd_carnosaur	monster_beasts
wh2_dlc17_lzd_coatl	wh2_dlc17_lzd_coatl	monster_beasts
wh2_dlc17_lzd_dread_saurian	wh2_dlc17_lzd_dread_saurian	monster_beasts
wh2_dlc17_lzd_hero_oracle	wh2_dlc17_lzd_skink_oracle	heroes_agents
wh2_dlc17_lzd_horned_ones	wh2_dlc17_lzd_horned_ones	cavalry_chariots
wh2_dlc17_lzd_oxyotl	wh2_main_lzd_spy	commander
wh2_dlc17_lzd_razordon	wh2_dlc17_lzd_razordon	missile_monster_beasts
wh2_dlc17_lzd_ripperdactyl_riders	wh2_dlc17_lzd_ripperdactyl_riders	cavalry_chariots
wh2_dlc17_lzd_salamander	wh2_dlc17_lzd_salamander	missile_monster_beasts
wh2_dlc17_lzd_salamander_ancient	wh2_dlc17_lzd_salamander	missile_monster_beasts
wh2_dlc17_lzd_stegadon	wh2_dlc17_lzd_stegadon	missile_monster_beasts
wh2_dlc17_lzd_stegadon_feral	wh2_dlc17_lzd_feral_stegadon	monster_beasts
wh2_dlc17_lzd_troglodon	wh2_dlc17_lzd_troglodon	missile_monster_beasts
wh2_main_cold_one	wh2_main_cold_one	cavalry_chariots
wh2_main_cold_one_spear	wh2_main_cold_one_spear	cavalry_chariots
wh2_main_def_dignitary	wh2_main_def_dignitary	heroes_agents
wh2_main_def_infantry_dual_daggers	wh2_main_def_infantry_dual_daggers	infantry
wh2_main_def_missile_infantry_bow_shades	wh2_main_def_missile_infantry_bow_shades	missile_infantry
wh2_main_def_missile_infantry_bow_shades_dual_weapons	wh2_main_def_missile_infantry_bow_shades_dual_weapons	missile_infantry
wh2_main_def_missile_infantry_bow_shades_great_weapons	wh2_main_def_missile_infantry_bow_shades_great_weapons	missile_infantry
wh2_main_def_missile_infantry_handbow	wh2_main_def_missile_infantry_handbow	missile_infantry
wh2_main_def_mon_war_hydra	wh2_main_def_mon_war_hydra	monster_beasts
wh2_main_def_spy	wh2_main_def_spy	heroes_agents
wh2_main_hef_hero_champion	wh2_main_hef_champion	heroes_agents
wh2_main_hef_hero_loremaster	wh2_main_hef_loremaster	heroes_agents
wh2_main_hef_missile_infantry_bow_spear	wh2_main_hef_missile_infantry_bow_spear	missile_infantry
wh2_main_hef_phoenix_fire	wh2_main_hef_phoenix_fire	monster_beasts
wh2_main_hef_phoenix_frost	wh2_main_hef_phoenix_frost	monster_beasts
wh2_main_infantry_dual_swords	wh2_main_infantry_dual_swords	infantry
wh2_main_lord_cavalry_hybrid	cavalry	commander
wh2_main_lord_infantry_hybrid	infantry_sword	commander
wh2_main_lord_infantry_hybrid_grn	infantry_sword_grn	commander
wh2_main_lord_monstrous_infantry	monstrous_infantry	commander
wh2_main_lord_wizard_dark	wh2_main_lore_dark	commander
wh2_main_lord_wizard_high	wh2_main_lore_high	commander
wh2_main_lord_wizard_plague	wh2_main_lore_plague	commander
wh2_main_lord_wizard_ruin	wh2_main_lore_ruin	commander
wh2_main_lzd_dinosaur	wh2_main_lzd_dinosaur	monster_beasts
wh2_main_lzd_hero_champion	wh2_main_lzd_champion	heroes_agents
wh2_main_lzd_hero_spy	wh2_main_lzd_spy	heroes_agents
wh2_main_lzd_infantry_cudgel	infantry_cudgel	infantry
wh2_main_lzd_infantry_halberd	wh2_main_lzd_infantry_halberd	infantry
wh2_main_lzd_infantry_mace	wh2_main_lzd_infantry_mace	infantry
wh2_main_lzd_missile_infantry_blowpipe	wh2_main_lzd_missile_infantry_blowpipe	missile_infantry
wh2_main_lzd_terradon	wh2_main_lzd_terradon	missile_monster_beasts
wh2_main_missile_infantry_javelin	wh2_main_missile_infantry_javelin	missile_infantry
wh2_main_missile_infantry_sling	wh2_main_missile_infantry_sling	missile_infantry
wh2_main_skv_doomwheel	chariot	artillery_war_machines
wh2_main_skv_hell_pit	wh2_main_skv_hell_pit	monster_beasts
wh2_main_skv_infantry_censer	wh2_main_skv_infantry_censer	infantry
wh2_main_skv_infantry_halberd	wh2_main_skv_infantry_halberd	infantry
wh2_main_skv_infantry_sword_death_runners	wh2_main_infantry_dual_swords	infantry
wh2_main_skv_infantry_sword_stormvermin	wh2_main_skv_infantry_sword_stormvermin	infantry
wh2_main_skv_missile_infantry_globe	wh2_main_skv_missile_infantry_globe	missile_infantry
wh2_main_skv_missile_infantry_globe_death	wh2_main_skv_missile_infantry_globe_death	missile_infantry
wh2_main_skv_missile_infantry_throwing_star	wh2_main_skv_missile_infantry_throwing_star	missile_infantry
wh2_main_skv_spy	wh2_main_skv_spy	heroes_agents
wh2_main_wizard_dark	wh2_main_lore_dark	heroes_agents
wh2_main_wizard_high	wh2_main_lore_high	heroes_agents
wh2_main_wizard_plague	wh2_main_lore_plague	heroes_agents
wh2_main_wizard_ruin	wh2_main_lore_ruin	heroes_agents
wh2_pro08_cha_felix	wh2_pro08_cha_felix	heroes_agents
wh2_pro08_cha_gotrek	wh2_pro08_cha_gotrek	heroes_agents
wh2_twa02_wef_glade_captain	wh2_main_hef_missile_infantry_bow_spear	heroes_agents
wh3_bear_cavalry	wh3_bear_cavalry	cavalry_chariots
wh3_dlc23_cha_ulrika	wh3_dlc23_ksl_ulrika	heroes_agents
wh3_dlc23_chd_bull_centaur_taurruk	wh3_dlc23_chd_bull_centaur_taurruk	heroes_agents
wh3_dlc23_chd_infernal_castellan	wh3_dlc23_chd_cha_infernal_castellan	heroes_agents
wh3_dlc24_cha_gate_master	wh3_dlc24_cth_gate_master	heroes_agents
wh3_dlc24_cha_saytang	wh3_dlc24_cth_saytang	heroes_agents
wh3_dlc24_cockatrice	monster_cockatrice	monster_beasts
wh3_dlc24_cth_cha_celestial_general	wh3_dlc24_cth_cha_celestial_general	commander
wh3_dlc24_cth_onyx_crowmen	wh3_dlc24_onyx_crowmen	monster_beasts
wh3_dlc24_ksl_cha_golden_knight	ksl_hero_golden_knight	heroes_agents
wh3_dlc24_ksl_frost_wyrm	monster_frost_wyrm	monster_beasts
wh3_dlc24_mon_celestial_lion	wh3_dlc24_mon_celestial_lion	monster_beasts
wh3_dlc24_mon_great_moon_bird	wh3_dlc24_mon_great_moon_bird	monster_beasts
wh3_dlc24_mon_guardian_lion	wh3_dlc24_mon_guardian_lion	monster_beasts
wh3_dlc24_mon_incarnate_elemental_of_beasts	wh3_dlc24_mon_incarnate_elemental_of_beasts	monster_beasts
wh3_dlc24_mon_mutalith_vortex_beast	wh3_dlc24_mon_mutalith_vortex_beast	monster_beasts
wh3_dlc24_things_in_woods	wh3_dlc24_thing_in_woods	monster_beasts
wh3_dlc24_tze_cha_aekold_helbrass	tze_hero_aekold_helbrass	heroes_agents
wh3_dlc24_tze_cha_changeling_summoned_0	commander	commander
wh3_dlc24_tze_changebringers	tze_monster_flamers_changebringers	missile_cavalry_chariots
wh3_dlc24_veh_zhangu_war_drum	wh3_dlc24_veh_zhangu_war_drum	artillery_war_machines
wh3_dlc25_nur_cha_epidemius	wh3_dlc25_nur_cha_epidemius	heroes_agents
wh3_ksl_elemental_bear	wh3_ksl_elemental_bear	monster_beasts
wh3_lord_wizard_great_maw	wh3_main_lore_the_great_maw	commander
wh3_lord_wizard_ice	wh3_main_lore_ice	commander
wh3_lord_wizard_nurgle	wh3_main_lore_nurgle	commander
wh3_lord_wizard_slaanesh	wh3_main_lore_slaanesh	commander
wh3_lord_wizard_tempest	wh3_main_lore_tempest	commander
wh3_lord_wizard_tzeentch	wh3_main_lore_tzeentch	commander
wh3_lord_wizard_yang	wh3_main_cth_yang	commander
wh3_lord_wizard_yin	wh3_main_cth_yin	commander
wh3_main_cth_balloon	wh3_cth_balloon	flying_war_machine
wh3_main_cth_balloon_lord	wh3_cth_balloon	commander
wh3_main_cth_terracotta_sentinel	wh3_cth_terracotta_sentinel	monster_beasts
wh3_main_dae_daemon_prince	wh3_dae_daemon_prince	commander
wh3_main_flying_shock_cavalry	shock_cavalry	cavalry_chariots
wh3_main_kho_bloodreaper	wh3_main_kho_bloodreaper	heroes_agents
wh3_main_kho_bloodthirster	wh3_main_kho_bloodthirster	monster_beasts
wh3_main_kho_bloodthirster_lord	wh3_main_kho_bloodthirster	commander
wh3_main_kho_cultist	wh3_main_kho_cultist	heroes_agents
wh3_main_kho_herald_of_khorne	wh3_main_kho_bloodreaper	commander
wh3_main_kho_skarbrand	wh3_main_kho_skarbrand	commander
wh3_main_ksl_bow_axe_infantry	wh3_ksl_bow_axe_infantry	missile_infantry
wh3_main_ksl_bow_dual_swords_infantry	wh3_ksl_bow_dual_swords_infantry	missile_infantry
wh3_main_ksl_bow_glaive_infantry	wh3_ksl_bow_glaive_infantry	missile_infantry
wh3_main_ksl_patriarch	wh3_main_ksl_patriarch	heroes_agents
wh3_main_ksl_patriarch_lord	wh3_main_ksl_patriarch	commander
wh3_main_ksl_pistol_axe_infantry	wh3_ksl_pistol_axe_infantry	infantry
wh3_main_ksl_pistol_great_weapon_infantry	wh3_ksl_pistol_great_weapon_infantry	infantry
wh3_main_ksl_sled_rifle	wh3_main_ksl_sled_rifle	missile_cavalry_chariots
wh3_main_ksl_snow_leopard	wh3_ksl_snow_leopard	monster_beasts
wh3_main_ksl_streltsi	wh3_ksl_streltsi	missile_infantry
wh3_main_monster_feral_bear	wh3_main_monster_feral_bears	monster_beasts
wh3_main_nur_beast_of_nurgle	wh3_nur_beast_of_nurgle	monster_beasts
wh3_main_nur_cultist	wh3_main_nur_cultist	heroes_agents
wh3_main_nur_great_unclean_one	wh3_main_nur_great_unclean_one	monster_beasts
wh3_main_nur_nurglings	wh3_nur_nurglings	infantry
wh3_main_nur_plaguebearers	wh3_nur_plaguebearers	infantry
wh3_main_nur_plaguebearers_missile	wh3_nur_plaguebearers_deaths_head	infantry
