agent_key	campaign_effect_scope_key	agent_subtype
general	faction_to_force_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_light
general	faction_to_force_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_nehekhara
general	faction_to_force_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_shadow
general	faction_to_force_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_undeath
general	faction_to_force_own_ulric_lords_unseen	wh3_dlc29_emp_cha_seneschal_of_the_white_wolf
general	faction_to_force_own_ulric_lords_unseen	wh_dlc03_emp_boris_todbringer
general	faction_to_force_own_unseen_neferata	wh3_dlc29_vmp_neferata
general	faction_to_force_own_unseen_sawai	wh3_cp1_cth_sawai
general	faction_to_force_own_vmp_unseen	wh3_dlc29_vmp_master_necromancer_undeath
general	faction_to_force_own_vmp_unseen	wh3_dlc29_vmp_neferata
general	faction_to_force_own_vmp_unseen	wh_dlc04_vmp_vlad_con_carstein
general	faction_to_force_own_vmp_unseen	wh_main_vmp_lord
general	faction_to_force_own_vmp_unseen	wh_main_vmp_mannfred_von_carstein
general	faction_to_force_own_vmp_unseen	wh_main_vmp_master_necromancer
general	faction_to_light_casters_or_nagash	wh3_dlc29_nag_nagash
general	faction_to_light_casters_or_nagash	wh3_dlc29_tmb_liche_high_priest_light
dignitary	faction_to_province_own_warrior_preist_witch_hunter_unseen	wh_main_emp_warrior_priest
spy	faction_to_province_own_warrior_preist_witch_hunter_unseen	
general	force_to_character_own_master_necromancer_spawned	wh3_dlc29_vmp_master_necromancer_undeath_spawned_army
general	force_to_character_own_strigoi_spawned	wh_dlc04_vmp_strigoi_ghoul_king_spawned_army
champion	general_to_character_own_forcewide_heroes_only	
dignitary	general_to_character_own_forcewide_heroes_only	
engineer	general_to_character_own_forcewide_heroes_only	
runesmith	general_to_character_own_forcewide_heroes_only	
spy	general_to_character_own_forcewide_heroes_only	
wizard	general_to_character_own_forcewide_heroes_only	
