campaign_group	unique_agent	base_charges
wh3_main_feature_daemons	wh3_dlc26_kho_skarr_bloodwrath	1
wh3_main_feature_daemons	wh3_pro12_kho_cha_karanak	1
wh3_main_feature_khorne	wh3_dlc26_kho_scyla_anfingrimm	1
wh3_main_feature_khorne	wh3_dlc26_kho_skarr_bloodwrath	1
wh3_main_feature_khorne	wh3_pro12_kho_cha_karanak	1
wh3_main_feature_kislev	wh2_pro08_neu_felix	1
wh3_main_feature_kislev	wh3_dlc23_neu_ulrika	0
wh3_main_feature_kislev	wh3_dlc24_ksl_the_golden_knight	1
wh3_main_feature_kislev	wh3_dlc25_neu_gotrek_hero	1
wh3_main_feature_nurgle	wh3_dlc25_nur_kayzk_the_befouled	1
wh3_main_feature_ogre_kingdoms	wh3_dlc26_ogr_bragg_the_gutsman	1
wh3_main_feature_tzeentch	wh3_dlc24_tze_aekold_helbrass	0
wh3_main_feature_tzeentch	wh3_dlc24_tze_blue_scribes	0
wh3_main_pro_frost_maiden_unique	wh3_main_pro_ksl_frost_maiden_ice	1
wh_dlc05_feature_wood_elves	wh2_dlc16_wef_ariel	1
wh_dlc05_feature_wood_elves	wh2_dlc16_wef_coeddil	1
wh_dlc08_feature_norsca	wh3_dlc26_kho_scyla_anfingrimm	1
wh_dlc08_feature_norsca	wh3_main_ie_nor_burplesmirk_spewpit	1
wh_dlc08_feature_norsca	wh3_main_ie_nor_killgore_slaymaim	1
wh_dlc08_feature_norsca	wh_dlc08_nor_kihar	1
wh_main_feature_bretonnia	wh2_dlc14_brt_henri_le_massif	0
wh_main_feature_bretonnia	wh2_pro08_neu_felix	1
wh_main_feature_bretonnia	wh3_dlc25_neu_gotrek_hero	1
wh_main_feature_bretonnia	wh_dlc07_brt_green_knight	0
wh_main_feature_chaos	wh3_pro11_chs_cha_harald_hammerstorm	1
wh_main_feature_dwarfs	wh2_dlc17_dwf_thane_ghost_artifact	1
wh_main_feature_dwarfs	wh2_pro08_neu_felix	1
wh_main_feature_dwarfs	wh3_dlc23_neu_ulrika	1
wh_main_feature_dwarfs	wh3_dlc25_dwf_garagrim_ironfist	1
wh_main_feature_dwarfs	wh3_dlc25_neu_gotrek_hero	1
wh_main_feature_dwarfs	wh_dlc06_dwf_master_engineer_ghost	1
wh_main_feature_dwarfs	wh_dlc06_dwf_runesmith_ghost	1
wh_main_feature_dwarfs	wh_dlc06_dwf_thane_ghost_1	1
wh_main_feature_dwarfs	wh_dlc06_dwf_thane_ghost_2	1
wh_main_feature_empire	wh2_pro08_neu_felix	1
wh_main_feature_empire	wh3_dlc23_neu_ulrika	0
wh_main_feature_empire	wh3_dlc25_emp_theodore_bruckner	1
wh_main_feature_empire	wh3_dlc25_neu_gotrek_hero	1
wh_main_feature_greenskins	wh3_dlc26_grn_snagla_grobpsit	1
wh_main_feature_vampire_counts	wh_dlc04_vmp_vlad_von_carstein_hero	1
wh_main_feature_vampire_counts	wh_pro02_vmp_isabella_von_carstein_hero	1
