unit	unit_list
wh2_dlc09_tmb_mon_ushabti_1	wh2_dlc09_tmb_mon_ushabti_1
wh2_dlc09_tmb_mon_ushabti_0	wh2_dlc09_tmb_mon_ushabti
wh2_dlc09_tmb_mon_ushabti_1	wh2_dlc09_tmb_mon_ushabti
wh2_dlc09_tmb_veh_khemrian_warsphinx_0	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_tmb_veh_skeleton_chariot_0	wh2_dlc09_tmb_veh_skeleton_chariot_0
wh2_dlc11_cst_art_carronade	wh2_dlc11_cst_art_all
wh2_dlc11_cst_art_mortar	wh2_dlc11_cst_art_all
wh2_dlc11_cst_art_carronade	wh2_dlc11_cst_art_carronade
wh2_dlc11_cst_art_mortar	wh2_dlc11_cst_art_mortar
wh2_dlc11_cst_cav_deck_droppers_0	wh2_dlc11_cst_cav_deck_droppers_0
wh2_dlc11_cst_cav_deck_droppers_1	wh2_dlc11_cst_cav_deck_droppers_1
wh2_dlc11_cst_cav_deck_droppers_2	wh2_dlc11_cst_cav_deck_droppers_2
wh2_dlc11_cst_cav_deck_droppers_0	wh2_dlc11_cst_cav_deck_droppers
wh2_dlc11_cst_cav_deck_droppers_1	wh2_dlc11_cst_cav_deck_droppers
wh2_dlc11_cst_cav_deck_droppers_2	wh2_dlc11_cst_cav_deck_droppers
wh2_dlc11_cst_inf_deck_gunners_0	wh2_dlc11_cst_inf_deck_gunners_0
wh2_dlc11_cst_inf_depth_guard_0	wh2_dlc11_cst_inf_depth_guard_0
wh2_dlc11_cst_inf_depth_guard_1	wh2_dlc11_cst_inf_depth_guard_1
wh2_dlc11_cst_inf_depth_guard_0	wh2_dlc11_cst_inf_depth_guard
wh2_dlc11_cst_inf_depth_guard_1	wh2_dlc11_cst_inf_depth_guard
wh2_dlc11_cst_inf_syreens	wh2_dlc11_cst_inf_syreens
wh2_dlc11_cst_inf_zombie_deckhands_mob_0	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh2_dlc11_cst_inf_zombie_deckhands_mob_1	wh2_dlc11_cst_inf_zombie_deckhands_mob_1
wh2_dlc11_cst_inf_zombie_gunnery_mob_0	wh2_dlc11_cst_inf_zombie_gunnery_mob_0
wh2_dlc11_cst_inf_zombie_gunnery_mob_1	wh2_dlc11_cst_inf_zombie_gunnery_mob_1
wh2_dlc11_cst_inf_zombie_gunnery_mob_2	wh2_dlc11_cst_inf_zombie_gunnery_mob_2
wh2_dlc11_cst_inf_zombie_gunnery_mob_3	wh2_dlc11_cst_inf_zombie_gunnery_mob_3
wh2_dlc11_cst_inf_zombie_gunnery_mob_1	wh2_dlc11_cst_inf_zombie_gunnery_mobs
wh2_dlc11_cst_inf_zombie_gunnery_mob_2	wh2_dlc11_cst_inf_zombie_gunnery_mobs
wh2_dlc11_cst_inf_zombie_gunnery_mob_3	wh2_dlc11_cst_inf_zombie_gunnery_mobs
wh2_dlc11_cst_mon_animated_hulks_0	wh2_dlc11_cst_mon_animated_hulks_0
wh2_dlc11_cst_mon_bloated_corpse_0	wh2_dlc11_cst_mon_bloated_corpse_0
wh2_dlc11_cst_mon_mournguls_0	wh2_dlc11_cst_mon_mournguls_0
wh2_dlc11_cst_mon_necrofex_colossus_0	wh2_dlc11_cst_mon_necrofex_colossus_0
wh2_dlc11_cst_mon_rotting_leviathan_0	wh2_dlc11_cst_mon_rotting_leviathan_0
wh2_dlc11_cst_mon_rotting_prometheans_0	wh2_dlc11_cst_mon_rotting_prometheans_0
wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0
wh2_dlc11_cst_mon_rotting_prometheans_0	wh2_dlc11_cst_mon_rotting_prometheans
wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	wh2_dlc11_cst_mon_rotting_prometheans
wh2_dlc11_cst_mon_scurvy_dogs	wh2_dlc11_cst_mon_scurvy_dogs
wh2_dlc11_vmp_inf_crossbowmen	wh2_dlc11_vmp_inf_crossbowmen
wh2_dlc11_vmp_inf_handgunners	wh2_dlc11_vmp_inf_handgunners
wh2_dlc11_cst_mon_mournguls_ror_0	wh2_dlc11_vmp_mon_mournguls_ror_0
wh2_dlc10_def_mon_feral_manticore_0	wh2_dlc14_ritual_def_warmaster
wh2_dlc10_def_mon_kharibdyss_0	wh2_dlc14_ritual_def_warmaster
wh2_dlc14_def_cav_scourgerunner_chariot_0	wh2_dlc14_ritual_def_warmaster
wh2_dlc14_def_mon_bloodwrack_medusa_0	wh2_dlc14_ritual_def_warmaster
wh2_main_def_cav_cold_one_knights_0	wh2_dlc14_ritual_def_warmaster
wh2_main_def_cav_cold_one_knights_1	wh2_dlc14_ritual_def_warmaster
wh2_main_def_mon_black_dragon	wh2_dlc14_ritual_def_warmaster
wh2_main_def_mon_war_hydra	wh2_dlc14_ritual_def_warmaster
wh2_dlc11_vmp_inf_crossbowmen	wh2_dlc29_vmp_sylvanian_missile_units
wh2_dlc11_vmp_inf_handgunners	wh2_dlc29_vmp_sylvanian_missile_units
wh2_main_lzd_cav_cold_ones_feral_0	wh2_main_ritual_lzd_primeval_glory
wh2_main_lzd_mon_bastiladon_0	wh2_main_ritual_lzd_primeval_glory
wh2_main_lzd_mon_carnosaur_0	wh2_main_ritual_lzd_primeval_glory
wh2_main_lzd_mon_carnosaur_blessed_0	wh2_main_ritual_lzd_primeval_glory
wh2_main_lzd_mon_stegadon_0	wh2_main_ritual_lzd_primeval_glory
wh2_pro06_tmb_mon_bone_giant_0	wh2_pro06_tmb_mon_bone_giant_0
wh3_main_cth_art_grand_cannon_0	wh3_cp1_cth_bhashiva_artillery
wh3_dlc24_cth_mon_celestial_lion	wh3_cp1_cth_bhashiva_celestial_beasts
wh3_dlc24_cth_mon_great_moon_bird	wh3_cp1_cth_bhashiva_celestial_beasts
wh3_main_cth_mon_terracotta_sentinel_0	wh3_cp1_cth_bhashiva_celestial_machines
wh3_main_cth_veh_sky_junk_0	wh3_cp1_cth_bhashiva_flying_machines
wh3_main_cth_veh_sky_lantern_0	wh3_cp1_cth_bhashiva_flying_machines
wh3_main_cth_inf_crane_gunners_0	wh3_cp1_cth_bhashiva_gunpowder_infantry
wh3_main_cth_inf_iron_hail_gunners_0	wh3_cp1_cth_bhashiva_gunpowder_infantry
wh3_main_cth_inf_jade_warrior_crossbowmen_0	wh3_cp1_cth_bhashiva_jade_archers
wh3_main_cth_inf_jade_warrior_crossbowmen_1	wh3_cp1_cth_bhashiva_jade_archers
wh3_main_cth_cav_jade_lancers_0	wh3_cp1_cth_bhashiva_jade_cavalry
wh3_main_cth_inf_jade_warriors_0	wh3_cp1_cth_bhashiva_jade_infantry
wh3_main_cth_inf_jade_warriors_1	wh3_cp1_cth_bhashiva_jade_infantry
wh3_main_cth_cav_jade_longma_riders_0	wh3_cp1_cth_bhashiva_specialist_cavalry
wh_dlc08_nor_inf_marauder_hunters_0	wh3_dlc20_nor_vassal_army
wh_main_nor_cav_marauder_horsemen_0	wh3_dlc20_nor_vassal_army
wh_main_nor_cav_marauder_horsemen_1	wh3_dlc20_nor_vassal_army
wh_main_nor_inf_chaos_marauders_0	wh3_dlc20_nor_vassal_army
wh_main_nor_inf_chaos_marauders_1	wh3_dlc20_nor_vassal_army
wh_main_nor_mon_chaos_trolls	wh3_dlc20_nor_vassal_army
wh_main_nor_mon_chaos_warhounds_1	wh3_dlc20_nor_vassal_army
wh3_dlc23_chd_mon_bale_taurus	wh3_dlc23_chd_bale_taurus
wh3_dlc23_chd_cav_bull_centaurs_axe	wh3_dlc23_chd_bull_centaurs
wh3_dlc23_chd_cav_bull_centaurs_dual_axe	wh3_dlc23_chd_bull_centaurs
wh3_dlc23_chd_cav_bull_centaurs_greatweapons	wh3_dlc23_chd_bull_centaurs
wh3_dlc23_chd_inf_chaos_dwarf_blunderbusses	wh3_dlc23_chd_chaos_dwarf_blunderbusses
wh3_dlc23_chd_inf_chaos_dwarf_warriors	wh3_dlc23_chd_chaos_dwarf_warriors
wh3_dlc23_chd_inf_chaos_dwarf_warriors_great_weapons	wh3_dlc23_chd_chaos_dwarf_warriors
wh3_dlc23_chd_mon_great_taurus	wh3_dlc23_chd_great_taurus
wh_main_chs_art_hellcannon	wh3_dlc23_chd_hellcannon
wh3_dlc23_chd_inf_infernal_guard_fireglaives	wh3_dlc23_chd_infernal_guard_fireglaives
wh3_dlc23_chd_inf_infernal_guard	wh3_dlc23_chd_infernal_guard
wh3_dlc23_chd_inf_infernal_guard_great_weapons	wh3_dlc23_chd_infernal_guard
wh3_dlc23_chd_inf_infernal_ironsworn	wh3_dlc23_chd_infernal_ironsworn
wh3_dlc23_chd_mon_kdaai_destroyer	wh3_dlc23_chd_kdaai_destroyer
wh3_dlc23_chd_mon_kdaai_fireborn	wh3_dlc23_chd_kdaai_fireborn
wh3_dlc23_chd_mon_lammasu	wh3_dlc23_chd_lammasu
wh3_dlc23_chd_veh_deathshrieker_rocket_launcher	wh3_dlc23_chd_war_machines
wh3_dlc23_chd_veh_dreadquake_mortar	wh3_dlc23_chd_war_machines
wh3_dlc23_chd_veh_iron_daemon	wh3_dlc23_chd_war_machines
wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc23_chd_war_machines
wh3_dlc23_chd_veh_magma_cannon	wh3_dlc23_chd_war_machines
wh3_dlc23_chd_veh_skullcracker	wh3_dlc23_chd_war_machines
wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc23_chd_war_machines
wh3_main_cth_cav_peasant_horsemen_0	wh3_dlc24_ritual_cth_mos_steel_settlement_generate_temporary_army
wh3_main_cth_inf_peasant_archers_0	wh3_dlc24_ritual_cth_mos_steel_settlement_generate_temporary_army
wh3_main_cth_inf_peasant_spearmen_1	wh3_dlc24_ritual_cth_mos_steel_settlement_generate_temporary_army
wh2_dlc17_bst_cav_tuskgor_chariot_0	wh3_dlc29_alliance_chaos_bst
wh2_dlc17_bst_cha_doombull_0	wh3_dlc29_alliance_chaos_bst
wh2_dlc17_bst_cha_wargor_0	wh3_dlc29_alliance_chaos_bst
wh2_dlc17_bst_cha_wargor_1	wh3_dlc29_alliance_chaos_bst
wh2_dlc17_bst_cha_wargor_2	wh3_dlc29_alliance_chaos_bst
wh2_dlc17_bst_mon_ghorgon_0	wh3_dlc29_alliance_chaos_bst
wh2_dlc17_bst_mon_jabberslythe_0	wh3_dlc29_alliance_chaos_bst
wh3_dlc24_bst_inf_centigors_great_weapons_mtze	wh3_dlc29_alliance_chaos_bst
wh3_dlc24_bst_inf_tzaangors	wh3_dlc29_alliance_chaos_bst
wh3_dlc24_bst_mon_incarnate_elemental_of_beasts	wh3_dlc29_alliance_chaos_bst
wh3_dlc25_bst_inf_pestigors	wh3_dlc29_alliance_chaos_bst
wh3_dlc26_bst_inf_khorngors	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cav_razorgor_chariot_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_beastlord_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_beastlord_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_beasts_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_beasts_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_death_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_death_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_shadows_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_shadows_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_wild_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_bray_shaman_wild_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_cha_gorebull_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_feral_manticore	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_bestigor_herd_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_centigors_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_centigors_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_centigors_2	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_chaos_warhounds_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_chaos_warhounds_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_cygor_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_gor_herd_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_gor_herd_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_minotaurs_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_minotaurs_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_minotaurs_2	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_razorgor_herd_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_ungor_herd_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_ungor_raiders_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_ungor_spearmen_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_inf_ungor_spearmen_1	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_mon_chaos_spawn_0	wh3_dlc29_alliance_chaos_bst
wh_dlc03_bst_mon_giant_0	wh3_dlc29_alliance_chaos_bst
wh_dlc05_bst_mon_harpies_0	wh3_dlc29_alliance_chaos_bst
wh3_dlc23_chd_cav_bull_centaurs_axe	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cav_bull_centaurs_dual_axe	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cav_bull_centaurs_greatweapons	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_bull_centaur_taurruk	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_convoy_overseer	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_death	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_death_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_fire	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_fire_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_fire_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_fire_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_metal	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_metal_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_metal_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_daemonsmith_sorcerer_metal_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_infernal_castellan	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_overseer	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_overseer_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_overseer_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_death	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_death_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_death_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_death_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_fire	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_fire_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_fire_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_fire_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_hashut	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_hashut_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_hashut_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_hashut_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_metal	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_metal_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_metal_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_cha_sorcerer_prophet_metal_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_chaos_dwarf_blunderbusses	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_chaos_dwarf_warriors	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_chaos_dwarf_warriors_great_weapons	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_goblin_labourers	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_hobgoblin_archers	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_hobgoblin_cutthroats	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_hobgoblin_sneaky_gits	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_infernal_guard	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_infernal_guard_fireglaives	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_infernal_guard_great_weapons	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_infernal_ironsworn	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_inf_orc_labourers	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_mon_bale_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_mon_great_taurus	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_mon_kdaai_destroyer	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_mon_kdaai_fireborn	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_mon_lammasu	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_veh_deathshrieker_rocket_launcher	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_veh_dreadquake_mortar	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_veh_iron_daemon	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_veh_magma_cannon	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_veh_skullcracker	wh3_dlc29_alliance_chaos_chd
wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc29_alliance_chaos_chd
wh3_dlc29_chd_mon_chaos_siege_giant	wh3_dlc29_alliance_chaos_chd
wh_dlc08_nor_art_hellcannon_battery	wh3_dlc29_alliance_chaos_chd
wh_main_chs_art_hellcannon	wh3_dlc29_alliance_chaos_chd
wh3_dlc20_chs_cav_chaos_chariot_mkho	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_chariot_mnur	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_chariot_msla	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_chariot_mtze	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_knights_mkho	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_knights_mkho_lances	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_knights_mnur	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_knights_mnur_lances	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_knights_msla	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_knights_msla_lances	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_chaos_knights_mtze_lances	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_marauder_horsemen_mnur_throwing_axes	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_marauder_horsemen_msla_javelins	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_cav_marauder_horsemen_mtze_javelins	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_mkho	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_mnur	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_mnur_greatweapons	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_msla	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_msla_hellscourges	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_mtze	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_marauders_mtze_spears	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_warriors_mnur	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_warriors_msla	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_warriors_msla_hellscourges	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_warriors_mtze	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chaos_warriors_mtze_halberds	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_mkho	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_mkho_dualweapons	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_mnur	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_mnur_greatweapons	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_msla	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_msla_hellscourges	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_mtze	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_chosen_mtze_halberds	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_forsaken_mkho	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_inf_forsaken_msla	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_mon_warshrine	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_mon_warshrine_mkho	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_mon_warshrine_mnur	wh3_dlc29_alliance_chaos_chs
wh3_dlc20_chs_mon_warshrine_msla	wh3_dlc29_alliance_chaos_chs
