bonus_value_id	effect	resource_factor
base_amount	wh3_dlc20_effect_corruption_slaanesh_diplomacy	wh3_main_corruption_slaanesh_factor_diplomacy
base_amount	wh3_dlc20_effect_corruption_tzeentch_diplomacy	wh3_main_corruption_tzeentch_factor_diplomacy
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_kho_faction	wh3_dlc20_chs_authority_nurgle_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_kho_faction	wh3_dlc20_chs_authority_slaanesh_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_kho_faction	wh3_dlc20_chs_authority_tzeentch_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_kho_faction	wh3_dlc20_chs_authority_undivided_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_nur_faction	wh3_dlc20_chs_authority_khorne_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_nur_faction	wh3_dlc20_chs_authority_slaanesh_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_nur_faction	wh3_dlc20_chs_authority_tzeentch_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_nur_faction	wh3_dlc20_chs_authority_undivided_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_sla_faction	wh3_dlc20_chs_authority_khorne_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_sla_faction	wh3_dlc20_chs_authority_nurgle_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_sla_faction	wh3_dlc20_chs_authority_tzeentch_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_sla_faction	wh3_dlc20_chs_authority_undivided_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_tze_faction	wh3_dlc20_chs_authority_khorne_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_tze_faction	wh3_dlc20_chs_authority_nurgle_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_tze_faction	wh3_dlc20_chs_authority_slaanesh_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_tze_faction	wh3_dlc20_chs_authority_undivided_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_und_faction	wh3_dlc20_chs_authority_khorne_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_und_faction	wh3_dlc20_chs_authority_nurgle_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_und_faction	wh3_dlc20_chs_authority_slaanesh_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_but_und_faction	wh3_dlc20_chs_authority_tzeentch_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_character	wh3_dlc20_chs_authority_khorne_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_character	wh3_dlc20_chs_authority_nurgle_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_character	wh3_dlc20_chs_authority_slaanesh_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_character	wh3_dlc20_chs_authority_tzeentch_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_character	wh3_dlc20_chs_authority_undivided_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_faction	wh3_dlc20_chs_authority_khorne_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_faction	wh3_dlc20_chs_authority_nurgle_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_faction	wh3_dlc20_chs_authority_slaanesh_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_faction	wh3_dlc20_chs_authority_tzeentch_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_faction	wh3_dlc20_chs_authority_undivided_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_khorne_character	wh3_dlc20_chs_authority_khorne_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_khorne_faction	wh3_dlc20_chs_authority_khorne_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_nurgle_character	wh3_dlc20_chs_authority_nurgle_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_nurgle_faction	wh3_dlc20_chs_authority_nurgle_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_slaanesh_character	wh3_dlc20_chs_authority_slaanesh_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_slaanesh_faction	wh3_dlc20_chs_authority_slaanesh_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_tzeentch_character	wh3_dlc20_chs_authority_tzeentch_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_tzeentch_faction	wh3_dlc20_chs_authority_tzeentch_faction
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_undivided_character	wh3_dlc20_chs_authority_undivided_characters
base_amount	wh3_dlc20_effect_pooled_resource_mod_chs_authority_undivided_faction	wh3_dlc20_chs_authority_undivided_faction
base_amount	wh3_dlc20_effect_undivided_souls_per_turn_hidden	wh3_dlc20_chs_souls_factor_events
base_amount	wh3_dlc23_effect_pooled_resource_conclave_influence_gain_per_turn_settlements	wh3_dlc23_chd_conclave_influence_gained_settlements
base_amount	wh3_dlc23_effect_pooled_resource_conclave_influence_gain_temples	wh3_dlc23_chd_conclave_influence_gained_temples
percentage_multiplier_mod	wh3_dlc23_effect_pooled_resource_conclave_influence_mod_all_sources	wh3_dlc23_chd_conclave_influence_gained_events
percentage_multiplier_mod	wh3_dlc23_effect_pooled_resource_conclave_influence_mod_all_sources	wh3_dlc23_chd_conclave_influence_gained_labour_sacrifice
percentage_multiplier_mod	wh3_dlc23_effect_pooled_resource_conclave_influence_mod_all_sources	wh3_dlc23_chd_conclave_influence_gained_missions
percentage_multiplier_mod	wh3_dlc23_effect_pooled_resource_conclave_influence_mod_all_sources	wh3_dlc23_chd_conclave_influence_gained_settlements
percentage_multiplier_mod	wh3_dlc23_effect_pooled_resource_conclave_influence_mod_all_sources	wh3_dlc23_chd_conclave_influence_gained_temples
base_amount	wh3_dlc23_pooled_resource_chd_armaments_gain_scripted_effect	wh3_dlc23_chd_armaments_gained_toz
percentage_multiplier_mod	wh3_dlc23_pooled_resource_chd_armaments_modifier	wh3_dlc23_chd_armaments_produced
base_amount	wh3_dlc23_pooled_resource_chd_armaments_produced_per_turn	wh3_dlc23_chd_armaments_produced
base_amount	wh3_dlc23_pooled_resource_chd_labour_per_turn	wh3_dlc23_chd_labour_loss
percentage_multiplier_mod	wh3_dlc23_pooled_resource_chd_raw_material_efficiency_hidden	wh3_dlc23_chd_raw_materials_mined
percentage_multiplier_post_mod	wh3_dlc23_pooled_resource_chd_raw_material_efficiency_post	wh3_dlc23_chd_raw_materials_mined
percentage_multiplier_mod	wh3_dlc23_pooled_resource_chd_raw_material_efficiency	wh3_dlc23_chd_raw_materials_mined
base_amount	wh3_dlc23_pooled_resource_chd_raw_materials_consumed	wh3_dlc23_chd_raw_materials_consumed
base_amount	wh3_dlc23_pooled_resource_chd_raw_materials_gain_scripted_effect	wh3_dlc23_chd_raw_materials_gained_toz
base_amount	wh3_dlc23_pooled_resource_chd_raw_materials_gain	wh3_dlc23_chd_raw_materials_mined
base_amount	wh3_dlc23_pooled_resource_chd_workload_increase	wh3_dlc23_chd_workload_buildings
percentage_multiplier_mod	wh3_dlc23_pooled_resource_chd_workload_modifier	wh3_dlc23_chd_workload_buildings
percentage_multiplier_mod	wh3_dlc23_pooled_resources_chd_raw_materials_consumed_mod	wh3_dlc23_chd_raw_materials_consumed
base_amount	wh3_dlc24_effect_building_settlement_initial_supply_points_compass	wh3_main_initial_siege_supplies_factor_buildings
base_amount	wh3_dlc24_effect_building_tze_cult_supplies	wh3_dlc24_tze_cult_supplies_buildings
base_amount	wh3_dlc24_effect_buildings_ksl_spirit_essence	wh3_dlc24_ksl_spirit_essence_factor_buildings
base_amount	wh3_dlc24_effect_corruption_disabled	wh3_main_corruption_chaos_factor_hidden
base_amount	wh3_dlc24_effect_corruption_disabled	wh3_main_corruption_khorne_factor_hidden
base_amount	wh3_dlc24_effect_corruption_disabled	wh3_main_corruption_nurgle_factor_hidden
base_amount	wh3_dlc24_effect_corruption_disabled	wh3_main_corruption_skaven_factor_hidden
base_amount	wh3_dlc24_effect_corruption_disabled	wh3_main_corruption_slaanesh_factor_hidden
base_amount	wh3_dlc24_effect_corruption_disabled	wh3_main_corruption_tzeentch_factor_hidden
base_amount	wh3_dlc24_effect_corruption_disabled	wh3_main_corruption_vampiric_factor_hidden
base_amount	wh3_dlc24_effect_corruption_reduction_harmony	wh3_main_corruption_chaos_factor_harmony
base_amount	wh3_dlc24_effect_corruption_reduction_harmony	wh3_main_corruption_khorne_factor_harmony
base_amount	wh3_dlc24_effect_corruption_reduction_harmony	wh3_main_corruption_nurgle_factor_harmony
base_amount	wh3_dlc24_effect_corruption_reduction_harmony	wh3_main_corruption_skaven_factor_harmony
base_amount	wh3_dlc24_effect_corruption_reduction_harmony	wh3_main_corruption_slaanesh_factor_harmony
base_amount	wh3_dlc24_effect_corruption_reduction_harmony	wh3_main_corruption_tzeentch_factor_harmony
base_amount	wh3_dlc24_effect_corruption_reduction_harmony	wh3_main_corruption_vampiric_factor_harmony
base_amount	wh3_dlc24_effect_low_corruption_ksl_spirit_essence	wh3_dlc24_ksl_spirit_essence_factor_low_corruption
base_amount	wh3_dlc24_effect_magicforest_ksl_spirit_essence	wh3_dlc24_ksl_spirit_essence_factor_magical_forests
base_amount	wh3_dlc24_effect_schemes_tze_cult_supplies	wh3_dlc24_tze_cult_supplies_schemes
base_amount	wh3_dlc24_effect_schemes_tze_grimoires	wh3_dlc24_tze_grimoires_factor_schemes
base_amount	wh3_dlc24_effect_technology_tze_cult_supplies	wh3_dlc24_tze_cult_supplies_technology
base_amount	wh3_dlc24_effect_technology_tze_grimoires	wh3_main_tze_grimoires_factor_technology
base_amount	wh3_dlc24_effect_winds_of_magic_astromantic_boon	wh3_main_winds_of_magic_factor_winds_of_magic_astromantic_boon
base_amount	wh3_dlc24_effect_winds_of_magic_compass	wh3_dlc24_effect_winds_of_magic_compass
base_amount	wh3_dlc24_effect_winds_of_magic_malediction_of_ruin	wh3_main_winds_of_magic_factor_malediction_of_ruin
base_amount	wh3_dlc24_pooled_resource_skv_reactor_core_gained	wh2_dlc12_resource_factor_loot
base_amount	wh3_main_effect_agent_action_passive_def_slaves_effect	def_slaves_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_chaos_effect	wh3_main_corruption_chaos_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_khorne_effect	wh3_main_corruption_khorne_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_nurgle_effect	wh3_main_corruption_nurgle_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_reduction_effect	wh3_main_corruption_chaos_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_reduction_effect	wh3_main_corruption_khorne_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_reduction_effect	wh3_main_corruption_nurgle_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_reduction_effect	wh3_main_corruption_skaven_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_reduction_effect	wh3_main_corruption_slaanesh_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_reduction_effect	wh3_main_corruption_tzeentch_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_reduction_effect	wh3_main_corruption_vampiric_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_skaven_effect	wh3_main_corruption_skaven_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_slaanesh_effect	wh3_main_corruption_slaanesh_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_tzeentch_effect	wh3_main_corruption_tzeentch_factor_characters
base_amount	wh3_main_effect_agent_action_passive_spread_corruption_vampiric_effect	wh3_main_corruption_vampiric_factor_characters
base_amount	wh3_main_effect_building_nur_infections	wh3_main_nur_infections_factor_buildings
base_amount	wh3_main_effect_building_settlement_initial_supply_points	wh3_main_initial_siege_supplies_factor_buildings
base_amount	wh3_main_effect_building_settlement_supply_points	wh3_main_siege_supplies_factor_buildings
percentage_multiplier_mod	wh3_main_effect_building_tze_grimoires_mod	wh3_main_tze_grimoires_factor_buildings
base_amount	wh3_main_effect_building_tze_grimoires	wh3_main_tze_grimoires_factor_buildings
base_amount	wh3_main_effect_character_tze_grimoires	wh3_main_tze_grimoires_factor_characters
neighbouring_area_base_amount	wh3_main_effect_corruption_chaos_adjacent_provinces	wh3_main_corruption_chaos_factor_adjacent_provinces
base_amount	wh3_main_effect_corruption_chaos_buildings_bad	wh3_main_corruption_chaos_factor_buildings
base_amount	wh3_main_effect_corruption_chaos_buildings	wh3_main_corruption_chaos_factor_buildings
base_amount	wh3_main_effect_corruption_chaos_characters_bad	wh3_main_corruption_chaos_factor_characters
base_amount	wh3_main_effect_corruption_chaos_characters	wh3_main_corruption_chaos_factor_characters
base_amount	wh3_main_effect_corruption_chaos_commandment	wh3_main_corruption_chaos_factor_commandment
base_amount	wh3_main_effect_corruption_chaos_events_bad	wh3_main_corruption_chaos_factor_events
base_amount	wh3_main_effect_corruption_chaos_events	wh3_main_corruption_chaos_factor_events
base_amount	wh3_main_effect_corruption_chaos_herdstone	wh3_main_corruption_chaos_factor_beastmen_herdstone
base_amount	wh3_main_effect_corruption_chaos_high_reduction	wh3_main_corruption_khorne_factor_other_corruption
base_amount	wh3_main_effect_corruption_chaos_high_reduction	wh3_main_corruption_nurgle_factor_other_corruption
base_amount	wh3_main_effect_corruption_chaos_high_reduction	wh3_main_corruption_skaven_factor_other_corruption
base_amount	wh3_main_effect_corruption_chaos_high_reduction	wh3_main_corruption_slaanesh_factor_other_corruption
base_amount	wh3_main_effect_corruption_chaos_high_reduction	wh3_main_corruption_tzeentch_factor_other_corruption
base_amount	wh3_main_effect_corruption_chaos_high_reduction	wh3_main_corruption_vampiric_factor_other_corruption
base_amount	wh3_main_effect_corruption_chaos_horde_buildings	wh3_main_corruption_chaos_factor_horde_buildings
base_amount	wh3_main_effect_corruption_chaos_ruins	wh3_main_corruption_chaos_factor_ruins
base_amount	wh3_main_effect_corruption_chaos_technology	wh3_main_corruption_chaos_factor_technology
neighbouring_area_base_amount	wh3_main_effect_corruption_khorne_adjacent_provinces	wh3_main_corruption_khorne_factor_adjacent_provinces
base_amount	wh3_main_effect_corruption_khorne_buildings	wh3_main_corruption_khorne_factor_buildings
base_amount	wh3_main_effect_corruption_khorne_characters_bad	wh3_main_corruption_khorne_factor_characters
base_amount	wh3_main_effect_corruption_khorne_characters	wh3_main_corruption_khorne_factor_characters
base_amount	wh3_main_effect_corruption_khorne_commandment	wh3_main_corruption_khorne_factor_commandment
base_amount	wh3_main_effect_corruption_khorne_daemonic_progression	wh3_main_corruption_khorne_factor_daemonic_progression
base_amount	wh3_main_effect_corruption_khorne_events_bad	wh3_main_corruption_khorne_factor_events
base_amount	wh3_main_effect_corruption_khorne_events	wh3_main_corruption_khorne_factor_events
base_amount	wh3_main_effect_corruption_khorne_high_reduction	wh3_main_corruption_chaos_factor_other_corruption
base_amount	wh3_main_effect_corruption_khorne_high_reduction	wh3_main_corruption_nurgle_factor_other_corruption
base_amount	wh3_main_effect_corruption_khorne_high_reduction	wh3_main_corruption_skaven_factor_other_corruption
base_amount	wh3_main_effect_corruption_khorne_high_reduction	wh3_main_corruption_slaanesh_factor_other_corruption
base_amount	wh3_main_effect_corruption_khorne_high_reduction	wh3_main_corruption_tzeentch_factor_other_corruption
base_amount	wh3_main_effect_corruption_khorne_high_reduction	wh3_main_corruption_vampiric_factor_other_corruption
base_amount	wh3_main_effect_corruption_khorne_horde_buildings	wh3_main_corruption_khorne_factor_horde_buildings
base_amount	wh3_main_effect_corruption_khorne_rifts	wh3_main_corruption_khorne_factor_rifts
base_amount	wh3_main_effect_corruption_khorne_ruins	wh3_main_corruption_khorne_factor_ruins
base_amount	wh3_main_effect_corruption_khorne_technology	wh3_main_corruption_khorne_factor_technology
neighbouring_area_base_amount	wh3_main_effect_corruption_nurgle_adjacent_provinces	wh3_main_corruption_nurgle_factor_adjacent_provinces
base_amount	wh3_main_effect_corruption_nurgle_buildings	wh3_main_corruption_nurgle_factor_buildings
base_amount	wh3_main_effect_corruption_nurgle_characters_good	wh3_main_corruption_nurgle_factor_characters
base_amount	wh3_main_effect_corruption_nurgle_characters	wh3_main_corruption_nurgle_factor_characters
base_amount	wh3_main_effect_corruption_nurgle_commandment	wh3_main_corruption_nurgle_factor_commandment
base_amount	wh3_main_effect_corruption_nurgle_daemonic_progression	wh3_main_corruption_nurgle_factor_daemonic_progression
base_amount	wh3_main_effect_corruption_nurgle_events_bad	wh3_main_corruption_nurgle_factor_events
base_amount	wh3_main_effect_corruption_nurgle_events	wh3_main_corruption_nurgle_factor_events
base_amount	wh3_main_effect_corruption_nurgle_forces	wh3_main_corruption_nurgle_factor_characters
base_amount	wh3_main_effect_corruption_nurgle_high_reduction	wh3_main_corruption_chaos_factor_other_corruption
base_amount	wh3_main_effect_corruption_nurgle_high_reduction	wh3_main_corruption_khorne_factor_other_corruption
base_amount	wh3_main_effect_corruption_nurgle_high_reduction	wh3_main_corruption_skaven_factor_other_corruption
base_amount	wh3_main_effect_corruption_nurgle_high_reduction	wh3_main_corruption_slaanesh_factor_other_corruption
base_amount	wh3_main_effect_corruption_nurgle_high_reduction	wh3_main_corruption_tzeentch_factor_other_corruption
base_amount	wh3_main_effect_corruption_nurgle_high_reduction	wh3_main_corruption_vampiric_factor_other_corruption
base_amount	wh3_main_effect_corruption_nurgle_horde_buildings	wh3_main_corruption_nurgle_factor_horde_buildings
base_amount	wh3_main_effect_corruption_nurgle_plague	wh3_main_corruption_nurgle_factor_plague
base_amount	wh3_main_effect_corruption_nurgle_rifts	wh3_main_corruption_nurgle_factor_rifts
base_amount	wh3_main_effect_corruption_nurgle_ruins	wh3_main_corruption_nurgle_factor_ruins
base_amount	wh3_main_effect_corruption_nurgle_technology	wh3_main_corruption_nurgle_factor_technology
base_amount	wh3_main_effect_corruption_nurgle_unholy_manifestations	wh3_main_corruption_nurgle_factor_unholy_manifestations
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_except_skaven	wh3_main_corruption_chaos_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_except_skaven	wh3_main_corruption_khorne_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_except_skaven	wh3_main_corruption_nurgle_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_except_skaven	wh3_main_corruption_slaanesh_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_except_skaven	wh3_main_corruption_tzeentch_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_except_skaven	wh3_main_corruption_vampiric_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_provinces	wh3_main_corruption_chaos_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_provinces	wh3_main_corruption_khorne_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_provinces	wh3_main_corruption_nurgle_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_provinces	wh3_main_corruption_skaven_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_provinces	wh3_main_corruption_slaanesh_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_provinces	wh3_main_corruption_tzeentch_factor_adjacent_provinces
neighbouring_area_base_amount	wh3_main_effect_corruption_reduction_adjacent_provinces	wh3_main_corruption_vampiric_factor_adjacent_provinces
base_amount	wh3_main_effect_corruption_reduction_ataman	wh3_main_corruption_chaos_factor_ataman
base_amount	wh3_main_effect_corruption_reduction_ataman	wh3_main_corruption_khorne_factor_ataman
base_amount	wh3_main_effect_corruption_reduction_ataman	wh3_main_corruption_nurgle_factor_ataman
base_amount	wh3_main_effect_corruption_reduction_ataman	wh3_main_corruption_skaven_factor_ataman
base_amount	wh3_main_effect_corruption_reduction_ataman	wh3_main_corruption_slaanesh_factor_ataman
base_amount	wh3_main_effect_corruption_reduction_ataman	wh3_main_corruption_tzeentch_factor_ataman
base_amount	wh3_main_effect_corruption_reduction_ataman	wh3_main_corruption_vampiric_factor_ataman
base_amount	wh3_main_effect_corruption_reduction_buildings_negative_is_bad	wh3_main_corruption_chaos_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings_negative_is_bad	wh3_main_corruption_khorne_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings_negative_is_bad	wh3_main_corruption_nurgle_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings_negative_is_bad	wh3_main_corruption_skaven_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings_negative_is_bad	wh3_main_corruption_slaanesh_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings_negative_is_bad	wh3_main_corruption_tzeentch_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings_negative_is_bad	wh3_main_corruption_vampiric_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings	wh3_main_corruption_chaos_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings	wh3_main_corruption_khorne_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings	wh3_main_corruption_nurgle_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings	wh3_main_corruption_skaven_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings	wh3_main_corruption_slaanesh_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings	wh3_main_corruption_tzeentch_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_buildings	wh3_main_corruption_vampiric_factor_buildings
base_amount	wh3_main_effect_corruption_reduction_characters	wh3_main_corruption_chaos_factor_characters
base_amount	wh3_main_effect_corruption_reduction_characters	wh3_main_corruption_khorne_factor_characters
base_amount	wh3_main_effect_corruption_reduction_characters	wh3_main_corruption_nurgle_factor_characters
base_amount	wh3_main_effect_corruption_reduction_characters	wh3_main_corruption_skaven_factor_characters
base_amount	wh3_main_effect_corruption_reduction_characters	wh3_main_corruption_slaanesh_factor_characters
base_amount	wh3_main_effect_corruption_reduction_characters	wh3_main_corruption_tzeentch_factor_characters
base_amount	wh3_main_effect_corruption_reduction_characters	wh3_main_corruption_vampiric_factor_characters
base_amount	wh3_main_effect_corruption_reduction_commandment	wh3_main_corruption_chaos_factor_commandment
base_amount	wh3_main_effect_corruption_reduction_commandment	wh3_main_corruption_khorne_factor_commandment
base_amount	wh3_main_effect_corruption_reduction_commandment	wh3_main_corruption_nurgle_factor_commandment
