battle_type	attacker_victory_condition	defender_victory_condition	attacker_decision_condition	defender_decision_condition
river_crossing_battle	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
siege	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
siege	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_SETTLEMENT	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
siege	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
survival	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_NO_SUPPORT_AVAILABLE	BATTLE_SETUP_VICTORY_CONDITION_WAVE_COMPLETION		
trial	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_NO_SUPPORT_AVAILABLE	BATTLE_SETUP_VICTORY_CONDITION_WAVE_COMPLETION		
underground_intercept	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
unfortified_port	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		
unfortified_settlement	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
unfortified_settlement	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
