member	context	max_range	min_range
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_4	VALUE	500	400
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_gryphon_wood_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_heart_of_the_jungle_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_jungles_of_chian_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_laurelorn_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_naggarond_glade_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_the_haunted_forest_4	VALUE	100	80
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_0	VALUE	19	0
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_1	VALUE	39	20
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_2	VALUE	59	40
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_3	VALUE	79	60
wh2_dlc16_pooled_resource_world_roots_health_vale_of_webs_4	VALUE	100	80
wh2_dlc17_bst_ruination_tier_0	VALUE	24	0
wh2_dlc17_bst_ruination_tier_1	VALUE	59	25
wh2_dlc17_bst_ruination_tier_2	VALUE	99	60
wh2_dlc17_bst_ruination_tier_3	VALUE	149	100
wh2_dlc17_bst_ruination_tier_4	VALUE	219	150
wh2_dlc17_bst_ruination_tier_5	VALUE	319	220
wh2_dlc17_bst_ruination_tier_6	VALUE	499	320
wh2_dlc17_bst_ruination_tier_7	VALUE	500	500
wh2_dlc17_taurox_bst_rampage_tier_1	VALUE	99	50
wh2_dlc17_taurox_bst_rampage_tier_2	VALUE	149	100
wh2_dlc17_taurox_bst_rampage_tier_3	VALUE	150	150
wh2_loyalty_high	VALUE	10	8
wh2_loyalty_low	VALUE	3	0
wh2_pooled_resource_skaven_food_average	VALUE	60	41
wh2_pooled_resource_skaven_food_plentiful	VALUE	100	81
wh2_pooled_resource_skaven_food_shortage	VALUE	40	21
wh2_pooled_resource_skaven_food_starvation	VALUE	20	0
wh2_pooled_resource_skaven_food_surplus	VALUE	80	61
wh3_dlc20_chs_authority_khorne_-1	VALUE	-1	-1
wh3_dlc20_chs_authority_khorne_-2	VALUE	-2	-2
wh3_dlc20_chs_authority_khorne_-3	VALUE	-3	-3
wh3_dlc20_chs_authority_khorne_-4	VALUE	-4	-4
wh3_dlc20_chs_authority_khorne_-5	VALUE	-5	-5
wh3_dlc20_chs_authority_khorne_0	VALUE	0	0
wh3_dlc20_chs_authority_khorne_10	VALUE	10	10
wh3_dlc20_chs_authority_khorne_1	VALUE	1	1
wh3_dlc20_chs_authority_khorne_2	VALUE	2	2
wh3_dlc20_chs_authority_khorne_3	VALUE	3	3
wh3_dlc20_chs_authority_khorne_4	VALUE	4	4
wh3_dlc20_chs_authority_khorne_5	VALUE	5	5
wh3_dlc20_chs_authority_khorne_6	VALUE	6	6
wh3_dlc20_chs_authority_khorne_7	VALUE	7	7
wh3_dlc20_chs_authority_khorne_8	VALUE	8	8
wh3_dlc20_chs_authority_khorne_9	VALUE	9	9
wh3_dlc20_chs_authority_nurgle_-1	VALUE	-1	-1
wh3_dlc20_chs_authority_nurgle_-2	VALUE	-2	-2
wh3_dlc20_chs_authority_nurgle_-3	VALUE	-3	-3
wh3_dlc20_chs_authority_nurgle_-4	VALUE	-4	-4
wh3_dlc20_chs_authority_nurgle_-5	VALUE	-5	-5
wh3_dlc20_chs_authority_nurgle_0	VALUE	0	0
wh3_dlc20_chs_authority_nurgle_10	VALUE	10	10
wh3_dlc20_chs_authority_nurgle_1	VALUE	1	1
wh3_dlc20_chs_authority_nurgle_2	VALUE	2	2
wh3_dlc20_chs_authority_nurgle_3	VALUE	3	3
wh3_dlc20_chs_authority_nurgle_4	VALUE	4	4
wh3_dlc20_chs_authority_nurgle_5	VALUE	5	5
wh3_dlc20_chs_authority_nurgle_6	VALUE	6	6
wh3_dlc20_chs_authority_nurgle_7	VALUE	7	7
wh3_dlc20_chs_authority_nurgle_8	VALUE	8	8
wh3_dlc20_chs_authority_nurgle_9	VALUE	9	9
wh3_dlc20_chs_authority_slaanesh_-1	VALUE	-1	-1
wh3_dlc20_chs_authority_slaanesh_-2	VALUE	-2	-2
wh3_dlc20_chs_authority_slaanesh_-3	VALUE	-3	-3
wh3_dlc20_chs_authority_slaanesh_-4	VALUE	-4	-4
wh3_dlc20_chs_authority_slaanesh_-5	VALUE	-5	-5
wh3_dlc20_chs_authority_slaanesh_0	VALUE	0	0
wh3_dlc20_chs_authority_slaanesh_10	VALUE	10	10
wh3_dlc20_chs_authority_slaanesh_1	VALUE	1	1
wh3_dlc20_chs_authority_slaanesh_2	VALUE	2	2
wh3_dlc20_chs_authority_slaanesh_3	VALUE	3	3
wh3_dlc20_chs_authority_slaanesh_4	VALUE	4	4
wh3_dlc20_chs_authority_slaanesh_5	VALUE	5	5
wh3_dlc20_chs_authority_slaanesh_6	VALUE	6	6
wh3_dlc20_chs_authority_slaanesh_7	VALUE	7	7
wh3_dlc20_chs_authority_slaanesh_8	VALUE	8	8
wh3_dlc20_chs_authority_slaanesh_9	VALUE	9	9
wh3_dlc20_chs_authority_tzeentch_-1	VALUE	-1	-1
wh3_dlc20_chs_authority_tzeentch_-2	VALUE	-2	-2
wh3_dlc20_chs_authority_tzeentch_-3	VALUE	-3	-3
wh3_dlc20_chs_authority_tzeentch_-4	VALUE	-4	-4
wh3_dlc20_chs_authority_tzeentch_-5	VALUE	-5	-5
wh3_dlc20_chs_authority_tzeentch_0	VALUE	0	0
wh3_dlc20_chs_authority_tzeentch_10	VALUE	10	10
wh3_dlc20_chs_authority_tzeentch_1	VALUE	1	1
wh3_dlc20_chs_authority_tzeentch_2	VALUE	2	2
wh3_dlc20_chs_authority_tzeentch_3	VALUE	3	3
wh3_dlc20_chs_authority_tzeentch_4	VALUE	4	4
wh3_dlc20_chs_authority_tzeentch_5	VALUE	5	5
wh3_dlc20_chs_authority_tzeentch_6	VALUE	6	6
wh3_dlc20_chs_authority_tzeentch_7	VALUE	7	7
wh3_dlc20_chs_authority_tzeentch_8	VALUE	8	8
wh3_dlc20_chs_authority_tzeentch_9	VALUE	9	9
wh3_dlc20_chs_authority_undivided_0	VALUE	0	0
wh3_dlc20_chs_authority_undivided_10	VALUE	10	10
wh3_dlc20_chs_authority_undivided_1	VALUE	1	1
wh3_dlc20_chs_authority_undivided_2	VALUE	2	2
wh3_dlc20_chs_authority_undivided_3	VALUE	3	3
wh3_dlc20_chs_authority_undivided_4	VALUE	4	4
wh3_dlc20_chs_authority_undivided_5	VALUE	5	5
wh3_dlc20_chs_authority_undivided_6	VALUE	6	6
wh3_dlc20_chs_authority_undivided_7	VALUE	7	7
wh3_dlc20_chs_authority_undivided_8	VALUE	8	8
wh3_dlc20_chs_authority_undivided_9	VALUE	9	9
wh3_dlc20_pooled_resource_souls_effects_negative	VALUE	-1	-2147483647
wh3_dlc20_pooled_resource_souls_spent_kho_effects_0	VALUE	499	0
wh3_dlc20_pooled_resource_souls_spent_kho_effects_1	VALUE	1999	500
wh3_dlc20_pooled_resource_souls_spent_kho_effects_2	VALUE	4999	2000
wh3_dlc20_pooled_resource_souls_spent_kho_effects_3	VALUE	9999	5000
wh3_dlc20_pooled_resource_souls_spent_kho_effects_max	VALUE	100	100
wh3_dlc20_pooled_resource_souls_spent_nur_effects_0	VALUE	499	0
wh3_dlc20_pooled_resource_souls_spent_nur_effects_1	VALUE	1999	500
wh3_dlc20_pooled_resource_souls_spent_nur_effects_2	VALUE	4999	2000
wh3_dlc20_pooled_resource_souls_spent_nur_effects_3	VALUE	9999	5000
wh3_dlc20_pooled_resource_souls_spent_nur_effects_max	VALUE	100	100
wh3_dlc20_pooled_resource_souls_spent_sla_effects_0	VALUE	499	0
wh3_dlc20_pooled_resource_souls_spent_sla_effects_1	VALUE	1999	500
wh3_dlc20_pooled_resource_souls_spent_sla_effects_2	VALUE	4999	2000
wh3_dlc20_pooled_resource_souls_spent_sla_effects_3	VALUE	9999	5000
wh3_dlc20_pooled_resource_souls_spent_sla_effects_max	VALUE	100	100
wh3_dlc20_pooled_resource_souls_spent_tze_effects_0	VALUE	499	0
wh3_dlc20_pooled_resource_souls_spent_tze_effects_1	VALUE	1999	500
wh3_dlc20_pooled_resource_souls_spent_tze_effects_2	VALUE	4999	2000
wh3_dlc20_pooled_resource_souls_spent_tze_effects_3	VALUE	9999	5000
wh3_dlc20_pooled_resource_souls_spent_tze_effects_max	VALUE	100	100
wh3_dlc20_pooled_resource_souls_spent_und_effects_0	VALUE	499	0
wh3_dlc20_pooled_resource_souls_spent_und_effects_1	VALUE	1999	500
wh3_dlc20_pooled_resource_souls_spent_und_effects_2	VALUE	4999	2000
wh3_dlc20_pooled_resource_souls_spent_und_effects_3	VALUE	9999	5000
wh3_dlc20_pooled_resource_souls_spent_und_effects_max	VALUE	100	100
wh3_dlc20_winds_of_magic_vilitch_high	VALUE	2147483647	80
wh3_dlc23_winds_of_magic_low_wh3_dlc23_chd_chaos_dwarfs	VALUE	34	20
wh3_dlc25_bjuna_bombard_1-3	VALUE	3	1
wh3_dlc25_chieftain_deference_bray_shaman_tier_1	VALUE	9	0
wh3_dlc25_chieftain_deference_bray_shaman_tier_2	VALUE	29	10
wh3_dlc25_chieftain_deference_bray_shaman_tier_3	VALUE	30	30
wh3_dlc25_chieftain_deference_castellan_tier_1	VALUE	9	0
wh3_dlc25_chieftain_deference_castellan_tier_2	VALUE	29	10
wh3_dlc25_chieftain_deference_castellan_tier_3	VALUE	30	30
wh3_dlc25_chieftain_deference_exalted_hero_tier_1	VALUE	9	0
wh3_dlc25_chieftain_deference_exalted_hero_tier_2	VALUE	24	10
wh3_dlc25_chieftain_deference_exalted_hero_tier_3	VALUE	25	25
wh3_dlc25_chieftain_deference_fimir_balefiend_tier_1	VALUE	9	0
wh3_dlc25_chieftain_deference_fimir_balefiend_tier_2	VALUE	24	10
wh3_dlc25_chieftain_deference_fimir_balefiend_tier_3	VALUE	25	25
wh3_dlc25_chieftain_deference_kazyk_tier_1	VALUE	6	0
wh3_dlc25_chieftain_deference_kazyk_tier_2	VALUE	19	7
wh3_dlc25_chieftain_deference_kazyk_tier_3	VALUE	20	20
wh3_dlc25_chieftain_deference_werekin_tier_1	VALUE	9	0
wh3_dlc25_chieftain_deference_werekin_tier_2	VALUE	29	10
wh3_dlc25_chieftain_deference_werekin_tier_3	VALUE	30	30
wh3_dlc25_dwf_grudge_cycle_tracker_1	VALUE	24	0
wh3_dlc25_dwf_grudge_cycle_tracker_2	VALUE	49	25
wh3_dlc25_dwf_grudge_cycle_tracker_3	VALUE	74	50
wh3_dlc25_dwf_grudge_cycle_tracker_4	VALUE	99	75
wh3_dlc25_dwf_grudge_cycle_tracker_5	VALUE	100	100
wh3_dlc25_nur_epidemius_tally_of_pestilence_0	VALUE	0	0
wh3_dlc25_nur_epidemius_tally_of_pestilence_16_30	VALUE	19	10
wh3_dlc25_nur_epidemius_tally_of_pestilence_1_5	VALUE	4	1
wh3_dlc25_nur_epidemius_tally_of_pestilence_31	VALUE	999999	20
wh3_dlc25_nur_epidemius_tally_of_pestilence_6_15	VALUE	9	5
wh3_dlc25_pooled_resource_imperial_authority_0_25	VALUE	25	0
wh3_dlc25_pooled_resource_imperial_authority_100	VALUE	100	100
wh3_dlc25_pooled_resource_imperial_authority_26_50	VALUE	50	26
wh3_dlc25_pooled_resource_imperial_authority_51_75	VALUE	75	51
wh3_dlc25_pooled_resource_imperial_authority_76_99	VALUE	99	76
wh3_dlc25_purple_eclipse_1-3	VALUE	3	1
wh3_dlc25_spirit_barrage_1-3	VALUE	3	1
wh3_dlc26_bundle_ogr_hunger_1	VALUE	4	0
wh3_dlc26_bundle_ogr_hunger_2	VALUE	12	5
wh3_dlc26_bundle_ogr_hunger_3	VALUE	25	13
wh3_dlc26_bundle_ogr_hunger_4	VALUE	99999	26
wh3_dlc26_skrag_path_of_the_butcher_0	VALUE	0	0
wh3_dlc26_skrag_path_of_the_butcher_10	VALUE	999999	10
wh3_dlc26_skrag_path_of_the_butcher_1_3	VALUE	3	1
wh3_dlc26_skrag_path_of_the_butcher_4_6	VALUE	6	4
wh3_dlc26_skrag_path_of_the_butcher_7_9	VALUE	9	7
wh3_main_corruption_chaos_0_no_culture	VALUE	0	0
wh3_main_corruption_chaos_1-10_no_culture	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_dlc09_tmb_tomb_kings	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_dlc11_cst_vampire_coast	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_def_cult_of_pleasure	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_def_cult_of_pleasure_separatists	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_def_dark_elves	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_def_ssildra_tor	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_hef_high_elves	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_lzd_lizardmen	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_rogue	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh2_main_skv_skaven	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_dlc20_chs_azazel	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_dlc20_chs_festus	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_dlc20_chs_sigvald	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_dlc20_chs_valkia	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_dlc20_chs_vilitch	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_cth_cathay	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_dae_daemons	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_kho_khorne	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_ksl_kislev	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_nur_nurgle	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_ogr_ogre_kingdoms	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_sla_slaanesh	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh3_main_tze_tzeentch	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_dlc03_bst_beastmen	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_dlc05_wef_wood_elves	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_dlc08_nor_norsca	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_main_brt_bretonnia	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_main_chs_chaos	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_main_dwf_dwarfs	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_main_emp_empire	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_main_grn_greenskins	VALUE	10	1
wh3_main_corruption_chaos_1-10_wh_main_vmp_vampire_counts	VALUE	10	1
wh3_main_corruption_chaos_11-20_no_culture	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_dlc09_tmb_tomb_kings	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_dlc11_cst_vampire_coast	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_def_cult_of_pleasure	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_def_cult_of_pleasure_separatists	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_def_dark_elves	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_def_ssildra_tor	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_hef_high_elves	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_lzd_lizardmen	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_rogue	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh2_main_skv_skaven	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_dlc20_chs_azazel	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_dlc20_chs_festus	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_dlc20_chs_sigvald	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_dlc20_chs_valkia	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_dlc20_chs_vilitch	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_cth_cathay	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_dae_daemons	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_kho_khorne	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_ksl_kislev	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_nur_nurgle	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_ogr_ogre_kingdoms	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_sla_slaanesh	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh3_main_tze_tzeentch	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_dlc03_bst_beastmen	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_dlc05_wef_wood_elves	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_dlc08_nor_norsca	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_main_brt_bretonnia	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_main_chs_chaos	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_main_dwf_dwarfs	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_main_emp_empire	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_main_grn_greenskins	VALUE	20	11
wh3_main_corruption_chaos_11-20_wh_main_vmp_vampire_counts	VALUE	20	11
wh3_main_corruption_chaos_21-30_no_culture	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_dlc09_tmb_tomb_kings	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_dlc11_cst_vampire_coast	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_def_cult_of_pleasure	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_def_cult_of_pleasure_separatists	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_def_dark_elves	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_def_ssildra_tor	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_hef_high_elves	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_lzd_lizardmen	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_rogue	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh2_main_skv_skaven	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh3_dlc20_chs_azazel	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh3_dlc20_chs_festus	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh3_dlc20_chs_sigvald	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh3_dlc20_chs_valkia	VALUE	30	21
wh3_main_corruption_chaos_21-30_wh3_dlc20_chs_vilitch	VALUE	30	21
