key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled	is_foreign_slot_chain
wh2_dlc09_tmb_resource_medicine			money	false	wh2_main_sch_resource_medicine		10		true	false
wh2_dlc09_tmb_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10		true	false
wh2_dlc09_tmb_resource_pasture			money	false	wh_main_sch_human_resource_pastures		10		true	false
wh2_dlc09_tmb_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10		true	false
wh2_dlc09_tmb_resource_salt			money	false	wh_main_sch_human_resource_salt		10		true	false
wh2_dlc09_tmb_resource_spices			money	false	wh2_main_sch_resource_spices		10		true	false
wh2_dlc09_tmb_resource_wine			money	false	wh_main_sch_human_resource_wine		10		true	false
wh2_dlc09_tmb_resource_wood			money	false	wh_main_sch_human_resource_timber		10		true	false
wh2_dlc09_tmb_scorpions			military	false	wh2_main_sch_support5_extra		3		true	false
wh2_dlc09_tmb_settlement_major			money	true	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_tmb_city.png	0		true	false
wh2_dlc09_tmb_settlement_minor			money	true	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_tmb_city.png	0		true	false
wh2_dlc09_tmb_ushabti			military	false	wh2_main_sch_support2_worship		4		true	false
wh2_dlc09_tmb_warsphinx			military	false	wh2_main_sch_military5		6		true	false
wh2_dlc10_hef_aesanar_camp			military	false	wh2_dlc10_sch_hef_aesanar_camp		10		true	false
wh2_dlc10_hef_handmaidens			military	false	wh2_dlc10_sch_hef_handmaidens		9		true	false
wh2_dlc10_hef_handmaidens_alarielle			military	false	wh2_dlc10_sch_hef_handmaidens		9		true	false
wh2_dlc10_special_world_root_entrance			military	false	wh2_dlc10_sch_special_world_root_entrance		0		true	false
wh2_dlc11_cst_resource_animals			money	false	wh2_main_sch_resource_animals		10		true	false
wh2_dlc11_cst_resource_dyes			money	false	wh_main_sch_human_resource_dyes		10		true	false
wh2_dlc11_cst_resource_furs			money	false	wh_main_sch_human_resource_furs		10		true	false
wh2_dlc11_cst_resource_gems			money	false	wh2_main_sch_human_resource_gems		10		true	false
wh2_dlc11_cst_resource_gold			money	false	wh_main_sch_human_resource_gold		10		true	false
wh2_dlc11_cst_resource_iron			money	false	wh_main_sch_human_resource_iron		10		true	false
wh2_dlc11_cst_resource_marble			money	false	wh_main_sch_human_resource_marble		10		true	false
wh2_dlc11_cst_resource_medicine			money	false	wh2_main_sch_resource_medicine		10		true	false
wh2_dlc11_cst_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10		true	false
wh2_dlc11_cst_resource_pasture			money	false	wh_main_sch_human_resource_pastures		10		true	false
wh2_dlc11_cst_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10		true	false
wh2_dlc11_cst_resource_salt			money	false	wh_main_sch_human_resource_salt		10		true	false
wh2_dlc11_cst_resource_spices			money	false	wh2_main_sch_resource_spices		10		true	false
wh2_dlc11_cst_resource_wine			money	false	wh_main_sch_human_resource_wine		10		true	false
wh2_dlc11_cst_resource_wood			money	false	wh_main_sch_human_resource_timber		10		true	false
wh2_dlc11_foreign_corruption			money	false	wh2_dlc11_sch_foreign_corruption		1		true	false
wh2_dlc11_foreign_income			money	false	wh2_dlc11_sch_foreign_income		0		true	false
wh2_dlc11_foreign_infamy			money	false	wh2_dlc11_sch_foreign_infamy		0		true	false
wh2_dlc11_foreign_trade			money	false	wh2_dlc11_sch_foreign_trade		1		true	false
wh2_dlc11_horde_def_aristocracy			military	false	wh2_dlc11_sch_horde_def_aristocracy		2		true	false
wh2_dlc11_horde_def_exiles			military	false	wh2_dlc11_sch_horde_def_exiles		1		true	false
wh2_dlc11_horde_def_residence			money	false	wh2_dlc11_sch_horde_def_residence		0		true	false
wh2_dlc11_horde_def_riders			military	false	wh2_dlc11_sch_horde_def_riders		1		true	false
wh2_dlc11_special_ancient_vault			military	false	wh2_dlc11_sch_special_ancient_vault		0		true	false
wh2_dlc11_special_cylostra_opera_house			military	false	wh2_dlc11_sch_special_cylostra_opera_house		0		true	false
wh2_dlc11_special_dragon_tooth_lighthouse			military	false	wh2_dlc11_sch_special_dragon_tooth_lighthouse		0		true	false
wh2_dlc11_special_galleons_graveyard_wreck			military	false	wh2_dlc11_sch_special_galleons_graveyard_wreck		0		true	false
wh2_dlc11_special_settlement_galleons_graveyard			money	false	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_coast_galleons_graveyard.png	0		true	false
wh2_dlc11_special_settlement_galleons_graveyard_other			money	false	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_coast_galleons_graveyard.png	0		true	false
wh2_dlc11_special_ship_aranessa			military	false	wh2_dlc11_sch_special_ship_aranessa		0	wh2_dlc11_cst_aranessa	true	false
wh2_dlc11_special_ship_cylostra			military	false	wh2_dlc11_sch_special_ship_cylostra		0	wh2_dlc11_cst_cylostra	true	false
wh2_dlc11_special_ship_harkon			military	false	wh2_dlc11_sch_special_ship_harkon		0	wh2_dlc11_cst_harkon	true	false
wh2_dlc11_special_ship_harpoon			military	false	wh2_dlc11_sch_special_ship_harpoon		0		true	false
wh2_dlc11_special_ship_noctilus			military	false	wh2_dlc11_sch_special_ship_noctilus		0	wh2_dlc11_cst_noctilus	true	false
wh2_dlc11_vampirecoast_defence_garrison			military	false	wh2_main_sch_defence_minor		8		true	false
wh2_dlc11_vampirecoast_defence_norsca			military	false	wh2_main_sch_defence_norsca		0		true	false
wh2_dlc11_vampirecoast_defence_walls			military	false	wh2_dlc11_sch_defence_major_cst		7		true	false
wh2_dlc11_vampirecoast_infrastructure_corruption			money	true	wh2_main_sch_infrastructure4_energy		11		true	false
wh2_dlc11_vampirecoast_infrastructure_growth			money	false	wh2_main_sch_infrastructure1_farm		9		true	false
wh2_dlc11_vampirecoast_infrastructure_income			money	true	wh2_main_sch_infrastructure7_minor		12		true	false
wh2_dlc11_vampirecoast_infrastructure_income_other			money	true	wh2_main_sch_infrastructure8_major		13		true	false
wh2_dlc11_vampirecoast_infrastructure_public_order			money	false	wh2_main_sch_infrastructure3_order		10		true	false
wh2_dlc11_vampirecoast_military_barracks			military	false	wh2_main_sch_military1_barracks		1		true	false
wh2_dlc11_vampirecoast_military_flying			military	false	wh2_main_sch_military3_warmachines		3		true	false
wh2_dlc11_vampirecoast_military_ranged			military	false	wh2_main_sch_military2_stables		2		true	false
wh2_dlc11_vampirecoast_port			money	true	wh_main_sch_port		0		true	false
wh2_dlc11_vampirecoast_settlement_major			money	true	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_coast_city.png	0		true	false
wh2_dlc11_vampirecoast_settlement_minor			money	true	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_coast_city.png	0		true	false
wh2_dlc11_vampirecoast_ship_anchor			military	false	wh2_dlc11_sch_horde_cst_ship_9		9		true	false
wh2_dlc11_vampirecoast_ship_cannons			military	false	wh2_dlc11_sch_horde_cst_ship_4		4		true	false
wh2_dlc11_vampirecoast_ship_captains_cabin			military	false	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_coast_ship.png	0		true	false
wh2_dlc11_vampirecoast_ship_crows_nest			military	false	wh2_dlc11_sch_horde_cst_ship_3		3		true	false
wh2_dlc11_vampirecoast_ship_gunports			military	false	wh2_dlc11_sch_horde_cst_ship_2		2		true	false
wh2_dlc11_vampirecoast_ship_helm			military	false	wh2_dlc11_sch_horde_cst_ship_7		7		true	false
wh2_dlc11_vampirecoast_ship_hold			military	false	wh2_dlc11_sch_horde_cst_ship_5		5		true	false
wh2_dlc11_vampirecoast_ship_hull			military	false	wh2_dlc11_sch_horde_cst_ship_8		8		true	false
wh2_dlc11_vampirecoast_ship_main_deck			military	false	wh2_dlc11_sch_horde_cst_ship_1		1		true	false
wh2_dlc11_vampirecoast_ship_sail			military	false	wh2_dlc11_sch_horde_cst_ship_6		6		true	false
wh2_dlc11_vampirecoast_support_artillery			military	false	wh2_main_sch_support1_smith		4		true	false
wh2_dlc11_vampirecoast_support_monsters			military	false	wh2_main_sch_support2_worship		5		true	false
wh2_dlc11_vampirecoast_support_necrofex			military	false	wh2_main_sch_support3_wizards		6		true	false
wh2_dlc12_dummy_nuclear_ruins			abandoned	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc12_dummy_nuclear_ruins_lzd			abandoned	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc12_dummy_nuclear_ruins_tmb			abandoned	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash			abandoned	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc12_dummy_nuclear_ruins_tmb_settra			abandoned	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc12_special_bordeleaux_manann_shrine			money	false	wh2_dlc12_sch_special_bordeleaux_manann_shrine		0		true	false
wh2_dlc12_special_sotek_snake_pit			money	false	wh2_dlc12_sch_special_sotek_snake_pit		0		true	false
wh2_dlc12_special_warlock_lab			money	false	wh2_dlc12_sch_special_warlock_lab		0		true	false
wh2_dlc12_special_warpstone_tractor_beam			money	false	wh2_dlc12_sch_special_warpstone_tractor_beam		3		true	false
wh2_dlc12_under_empire_annexation_doomsday			money	false	wh2_dlc12_sch_under_empire_annexation_doomsday		4		true	false
wh2_dlc12_under_empire_annexation_war_camp			money	false	wh2_dlc12_sch_under_empire_annexation_war_camp		3		true	false
wh2_dlc12_under_empire_discovery_assassins			money	false	wh2_dlc12_sch_under_empire_discovery_assassins		5		true	false
wh2_dlc12_under_empire_discovery_deeper_tunnels			money	false	wh2_dlc12_sch_under_empire_discovery_deeper_tunnels		6		true	false
wh2_dlc12_under_empire_food_kidnappers			money	false	wh2_dlc12_sch_under_empire_food_kidnappers		7		true	false
wh2_dlc12_under_empire_food_raiding_camp			money	false	wh2_dlc12_sch_under_empire_food_raiding_camp		8		true	false
wh2_dlc12_under_empire_money_crafting			money	false	wh2_dlc12_sch_under_empire_money_crafting		9		true	false
wh2_dlc12_under_empire_money_thieves			money	false	wh2_dlc12_sch_under_empire_money_thieves		10		true	false
wh2_dlc12_under_empire_settlement_stronghold			money	false	wh_main_sch_main_settlement		2		true	false
wh2_dlc12_under_empire_settlement_warren			money	false	wh_main_sch_main_settlement		1		true	false
wh2_dlc12_under_empire_warpstone_mine			money	false	wh2_dlc12_sch_under_empire_warpstone_mine		11		true	false
wh2_dlc12_under_empire_warpstone_refinery			money	false	wh2_dlc12_sch_under_empire_warpstone_refinery		12		true	false
wh2_dlc12_under_empire_warpstone_strip_mine			money	false	wh2_dlc12_sch_under_empire_warpstone_strip_mine		13		true	false
wh2_dlc13_horde_lizardmen_beasts			military	false	wh2_dlc13_sch_horde_lizardmen_beasts		5		true	false
wh2_dlc13_horde_lizardmen_coldones			military	false	wh2_dlc13_sch_horde_lizardmen_coldones		4		true	false
wh2_dlc13_horde_lizardmen_flying			military	false	wh2_dlc13_sch_horde_lizardmen_flying		3		true	false
wh2_dlc13_horde_lizardmen_great_beasts			military	false	wh2_dlc13_sch_horde_lizardmen_great_beasts		6		true	false
wh2_dlc13_horde_lizardmen_portal_itzl			military	false	wh2_dlc13_sch_horde_lizardmen_portal_itzl		13		true	false
wh2_dlc13_horde_lizardmen_portal_quetzl			military	false	wh2_dlc13_sch_horde_lizardmen_portal_quetzl		11		true	false
wh2_dlc13_horde_lizardmen_portal_tlanxla			military	false	wh2_dlc13_sch_horde_lizardmen_portal_tlanxla		12		true	false
wh2_dlc13_horde_lizardmen_saurus			military	false	wh2_dlc13_sch_horde_lizardmen_saurus		2		true	false
wh2_dlc13_horde_lizardmen_saurus_veteran			military	false	wh2_dlc13_sch_horde_lizardmen_saurus_veteran		15		true	false
wh2_dlc13_horde_lizardmen_skink_chief			military	false	wh2_dlc13_sch_horde_lizardmen_skink_chief		14		true	false
wh2_dlc13_horde_lizardmen_skink_priest			military	false	wh2_dlc13_sch_horde_lizardmen_skink_priest		16		true	false
wh2_dlc13_horde_lizardmen_skinks			military	false	wh2_dlc13_sch_horde_lizardmen_skinks		1		true	false
wh2_dlc13_horde_lizardmen_slann			military	false	wh2_dlc13_sch_horde_lizardmen_slann		7		true	false
wh2_dlc13_horde_lizardmen_support_faction			military	false	wh2_dlc13_sch_horde_lizardmen_support_faction		9		true	false
wh2_dlc13_horde_lizardmen_support_horde			military	false	wh2_dlc13_sch_horde_lizardmen_support_horde		8		true	false
wh2_dlc13_horde_lizardmen_support_rcost			military	false	wh2_dlc13_sch_horde_lizardmen_support_rcost		18		true	false
wh2_dlc13_horde_lizardmen_support_rrank			military	false	wh2_dlc13_sch_horde_lizardmen_support_rrank		19		true	false
wh2_dlc13_horde_lizardmen_support_upkeep			military	false	wh2_dlc13_sch_horde_lizardmen_support_upkeep		17		true	false
wh2_dlc13_horde_lizardmen_ziggurat			military	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc13_horde_lizardmen_ziggurat_minor			military	false	wh_main_sch_main_settlement		10		true	false
wh2_dlc13_lzd_nakai_itzl			money	false	wh2_dlc13_lzd_sch_nakai_itzl		0		true	false
wh2_dlc13_lzd_nakai_quetzl			money	false	wh2_dlc13_lzd_sch_nakai_quetzl		0		true	false
wh2_dlc13_lzd_nakai_settlement_major			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc13_lzd_nakai_settlement_minor			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc13_lzd_nakai_xholankha			money	false	wh2_dlc13_lzd_sch_nakai_xholankha		0		true	false
wh2_dlc13_lzd_port_nakai_itzl			money	false	wh_main_sch_port		0		true	false
wh2_dlc13_lzd_port_nakai_quetzl			money	false	wh_main_sch_port		0		true	false
wh2_dlc13_lzd_port_nakai_xholankha			money	false	wh_main_sch_port		0		true	false
wh2_dlc14_special_copher_port			money	false	wh_main_sch_port		0		true	false
wh2_dlc14_special_copher_port_bretonnia			money	false	wh_main_sch_port		0		true	false
wh2_dlc14_special_dragon_isle_port			money	false	wh_main_sch_port		0		true	false
wh2_dlc14_special_dragon_isle_port_grn			money	false	wh_main_sch_port		0		true	false
wh2_dlc14_special_dragon_isle_port_tmb			money	false	wh_main_sch_port		0		true	false
wh2_dlc14_special_fyrus_holy_monastery			happiness	false	wh2_dlc14_special_fyrus_holy_monastery		0		true	false
wh2_dlc14_special_lzd_konquata			money	false	wh2_dlc14_special_lzd_konquata		0		true	false
wh2_dlc14_special_nagashizzar_arkhan			money	false	wh2_dlc14_special_nagashizzar		0		true	false
wh2_dlc14_special_nagashizzar_other			money	false	wh2_dlc14_special_nagashizzar		0		true	false
wh2_dlc14_special_nagashizzar_vmp			money	false	wh2_dlc14_special_nagashizzar		0		true	false
wh2_dlc14_special_pigbarter_grn			money	false	wh2_dlc14_special_pigbarter		0		true	false
wh2_dlc14_special_pigbarter_human			money	false	wh2_dlc14_special_pigbarter		0		true	false
wh2_dlc14_special_skv_crookback			money	false	wh2_dlc14_special_skv_crookback		0		true	false
wh2_dlc14_special_skv_eshin_den			money	false	wh2_dlc14_special_skv_eshin_den		0		true	false
wh2_dlc14_under_empire_annexation_plague_cauldron			money	false	wh2_dlc14_under_empire_annexation_plague_cauldron		5		true	false
wh2_dlc15_hef_field_hq			military	false	wh2_dlc15_sch_hef_field_hq		11		true	false
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth			money	false	wh2_dlc15_special_tower_of_the_bloodytooth		0		true	false
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth_vmp			money	false	wh2_dlc15_special_tower_of_the_bloodytooth		0		true	false
wh2_dlc15_special_galbaraz_mourkain_grn			military	false	wh2_main_sch_special_galbaraz_mourkain		0		true	false
wh2_dlc15_special_graves_of_the_dragons_dwf			money	false	wh2_dlc15_special_graves_of_the_dragons		0		true	false
wh2_dlc15_special_graves_of_the_dragons_hef			money	false	wh2_dlc15_special_graves_of_the_dragons		0		true	false
wh2_dlc15_special_graves_of_the_dragons_vmp			money	false	wh2_dlc15_special_graves_of_the_dragons		0		true	false
wh2_dlc15_special_grn_nuln_grand_prix			military	false	wh2_dlc15_special_grn_nuln_grand_prix		0		true	false
wh2_dlc15_special_grom_peak_statue_of_grom			military	false	wh2_dlc15_special_grom_peak_statue_of_grom		0		true	false
wh2_dlc15_special_ka_sabar_city_of_bronze			money	false	wh2_dlc15_special_city_of_bronze		0		true	false
wh2_dlc15_special_ka_sabar_city_of_bronze_tmb			money	false	wh2_dlc15_special_city_of_bronze		0		true	false
wh2_dlc15_special_massif_orcal_quarry			money	false	wh2_dlc15_special_massif_orcal_quarry		0		true	false
wh2_dlc15_special_morgheim_necropolis_tmb			military	false	wh2_dlc15_special_morgheim_necropolis		0		true	false
wh2_dlc15_special_morgheim_necropolis_vmp			military	false	wh2_dlc15_special_morgheim_necropolis		0		true	false
wh2_dlc15_special_mount_arachnos			military	false	wh2_dlc15_special_mount_arachnos		0		true	false
wh2_dlc15_special_nagashizzar_azhag			money	false	wh2_dlc14_special_nagashizzar		0		true	false
wh2_dlc15_special_settlement_massif_orcal_brt			money	false	wh_main_sch_main_settlement	data\UI\Buildings\tier_icons\tier_greenskins_orc_city.png	0		true	false
wh2_dlc15_special_settlement_massif_orcal_grn			money	false	wh_main_sch_main_settlement	data\UI\Buildings\tier_icons\tier_greenskins_orc_city.png	0		true	false
wh2_dlc15_special_settlement_massif_orcal_savage			money	false	wh_main_sch_main_settlement	data\UI\Buildings\tier_icons\tier_greenskins_orc_city.png	0		true	false
wh2_dlc15_special_settlement_tor_yvresse_def			money	false	wh_main_sch_main_settlement	data\UI\Buildings\tier_icons\tier_hef_city.png	0		true	false
wh2_dlc15_special_settlement_tor_yvresse_eltharion			money	false	wh_main_sch_main_settlement	data\UI\Buildings\tier_icons\tier_hef_city.png	0		true	false
wh2_dlc15_special_settlement_tor_yvresse_hef			money	false	wh_main_sch_main_settlement	data\UI\Buildings\tier_icons\tier_hef_city.png	0		true	false
wh2_dlc16_special_forest_of_gloom_shadow_groves_of_loec			money	false	wh2_dlc16_sch_special_forest_of_gloom		8		true	false
wh2_dlc16_special_sacred_pools_wef			money	false	wh2_dlc16_sch_special_wef_pools_of_isha		8		true	false
wh2_dlc17_bst_settlement_major			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_secondary_attributes			military	false	wh2_dlc17_sch_herdstone_beastmen_special_building_1		1		true	false
wh2_dlc17_bst_special_secondary_attrition			military	false	wh2_dlc17_sch_herdstone_beastmen_special_building_2		1		true	false
wh2_dlc17_bst_special_secondary_climates			military	false	wh2_dlc17_sch_herdstone_beastmen_special_building_3		1		true	false
wh2_dlc17_bst_special_secondary_resistances			military	false	wh2_dlc17_sch_herdstone_beastmen_special_building_4		1		true	false
wh2_dlc17_bst_special_settlement_altdorf			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_black_crag			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_castle_drakenhof			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_couronne			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_hexoatl			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_karaz_a_karak			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_kislev			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_lothern			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_naggarond			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_oak_of_ages			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_wei_jin			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_bst_special_settlement_zharr_naggrund			money	false	wh_main_sch_main_settlement		0		true	false
wh2_dlc17_horde_beastmen_army_buffs_arcane			military	false	wh2_dlc17_sch_horde_beastmen_army_buffs_arcane		0		true	false
wh2_dlc17_horde_beastmen_army_buffs_terror			military	false	wh2_dlc17_sch_horde_beastmen_army_buffs_terror		0		true	false
wh2_dlc17_silent_sanctum_ambush			military	false	wh2_dlc17_silent_sanctum_ambush		4		true	false
wh2_dlc17_silent_sanctum_core			military	false	wh2_dlc17_silent_sanctum_core		1		true	false
wh2_dlc17_silent_sanctum_def_boost			military	false	wh2_dlc17_silent_sanctum_def_boost		3		true	false
wh2_dlc17_silent_sanctum_melee_boost			military	false	wh2_dlc17_silent_sanctum_melee_boost		1		true	false
wh2_dlc17_silent_sanctum_ranged_boost			military	false	wh2_dlc17_silent_sanctum_ranged_boost		2		true	false
wh2_dlc17_silent_sanctum_recruitment			military	false	wh2_dlc17_silent_sanctum_recruitment		1		true	false
wh2_dlc17_silent_sanctum_replenishment			military	false	wh2_dlc17_silent_sanctum_replenishment		2		true	false
wh2_dlc17_silent_sanctum_transport			military	false	wh2_dlc17_silent_sanctum_transport		5		true	false
wh2_dlc17_silent_sanctum_upkeep			military	false	wh2_dlc17_silent_sanctum_upkeep		3		true	false
wh2_dlc17_special_ironbrows_workshop			military	false	wh2_dlc17_sch_special_ironbrows_workshop		0		true	false
wh2_dlc17_special_lost_underway_junction			military	false	wh2_dlc17_sch_special_lost_underway_junction		0		true	false
wh2_dlc17_special_marienburg_port_beastmen			military	false	wh_main_sch_port		0		true	false
wh2_main_DWARFS_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10		true	false
wh2_main_DWARFS_resource_wine			money	false	wh_main_sch_human_resource_wine		10		true	false
wh2_main_EMPIRE_academy			money	false	wh2_main_sch_support4_other		0		true	false
wh2_main_EMPIRE_roads			money	false	wh2_main_sch_infrastructure4_energy		4		true	false
wh2_main_GREENSKINS_resource_animals			military	true	wh2_main_sch_resource_animals		11		true	false
wh2_main_HUMAN_resource_gemstones			money	false	wh2_main_sch_human_resource_gems		10		true	false
wh2_main_VAMPIRES_raisedead			military	false	wh2_main_sch_vampires_raisedead		1		true	false
wh2_main_VAMPIRES_resource_animals			money	false	wh2_main_sch_resource_animals		10		true	false
wh2_main_VAMPIRES_resource_gemstones			money	false	wh2_main_sch_human_resource_gems		10		true	false
wh2_main_VAMPIRES_resource_medicine			money	false	wh2_main_sch_resource_medicine		10		true	false
wh2_main_VAMPIRES_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10		true	false
wh2_main_VAMPIRES_terrorgheists			military	false	wh2_main_sch_military5		7		true	false
wh2_main_VAMPIRES_wraiths			military	false	wh2_main_sch_infrastructure5_tradingspying		2		true	false
wh2_main_brt_defence_norsca			military	false	wh2_main_sch_defence_norsca		0		true	false
wh2_main_brt_resource_animals			money	false	wh2_main_sch_resource_animals		10		true	false
wh2_main_brt_resource_dyes			money	true	wh_main_sch_human_resource_dyes		10		true	false
wh2_main_brt_resource_furs			money	true	wh_main_sch_human_resource_furs		10		true	false
wh2_main_brt_resource_gemstones			money	false	wh2_main_sch_human_resource_gems		10		true	false
wh2_main_brt_resource_gold			money	true	wh_main_sch_human_resource_gold		10		true	false
wh2_main_brt_resource_iron			money	true	wh_main_sch_human_resource_iron		10		true	false
wh2_main_brt_resource_marble			money	true	wh_main_sch_human_resource_marble		10		true	false
wh2_main_brt_resource_medicine			money	false	wh2_main_sch_resource_medicine		10		true	false
wh2_main_brt_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10		true	false
wh2_main_brt_resource_pastures			money	true	wh_main_sch_human_resource_pastures		10		true	false
wh2_main_brt_resource_pottery			money	true	wh_main_sch_human_resource_pottery		10		true	false
wh2_main_brt_resource_salt			money	true	wh_main_sch_human_resource_salt		10		true	false
wh2_main_brt_resource_spices			money	false	wh2_main_sch_resource_spices		10		true	false
wh2_main_brt_resource_timber			money	true	wh_main_sch_human_resource_timber		10		true	false
wh2_main_brt_resource_wine			money	true	wh_main_sch_human_resource_wine		10		true	false
wh2_main_def_barracks			military	false	wh2_main_sch_military1_barracks		0		true	false
wh2_main_def_beasts			military	false	wh2_main_sch_military4_monsters		1		true	false
wh2_main_def_coldones			military	false	wh2_main_sch_military5		3		true	false
