ancillary	art_set	uniform
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_metal_mtze_04	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_04_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_metal_mtze_05	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_05_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_tzeentch_mtze_01	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_01_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_tzeentch_mtze_02	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_02_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_tzeentch_mtze_03	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_03_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_tzeentch_mtze_04	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_04_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_tzeentch_mtze_05	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_05_disc
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_disc_of_tzeentch	wh3_dlc24_art_set_chs_exalted_hero_mtze_01	wh3_dlc24_uniform_chs_exalted_hero_mtze_01_disc
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_disc_of_tzeentch	wh3_dlc24_art_set_chs_exalted_hero_mtze_02	wh3_dlc24_uniform_chs_exalted_hero_mtze_02_disc
wh3_dlc24_anc_mount_chs_cha_exalted_hero_mtze_disc_of_tzeentch	wh3_dlc24_art_set_chs_exalted_hero_mtze_03	wh3_dlc24_uniform_chs_exalted_hero_mtze_03_disc
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_disc_of_tzeentch	wh3_dlc24_art_set_chs_lord_mtze_01	wh3_dlc24_uniform_chs_chaos_lord_mtze_01_disc
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_disc_of_tzeentch	wh3_dlc24_art_set_chs_lord_mtze_02	wh3_dlc24_uniform_chs_chaos_lord_mtze_02_disc
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_disc_of_tzeentch	wh3_dlc24_art_set_chs_lord_mtze_03	wh3_dlc24_uniform_chs_chaos_lord_mtze_03_disc
wh3_dlc24_anc_mount_chs_cha_chaos_lord_mtze_disc_of_tzeentch	wh3_dlc24_art_set_chs_lord_mtze_04	wh3_dlc24_uniform_chs_chaos_lord_mtze_04_disc
wh3_dlc25_anc_mount_emp_bruckner_reaper	wh3_dlc25_art_set_emp_theodore_bruckner	wh3_dlc25_uniform_emp_theodore_bruckner_helmet
wh3_main_anc_mount_tze_herald_of_tzeentch_metal_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_metal_01	wh3_main_uniform_tze_herald_of_tzeentch_01_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_metal_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_metal_02	wh3_main_uniform_tze_herald_of_tzeentch_02_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_metal_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_metal_03	wh3_main_uniform_tze_herald_of_tzeentch_03_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_metal_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_metal_04	wh3_main_uniform_tze_herald_of_tzeentch_04_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_metal_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_metal_05	wh3_main_uniform_tze_herald_of_tzeentch_05_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_tzeentch_01	wh3_main_uniform_tze_herald_of_tzeentch_01_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_tzeentch_02	wh3_main_uniform_tze_herald_of_tzeentch_02_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_tzeentch_03	wh3_main_uniform_tze_herald_of_tzeentch_03_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_tzeentch_04	wh3_main_uniform_tze_herald_of_tzeentch_04_disc
wh3_main_anc_mount_tze_herald_of_tzeentch_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_herald_of_tzeentch_tzeentch_05	wh3_main_uniform_tze_herald_of_tzeentch_05_disc
wh3_main_anc_mount_tze_iridescent_horror_metal_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_metal_01	wh3_main_uniform_tze_iridescent_horror_01_disc
wh3_main_anc_mount_tze_iridescent_horror_metal_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_metal_02	wh3_main_uniform_tze_iridescent_horror_02_disc
wh3_main_anc_mount_tze_iridescent_horror_metal_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_metal_03	wh3_main_uniform_tze_iridescent_horror_03_disc
wh3_main_anc_mount_tze_iridescent_horror_metal_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_metal_04	wh3_main_uniform_tze_iridescent_horror_04_disc
wh3_main_anc_mount_tze_iridescent_horror_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_tzeentch_01	wh3_main_uniform_tze_iridescent_horror_01_disc
wh3_main_anc_mount_tze_iridescent_horror_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_tzeentch_02	wh3_main_uniform_tze_iridescent_horror_02_disc
wh3_main_anc_mount_tze_iridescent_horror_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_tzeentch_03	wh3_main_uniform_tze_iridescent_horror_03_disc
wh3_main_anc_mount_tze_iridescent_horror_tzeentch_disc_of_tzeentch	wh3_main_art_set_tze_iridescent_horror_tzeentch_04	wh3_main_uniform_tze_iridescent_horror_04_disc
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_01	wh_dlc06_uniform_dwf_runelord_anvil_01
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_02	wh_dlc06_uniform_dwf_runelord_anvil_02
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_03	wh_dlc06_uniform_dwf_runelord_anvil_03
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_04	wh_dlc06_uniform_dwf_runelord_anvil_04
wh_main_anc_mount_emp_karl_franz_barded_warhorse	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
wh_main_anc_mount_emp_karl_franz_deathclaw	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
wh_main_anc_mount_emp_karl_franz_imperial_pegasus	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
wh_main_anc_mount_emp_karl_franz_warhorse	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
