key	default_policy	activation_point_set
wh3_province_initiatives_profiles_chd	wh3_province_initiatives_chd	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_chs_archaon	wh3_province_initiatives_chs_archaon	j_post_task_manager_components
wh3_province_initiatives_profiles_chs_azazel	wh3_province_initiatives_chs_azazel	j_post_task_manager_components
wh3_province_initiatives_profiles_chs_festus	wh3_province_initiatives_chs_festus	j_post_task_manager_components
wh3_province_initiatives_profiles_chs_kholek	wh3_province_initiatives_chs_kholek	j_post_task_manager_components
wh3_province_initiatives_profiles_chs_sigvald	wh3_province_initiatives_chs_sigvald	j_post_task_manager_components
wh3_province_initiatives_profiles_chs_valkia	wh3_province_initiatives_chs_valkia	j_post_task_manager_components
wh3_province_initiatives_profiles_chs_vilitch	wh3_province_initiatives_chs_vilitch	j_post_task_manager_components
wh3_province_initiatives_profiles_cst	wh3_province_initiatives_cst	j_post_task_manager_components
wh3_province_initiatives_profiles_cth	wh3_province_initiatives_cth	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_dae	wh3_province_initiatives_dae	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_def	wh3_province_initiatives_def	j_post_task_manager_components
wh3_province_initiatives_profiles_dwf	wh3_province_initiatives_dwf	j_post_task_manager_components
wh3_province_initiatives_profiles_emp	wh3_province_initiatives_emp	j_post_task_manager_components
wh3_province_initiatives_profiles_grn	wh3_province_initiatives_grn	j_post_task_manager_components
wh3_province_initiatives_profiles_hef	wh3_province_initiatives_hef	j_post_task_manager_components
wh3_province_initiatives_profiles_kho	wh3_province_initiatives_kho	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_ksl	wh3_province_initiatives_ksl	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_lzd	wh3_province_initiatives_lzd	j_post_task_manager_components
wh3_province_initiatives_profiles_nor	wh3_province_initiatives_nor	j_post_task_manager_components
wh3_province_initiatives_profiles_nur	wh3_province_initiatives_nur	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_ogr	wh3_province_initiatives_ogr	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_skv	wh3_province_initiatives_skv	j_post_task_manager_components
wh3_province_initiatives_profiles_sla	wh3_province_initiatives_sla	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_tmb	wh3_province_initiatives_tmb	j_post_task_manager_components
wh3_province_initiatives_profiles_tze	wh3_province_initiatives_tze	g_task_manager_system_phase_2_post_allocation_task_execution
wh3_province_initiatives_profiles_vmp	wh3_province_initiatives_vmp	j_post_task_manager_components
wh3_ritual_belakor_great_game_profile	wh3_ritual_belakor_great_game	a_pre_task_manager_components
wh3_ritual_chd_tower_of_zharr_astragoth_profile	wh3_ritual_chd_tower_of_zharr_astragoth	a_pre_task_manager_components
wh3_ritual_chd_tower_of_zharr_drazoath_profile	wh3_ritual_chd_tower_of_zharr_drazoath	a_pre_task_manager_components
wh3_ritual_chd_tower_of_zharr_zhatan_profile	wh3_ritual_chd_tower_of_zharr_zhatan	a_pre_task_manager_components
wh3_ritual_cth_matters_of_state_profile	wh3_ritual_cth_matters_of_state	a_pre_task_manager_components
wh3_ritual_def_slave_actions	wh3_ritual_def_slave_actions	a_pre_task_manager_components
wh3_ritual_dwf_book_of_grudges_units_profile	wh3_ritual_dwf_book_of_grudges_units	a_pre_task_manager_components
wh3_ritual_dwf_crafting_profile	wh3_ritual_dwf_crafting	j_post_task_manager_components
wh3_ritual_emp_districts_of_nuln_elspeth_profile	wh3_ritual_emp_districts_of_nuln_elspeth	a_pre_task_manager_components
wh3_ritual_hef_tyrion_imperatives	wh3_ritual_hef_tyrion_imperatives	j_post_task_manager_components
wh3_ritual_initiatives_rites_cst	wh3_ritual_cst_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_def	wh3_ritual_def_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_def_hellebron	wh3_ritual_def_hellebron_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_def_lokhir	wh3_ritual_def_lokhir_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_def_malus	wh3_ritual_def_malus_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_flesh_lab	wh3_ritual_skv_flesh_laboratory	a_pre_task_manager_components
wh3_ritual_initiatives_rites_hef	wh3_ritual_hef_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_hef_aislinn	wh3_ritual_hef_aislinn_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_hef_alarielle	wh3_ritual_hef_alarielle_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_hef_alithanar	wh3_ritual_hef_alithanar_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_hef_eltharion	wh3_ritual_hef_eltharion_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_hef_imrik	wh3_ritual_hef_imrik_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_lzd	wh3_ritual_lzd_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_lzd_gorrok	wh3_ritual_lzd_gorrok_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_lzd_nakai	wh3_ritual_lzd_nakai_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_lzd_tiktaqto	wh3_ritual_lzd_tiktaqto_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_skv	wh3_ritual_skv_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_skv_ikit	wh3_ritual_skv_ikit_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_skv_queek	wh3_ritual_skv_queek_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_skv_skrolk	wh3_ritual_skv_skrolk_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_skv_snikch	wh3_ritual_skv_snikch_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_skv_throt	wh3_ritual_skv_throt_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_skv_tretch	wh3_ritual_skv_tretch_rites	a_pre_task_manager_components
wh3_ritual_initiatives_rites_tmb	wh3_ritual_tmb_rites	a_pre_task_manager_components
wh3_ritual_lzd_pyramid_profile	wh3_ritual_lzd_pyramid	j_post_task_manager_components
wh3_ritual_lzd_temple_profile	wh3_ritual_lzd_temple	j_post_task_manager_components
wh3_ritual_nur_chieftains_tamurkhan_profile	wh3_ritual_nur_chieftains_tamurkhan	a_pre_task_manager_components
wh3_ritual_skv_workshop_profile	wh3_ritual_skv_workshop	a_pre_task_manager_components
wh3_ritual_tmb_crafting_profile	wh3_ritual_tmb_crafting	j_post_task_manager_components
wh3_ritual_vmp_bloodlines_profile	wh3_ritual_vmp_bloodlines	j_post_task_manager_components
wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_dragon	j_post_task_manager_components
wh3_rituals_chd_unit_caps_profile	wh3_ritual_chd_unit_caps	a_pre_task_manager_components
